Sample ID	Depth top [m] (Foram sample depths)	Depth bot [m] (Foram sample depths)	Depth sed [m]	Age dated [ka]	B. digitata [#] (Counting)	B. praeadamsi [#] (Counting)	D. conglomerata [#] (Counting)	D. pseudofoliata [#] (Counting)	G. bulloides [#] (Counting)	G. bulloides [#] (Counting)	G. clarkei [#] (Counting)	G. falconensis [#] (Counting)	G. quinqueloba [#] (Counting)	G. umbilicata [#] (Counting)	G. aequilateralis [#] (Counting)	G. calida [#] (Counting)	G. obesa [#] (Counting)	G. praecalida [#] (Counting)	G. glutinata [#] (Counting)	G. uvula [#] (Counting)	G. elongatus [#] (Counting)	G. ruber w [#] (Counting)	G. sacculifer [#] (Counting)	G. crassaformis [#] (Counting)	G. crassula [#] (Counting)	G. hirsuta [#] (Counting)	G. inflata d [#] (Counting)	G. inflata s [#] (Counting)	G. scitula [#] (Counting)	G. truncatulinoides [#] (Counting)	G. hexagona [#] (Counting)	G. rubescens white [#] (Counting)	G. tenella [#] (Counting)	N. dutertrei [#] (Counting)	N. pachyderma d [#] (Counting)	N. pachyderma s [#] (Counting)	O. universa [#] (Counting)	P. obliquiloculata [#] (Counting)	T. iota [#] (Counting)	Foram [#] (Counting)	G. bulloides [%] (Calculated)	G. inflata s [%] (Calculated)	G. truncatulinoides [%] (Calculated)	N. pachyderma d [%] (Calculated)	N. pachyderma s [%] (Calculated)	G. glutinata [%] (Calculated)
FR1-94-GC3,  50-51	0.50	0.51	0.505	37.92	0	0	0	0	159	0	0	0	10	1	0	0	1	0	25	0	0	0	0	0	0	0	0	50	1	12	0	1	0	1	97	19	1	0	0	378	42.06349206	8.730158730	3.174603175	25.661375660	5.026455026	6.613756614
FR1-94-GC3,  55-56	0.55	0.56	0.555	44.40	1	0	0	0	102	0	0	0	14	1	0	0	0	1	27	1	0	1	0	0	0	0	0	27	1	15	0	0	0	5	86	35	1	0	0	318	32.07547170	15.408805030	4.716981132	27.044025160	11.006289310	8.490566038
FR1-94-GC3,  60-61	0.60	0.61	0.605	50.90	1	0	0	0	119	0	0	2	14	1	1	0	1	1	10	0	0	2	1	1	0	1	0	42	2	9	0	1	0	2	72	28	1	0	0	312	38.14102564	16.025641030	2.884615385	23.076923080	8.974358974	3.205128205
FR1-94-GC3,  65-66	0.65	0.66	0.655	57.66	1	0	0	0	174	0	0	0	16	0	0	0	0	0	29	0	0	0	0	0	0	0	0	42	1	13	0	0	0	2	117	46	1	0	0	442	39.36651584	11.538461540	2.941176471	26.470588240	10.407239820	6.561085973
FR1-94-GC3,  71-72	0.71	0.72	0.715	65.12	1	0	0	0	146	0	0	0	13	1	0	0	1	0	23	0	0	1	0	0	0	0	0	38	1	12	0	0	0	1	101	19	1	0	0	359	40.66852368	12.256267410	3.342618384	28.133704740	5.292479109	6.406685237
FR1-94-GC3,  75-76	0.75	0.76	0.755	71.62	1	0	0	0	157	0	0	0	8	0	0	0	1	0	27	0	0	0	0	0	0	0	0	40	2	11	0	0	0	3	148	11	1	0	0	410	38.29268293	7.804878049	2.682926829	36.097560980	2.682926829	6.585365854
FR1-94-GC3,  80-81	0.80	0.81	0.805	79.54	1	0	0	0	120	0	0	0	5	1	1	0	3	1	29	0	0	0	0	0	0	0	0	35	1	14	0	1	0	8	175	15	1	0	0	411	29.19708029	8.029197080	3.406326034	42.579075430	3.649635036	7.055961071
FR1-94-GC3,  85-86	0.85	0.86	0.855	84.20	0	0	0	0	129	0	0	0	8	1	1	0	1	1	21	0	0	2	0	0	0	0	0	45	2	15	0	1	0	6	76	13	1	0	0	323	39.93808050	11.764705880	4.643962848	23.529411760	4.024767802	6.501547988
FR1-94-GC3,  90-91	0.90	0.91	0.905	88.72	2	0	0	0	130	0	0	1	7	1	0	0	0	0	27	0	0	1	0	0	0	0	0	55	2	10	0	0	1	1	81	24	1	0	0	344	37.79069767	9.302325581	2.906976744	23.546511630	6.976744186	7.848837209
FR1-94-GC3,  95-96	0.95	0.96	0.955	93.30	1	0	0	0	134	0	0	1	8	1	0	0	2	0	20	0	1	1	0	0	0	1	0	64	1	25	0	0	0	7	131	18	1	0	0	417	32.13429257	11.750599520	5.995203837	31.414868110	4.316546763	4.796163070
FR1-94-GC3, 100-101	1.00	1.01	1.005	97.80	0	0	0	0	124	0	0	4	7	1	1	0	1	1	24	0	0	3	0	0	0	1	0	53	2	17	0	0	0	6	148	31	4	0	0	428	28.97196262	12.616822430	3.971962617	34.579439250	7.242990654	5.607476636
FR1-94-GC3, 105-106	1.05	1.06	1.055	102.32	0	0	0	0	100	0	0	5	12	0	0	0	0	4	34	1	1	3	0	0	0	0	0	34	1	7	0	1	0	5	194	48	1	0	0	451	22.17294900	11.529933480	1.552106430	43.015521060	10.643015520	7.538802661
FR1-94-GC3, 110-111	1.10	1.11	1.105	106.92	0	0	0	0	115	0	0	3	10	1	0	0	0	5	22	0	2	1	0	0	0	0	0	41	2	10	0	0	0	1	140	22	1	0	0	376	30.58510638	8.776595745	2.659574468	37.234042550	5.851063830	5.851063830
