/* DATA DESCRIPTION:
Citation:	de Abreu, Lucia; Shackleton, Nicholas J; Schönfeld, Joachim; Hall, Michael A; Chapman, Mark R (2003): Planktic foraminifera counts of sediment core MD95-2040. PANGAEA, https://doi.org/10.1594/PANGAEA.66714, 
	In supplement to: de Abreu, L et al. (2003): Millenial-scale oceanic climate variability off the Western Iberian margin during the last two glacial periods. Marine Geology, 196(1-2), 1-20, https://doi.org/10.1016/S0025-3227(03)00046-X
Project(s):	International Marine Global Change Study (IMAGES)
Coverage:	LATITUDE: 40.581833 * LONGITUDE: -9.861167
	DATE/TIME START: 1995-07-07T00:00:00 * DATE/TIME END: 1995-07-07T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.020 m * MAXIMUM DEPTH, sediment/rock: 22.010 m
Event(s):	MD95-2040 (MD952040) * LATITUDE: 40.581833 * LONGITUDE: -9.861167 * DATE/TIME: 1995-07-07T00:00:00 * ELEVATION: -2465.0 m * Recovery: 35 m * LOCATION: Porto Seamount * CAMPAIGN: MD101 (IMAGES I) (URI: https://doi.org/10.17600/95200110) * BASIS: Marion Dufresne (1995) (URI: https://en.wikipedia.org/wiki/Marion_Dufresne_(1994)) * METHOD/DEVICE: Calypso Corer (CALYPSO) * COMMENT: XXIV Sections, core bent; section IIb jamed in the bent part of the core, recuperated in 1/2 liner
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE
	Orbulina universa [#] (O. universa) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globigerinoides conglobatus [#] (G. conglobatus) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globigerinoides ruber pink [#] (G. ruber p) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globigerinoides ruber white [#] (G. ruber w) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globigerinoides tenellus [#] (G. tenellus) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globigerinoides trilobus trilobus [#] (G. trilobus tril) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globigerinoides sacculifer [#] (G. sacculifer) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Sphaeroidinella dehiscens [#] (S. dehiscens) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globigerinella aequilateralis [#] (G. aequilateralis) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globigerina calida [#] (G. calida) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globigerina bulloides [#] (G. bulloides) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globigerina falconensis [#] (G. falconensis) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Beella digitata [#] (B. digitata) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globigerina rubescens [#] (G. rubescens) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Turborotalita quinqueloba [#] (T. quinqueloba) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Neogloboquadrina pachyderma sinistral [#] (N. pachyderma s) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Neogloboquadrina pachyderma dextral [#] (N. pachyderma d) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Neogloboquadrina dutertrei [#] (N. dutertrei) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Pulleniatina obliquiloculata [#] (P. obliquiloculata) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globorotalia inflata [#] (G. inflata) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globorotalia truncatulinoides sinistral [#] (G. truncatulinoides s) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globorotalia truncatulinoides dextral [#] (G. truncatulinoides d) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globorotalia crassaformis [#] (G. crassaformis) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Neogloboquadrina pachyderma dextral and dutertrei integrade [#] (P/D int) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globorotalia hirsuta sinistral [#] (G. hirsuta s) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globorotalia hirsuta dextral [#] (G. hirsuta d) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globorotalia scitula [#] (G. scitula) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globorotalia menardii [#] (G. menardii) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globorotalia tumida [#] (G. tumida) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globigerinita glutinata [#] (G. glutinata) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Turborotalita humilis [#] (T. humilis) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Candeina nitida [#] (C. nitida) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globigerinita uvula [#] (G. uvula) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Turborotalita cristata [#] (T. cristata) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globigerinita iota [#] (G. iota) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Foraminifera, benthic [#] (Foram benth) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	26351 data points
*/
Depth sed [m]	O. universa [#]	G. conglobatus [#]	G. ruber p [#]	G. ruber w [#]	G. tenellus [#]	G. trilobus tril [#]	G. sacculifer [#]	S. dehiscens [#]	G. aequilateralis [#]	G. calida [#]	G. bulloides [#]	G. falconensis [#]	B. digitata [#]	G. rubescens [#]	T. quinqueloba [#]	N. pachyderma s [#]	N. pachyderma d [#]	N. dutertrei [#]	P. obliquiloculata [#]	G. inflata [#]	G. truncatulinoides s [#]	G. truncatulinoides d [#]	G. crassaformis [#]	P/D int [#]	G. hirsuta s [#]	G. hirsuta d [#]	G. scitula [#]	G. menardii [#]	G. tumida [#]	G. glutinata [#]	T. humilis [#]	C. nitida [#]	G. uvula [#]	T. cristata [#]	G. iota [#]	Foram benth [#]
7.070	2	0	0	0	0	0	0	0	0	0	48	11	0	0	21	292	18	0	0	2	2	1	0	0	0	1	2	0	0	13	0	0	0	0	0	26
7.100	1	0	0	2	0	0	0	0	1	0	108	18	0	0	30	523	26	0	0	13	0	0	0	0	0	0	6	0	0	16	0	0	0	0	0	82
7.130	0	0	0	0	0	0	0	0	1	0	88	19	1	0	51	333	27	0	0	31	0	0	0	1	0	1	13	0	0	9	0	0	0	0	0	13
7.160	1	0	0	0	0	0	0	0	0	0	90	7	0	0	78	243	34	0	0	23	0	0	0	6	0	0	17	0	0	14	0	0	0	0	0	27
7.190	0	0	0	1	0	0	0	0	1	0	47	13	0	0	47	359	20	0	0	23	0	0	0	1	0	0	17	0	0	2	0	0	0	0	0	41
7.220	2	0	0	0	0	0	0	0	2	0	54	4	0	0	50	489	21	0	0	7	0	0	0	1	0	0	2	0	0	4	0	0	0	0	0	22
7.250	4	0	0	1	0	0	0	0	0	0	175	23	0	0	76	331	44	0	0	24	0	1	0	5	0	0	9	0	0	27	0	0	0	0	0	35
7.280	2	0	0	0	0	0	0	0	0	0	128	49	0	0	71	108	133	0	0	28	0	0	0	3	0	0	21	0	0	24	0	0	0	0	0	65
7.310	6	0	0	0	1	0	0	0	0	0	78	50	0	0	72	70	92	0	0	43	0	0	0	0	0	0	3	0	0	24	0	0	0	0	0	30
7.340	6	0	0	4	0	0	0	0	0	0	110	48	0	0	68	64	107	0	0	59	0	0	0	3	0	0	6	0	0	52	0	0	0	0	0	42
7.370	4	0	0	0	0	0	0	0	3	0	78	37	2	0	51	109	125	0	0	38	0	1	0	9	0	0	9	0	0	52	0	0	0	0	0	21
7.400	2	0	0	2	0	0	0	0	0	0	70	73	1	0	51	121	117	0	0	39	0	0	0	3	0	0	23	0	0	92	0	0	0	0	0	24
7.430	3	0	0	3	0	0	0	0	0	0	110	70	1	0	42	42	155	0	0	47	0	0	0	10	0	0	7	0	0	58	0	0	0	0	0	14
7.460	4	0	0	1	0	0	0	0	1	0	126	47	0	0	61	17	81	0	0	35	0	0	0	7	0	0	19	0	0	31	0	0	0	0	0	38
7.480	2	0	0	2	0	0	0	0	0	0	103	74	0	0	60	23	149	0	0	64	0	0	0	10	0	0	13	0	0	73	0	0	0	0	0	30
7.510	3	0	0	0	0	0	0	0	1	0	144	71	0	0	107	27	95	0	0	56	0	0	0	10	0	0	27	0	0	76	0	0	0	0	0	31
7.540	1	0	0	1	0	0	0	0	0	0	112	80	0	0	82	25	92	0	0	44	0	1	0	8	0	0	28	0	0	57	0	0	0	0	0	29
7.570	3	0	0	0	0	0	0	0	0	0	97	64	1	0	78	37	97	0	0	39	0	0	0	3	0	0	22	0	0	45	0	0	0	0	0	25
7.600	0	0	0	0	0	0	0	0	2	0	68	58	0	0	75	32	63	0	0	36	0	0	0	2	0	0	23	0	0	40	0	0	1	0	0	24
7.630	3	0	0	3	0	0	0	0	2	0	121	70	1	0	79	83	93	0	0	66	0	0	0	3	0	0	13	0	0	54	0	0	0	0	0	26
7.660	2	0	0	3	0	0	0	0	1	0	120	49	4	0	75	73	75	0	0	31	0	0	0	3	0	0	27	0	0	46	0	0	0	0	0	39
7.690	1	0	0	1	0	0	0	0	0	0	91	84	1	0	88	61	132	0	0	53	0	0	0	3	0	0	21	0	0	58	0	0	0	0	0	29
7.720	5	0	0	1	0	0	0	0	0	0	91	50	4	0	80	34	64	0	0	55	0	0	0	6	0	0	26	0	0	49	0	0	0	0	0	20
7.750	4	0	0	1	0	0	0	0	0	0	122	51	3	0	70	42	68	0	0	59	0	1	0	3	0	0	28	0	0	82	0	0	0	0	0	30
7.780	4	0	0	2	0	0	0	0	1	0	83	56	0	0	92	53	62	0	0	52	0	0	0	1	0	0	21	0	0	59	0	0	0	0	0	27
7.820	2	0	0	0	0	0	0	0	0	0	108	81	0	0	76	57	79	0	0	56	0	0	0	2	0	0	30	0	0	50	0	0	0	0	0	37
7.850	3	0	0	3	0	0	0	0	0	0	99	65	1	0	81	41	56	0	0	72	1	0	0	2	0	0	40	0	0	40	0	0	0	0	0	39
7.880	1	0	0	2	0	0	0	0	0	0	75	48	1	0	53	43	38	0	0	32	0	0	0	3	0	0	15	0	0	29	0	0	0	0	0	22
7.910	3	0	0	2	0	0	0	0	0	0	64	53	1	0	55	54	58	0	0	45	1	0	0	3	0	0	16	0	0	49	0	0	0	0	0	29
7.940	6	0	0	0	0	0	0	0	1	0	130	74	1	0	110	57	145	0	0	101	0	0	0	1	0	0	39	0	0	59	0	0	0	0	0	53
7.970	3	0	0	3	0	0	0	0	0	0	78	50	4	0	75	48	81	0	0	51	0	1	0	1	0	0	22	0	0	53	0	0	0	0	0	56
8.000	6	0	0	2	0	0	0	0	0	0	94	34	1	0	53	61	84	0	0	56	1	0	0	1	0	0	21	0	0	32	0	0	0	0	0	34
8.030	4	0	0	3	0	0	0	0	1	0	63	10	1	0	57	27	52	0	0	34	0	0	0	1	0	0	15	0	0	23	0	0	0	0	0	28
8.060	4	0	0	1	0	0	0	0	2	0	77	35	2	0	78	57	83	0	0	74	0	1	0	2	1	0	30	0	0	43	0	0	0	0	0	40
8.090	2	0	0	1	0	0	1	0	1	0	70	37	0	0	69	70	101	0	0	55	0	0	0	4	0	0	26	0	0	33	0	0	0	0	0	37
8.120	4	0	0	3	0	0	0	0	0	0	78	17	1	2	57	83	60	0	0	47	1	0	0	6	0	0	16	0	0	34	0	0	0	0	0	67
8.150	3	0	0	1	0	0	0	0	0	0	75	20	0	1	48	117	50	0	0	41	0	0	0	2	0	0	15	0	0	27	0	0	1	0	0	42
8.180	1	0	0	2	0	0	0	0	0	0	54	17	1	0	49	66	29	0	0	26	0	0	0	2	0	0	19	0	0	14	0	0	0	0	0	17
8.210	2	0	0	5	0	0	0	0	0	0	93	20	0	1	40	107	47	0	0	29	0	0	0	3	0	0	17	0	0	29	0	0	0	0	0	31
8.240	3	0	0	2	0	0	0	0	2	0	91	12	0	1	60	97	66	0	0	43	0	0	0	5	0	0	21	0	0	31	0	0	0	0	0	36
8.270	1	0	0	2	0	0	0	0	0	0	56	17	0	0	30	99	45	0	0	33	0	0	0	3	0	0	7	0	0	29	0	0	0	0	0	20
8.300	5	0	0	1	0	0	0	0	0	0	94	25	0	0	67	78	77	0	0	45	0	0	0	4	0	0	16	0	0	27	0	0	0	0	0	35
8.330	1	0	0	5	0	0	0	0	1	0	85	22	1	1	123	41	115	0	0	72	0	0	0	6	0	0	37	0	0	77	1	0	0	0	0	44
8.360	1	0	0	10	0	0	0	0	1	0	63	20	1	0	73	23	87	0	0	49	0	0	0	5	0	0	36	0	0	57	0	0	0	0	0	27
8.390	2	0	0	13	1	0	0	0	2	0	97	13	0	0	71	15	86	0	0	34	0	0	0	4	0	0	36	0	0	42	0	0	0	0	0	34
8.420	3	0	0	11	1	0	1	0	2	0	79	20	0	0	83	26	161	0	0	36	0	1	0	3	0	0	30	0	0	44	0	0	0	0	0	80
8.450	2	0	0	3	0	0	0	0	2	0	63	16	0	1	92	44	72	0	0	16	0	1	0	5	0	0	17	0	0	33	0	0	0	0	0	43
8.480	5	0	0	5	0	0	0	0	2	0	90	23	0	0	107	28	141	0	0	46	0	0	0	7	0	0	43	0	0	88	0	0	0	0	0	63
8.510	11	0	0	7	0	0	0	0	5	0	135	29	1	0	103	31	117	0	0	35	0	1	0	5	0	0	47	0	0	58	0	0	0	0	0	85
8.540	7	0	0	3	0	0	0	0	1	0	69	20	0	0	80	60	82	0	0	25	0	0	0	3	0	0	34	0	0	41	0	0	0	0	0	49
8.570	1	0	0	6	0	0	0	0	3	0	70	13	2	0	59	117	93	0	0	19	0	1	0	3	0	1	25	0	0	43	0	0	0	0	0	24
8.600	2	0	0	4	0	0	0	0	4	0	118	19	1	0	52	140	92	0	0	31	0	0	0	9	0	0	14	0	0	53	0	0	0	0	0	36
8.630	1	0	0	3	0	0	0	0	0	0	100	10	2	0	45	300	30	0	0	8	0	0	0	4	0	0	12	0	0	26	0	0	0	0	0	31
8.660	1	0	0	0	0	0	0	0	0	0	58	10	0	0	30	511	22	0	0	16	0	0	0	6	0	0	3	0	0	14	0	0	0	0	0	30
8.690	0	0	0	3	0	0	0	0	0	0	45	9	0	0	29	332	18	0	0	7	0	0	0	3	0	0	5	0	0	8	0	0	0	0	0	18
8.720	0	0	0	2	0	0	0	0	0	0	43	3	0	0	27	411	16	0	0	4	0	0	0	5	0	0	2	0	0	10	0	0	0	0	0	29
8.750	0	0	0	0	0	0	0	0	0	0	41	1	0	0	15	386	5	0	0	2	0	1	0	1	0	0	1	0	0	2	0	0	0	0	0	16
8.780	0	0	0	0	0	0	0	0	0	0	8	0	0	0	9	144	4	0	0	1	1	0	0	1	0	0	1	0	0	3	0	0	0	0	0	4
8.810	3	0	0	0	0	0	0	0	0	0	50	0	1	0	31	169	8	0	0	1	0	0	0	2	0	0	4	0	0	12	0	0	0	0	0	4
8.840	1	0	0	0	0	0	0	0	0	0	82	4	0	0	50	229	20	0	0	16	0	0	0	3	0	0	1	0	0	12	0	0	0	0	0	22
8.870	1	0	0	0	0	0	0	0	0	0	66	10	1	0	40	273	12	0	0	9	0	0	0	4	0	0	0	0	0	9	0	0	0	0	0	40
8.900	11	0	0	1	0	0	0	0	0	0	97	10	0	0	37	279	28	0	0	28	0	0	0	2	0	0	7	0	0	11	0	0	0	0	0	17
8.930	4	0	0	1	0	0	0	0	0	0	97	13	1	0	60	95	21	0	0	40	0	1	0	3	0	0	37	0	0	27	0	0	0	0	0	20
8.960	0	0	0	2	0	0	0	0	1	0	119	8	2	0	62	77	59	0	0	64	0	0	0	6	0	0	23	0	0	34	0	0	0	0	0	24
8.980	0	0	0	0	0	0	0	0	0	0	75	11	0	0	60	34	42	0	0	75	0	0	0	8	0	0	24	0	0	37	0	0	0	0	0	12
9.020	1	0	0	8	0	0	0	0	0	0	100	29	1	0	47	36	67	0	0	105	0	1	0	6	1	0	29	0	0	52	0	0	0	0	0	9
9.050	3	0	0	2	0	0	0	0	0	0	145	29	1	0	104	26	88	0	0	145	0	0	0	13	0	0	61	0	0	93	0	0	0	0	0	35
9.080	2	0	0	0	0	0	0	0	0	0	35	13	0	0	29	15	37	0	0	56	0	0	0	3	0	0	25	0	0	30	0	0	0	0	0	31
9.110	2	0	0	1	0	0	0	0	1	0	48	18	1	0	43	14	41	0	0	65	0	0	0	3	0	0	19	0	0	19	0	0	0	0	0	21
9.140	6	0	0	0	0	0	0	0	0	0	58	8	2	0	60	19	59	0	0	77	0	0	0	5	0	0	22	0	0	19	0	0	0	0	0	48
9.170	0	0	0	0	0	0	0	0	1	0	60	9	0	0	42	8	21	0	0	24	0	0	0	2	0	0	10	0	0	10	0	0	0	0	0	36
9.200	6	0	0	1	0	0	0	0	0		77	26	0	1	82	21	37	0	0	52	1	0	0	4	0	0	11	0	0	48	0	0	0	0	0	40
9.220	2	0	0	2	0	0	0	0	0	0	126	30	0	0	128	69	71	0	0	99	0	0	0	6	0	0	23	0	0	61	0	0	0	0	0	59
9.250	4	0	0	0	0	0	0	0	0	0	107	15	1	0	77	41	34	0	0	20	0	0	0	1	0	0	25	0	0	28	0	0	0	0	0	27
9.280	3	0	0	0	0	0	0	0	0	0	82	18	0	0	63	68	64	0	0	17	1	0	0	1	0	0	7	0	0	20	0	0	0	0	0	22
9.320	9	0	0	0	0	0	0	0	1	0	81	7	0	0	66	32	86	0	0	50	0	0	0	3	0	0	12	0	0	32	0	0	0	0	0	34
9.350	6	0	0	2	0	0	0	0	1	0	48	12	0	0	67	14	72	0	0	81	1	0	0	4	0	0	17	0	0	48	0	0	0	0	0	29
9.380	6	0	0	2	0	0	0	0	1	0	31	7	1	0	56	12	70	0	0	40	0	0	0	3	0	0	9	0	0	28	0	0	0	0	0	21
9.410	8	0	0	5	0	0	0	0	0	0	111	9	0	0	109	22	157	0	0	90	0	0	0	7	0	0	11	0	0	53	0	0	0	0	0	40
9.440	6	0	0	1	0	0	0	0	0	0	30	15	0	0	81	37	58	0	0	48	0	0	0	1	0	0	5	0	0	20	0	0	0	0	0	24
9.470	4	0	0	0	0	0	0	0	1	0	52	11	0	0	50	23	50	0	0	102	0	0	0	1	0	0	17	0	0	22	0	0	0	0	0	38
9.500	5	0	0	0	0	0	0	0	1	0	77	27	2	0	62	82	47	0	0	52	0	3	0	2	0	0	20	0	0	42	0	0	0	0	0	37
9.530	13	0	0	2	0	0	0	0	1	0	85	21	1	0	170	38	183	0	0	116	0	0	0	6	0	0	18	0	0	66	0	0	0	0	0	53
9.560	6	0	1	0	0	0	0	0	0	0	37	10	0	0	39	31	43	0	0	59	2	0	0	1	0	0	4	0	0	30	0	0	0	0	0	19
9.590	7	0	0	0	0	0	0	0	0	0	46	9	1	0	44	16	51	0	0	50	1	0	0	2	0	0	10	0	0	27	0	0	0	0	0	28
9.620	1	0	0	1	0	0	0	0	0	0	47	7	1	0	41	14	36	0	0	33	1	0	0	1	0	0	9	0	0	25	0	0	0	0	0	15
9.650	2	0	0	0	0	0	0	0	0	0	31	12	0	1	51	16	47	0	0	31	0	0	0	0	0	0	14	0	0	26	0	0	0	0	0	28
9.680	10	0	0	0	0	0	0	0	0	0	21	6	1	2	60	4	46	0	0	85	0	0	0	2	3	0	11	0	0	28	0	0	0	0	0	28
9.710	1	0	0	0	0	0	0	0	1	0	72	14	1	2	59	12	61	0	0	42	1	0	0	2	1	0	10	0	0	21	0	0	0	0	0	43
9.740	1	0	0	0	0	0	0	0	0	0	27	3	0	0	27	4	40	0	0	31	0	1	0	1	2	0	2	0	0	20	0	0	0	0	0	46
9.770	16	0	0	2	0	0	0	0	2	0	67	15	1	0	82	1	95	0	0	86	0	0	0	6	1	0	15	0	0	38	0	0	0	0	0	71
9.800	12	0	0	1	0	0	0	0	0	0	49	8	1	0	66	4	67	0	0	59	0	0	0	4	3	0	9	0	0	31	0	0	0	0	0	38
9.830	8	0	0	2	1	0	0	0	3	0	44	3	0	0	63	3	59	0	0	68	0	0	0	4	4	0	9	0	0	23	0	0	0	0	0	56
9.860	6	0	0	2	0	0	0	0	0	0	30	4	0	0	26	1	28	0	0	51	0	1	0	2	1	0	5	0	0	16	0	0	0	0	0	45
9.890	8	0	0	1	1	0	0	0	0	0	50	4	0	0	75	6	67	0	0	67	0	1	0	5	1	0	17	0	0	25	0	0	0	0	0	62
9.920	7	0	0	16	0	0	0	0	0	0	52	22	1	0	45	39	86	0	0	6	0	0	0	8	1	0	6	0	0	41	0	0	0	0	0	30
9.950	2	0	0	4	1	0	0	0	0	0	163	31	1	0	118	185	87	0	0	15	0	0	0	4	5	2	18	0	0	67	0	0	0	0	0	80
9.980	2	0	0	5	0	0	0	0	2	0	131	37	0	0	141	171	54	0	0	9	0	1	0	3	1	0	15	0	0	36	0	0	0	0	0	120
10.010	2	0	0	5	0	0	0	0	2	0	157	17	0	0	142	175	56	0	0	10	0	1	0	2	1	0	13	0	0	40	0	0	0	0	0	100
10.040	7	0	0	2	1	0	0	0	0	0	137	5	3	0	103	131	49	0	0	5	1	0	0	8	5	1	24	0	0	59	0	0	0	0	0	40
10.070	2	0	0	0	0	0	0	0	0	0	60	7	2	0	44	283	22	0	0	4	0	0	0	1	1	4	2	0	0	5	0	0	0	0	0	81
10.100	2	0	0	0	0	0	0	0	0	0	18	1	0	0	20	237	17	0	0	9	0	0	0	2	1	1	1	0	0	7	0	0	0	0	0	49
10.130	0	0	0	2	0	0	0	0	0	0	46	9	1	0	60	315	12	0	0	2	0	0	0	1	1	0	1	0	0	11	0	0	0	0	0	38
10.160	1	0	0	1	0	0	0	0	0	0	35	13	0	0	38	248	22	0	0	11	0	0	0	3	0	0	1	0	0	5	0	0	0	0	0	18
10.190	1	0	0	2	0	0	0	0	0	0	90	7	0	0	40	174	76	0	0	28	0	0	0	5	0	0	4	0	0	9	0	0	0	0	0	30
10.220	5	0	0	0	0	0	0	0	1	0	95	2	0	0	66	60	63	0	0	15	0	0	0	5	0	7	13	0	0	26	0	0	0	0	0	26
10.250	1	0	0	1	0	0	0	0	1	0	30	7	0	0	57	11	44	0	0	10	0	0	0	2	0	2	25	0	0	28	0	0	0	0	0	39
10.280	6	0	0	1	0	0	0	0	1	0	58	16	0	0	94	11	107	0	0	39	0	0	0	11	0	0	13	0	0	36	0	0	0	0	0	34
10.310	10	0	0	4	0	0	0	0	1	0	105	3	0	0	107	3	143	0	0	80	0	3	0	11	0	3	22	0	0	51	0	0	0	0	0	34
10.340	6	0	0	1	0	0	0	0	1	0	83	7	1	0	94	1	48	0	0	32	1	2	0	5	0	4	29	0	0	58	0	0	0	0	0	59
10.370	5	0	0	3	0	0	0	0	0	0	68	5	0	0	72	3	90	0	0	69	0	1	0	9	2	3	9	0	0	67	0	0	0	0	0	24
10.400	1	0	0	4	0	0	0	0	0	0	30	27	0	0	56	4	61	0	0	65	0	3	0	7	0	1	11	0	0	23	0	0	0	0	0	24
10.430	12	0	0	6	0	0	0	0	0	0	100	10	0	0	100	2	98	0	0	121	1	5	0	9	1	1	28	0	0	49	0	0	0	0	0	41
10.460	10	0	0	4	0	0	0	0	1	0	51	25	1	0	95	5	70	0	0	108	1	3	0	12	0	0	9	0	0	40	0	0	0	0	0	28
10.490	30	0	0	8	2	0	0	0	4	0	97	8	0	1	167	3	154	0	0	134	1	4	0	13	3	2	12	0	0	79	0	0	0	0	0	35
10.520	15	0	0	3	0	0	0	0	1	0	54	15	0	0	44	12	98	0	0	45	2	3	0	3	0	0	4	0	0	28	0	0	0	0	0	26
10.550	13	0	0	4	1	0	0	0	3	0	53	9	0	0	102	5	94	0	0	37	2	5	0	6	2	0	11	0	0	55	0	0	0	0	0	34
10.580	24	0	0	7	0	0	0	0	7	0	59	5	3	0	118	6	132	0	0	54	1	14	0	12	0	0	16	0	0	45	0	0	0	0	0	53
10.610	19	0	0	13	0	0	0	0	4	0	68	14	2	0	155	3	149	0	0	15	1	8	0	17	5	0	24	0	0	60	0	0	0	0	0	64
10.640	23	0	0	2	0	0	0	0	10	0	66	8	0	0	146	0	147	0	0	16	1	11	0	12	5	1	16	0	0	50	0	0	0	0	0	93
10.670	10	0	0	2	0	0	0	0	8	0	57	8	0	0	137	2	127	0	0	13	1	7	0	4	2	0	10	0	0	30	0	0	0	0	0	67
10.700	5	0	0	2	0	0	0	0	6	0	26	28	2	0	118	7	114	0	0	7	0	4	0	3	3	0	9	0	0	42	0	0	0	0	0	58
10.730	7	0	0	12	0	0	0	0	8	0	101	26	3	1	157	23	198	0	0	11	0	3	0	13	1	0	18	0	0	62	0	0	0	0	0	83
10.760	8	0	0	4	1	0	0	0	1	0	90	49	4	0	98	75	174	0	0	10	0	2	0	7	0	1	6	0	0	32	0	0	0	0	0	51
10.790	16	0	0	4	1	0	0	0	2	0	120	45	2	0	124	74	88	0	0	4	0	1	0	19	0	0	17	0	0	39	0	0	0	0	0	37
10.820	0	0	0	6	1	0	0	0	2	0	141	30	1	0	145	120	131	0	0	10	0	2	0	9	0	0	10	0	0	48	0	0	0	0	0	39
10.850	0	0	0	7	0	0	0	0	1	0	74	35	2	0	92	78	110	0	0	4	0	3	0	6	0	0	16	0	0	38	0	0	0	0	0	52
10.880	0	0	0	18	0	0	0	0	0	0	100	61	8	0	140	202	132	0	0	6	1	1	0	5	0	0	6	0	0	38	0	0	0	0	0	52
10.910	2	0	0	3	0	0	0	0	1	0	154	17	5	0	153	126	127	0	0	17	0	2	0	12	0	0	17	0	0	50	0	0	0	0	0	56
10.940	1	0	0	5	0	0	0	0	1	0	92	20	1	0	89	102	65	0	0	46	0	1	0	3	0	0	6	0	0	49	0	0	0	0	0	38
10.970	2	0	0	14	0	0	0	0	0	0	119	5	2	0	119	54	163	0	0	79	0	1	0	14	0	0	14	0	0	70	0	0	0	0	0	80
11.000	3	0	0	10	0	0	0	0	3	0	60	6	1	0	82	8	105	0	0	85	0	2	0	7	0	0	11	0	0	32	0	0	0	0	0	55
11.030	1	0	0	12	0	0	0	0	0	0	26	23	4	0	110	9	93	0	0	99	0	0	0	7	0	0	10	0	0	42	0	0	0	0	0	40
11.060	4	0	0	34	0	0	0	0	4	0	134	13	1	0	222	13	200	0	0	182	0	2	0	13	0	0	22	0	0	61	0	0	0	0	0	84
11.090	7	0	0	22	1	0	0	0	3	0	127	13	1	0	207	18	173	0	0	117	0	1	0	3	0	0	16	0	0	41	0	0	0	0	0	79
11.120	3	0	0	24	2	0	0	0	7	0	91	15	0	0	175	12	189	0	0	119	0	0	0	12	0	0	26	0	0	32	0	0	0	0	0	60
11.150	3	0	0	19	1	0	0	0	6	0	103	27	2	0	180	16	159	0	0	87	0	0	0	17	2	0	13	0	0	37	0	0	0	0	0	46
11.180	0	0	0	15	1	0	0	0	3	0	127	12	0	0	172	58	118	0	0	90	1	1	0	6	0	1	26	0	0	33	0	0	1	0	0	49
11.210	1	0	0	2	0	0	0	0	2	0	100	12	0	0	103	78	88	0	0	41	0	1	0	7	0	0	11	0	0	20	0	0	0	0	0	42
