Event	Depth sed [m]	Depth top [m]	Depth bot [m]	Depth adj [ambsf] (spliced)	Age [ka BP]	N. pachyderma s δ18O [‰ PDB] (vs. VPDB)	N. pachyderma s δ13C [‰ PDB] (vs. VPDB)	Cibicidoides spp. δ18O [‰ PDB] (C. wuellerstorfi or C. kullen...)	Cibicidoides spp. δ13C [‰ PDB] (C. wuellerstorfi or C. kullen...)	CaCO3 [%]	TC [%]	TOC [%]	Wet m [g]	Dry m [g]	Samp m [g] (dry)	Water wm [%]	100-63 µm [%]	150-100 µm [%]	500-150 µm [%]	1-0.5 mm [%]	>1 mm [%]	<63 µm [%]	Volc grains [#] (Counting >1000 µm fraction)	Lithic [#] (Counting >1000 µm fraction)	Volc glass basalt [%] (Counting >1000 µm fraction)	Volc glass rhyolit [%] (Counting >1000 µm fraction)	Volc grains [#] (Counting 500-1000 µm fraction)	Lithic [#] (Counting 500-1000 µm fraction)	Volc glass basalt [%] (Counting 500-1000 µm fraction)	Volc glass rhyolit [%] (Counting 500-1000 µm fraction)	Volc grains [#] (Counting 150-500 µm fraction)	Lithic [#] (Counting 150-500 µm fraction)	Volc glass basalt [%] (Counting 150-500 µm fraction)	Volc glass rhyolit [%] (Counting 150-500 µm fraction)	N. pachyderma [%] (formerly N. pachyderma sinist...)	N. incompta [%] (formerly N. pachyderma dextra...)	T. quinqueloba [%] (Counting 150-500 µm fraction)	G. bulloides [%] (Counting 150-500 µm fraction)	G. uvula [%] (Counting 150-500 µm fraction)	G. falconensis [%] (Counting 150-500 µm fraction)	G. inflata [%] (Counting 150-500 µm fraction)	G. glutinata [%] (Counting 150-500 µm fraction)	N. dutertrei [%] (Counting 150-500 µm fraction)	Foram plankt oth [%] (other/unidentified, Counting ...)	Foram plankt [#/g] (Counting 150-500 µm fraction)	B. marginata [#/g] (Counting 150-500 µm fraction)	Foram benth [#/g] (Counting 150-500 µm fraction)
JM96-1225/2-GC	2.270	2.26	2.28	2.375	35.3	3.78							105.77	61.68	43.67	41.68	7.83	7.40	15.25	2.29	3.23	64.00	1.58	1.83	0.71		9.62	9.16	15.20	0.00					89.29	2.98	2.38	2.98	0.00	0.00	0.00	0.60	1.79	0.00	4432	0.23	26.38
JM96-1225/2-GC	2.290	2.28	2.30	2.395	35.5	3.79	0.30	3.72	1.10	10.430	1.2660	0.124	90.49	56.57	50.16	37.48	6.50	5.54	8.85	1.83	2.53	74.74	1.12	1.00	0.56		8.21	6.14	10.37	0.00					91.22	2.03	0.34	1.69	0.00	0.00	0.00	0.68	4.05	0.00	1700	12.76	35.09
JM96-1225/2-GC	2.310	2.30	2.32	2.415	35.7	3.28	-0.15	3.95	1.40				101.28	54.65	54.65	46.04	5.67	6.97	13.45	2.76	5.20	65.95																									
JM96-1225/2-GC	2.330	2.32	2.34	2.435	36.0	3.60	0.32	3.54	1.06	4.835	0.7160	0.136	84.03	48.40	43.91	42.40	4.60	5.37	7.26	1.55	4.12	77.09	0.87	1.18	0.50		6.65	7.11	6.47	0.00					90.46	4.20	1.53	1.53	0.00	0.00	0.00	0.00	2.29	0.00	955	14.58	30.61
JM96-1225/2-GC	2.350	2.34	2.36	2.455	36.3	3.70	0.15	3.64	1.39				80.23	45.74	30.86	42.99	4.99	6.29	7.97	1.33	1.62	77.80	0.87	1.36	0.32		4.15	8.94	5.06	0.13					88.49	5.04	1.08	1.80	0.00	0.00	0.00	1.44	2.16	0.00	1622	19.70	32.15
JM96-1225/2-GC	2.370	2.36	2.38	2.475	36.6	3.52	0.29	3.44	0.90	5.930	0.7310	0.164	69.55	38.70	32.25	44.36	5.71	4.84	7.04	1.24	1.52	79.66	0.78	1.64	0.56		3.91	7.19	4.22	0.00					91.70	3.16	0.79	0.79	0.00	0.40	0.00	0.40	2.77	0.00	807	52.59	41.18
JM96-1225/2-GC	2.390	2.38	2.40	2.495	36.9	3.77		3.82	1.53				90.25	50.97	35.57	43.52	4.95	5.45	5.93	0.87	2.19	80.60	0.76	0.84	0.34		3.06	5.57	2.05	0.00					92.80	3.39	0.42	0.85	0.00	0.00	0.00	1.69	0.85	0.00	955	13.49	23.84
JM96-1225/2-GC	2.410	2.40	2.42	2.515	37.2			3.41	0.94	6.081	0.8530	0.123																																			
JM96-1225/2-GC	2.430	2.42	2.44	2.535	37.5	3.97		3.61	1.09				87.33	49.58	36.95	43.23	7.98	10.28	1.68	2.49	0.00	77.56	1.81	1.65	0.68		10.83	9.31	10.28	0.00					93.33	2.22	0.89	0.44	0.00	0.00	0.00	0.00	3.11	0.00	2192	1.73	16.45
JM96-1225/2-GC	2.450	2.44	2.46	2.555	37.8	3.92	0.18	3.82	1.40	8.000	0.9740	0.116	101.35	56.90	47.04	43.86	7.04	6.85	9.29	1.30	3.61	71.92	0.85	1.40	0.30		5.10	8.16	3.95	0.00					92.14	4.80	0.44	0.44	0.00	0.00	0.00	0.00	2.18	0.00	1402	0.68	10.20
JM96-1225/2-GC	2.470	2.46	2.48	2.575	38.2	3.99		3.98	1.61	7.034	0.9460	0.101	86.73	49.51	35.23	42.91	6.84	6.87	8.83	0.97	3.69	72.81	0.60	1.28	0.79		4.03	7.32	4.20	0.00					92.24	1.63	0.00	0.82	0.00	0.00	0.00	0.41	4.90	0.00	1669		13.62
JM96-1225/2-GC	2.490	2.48	2.50	2.595	38.5	3.98	0.51	3.95	1.62	6.910	0.8470	0.151	112.51	66.24	61.09	41.13	6.66	5.70	7.79	1.03	7.78	71.04	0.62	1.28	0.26		2.36	5.83	3.73	0.00					92.00	1.78	0.00	0.89	0.00	0.00	0.00	0.44	4.89	0.00	1061	0.00	3.14
JM96-1225/2-GC	2.510	2.50	2.52	2.615	38.8	4.14	0.41	3.94	1.29				104.92	55.71	55.71	46.90	4.24	6.30	10.25	0.99	1.85	76.38	0.43	0.63	0.32		1.47	4.27	3.63	0.00					90.25	3.81	1.69	1.27	0.00	0.00	0.00	0.85	2.12	0.00	1525	0.00	4.60
JM96-1225/2-GC	2.530	2.52	2.54	2.635	39.1	3.90	-0.02	4.14	1.21	12.060	1.4630	0.131	98.30	57.53	48.01	41.48	8.25	5.92	13.64	2.15	3.46	66.59	1.00	1.96	0.75		8.12	14.46	9.91	0.00					91.58	1.35	2.02	1.01	0.00	0.00	0.00	0.67	3.37	0.00	4454	0.00	6.67
JM96-1225/2-GC	2.550	2.54	2.56	2.655	39.4	3.82		3.89	1.55	14.264	1.7990	0.087	117.70	69.64	51.79	40.83	7.76	9.19	17.69	2.57	5.60	57.19	0.71	2.16	0.85		10.89	19.46	18.30	0.00					90.13	1.72	0.86	1.72	0.00	0.00	0.00	1.72	3.86	0.00	6478	0.00	24.72
JM96-1225/2-GC	2.570	2.56	2.58	2.675	39.7	4.20	0.45	3.86	1.48	10.030	1.2200	0.135	110.08	63.15	57.66	42.63	7.77	6.83	11.27	1.66	2.10	70.36	0.64	1.47	0.73		4.23	12.83	7.21	0.00					89.96	3.49	1.31	0.87	0.00	0.00	0.00	1.31	3.06	0.00	2860	0.00	6.66
JM96-1225/2-GC	2.590	2.58	2.60	2.695	40.0	3.96	0.52	3.56	1.66	8.295	1.1410	0.146	82.58	48.63	38.90	41.11	5.17	5.71	8.35	1.23	4.58	74.96	0.95	1.47	0.59		2.88	11.11	8.02	0.00					91.82	1.82	0.45	1.36	0.00	0.00	0.00	0.45	4.09	0.00	1629	0.00	4.11
JM96-1225/2-GC	2.610	2.60	2.62	2.715	40.3	4.15	0.58	4.16	1.52	11.980	1.4530	0.125	89.17	53.37	47.78	40.15	6.45	6.70	14.61	3.03	5.53	63.69	0.94	3.83	0.86		5.36	19.84	16.16	0.00					93.80	1.09	0.73	0.36	0.36	0.00	0.00	1.09	2.55	0.00	4129	0.00	1.34
JM96-1225/2-GC	2.630	2.62	2.64	2.735	40.6	3.38	0.48	3.36	1.36	11.892	1.5280	0.100	107.96	64.95	50.06	39.84	7.65	8.57	8.49	1.54	17.08	56.67	0.60	2.32	0.76		3.32	15.70	9.07	0.04					81.03	3.02	5.60	3.45	0.00	0.00	0.00	3.45	3.45	0.00	185	0.00	4.47
JM96-1225/2-GC	2.650	2.64	2.66	2.755	40.9	3.97	0.46	4.08	1.64	13.760	1.6670	0.135	88.39	49.28	42.66	44.25	8.93	6.80	14.56	1.95	5.37	62.40	0.91	1.66	0.68		5.20	12.24	14.81	0.00					87.61	1.51	3.63	1.21	0.00	0.00	0.00	2.11	3.93	0.00	5586	0.00	6.00
JM96-1225/2-GC	2.670	2.66	2.68	2.775	41.2	3.43		3.55	1.34	10.041	1.3200	0.115	84.88	48.33	33.73	43.06	7.44	8.78	11.86	1.99	4.62	65.31	1.01	1.10	1.60		3.62	9.37	17.14	0.00					86.76	1.84	4.41	2.21	0.37	0.00	0.00	1.10	3.31	0.00	3871	0.00	8.54
JM96-1225/2-GC	2.690	2.68	2.70	2.795	41.5	3.80	0.46	3.96	1.46	8.230	1.0050	0.150	110.16	63.51	54.63	42.35	7.83	6.83	12.72	1.57	2.12	68.92	0.40	1.15	0.86		5.49	6.96	19.92	0.00					90.34	2.52	2.52	0.84	0.00	0.42	0.00	1.26	2.10	0.00	2091	1.17	3.51
JM96-1225/2-GC	2.710	2.70	2.72	2.815	41.8	4.12	0.52	3.62	0.90				98.91	54.72	54.72	44.68	4.99	6.34	17.91	2.70	1.33	66.72	0.29	1.01	1.13		7.02	10.09	33.63	0.00					88.61	3.16	3.16	1.90	0.00	0.00	0.00	0.63	2.53	0.00	2079	2.34	10.53
JM96-1225/2-GC	2.730	2.72	2.74	2.835	42.2	3.80	0.45	4.09	1.45	13.640	1.6520	0.129	99.78	55.90	45.34	43.98	6.82	6.00	15.44	2.16	2.45	67.14	0.31	2.38	0.33		2.78	11.42	5.82	0.00					85.33	2.22	0.89	2.22	0.00	0.44	0.00	2.67	6.22	0.00	4764	2.82	16.94
JM96-1225/2-GC	2.750	2.74	2.76	2.855	42.5	3.93		3.66	1.17	14.732	1.8670	0.099	93.41	53.28	41.34	42.96	0.17	7.84	18.99	2.25	9.60	61.15	0.85	2.71	0.56		4.98	19.50	8.18	0.00					80.46	4.21	7.66	2.30	0.38	0.00	0.00	1.92	3.07	0.00	4546		7.74
JM96-1225/2-GC	2.770	2.76	2.78	2.875	42.8	3.79	0.42	3.69	1.17	19.460	2.3480	0.107	95.02	56.86	45.05	40.16	9.08	8.12	24.64	3.04	4.06	51.05	0.89	2.82	1.22		5.86	18.38	12.34	0.09					87.16	1.83	2.75	3.21	0.00	0.00	0.00	0.46	4.59	0.00	9291	2.84	36.94
JM96-1225/2-GC	2.790	2.78	2.80	2.895	43.1	3.73		3.47	1.07	15.219	1.9130	0.086	103.80	59.20	44.11	42.97	0.16	7.50	17.68	2.43	7.53	64.70	0.73	1.95	0.66		2.58	10.20	7.44	0.00					81.63	2.86	4.90	2.86	0.00	0.00	0.00	2.04	5.71	0.00	7998	0.00	8.71
JM96-1225/2-GC	2.810	2.80	2.82	2.915	43.4	4.04	0.58	3.63	1.15	6.720	0.8220	0.129	74.03	41.11	32.17	44.47	6.47	4.66	8.11	1.59	3.67	75.51	0.34	2.05	0.50		1.31	10.57	5.66	0.00					89.79	1.28	2.13	1.28	0.00	0.00	0.00	0.85	4.68	0.00	1753	0.00	3.98
JM96-1225/2-GC	2.830	2.82	2.84	2.935	43.7	4.06		3.85	1.54	5.976	0.8450	0.128	95.20	51.86	39.31	45.53	0.08	3.97	13.18	2.98	4.43	75.38	0.61	2.01	0.71		1.83	11.50	6.51	0.00					85.65	5.22	3.04	2.17	0.00	0.00	0.00	0.00	3.91	0.00	1872	0.00	13.02
JM96-1225/2-GC	2.850	2.84	2.86	2.955	44.0	4.18	0.23	4.11	1.80	10.970	1.3310	0.125	93.95	50.03	39.02	46.75	5.84	5.28	12.63	2.54	10.58	63.12	0.74	3.79	0.67		2.92	14.97	7.12	0.00					91.78	3.08	0.68	0.68	0.00	0.34	0.00	0.34	3.08	0.00	3592	0.00	4.92
JM96-1225/2-GC	2.870	2.86	2.88	2.975	44.3	4.05		3.87	1.35	10.162	1.3160	0.096	86.93	46.06	34.39	47.01	0.23	6.37	17.45	4.22	7.07	64.67	0.76	3.11	0.52		3.14	16.98	10.47	0.00					90.22	1.78	2.67	1.33	0.00	0.00	0.00	0.44	3.56	0.00	4711	0.00	11.17
JM96-1225/2-GC	2.890	2.88	2.90	2.995	44.6	3.79	0.07	4.08	1.58	12.870	1.5590	0.126	94.04	51.43	41.63	45.31	6.46	7.16	13.40	1.35	3.60	68.03	0.31	1.27	0.41		2.02	8.46	5.28	0.00					93.46	2.80	0.47	0.47	0.00	0.00	0.00	0.00	2.80	0.00	4935	0.00	7.69
JM96-1225/2-GC	2.910	2.90	2.92	3.015	44.9	4.14	0.50	3.79	0.96				100.59	55.71	55.71	44.62	3.79	5.28	24.30	4.16	8.53	53.94	0.99	2.85	0.75		4.95	16.94	11.99	0.22					89.08	3.49	0.00	2.18	0.00	0.00	0.00	0.00	5.24	0.00	3946	0.00	27.57
JM96-1225/2-GC	2.930	2.92	2.94	3.035	45.2	4.11	0.43	3.80	1.14	10.260	1.2500	0.154	94.75	54.02	46.38	42.99	5.15	4.51	11.25	2.03	10.80	66.26	0.43	2.98	0.93		2.89	12.76	5.86	0.00					91.60	1.68	1.68	1.68	0.00	0.00	0.00	1.26	2.10	0.00	2111	0.00	2.76
JM96-1225/2-GC	2.950	2.94	2.96	3.055	45.5	3.86		3.84	1.57	9.152	1.2240	0.126	91.94	52.49	36.13	42.91	0.08	3.35	11.98	3.49	16.58	64.52	0.39	3.40	0.80		2.71	15.06	8.86	0.00					91.58	1.49	0.99	0.99	0.00	0.00	0.00	1.49	3.47	0.00	2684	0.00	10.63
JM96-1225/2-GC	2.970	2.96	2.98	3.075	45.8	3.95	0.37	4.20	1.65	8.170	1.0000	0.159	72.00	40.79	30.06	43.35	5.16	4.16	10.05	2.03	7.39	71.22	0.60	3.83	0.90		1.73	15.17	6.19	0.00					92.95	3.08	0.00	0.44	0.00	0.00	0.00	0.00	3.52	0.00	2719	0.00	4.26
JM96-1225/2-GC	2.990	2.98	3.00	3.095	46.2	3.85		4.02	1.59	7.352	1.0480	0.165	88.42	47.61	33.47	46.15	0.12	3.14	8.10	2.03	6.21	80.40	0.39	2.81	0.48		1.20	13.39	4.90	0.00				35.00	93.85	2.31	0.00	0.00	0.00	0.00	0.00	0.00	3.85	0.00	2797	0.00	5.74
JM96-1225/2-GC	3.010	3.00	3.02	3.115	46.5	4.10	0.27	3.97	1.49	9.710	1.1860	0.174	83.26	49.37	42.18	40.70	3.65	2.87	7.80	1.23	21.76	62.68	0.17	1.97	0.31		1.28	10.91	3.32	0.00				35.00	94.61	3.03	0.00	0.00	0.00	0.00	0.00	0.00	2.36	0.00	2535	0.00	1.52
JM96-1225/2-GC	3.030	3.02	3.04	3.135	46.8	3.59				8.777	1.2090	0.156	136.26	109.12	103.72	19.92	1.36	1.21	1.82	0.47	75.35	19.79	0.10	0.71	0.13		0.31	3.88	0.79	0.04				40.00	96.28	2.07	0.41	0.41	0.00	0.00	0.00	0.00	0.83	0.00	336	0.00	1.39
JM96-1225/2-GC	3.050	3.04	3.06	3.155	47.1	4.15	0.34	3.82	1.18	12.320	1.4980	0.165	83.40	44.13	36.99	47.09	3.89	3.70	9.38	1.70	7.03	74.29	0.49	2.51	0.38		1.68	14.49	5.35	0.00				37.00	93.86	0.88	0.88	0.44	0.00	0.00	0.00	0.00	3.95	0.00	4438	0.00	5.19
JM96-1225/2-GC	3.070	3.06	3.08	3.175	47.4	4.01				11.887	1.5810	0.155	93.44	52.01	40.71	44.34	4.69	5.63	13.39	3.17	12.36	60.77	0.66	3.41	0.79		1.97	21.32	4.86	0.44			31.44	235.81	87.84	4.50	0.45	0.90	0.00	0.00	0.00	1.80	4.50	0.00	3926	0.00	8.65
JM96-1225/2-GC	3.090	3.08	3.10	3.195	47.7	4.18	0.25	3.80	1.44	14.360	1.7410	0.151	84.72	49.16	43.14	41.97	5.89	5.24	21.07	1.95	7.42	58.44	0.42	2.43	0.30		1.58	18.59	4.40	0.09			54.89	470.28	93.93	1.60	0.64	0.64	0.00	0.00	0.00	0.32	2.88	0.00	10448		5.93
JM96-1225/2-GC	3.110	3.10	3.12	3.215	48.0	3.83	-0.02	4.14	1.62				122.57	72.11	72.11	41.17	4.35	6.17	21.49	2.19	15.52	50.27	0.25	3.13	0.44		1.00	17.97	6.16	4.66			78.10	486.37	91.30	3.26	2.72	1.09	0.00	0.00	0.00	0.00	1.63	0.00	3674	0.00	19.53
JM96-1225/2-GC	3.130	3.12	3.14	3.235	48.3	3.66	0.05	3.69	1.26	17.300	2.0920	0.132	100.56	59.80	53.50	40.53	7.55	8.36	20.26	1.96	5.14	56.73	0.39	3.14	0.75		2.54	14.65	6.58	0.37			59.81	698.62	87.06	3.15	1.05	3.15	0.00	0.00	0.00	0.70	4.90	0.00	10264	0.00	11.96
JM96-1225/2-GC	3.150	3.14	3.16	3.255	48.6	3.78				19.416	2.4330	0.103	116.89	72.18	55.43	38.25	9.62	11.69	29.19	2.38	6.78	40.34	0.27	2.24	0.65		2.09	15.66	7.29	4.47			133.93	1570.27	86.96	2.01	3.68	1.34	0.00	0.00	0.00	1.00	5.02	0.00	15535	0.00	60.04
JM96-1225/2-GC	3.170	3.16	3.18	3.275	48.9	3.75	0.20	3.68	1.32	21.960	2.6480	0.105	94.48	57.67	49.38	38.96	8.61	12.13	28.68	1.36	0.93	48.30	0.22	1.48	0.45		1.62	13.12	6.68	1.30			93.32	1840.42	82.76	3.88	2.16	5.60	0.00	0.43	0.00	1.29	3.88	0.00	13531	0.00	31.11
JM96-1225/2-GC	3.190	3.18	3.20	3.295	49.2	3.56				20.547	2.5380	0.072	99.84	61.16	43.23	38.74	12.51	13.81	27.18	1.04	0.76	44.69	0.23	0.69	0.42		2.04	4.81	4.53	4.21			76.98	855.70	86.67	4.58	1.67	3.75	0.00	0.00	0.00	1.25	2.08	0.00	10659	2.96	41.45
JM96-1225/2-GC	3.210	3.20	3.22	3.315	49.5	3.19	-0.18	3.79	1.45	11.850	1.4370	0.122	89.09	51.44	45.63	42.26	10.83	10.78	14.92	0.64	0.48	62.35																									
JM96-1225/2-GC	3.230	3.22	3.24	3.335	49.8	3.43				5.905	0.8050	0.096	85.41	48.22	37.74	43.54	9.49	10.12	11.34	0.56	0.77	67.73	0.05	0.16	0.42		0.82	2.25	3.90	0.58			30.52	556.23	86.79	3.30	0.94	4.72	0.00	0.00	0.00	1.42	2.83	0.00	2311	0.00	5.09
JM96-1225/2-GC	3.250	3.24	3.26	3.355	50.2	3.55	-0.01	3.58	1.35	5.400	0.6570	0.075	101.14	56.68	47.33	43.96	12.72	13.08	14.01	0.21	0.13	59.86	0.06	0.06	0.02		0.34	0.93	2.01	2.16			16.23	608.49	74.80	5.12	8.66	6.69	0.00	0.39	0.00	2.36	1.97	0.00	773	0.00	9.47
JM96-1225/2-GC	3.270	3.26	3.28	3.375	50.5	3.49				3.673	0.4930	0.052	69.39	39.27	37.84	43.41	9.73	12.71	17.71	0.37	0.24	59.25	0.05	0.11	0.32		0.55	1.51	3.04	3.54			13.53	778.01	82.65	4.11	3.65	4.11	0.00	0.00	0.00	1.83	3.65	0.00	741	1.69	10.15
JM96-1225/2-GC	3.290	3.28	3.30	3.395	50.8	3.80	0.13	3.85	1.33	3.930	0.4790	0.065	120.86	71.96	64.64	40.46	10.91	14.39	21.80	1.38	1.36	50.17	0.40	1.02	1.04		3.37	7.52	9.56	1.98			45.54	637.62	93.95	2.79	0.93	0.93	0.00	0.00	0.00	0.47	0.93	0.00	2395	0.00	5.94
JM96-1225/2-GC	3.310	3.30	3.32	3.415	51.1	3.23		3.52	1.35	3.515	0.4910	0.069	62.09	38.76	30.91	37.57	11.61	12.46	9.45	0.97	11.06	54.45	0.29	0.74	0.58		2.30	9.71	5.50	0.23			17.60	310.58	93.86	2.63	0.88	0.88	0.00	0.00	0.00	0.00	1.75	0.00	118	0.00	5.18
JM96-1225/2-GC	3.330	3.32	3.34	3.435	51.4	3.74	0.30	3.77	1.48	3.480	0.4290	0.093	34.74	21.59	15.62	37.85	10.18	3.39	9.22	0.70	0.77	75.74	0.19	0.58	0.90		3.01	6.02	8.58	1.09			5.12	312.42	91.07	1.79	1.34	0.89	0.45	0.00	0.00	0.45	4.02	0.00	449	0.00	3.07
JM96-1225/2-GC	3.350	3.34	3.36	3.455	51.7	3.70	0.15						95.62	57.44	57.44	39.93	9.30	11.23	15.42	1.27	0.73	62.05	0.28	0.17	1.03		3.62	7.45	13.58	13.02			75.77	612.81	91.96	1.79	1.79	0.89	0.00	0.00	0.00	0.89	2.68	0.00	250	0.00	6.69
JM96-1225/2-GC	3.370	3.36	3.38	3.475	52.0	3.65	0.05	3.50	1.16	1.020	0.1270	0.036	80.67	50.81	43.79	37.01	12.13	10.05	12.40	0.53	0.46	64.44	0.16	0.34	0.46		1.00	2.22	3.79	4.52			26.31	561.22	92.59	2.31	1.39	0.00	0.00	0.00	0.00	0.46	3.24	0.00	418	0.00	2.92
JM96-1225/2-GC	3.390	3.38	3.40	3.495	52.3	3.42		3.60	1.27	14.956	1.9320	0.137	77.78	44.63	36.01	42.62	5.94	7.64	13.19	2.28	5.67	65.29	0.39	2.14	2.22		1.44	10.66	15.27	1.33			74.65	37.32	87.93	3.88	2.16	3.02	0.00	0.00	0.00	0.43	2.59	0.00	4639	0.00	7.11
JM96-1225/2-GC	3.410	3.40	3.42	3.515	52.6	4.00	0.04	3.72	1.14	15.660	1.9010	0.181	63.60	37.48	26.20	41.07	8.02	5.84	16.37	1.79	1.91	66.07	0.34	1.30	0.23		1.98	14.35	8.09	0.08			200.31	39.08	88.46	1.92	1.44	2.88	0.00	0.00	0.00	0.48	4.81	0.00	5716	0.00	13.44
JM96-1225/2-GC	3.430	3.42	3.44	3.535	52.9	3.88		3.46	0.86	16.515	2.1440	0.162	66.69	41.05	34.22	38.45	1.55	1.32	35.62	3.62	4.12	53.77	0.38	3.21	0.99		2.92	25.60	14.96	0.00			0.00	37.00	89.59	3.17	3.17	0.90	0.00	0.00	0.00	0.90	2.26	0.00	12400	0.00	29.92
JM96-1225/2-GC	3.450	3.44	3.46	3.555	53.2	3.69	-0.07	3.61	0.99	15.160	1.8390	0.164	99.36	65.56	54.40	34.02	7.67	5.68	16.80	2.43	26.75	40.68	0.39	3.22	0.61		2.50	15.66	12.65	0.00				35.00	89.80	3.27	2.04	0.82	0.00	0.00	0.00	1.63	2.45	0.00	6485	0.00	15.29
JM96-1225/2-GC	3.470	3.46	3.48	3.575	53.5	3.82		3.25	0.84	15.220	1.9890	0.163	96.76	59.89	48.94	38.10	7.58	12.28	25.56	5.46	4.70	44.42	0.37	3.09	1.68		4.58	23.21	38.58	0.00					85.88	4.71	4.71	1.57	0.00	0.00	0.00	1.57	1.57	0.00	10004	0.00	28.77
JM96-1225/2-GC	3.490	3.48	3.50	3.595	53.8	3.64	-0.15	3.16	0.67	11.640	1.4180	0.181	85.71	51.50	43.29	39.91	11.09	9.01	14.55	1.20	0.85	63.29	0.16	0.79	0.21		1.57	8.32	8.18	0.00					88.70	2.93	4.60	1.67	0.00	0.00	0.00	0.84	1.26	0.00	7950	0.00	5.91
JM96-1225/2-GC	3.515	3.50	3.53	3.620	54.2	3.78	0.12	3.61	0.98	11.920	1.6490	0.219			50.00							77.46	0.16	0.46	0.40		1.24	4.52	5.12	0.00					83.27	1.49	5.58	5.20	0.00	0.37	0.00	1.12	2.97	0.00	3874	0.00	5.12
JM96-1225/2-GC	3.540	3.53	3.55	3.645	54.6	3.90	-0.02	4.14	1.21				90.09	52.54	52.54	41.68	12.28	12.66	17.80	4.61	4.26	48.40																									
JM96-1225/2-GC	3.550	3.54	3.56	3.655	54.8	3.36	-0.08	3.58	0.90	12.380	1.5180	0.267	55.33	32.69	23.01	40.92	9.65	5.48	9.30	1.17	2.52	71.88	0.13	1.26	0.74		1.65	7.95	9.60	0.04					85.39	3.65	5.02	3.65	0.00	0.00	0.00	0.46	1.83	0.00	3426	0.00	11.13
JM96-1225/2-GC	3.570	3.56	3.58	3.675	55.1	3.46		3.46	1.47	20.209	2.5820	0.157	104.64	63.92	54.29	38.91	5.03	6.52	13.85	3.72	21.96	48.92	0.20	1.27	0.35		1.62	9.87	9.58	0.00					87.09	1.99	3.31	3.64	0.00	0.00	0.00	0.99	2.98	0.00	5340	0.00	15.33
JM96-1225/2-GC	3.590	3.58	3.60	3.695	55.4	3.96	0.52	3.56	1.66	10.700	1.2950	0.094	93.78	58.00	50.13	38.15	4.99	4.39	11.47	3.15	16.08	59.92	0.64	2.25	0.38		2.47	12.53	4.71	0.00					91.23	4.21	0.70	1.75	0.00	0.00	0.00	0.35	1.75	0.00	2729	0.00	8.94
JM96-1225/2-GC	3.610	3.60	3.62	3.715	55.7	3.36		3.30	1.09	5.764	0.7660	0.075	75.41	43.10	32.39	42.85	5.62	5.93	13.80	4.94	11.21	58.51	0.40	2.04	0.80		2.47	9.39	10.50	0.00					89.19	1.35	2.25	4.95	0.00	0.45	0.00	0.45	1.35	0.00	1974	0.00	6.92
JM96-1225/2-GC	3.630	3.62	3.64	3.735	56.0	3.38	0.48	3.36	1.36	5.080	0.6230	0.112	99.93	53.46	46.22	46.50	5.04	4.82	11.60	4.13	3.42	70.99	0.41	1.71	0.74		3.98	14.71	14.71	0.00					92.44	3.36	0.84	1.26	0.00	0.00	0.00	0.84	1.26	0.00	1483	0.00	2.08
JM96-1225/2-GC	3.650	3.64	3.66	3.755	56.3	3.05		3.37	1.10	4.987	0.6880	0.089	87.98	48.33	36.08	45.07	5.49	6.49	12.42	3.27	12.31	60.03	0.42	1.22	1.08		2.99	5.99	15.30	0.00					95.41	2.55	0.51	1.02	0.00	0.00	0.00	0.00	0.51	0.00	1043	0.00	3.55
JM96-1225/2-GC	3.670	3.66	3.68	3.775	56.6	3.46	0.38	3.14	1.20	5.210	0.6360	0.091	72.93	40.39	32.58	44.62	5.77	5.13	12.12	3.01	3.99	69.98	0.61	1.50	1.41		3.44	6.75	25.66	0.00					93.09	4.15	0.46	0.92	0.00	0.00	0.00	0.00	1.38	0.00	1066	0.00	3.93
JM96-1225/2-GC	3.690	3.68	3.70	3.795	56.9	3.34	0.54	3.93	1.72	6.260	0.7620	0.092	54.09	30.91	21.50	42.85	5.81	4.93	14.56	3.77	10.09	60.84	0.65	2.79	1.72		4.28	8.28	25.95	0.00					93.75	1.95	0.78	1.56	0.00	0.00	0.00	0.78	1.17	0.00	2858	0.00	1.49
