Event	Depth sed [m]	Depth top [m]	Depth bot [m]	Depth adj [ambsf] (spliced)	Age [ka BP]	N. pachyderma s δ18O [‰ PDB] (vs. VPDB)	N. pachyderma s δ13C [‰ PDB] (vs. VPDB)	Cibicidoides spp. δ18O [‰ PDB] (C. wuellerstorfi or C. kullen...)	Cibicidoides spp. δ13C [‰ PDB] (C. wuellerstorfi or C. kullen...)	CaCO3 [%]	TC [%]	TOC [%]	Wet m [g]	Dry m [g]	Samp m [g] (dry)	Water wm [%]	100-63 µm [%]	150-100 µm [%]	500-150 µm [%]	1-0.5 mm [%]	>1 mm [%]	<63 µm [%]	Volc grains [#] (Counting >1000 µm fraction)	Lithic [#] (Counting >1000 µm fraction)	Volc glass basalt [%] (Counting >1000 µm fraction)	Volc glass rhyolit [%] (Counting >1000 µm fraction)	Volc grains [#] (Counting 500-1000 µm fraction)	Lithic [#] (Counting 500-1000 µm fraction)	Volc glass basalt [%] (Counting 500-1000 µm fraction)	Volc glass rhyolit [%] (Counting 500-1000 µm fraction)	Volc grains [#] (Counting 150-500 µm fraction)	Lithic [#] (Counting 150-500 µm fraction)	Volc glass basalt [%] (Counting 150-500 µm fraction)	Volc glass rhyolit [%] (Counting 150-500 µm fraction)	N. pachyderma [%] (formerly N. pachyderma sinist...)	N. incompta [%] (formerly N. pachyderma dextra...)	T. quinqueloba [%] (Counting 150-500 µm fraction)	G. bulloides [%] (Counting 150-500 µm fraction)	G. uvula [%] (Counting 150-500 µm fraction)	G. falconensis [%] (Counting 150-500 µm fraction)	G. inflata [%] (Counting 150-500 µm fraction)	G. glutinata [%] (Counting 150-500 µm fraction)	N. dutertrei [%] (Counting 150-500 µm fraction)	Foram plankt oth [%] (other/unidentified, Counting ...)	Foram plankt [#/g] (Counting 150-500 µm fraction)	B. marginata [#/g] (Counting 150-500 µm fraction)	Foram benth [#/g] (Counting 150-500 µm fraction)
JM96-1225/1-GC	0.345	0.34	0.35	0.345	14.0	3.69	0.45	3.21	0.85				18.12	12.16	12.16	32.89	7.07	7.40	17.76	2.22	2.14	63.40				0.00									80.82	2.20	7.23	7.23	0.00	0.00	0.00	1.89	0.00	0.63	7532		23.68
JM96-1225/1-GC	0.355	0.35	0.36	0.355	14.0	3.41				16.790	2.1800	0.160			9.03		7.53	8.75	18.60	2.33	1.88	60.91	0.66	1.44	1.33	0.00	4.65	13.51	14.06	0.44	112	1068.00	1643.00	64.00	84.11	3.10	6.98	3.88	0.00	0.00	0.00	0.39	1.55	0.00	10286		47.84
JM96-1225/1-GC	0.365	0.36	0.37	0.365	14.0	3.61	0.34	3.11	0.62	13.900	1.8300	0.160	24.15	12.94	10.13	46.42	6.12	4.64	9.77	2.27	1.78	75.42				0.00																					
JM96-1225/1-GC	0.375	0.37	0.38	0.375	14.1	3.34									9.25		5.41	4.32	8.86	2.27	2.92	76.22	1.51	1.51	2.38	0.00	5.30	8.76	10.49	0.43	304	1035.00	568.00	39.00	91.74	0.83	0.83	3.31	0.00	0.00	0.00	1.65	1.65	0.00	2355		27.24
JM96-1225/1-GC	0.385	0.38	0.39	0.385	14.1	3.57	0.10	3.47	0.83	9.810	1.3700	0.190	16.34	9.09	6.49	44.37	5.86	4.31	10.02	2.62	2.31	74.88	1.23	0.92	0.62	0.00	3.24	10.79	8.63	0.15	222	1220.00	592.00	18.00	85.94	6.25	4.69	1.56	0.00	0.00	0.00	0.00	2.00	0.00	1183		11.09
JM96-1225/1-GC	0.395	0.39	0.40	0.395	14.2	3.08									6.24		4.65	4.33	9.94	3.21	1.60	76.28	1.28	1.28	1.60	0.00	5.77	15.06	13.14	0.32	219	1535.00	992.00	35.00	90.91	1.30	3.25	1.95	0.00	0.00	0.00	1.95	0.65	0.00	2221		28.85
JM96-1225/1-GC	0.405	0.40	0.41	0.405	14.2								9.87		6.08											0.00									97.25	2.14	0.31	0.31	0.00	0.00	0.00	0.00	0.00	0.00	1613		3.29
JM96-1225/1-GC	0.415	0.41	0.42	0.415	14.2	3.23	0.18	3.03	0.44				18.93	10.61	7.69	43.95	4.03	3.12	5.72	1.30	4.29	81.53				0.00																					
JM96-1225/1-GC	0.425	0.42	0.43	0.425	14.3	3.00	-0.10	3.68	0.83	9.690	1.3100	0.140	14.72	8.27	5.36	43.82	5.41	3.73	6.72	1.31	1.31	81.53	0.00	2.05	1.31	0.00	0.00	10.63	13.25	0.19	0	1306.00	550.00	84.00													
JM96-1225/1-GC	0.435	0.43	0.44	0.435	14.3	3.29	0.31	3.21	0.73				29.59	16.50	12.62	44.24	4.83	3.65	8.87	1.82	5.07	75.75				0.00																					
JM96-1225/1-GC	0.445	0.44	0.45	0.445	14.4	3.50	0.14	3.24	0.61				29.30	15.61	15.61	46.72	5.89	5.77	15.37	4.48	8.65	59.83	0.00	1.54	1.79	0.26	0.00	11.53	17.85	3.89	0	1563.00	1102.00	295.00	82.27	2.33	7.27	4.65	0.00	0.00	0.00	2.91	0.00	0.58	2644		14.35
JM96-1225/1-GC	0.455	0.45	0.46	0.455	14.4	3.50	0.03	3.39	0.60				22.26	12.39	8.68	44.34	5.18	4.15	10.48	2.88	4.03	73.27				0.00																					
JM96-1225/1-GC	0.465	0.46	0.47	0.465	14.5	3.12	-0.01	3.58	0.71	5.810	0.8100	0.110	31.74	17.15	11.99	45.97	3.42	2.50	5.84	1.92	2.92	83.40				0.00																					
JM96-1225/1-GC	0.475	0.47	0.48	0.475	14.5	3.67	-0.04	3.40	0.91				18.45	11.27	8.00	38.92	3.00	2.50	5.50	1.63	8.13	79.25				0.00																					
JM96-1225/1-GC	0.485	0.48	0.49	0.485	14.8	3.52	0.27	3.39	0.80	9.280	1.2800	0.170	34.21	20.46	15.36	40.19	4.36	3.06	7.23	2.54	5.14	77.67				0.00																					
JM96-1225/1-GC	0.495	0.49	0.50	0.495	15.2	3.47	-0.09	3.23	0.54				30.34	20.12	20.12	33.68	4.17	4.27	14.41	8.95	27.63	40.56	0.00	3.23	2.58	0.20	0.00	22.66	14.71	1.49	0	982.00	429.00	20.00	73.95	3.54	9.65	8.36	1.61	0.00	0.00	2.89	0.00	0.00	1113		16.70
JM96-1225/1-GC	0.510	0.50	0.52	0.510	15.7	3.47	-0.15	3.75	0.55	7.740	1.1100	0.180	36.75		12.12											0.00																					
