Event,Latitude,Longitude,Depth sed [m],Symbiosis,Spine,Absolute Abundance
SS0206-GC15,-39.31283,142.68398,3.92,symbiont-barren,non-spinose,190
SS0206-GC15,-39.31283,142.68398,3.92,symbiont-barren,spinose,274
SS0206-GC15,-39.31283,142.68398,3.92,symbiont-bearing,spinose,0
SS0206-GC15,-39.31283,142.68398,3.92,symbiont-facultative,non-spinose,70
SS0206-GC15,-39.31283,142.68398,3.92,symbiont-obligate,spinose,4
SS0206-GC15,-39.31283,142.68398,3.94,symbiont-barren,non-spinose,207
SS0206-GC15,-39.31283,142.68398,3.94,symbiont-barren,spinose,267
SS0206-GC15,-39.31283,142.68398,3.94,symbiont-bearing,spinose,0
SS0206-GC15,-39.31283,142.68398,3.94,symbiont-facultative,non-spinose,90
SS0206-GC15,-39.31283,142.68398,3.94,symbiont-obligate,spinose,6
SS0206-GC15,-39.31283,142.68398,3.96,symbiont-barren,non-spinose,178
SS0206-GC15,-39.31283,142.68398,3.96,symbiont-barren,spinose,301
SS0206-GC15,-39.31283,142.68398,3.96,symbiont-bearing,spinose,0
SS0206-GC15,-39.31283,142.68398,3.96,symbiont-facultative,non-spinose,63
SS0206-GC15,-39.31283,142.68398,3.96,symbiont-obligate,spinose,1
SS0206-GC15,-39.31283,142.68398,3.98,symbiont-barren,non-spinose,177
SS0206-GC15,-39.31283,142.68398,3.98,symbiont-barren,spinose,268
SS0206-GC15,-39.31283,142.68398,3.98,symbiont-bearing,spinose,0
SS0206-GC15,-39.31283,142.68398,3.98,symbiont-facultative,non-spinose,78
SS0206-GC15,-39.31283,142.68398,3.98,symbiont-obligate,spinose,6
SS0206-GC15,-39.31283,142.68398,4,symbiont-barren,non-spinose,202
SS0206-GC15,-39.31283,142.68398,4,symbiont-barren,spinose,364
SS0206-GC15,-39.31283,142.68398,4,symbiont-bearing,spinose,0
SS0206-GC15,-39.31283,142.68398,4,symbiont-facultative,non-spinose,85
SS0206-GC15,-39.31283,142.68398,4,symbiont-obligate,spinose,3
SS0206-GC15,-39.31283,142.68398,4.04,symbiont-barren,non-spinose,191
SS0206-GC15,-39.31283,142.68398,4.04,symbiont-barren,spinose,301
SS0206-GC15,-39.31283,142.68398,4.04,symbiont-bearing,spinose,0
SS0206-GC15,-39.31283,142.68398,4.04,symbiont-facultative,non-spinose,87
SS0206-GC15,-39.31283,142.68398,4.04,symbiont-obligate,spinose,0
SS0206-GC15,-39.31283,142.68398,4.08,symbiont-barren,non-spinose,141
SS0206-GC15,-39.31283,142.68398,4.08,symbiont-barren,spinose,209
SS0206-GC15,-39.31283,142.68398,4.08,symbiont-bearing,spinose,0
SS0206-GC15,-39.31283,142.68398,4.08,symbiont-facultative,non-spinose,69
SS0206-GC15,-39.31283,142.68398,4.08,symbiont-obligate,spinose,3
SS0206-GC15,-39.31283,142.68398,4.1,symbiont-barren,non-spinose,199
SS0206-GC15,-39.31283,142.68398,4.1,symbiont-barren,spinose,295
SS0206-GC15,-39.31283,142.68398,4.1,symbiont-bearing,spinose,0
SS0206-GC15,-39.31283,142.68398,4.1,symbiont-facultative,non-spinose,81
SS0206-GC15,-39.31283,142.68398,4.1,symbiont-obligate,spinose,5
SS0206-GC15,-39.31283,142.68398,4.12,symbiont-barren,non-spinose,186
SS0206-GC15,-39.31283,142.68398,4.12,symbiont-barren,spinose,256
SS0206-GC15,-39.31283,142.68398,4.12,symbiont-bearing,spinose,1
SS0206-GC15,-39.31283,142.68398,4.12,symbiont-facultative,non-spinose,86
SS0206-GC15,-39.31283,142.68398,4.12,symbiont-obligate,spinose,3
SS0206-GC15,-39.31283,142.68398,4.16,symbiont-barren,non-spinose,190
SS0206-GC15,-39.31283,142.68398,4.16,symbiont-barren,spinose,296
SS0206-GC15,-39.31283,142.68398,4.16,symbiont-bearing,spinose,0
SS0206-GC15,-39.31283,142.68398,4.16,symbiont-facultative,non-spinose,71
SS0206-GC15,-39.31283,142.68398,4.16,symbiont-obligate,spinose,6
