Core,Coring device,Latitude,Longitude,Water depth (m),Ocean,Sample depth - upper (m),Symbiosis,Spine,Relative Abundance
17938-2,Piston core,19.78,117.53,2840,SCS,4.95,undetermined,non-spinose,0.00268096515
17938-2,Piston core,19.78,117.53,2840,SCS,5.05,symbiont-barren,non-spinose,0.02732240437
17938-2,Piston core,19.78,117.53,2840,SCS,5.05,symbiont-barren,spinose,0.06010928962
17938-2,Piston core,19.78,117.53,2840,SCS,5.05,symbiont-bearing,non-spinose,0
17938-2,Piston core,19.78,117.53,2840,SCS,5.05,symbiont-bearing,spinose,0.02459016393
17938-2,Piston core,19.78,117.53,2840,SCS,5.05,symbiont-facultative,non-spinose,0.58196721314
17938-2,Piston core,19.78,117.53,2840,SCS,5.05,symbiont-obligate,spinose,0.11475409837
17938-2,Piston core,19.78,117.53,2840,SCS,5.05,undetermined,non-spinose,0.00273224044
17938-2,Piston core,19.78,117.53,2840,SCS,5.15,symbiont-barren,non-spinose,0.02960526316
17938-2,Piston core,19.78,117.53,2840,SCS,5.15,symbiont-barren,spinose,0.04276315789
17938-2,Piston core,19.78,117.53,2840,SCS,5.15,symbiont-bearing,non-spinose,0
17938-2,Piston core,19.78,117.53,2840,SCS,5.15,symbiont-bearing,spinose,0.01315789474
17938-2,Piston core,19.78,117.53,2840,SCS,5.15,symbiont-facultative,non-spinose,0.60526315793
17938-2,Piston core,19.78,117.53,2840,SCS,5.15,symbiont-obligate,spinose,0.14802631579
17938-2,Piston core,19.78,117.53,2840,SCS,5.15,undetermined,non-spinose,0
17938-2,Piston core,19.78,117.53,2840,SCS,5.25,symbiont-barren,non-spinose,0.03413654619
17938-2,Piston core,19.78,117.53,2840,SCS,5.25,symbiont-barren,spinose,0.0421686747
17938-2,Piston core,19.78,117.53,2840,SCS,5.25,symbiont-bearing,non-spinose,0
17938-2,Piston core,19.78,117.53,2840,SCS,5.25,symbiont-bearing,spinose,0.00803212851
17938-2,Piston core,19.78,117.53,2840,SCS,5.25,symbiont-facultative,non-spinose,0.62650602413
17938-2,Piston core,19.78,117.53,2840,SCS,5.25,symbiont-obligate,spinose,0.140562249
17938-2,Piston core,19.78,117.53,2840,SCS,5.25,undetermined,non-spinose,0.00602409639
