Core,Coring device,Latitude,Longitude,Water depth (m),Ocean,Sample depth - upper (m),Symbiosis,Spine,Absolute Abundance
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.12,symbiont-facultative,spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.12,symbiont-obligate,spinose,77
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.12,undetermined,non-spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.15,symbiont-barren,non-spinose,124
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.15,symbiont-barren,spinose,96
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.15,symbiont-bearing,non-spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.15,symbiont-bearing,spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.15,symbiont-facultative,non-spinose,82
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.15,symbiont-facultative,spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.15,symbiont-obligate,spinose,101
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.15,undetermined,non-spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.18,symbiont-barren,non-spinose,139
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.18,symbiont-barren,spinose,112
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.18,symbiont-bearing,non-spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.18,symbiont-bearing,spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.18,symbiont-facultative,non-spinose,113
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.18,symbiont-facultative,spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.18,symbiont-obligate,spinose,62
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.18,undetermined,non-spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.21,symbiont-barren,non-spinose,74
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.21,symbiont-barren,spinose,58
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.21,symbiont-bearing,non-spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.21,symbiont-bearing,spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.21,symbiont-facultative,non-spinose,67
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.21,symbiont-facultative,spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.21,symbiont-obligate,spinose,38
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.21,undetermined,non-spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.24,symbiont-barren,non-spinose,72
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.24,symbiont-barren,spinose,55
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.24,symbiont-bearing,non-spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.24,symbiont-bearing,spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.24,symbiont-facultative,non-spinose,57
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.24,symbiont-facultative,spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.24,symbiont-obligate,spinose,27
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.24,undetermined,non-spinose,0
