Event,Latitude,Longitude,Depth sed [m],Symbiosis,Spine,Absolute Abundance
V16-205,15.4,-43.4,0.19,undetermined,non-spinose,1
V16-25,5.067,-36.8,0.55,symbiont-barren,non-spinose,15
V16-25,5.067,-36.8,0.55,symbiont-barren,spinose,9
V16-25,5.067,-36.8,0.55,symbiont-bearing,non-spinose,0
V16-25,5.067,-36.8,0.55,symbiont-bearing,spinose,7
V16-25,5.067,-36.8,0.55,symbiont-facultative,non-spinose,36
V16-25,5.067,-36.8,0.55,symbiont-facultative,spinose,2
V16-25,5.067,-36.8,0.55,symbiont-obligate,spinose,245
V16-25,5.067,-36.8,0.55,undetermined,non-spinose,0
V17-165,32.75,-41.9,0.5,symbiont-barren,non-spinose,59
V17-165,32.75,-41.9,0.5,symbiont-barren,spinose,24
V17-165,32.75,-41.9,0.5,symbiont-bearing,non-spinose,0
V17-165,32.75,-41.9,0.5,symbiont-bearing,spinose,1
V17-165,32.75,-41.9,0.5,symbiont-facultative,non-spinose,99
V17-165,32.75,-41.9,0.5,symbiont-facultative,spinose,0
V17-165,32.75,-41.9,0.5,symbiont-obligate,spinose,147
V17-165,32.75,-41.9,0.5,undetermined,non-spinose,0
V19-178,8.117,73.25,0.4,symbiont-barren,non-spinose,25
V19-178,8.117,73.25,0.4,symbiont-barren,spinose,30
V19-178,8.117,73.25,0.4,symbiont-bearing,non-spinose,0
V19-178,8.117,73.25,0.4,symbiont-bearing,spinose,24
V19-178,8.117,73.25,0.4,symbiont-facultative,non-spinose,131
V19-178,8.117,73.25,0.4,symbiont-facultative,spinose,2
V19-178,8.117,73.25,0.4,symbiont-obligate,spinose,27
V19-178,8.117,73.25,0.4,undetermined,non-spinose,6
V19-185,6.7,59.333,0.3,symbiont-barren,non-spinose,47
V19-185,6.7,59.333,0.3,symbiont-barren,spinose,36
V19-185,6.7,59.333,0.3,symbiont-bearing,non-spinose,0
V19-185,6.7,59.333,0.3,symbiont-bearing,spinose,8
V19-185,6.7,59.333,0.3,symbiont-facultative,non-spinose,121
V19-185,6.7,59.333,0.3,symbiont-facultative,spinose,0
V19-185,6.7,59.333,0.3,symbiont-obligate,spinose,23
V19-185,6.7,59.333,0.3,undetermined,non-spinose,4
V19-188,6.867,60.667,0.5,symbiont-barren,non-spinose,61
V19-188,6.867,60.667,0.5,symbiont-barren,spinose,35
V19-188,6.867,60.667,0.5,symbiont-bearing,non-spinose,0
V19-188,6.867,60.667,0.5,symbiont-bearing,spinose,13
V19-188,6.867,60.667,0.5,symbiont-facultative,non-spinose,101
V19-188,6.867,60.667,0.5,symbiont-facultative,spinose,0
V19-188,6.867,60.667,0.5,symbiont-obligate,spinose,27
V19-188,6.867,60.667,0.5,undetermined,non-spinose,3
V19-19,13.233,-78.37,0.8,symbiont-barren,non-spinose,10
V19-19,13.233,-78.37,0.8,symbiont-barren,spinose,3
V19-19,13.233,-78.37,0.8,symbiont-bearing,non-spinose,2
V19-19,13.233,-78.37,0.8,symbiont-bearing,spinose,10
V19-19,13.233,-78.37,0.8,symbiont-facultative,non-spinose,37
V19-19,13.233,-78.37,0.8,symbiont-facultative,spinose,0
V19-19,13.233,-78.37,0.8,symbiont-obligate,spinose,226
V19-19,13.233,-78.37,0.8,undetermined,non-spinose,0
V19-201,-5.333,40.433,0.7,symbiont-barren,non-spinose,30
V19-201,-5.333,40.433,0.7,symbiont-barren,spinose,18
V19-201,-5.333,40.433,0.7,symbiont-bearing,non-spinose,0
V19-201,-5.333,40.433,0.7,symbiont-bearing,spinose,17
