Event,Latitude,Longitude,Depth sed [m],Symbiosis,Spine,Absolute Abundance
MD95-2040,40.581833,-9.861167,3.8,symbiont-facultative,non-spinose,119
MD95-2040,40.581833,-9.861167,3.8,symbiont-facultative,spinose,0
MD95-2040,40.581833,-9.861167,3.8,symbiont-obligate,spinose,57
MD95-2040,40.581833,-9.861167,3.8,undetermined,non-spinose,10
MD95-2040,40.581833,-9.861167,3.83,symbiont-barren,non-spinose,246
MD95-2040,40.581833,-9.861167,3.83,symbiont-barren,spinose,141
MD95-2040,40.581833,-9.861167,3.83,symbiont-bearing,non-spinose,0
MD95-2040,40.581833,-9.861167,3.83,symbiont-bearing,spinose,0
MD95-2040,40.581833,-9.861167,3.83,symbiont-facultative,non-spinose,159
MD95-2040,40.581833,-9.861167,3.83,symbiont-facultative,spinose,0
MD95-2040,40.581833,-9.861167,3.83,symbiont-obligate,spinose,55
MD95-2040,40.581833,-9.861167,3.83,undetermined,non-spinose,11
MD95-2040,40.581833,-9.861167,3.86,symbiont-barren,non-spinose,183
MD95-2040,40.581833,-9.861167,3.86,symbiont-barren,spinose,117
MD95-2040,40.581833,-9.861167,3.86,symbiont-bearing,non-spinose,0
MD95-2040,40.581833,-9.861167,3.86,symbiont-bearing,spinose,0
MD95-2040,40.581833,-9.861167,3.86,symbiont-facultative,non-spinose,94
MD95-2040,40.581833,-9.861167,3.86,symbiont-facultative,spinose,0
MD95-2040,40.581833,-9.861167,3.86,symbiont-obligate,spinose,28
MD95-2040,40.581833,-9.861167,3.86,undetermined,non-spinose,5
MD95-2040,40.581833,-9.861167,3.89,symbiont-barren,non-spinose,261
MD95-2040,40.581833,-9.861167,3.89,symbiont-barren,spinose,152
MD95-2040,40.581833,-9.861167,3.89,symbiont-bearing,non-spinose,0
MD95-2040,40.581833,-9.861167,3.89,symbiont-bearing,spinose,0
MD95-2040,40.581833,-9.861167,3.89,symbiont-facultative,non-spinose,134
MD95-2040,40.581833,-9.861167,3.89,symbiont-facultative,spinose,0
MD95-2040,40.581833,-9.861167,3.89,symbiont-obligate,spinose,59
MD95-2040,40.581833,-9.861167,3.89,undetermined,non-spinose,9
MD95-2040,40.581833,-9.861167,3.92,symbiont-barren,non-spinose,264
MD95-2040,40.581833,-9.861167,3.92,symbiont-barren,spinose,123
MD95-2040,40.581833,-9.861167,3.92,symbiont-bearing,non-spinose,0
