Event,Latitude,Longitude,Depth sed,Symbiosis,Spine,Elevation,total,Relative Abundance
ELT48.011-PC,-29.66,97.527,0.32,undetermined,non-spinose,-6992,200.19999999999996,0.003
ELT48.022-PC,-39.895,85.41,0.82,symbiont-barren,non-spinose,-23870,701.3999999999997,0.41000000000000003
ELT48.022-PC,-39.895,85.41,0.82,symbiont-barren,spinose,-10230,300.5999999999999,0.503
ELT48.022-PC,-39.895,85.41,0.82,symbiont-bearing,spinose,-10230,300.5999999999999,0
ELT48.022-PC,-39.895,85.41,0.82,symbiont-facultative,non-spinose,-13640,400.7999999999999,0.089
ELT48.022-PC,-39.895,85.41,0.82,symbiont-obligate,spinose,-20460,601.1999999999998,0
ELT48.022-PC,-39.895,85.41,0.82,undetermined,non-spinose,-6820,200.39999999999995,0
ELT48.023-PC,-39.515,83.723,0.32,symbiont-barren,non-spinose,-24857,699.3,0.317
ELT48.023-PC,-39.515,83.723,0.32,symbiont-barren,spinose,-10653,299.70000000000005,0.545
ELT48.023-PC,-39.515,83.723,0.32,symbiont-bearing,spinose,-10653,299.70000000000005,0
ELT48.023-PC,-39.515,83.723,0.32,symbiont-facultative,non-spinose,-14204,399.6,0.131
ELT48.023-PC,-39.515,83.723,0.32,symbiont-obligate,spinose,-21306,599.4,0.006
ELT48.023-PC,-39.515,83.723,0.32,undetermined,non-spinose,-7102,199.8,0
ELT48.027-PC,-38.542,79.898,0.62,symbiont-barren,non-spinose,-23184,699.3000000000001,0.375
ELT48.027-PC,-38.542,79.898,0.62,symbiont-barren,spinose,-9936,299.70000000000005,0.46900000000000003
ELT48.027-PC,-38.542,79.898,0.62,symbiont-bearing,spinose,-9936,299.70000000000005,0
ELT48.027-PC,-38.542,79.898,0.62,symbiont-facultative,non-spinose,-13248,399.6000000000001,0.14800000000000002
ELT48.027-PC,-38.542,79.898,0.62,symbiont-obligate,spinose,-19872,599.4000000000001,0.006999999999999999
ELT48.027-PC,-38.542,79.898,0.62,undetermined,non-spinose,-6624,199.80000000000004,0
EN066-10GGC,6.67,-21.9,0.305,symbiont-barren,non-spinose,-24689,700.0000000000001,0.20600000000000002
EN066-10GGC,6.67,-21.9,0.305,symbiont-barren,spinose,-10581,300.00000000000006,0.04700000000000001
EN066-10GGC,6.67,-21.9,0.305,symbiont-bearing,spinose,-10581,300.00000000000006,0.022
EN066-10GGC,6.67,-21.9,0.305,symbiont-facultative,non-spinose,-14108,400.00000000000006,0.137
EN066-10GGC,6.67,-21.9,0.305,symbiont-obligate,spinose,-21162,600.0000000000001,0.5660000000000001
EN066-10GGC,6.67,-21.9,0.305,undetermined,non-spinose,-7054,200.00000000000003,0.022000000000000002
GIK12392-1,25.172,-16.845,1.725,symbiont-barren,non-spinose,-18025,701.3999999999999,0.44
GIK12392-1,25.172,-16.845,1.725,symbiont-barren,spinose,-7725,300.59999999999997,0.352
GIK12392-1,25.172,-16.845,1.725,symbiont-bearing,spinose,-7725,300.59999999999997,0.005
GIK12392-1,25.172,-16.845,1.725,symbiont-facultative,non-spinose,-10300,400.79999999999995,0.176
GIK12392-1,25.172,-16.845,1.725,symbiont-obligate,spinose,-15450,601.1999999999999,0.024
