Event,Latitude,Longitude,Depth sed,Symbiosis,Spine,Elevation,Absolute Abundance
RC24-27,-5.412,-0.363,0.72,symbiont-bearing,spinose,-11154,0
RC24-27,-5.412,-0.363,0.72,symbiont-facultative,non-spinose,-14872,0
RC24-27,-5.412,-0.363,0.72,symbiont-obligate,spinose,-26026,0
RC24-27,-5.412,-0.363,0.72,undetermined,non-spinose,-3718,0
RC24-7,-1.342,-11.92,1.2,symbiont-barren,non-spinose,-27293,0
RC24-7,-1.342,-11.92,1.2,symbiont-barren,spinose,-11697,0
RC24-7,-1.342,-11.92,1.2,symbiont-bearing,spinose,-11697,0
RC24-7,-1.342,-11.92,1.2,symbiont-facultative,non-spinose,-15596,0
RC24-7,-1.342,-11.92,1.2,symbiont-obligate,spinose,-27293,0
RC24-7,-1.342,-11.92,1.2,undetermined,non-spinose,-3899,0
RE010-002,56.983,-12.467,0.6,symbiont-barren,non-spinose,-16135,0
RE010-002,56.983,-12.467,0.6,symbiont-barren,spinose,-6915,0
RE010-002,56.983,-12.467,0.6,symbiont-bearing,spinose,-6915,0
RE010-002,56.983,-12.467,0.6,symbiont-facultative,non-spinose,-9220,0
RE010-002,56.983,-12.467,0.6,symbiont-obligate,spinose,-16135,0
RE010-002,56.983,-12.467,0.6,undetermined,non-spinose,-2305,0
RE5-034,42.383,-21.967,0.4,symbiont-barren,non-spinose,-26250,0
RE5-034,42.383,-21.967,0.4,symbiont-barren,spinose,-11250,0
RE5-034,42.383,-21.967,0.4,symbiont-bearing,spinose,-11250,0
RE5-034,42.383,-21.967,0.4,symbiont-facultative,non-spinose,-15000,0
RE5-034,42.383,-21.967,0.4,symbiont-obligate,spinose,-26250,0
RE5-034,42.383,-21.967,0.4,undetermined,non-spinose,-3750,0
RE5-036,46.917,-18.583,0.7,symbiont-barren,non-spinose,-31500,0
RE5-036,46.917,-18.583,0.7,symbiont-barren,spinose,-13500,0
RE5-036,46.917,-18.583,0.7,symbiont-bearing,spinose,-13500,0
RE5-036,46.917,-18.583,0.7,symbiont-facultative,non-spinose,-18000,0
RE5-036,46.917,-18.583,0.7,symbiont-obligate,spinose,-31500,0
RE5-036,46.917,-18.583,0.7,undetermined,non-spinose,-4500,0
RE5-054,25.867,-19.05,0.1,symbiont-barren,non-spinose,-23065,0
RE5-054,25.867,-19.05,0.1,symbiont-barren,spinose,-9885,0
RE5-054,25.867,-19.05,0.1,symbiont-bearing,spinose,-9885,0
RE5-054,25.867,-19.05,0.1,symbiont-facultative,non-spinose,-13180,0
RE5-054,25.867,-19.05,0.1,symbiont-obligate,spinose,-23065,0
RE5-054,25.867,-19.05,0.1,undetermined,non-spinose,-3295,0
RE5-057,19.6,-19.1,1,symbiont-barren,non-spinose,-20615,0
RE5-057,19.6,-19.1,1,symbiont-barren,spinose,-8835,0
RE5-057,19.6,-19.1,1,symbiont-bearing,spinose,-8835,0
RE5-057,19.6,-19.1,1,symbiont-facultative,non-spinose,-11780,0
RE5-057,19.6,-19.1,1,symbiont-obligate,spinose,-20615,0
RE5-057,19.6,-19.1,1,undetermined,non-spinose,-2945,0
SP008-004,31.833,-18.267,0.3,symbiont-barren,non-spinose,-10115,0
SP008-004,31.833,-18.267,0.3,symbiont-barren,spinose,-4335,0
SP008-004,31.833,-18.267,0.3,symbiont-bearing,spinose,-4335,0
SP008-004,31.833,-18.267,0.3,symbiont-facultative,non-spinose,-5780,0
SP008-004,31.833,-18.267,0.3,symbiont-obligate,spinose,-10115,0
SP008-004,31.833,-18.267,0.3,undetermined,non-spinose,-1445,0
V04-32,35.05,-11.62,0.3,symbiont-barren,non-spinose,-16072,0
V04-32,35.05,-11.62,0.3,symbiont-barren,spinose,-6888,0
V04-32,35.05,-11.62,0.3,symbiont-bearing,spinose,-6888,0
V04-32,35.05,-11.62,0.3,symbiont-facultative,non-spinose,-9184,0
V04-32,35.05,-11.62,0.3,symbiont-obligate,spinose,-16072,0
V04-32,35.05,-11.62,0.3,undetermined,non-spinose,-2296,0
V04-8,37.233,-33.13,0.5,symbiont-barren,non-spinose,-11879,0
V04-8,37.233,-33.13,0.5,symbiont-barren,spinose,-5091,0
V04-8,37.233,-33.13,0.5,symbiont-bearing,spinose,-5091,0
V04-8,37.233,-33.13,0.5,symbiont-facultative,non-spinose,-6788,0
V04-8,37.233,-33.13,0.5,symbiont-obligate,spinose,-11879,0
V04-8,37.233,-33.13,0.5,undetermined,non-spinose,-1697,0
V14-101,8.65,58.567,0.7,symbiont-barren,non-spinose,-39886,272
V14-101,8.65,58.567,0.7,symbiont-barren,spinose,-17094,62
V14-101,8.65,58.567,0.7,symbiont-bearing,spinose,-17094,14
V14-101,8.65,58.567,0.7,symbiont-facultative,non-spinose,-22792,122
V14-101,8.65,58.567,0.7,symbiont-obligate,spinose,-39886,146
V14-101,8.65,58.567,0.7,undetermined,non-spinose,-5698,0
V14-102,10.25,57.183,0.4,symbiont-barren,non-spinose,-27405,80
V14-102,10.25,57.183,0.4,symbiont-barren,spinose,-11745,32
V14-102,10.25,57.183,0.4,symbiont-bearing,spinose,-11745,6
V14-102,10.25,57.183,0.4,symbiont-facultative,non-spinose,-15660,135
V14-102,10.25,57.183,0.4,symbiont-obligate,spinose,-27405,48
V14-102,10.25,57.183,0.4,undetermined,non-spinose,-3915,0
V14-77,-29.63,32.867,0.29,symbiont-barren,non-spinose,-12726,52
V14-77,-29.63,32.867,0.29,symbiont-barren,spinose,-5454,8
V14-77,-29.63,32.867,0.29,symbiont-bearing,spinose,-5454,9
V14-77,-29.63,32.867,0.29,symbiont-facultative,non-spinose,-7272,124
V14-77,-29.63,32.867,0.29,symbiont-obligate,spinose,-12726,107
V14-77,-29.63,32.867,0.29,undetermined,non-spinose,-1818,0
V14-81,-28.43,43.783,0.35,symbiont-barren,non-spinose,-25438,92
V14-81,-28.43,43.783,0.35,symbiont-barren,spinose,-10902,27
V14-81,-28.43,43.783,0.35,symbiont-bearing,spinose,-10902,25
V14-81,-28.43,43.783,0.35,symbiont-facultative,non-spinose,-14536,55
V14-81,-28.43,43.783,0.35,symbiont-obligate,spinose,-25438,99
V14-81,-28.43,43.783,0.35,undetermined,non-spinose,-3634,0
V15-157,-33.17,-49.78,0.5,symbiont-barren,non-spinose,-7861,0
V15-157,-33.17,-49.78,0.5,symbiont-barren,spinose,-3369,0
V15-157,-33.17,-49.78,0.5,symbiont-bearing,spinose,-3369,0
V15-157,-33.17,-49.78,0.5,symbiont-facultative,non-spinose,-4492,0
V15-157,-33.17,-49.78,0.5,symbiont-obligate,spinose,-7861,0
V15-157,-33.17,-49.78,0.5,undetermined,non-spinose,-1123,0
V15-168,0.2,-39.9,1.42,symbiont-barren,non-spinose,-29533,0
V15-168,0.2,-39.9,1.42,symbiont-barren,spinose,-12657,0
V15-168,0.2,-39.9,1.42,symbiont-bearing,spinose,-12657,0
V15-168,0.2,-39.9,1.42,symbiont-facultative,non-spinose,-16876,0
V15-168,0.2,-39.9,1.42,symbiont-obligate,spinose,-29533,0
V15-168,0.2,-39.9,1.42,undetermined,non-spinose,-4219,0
V15-168,0.2,-39.9,1.6,symbiont-barren,non-spinose,-29533,106
V15-168,0.2,-39.9,1.6,symbiont-barren,spinose,-12657,2
V15-168,0.2,-39.9,1.6,symbiont-bearing,spinose,-12657,2
V15-168,0.2,-39.9,1.6,symbiont-facultative,non-spinose,-16876,79
V15-168,0.2,-39.9,1.6,symbiont-obligate,spinose,-29533,216
V15-168,0.2,-39.9,1.6,undetermined,non-spinose,-4219,0
V15-168,0.2,-39.9,1.63,symbiont-barren,non-spinose,-29533,0
V15-168,0.2,-39.9,1.63,symbiont-barren,spinose,-12657,0
V15-168,0.2,-39.9,1.63,symbiont-bearing,spinose,-12657,0
V15-168,0.2,-39.9,1.63,symbiont-facultative,non-spinose,-16876,0
V15-168,0.2,-39.9,1.63,symbiont-obligate,spinose,-29533,0
V15-168,0.2,-39.9,1.63,undetermined,non-spinose,-4219,0
V16-205,15.4,-43.4,0.19,symbiont-barren,non-spinose,-28301,153
V16-205,15.4,-43.4,0.19,symbiont-barren,spinose,-12129,0
V16-205,15.4,-43.4,0.19,symbiont-bearing,spinose,-12129,53
V16-205,15.4,-43.4,0.19,symbiont-facultative,non-spinose,-16172,50
V16-205,15.4,-43.4,0.19,symbiont-obligate,spinose,-28301,628
V16-205,15.4,-43.4,0.19,undetermined,non-spinose,-4043,0
V16-25,5.067,-36.8,0.53,symbiont-barren,non-spinose,-29778,0
V16-25,5.067,-36.8,0.53,symbiont-barren,spinose,-12762,0
V16-25,5.067,-36.8,0.53,symbiont-bearing,spinose,-12762,0
V16-25,5.067,-36.8,0.53,symbiont-facultative,non-spinose,-17016,0
V16-25,5.067,-36.8,0.53,symbiont-obligate,spinose,-29778,0
V16-25,5.067,-36.8,0.53,undetermined,non-spinose,-4254,0
V16-25,5.067,-36.8,0.55,symbiont-barren,non-spinose,-29778,37
V16-25,5.067,-36.8,0.55,symbiont-barren,spinose,-12762,10
V16-25,5.067,-36.8,0.55,symbiont-bearing,spinose,-12762,6
V16-25,5.067,-36.8,0.55,symbiont-facultative,non-spinose,-17016,70
V16-25,5.067,-36.8,0.55,symbiont-obligate,spinose,-29778,414
V16-25,5.067,-36.8,0.55,undetermined,non-spinose,-4254,3
V16-36,-19.37,-11.43,0.42,symbiont-barren,non-spinose,-23303,0
V16-36,-19.37,-11.43,0.42,symbiont-barren,spinose,-9987,0
V16-36,-19.37,-11.43,0.42,symbiont-bearing,spinose,-9987,0
V16-36,-19.37,-11.43,0.42,symbiont-facultative,non-spinose,-13316,0
V16-36,-19.37,-11.43,0.42,symbiont-obligate,spinose,-23303,0
V16-36,-19.37,-11.43,0.42,undetermined,non-spinose,-3329,0
V17-165,32.75,-41.9,0.5,symbiont-barren,non-spinose,-27468,63
V17-165,32.75,-41.9,0.5,symbiont-barren,spinose,-11772,19
V17-165,32.75,-41.9,0.5,symbiont-bearing,spinose,-11772,1
V17-165,32.75,-41.9,0.5,symbiont-facultative,non-spinose,-15696,159
V17-165,32.75,-41.9,0.5,symbiont-obligate,spinose,-27468,195
V17-165,32.75,-41.9,0.5,undetermined,non-spinose,-3924,0
V17-39,11.75,-80.43,1,symbiont-barren,non-spinose,-24045,86
V17-39,11.75,-80.43,1,symbiont-barren,spinose,-10305,4
V17-39,11.75,-80.43,1,symbiont-bearing,spinose,-10305,18
V17-39,11.75,-80.43,1,symbiont-facultative,non-spinose,-13740,24
V17-39,11.75,-80.43,1,symbiont-obligate,spinose,-24045,396
V17-39,11.75,-80.43,1,undetermined,non-spinose,-3435,0
V18-110,-53.58,-44.7,0.3,symbiont-barren,non-spinose,-18270,0
V18-110,-53.58,-44.7,0.3,symbiont-barren,spinose,-7830,0
V18-110,-53.58,-44.7,0.3,symbiont-bearing,spinose,-7830,0
V18-110,-53.58,-44.7,0.3,symbiont-facultative,non-spinose,-10440,0
V18-110,-53.58,-44.7,0.3,symbiont-obligate,spinose,-18270,0
V18-110,-53.58,-44.7,0.3,undetermined,non-spinose,-2610,0
V18-312,-2.85,-126.2,0.25,symbiont-barren,non-spinose,-32298,0
V18-312,-2.85,-126.2,0.25,symbiont-barren,spinose,-13842,0
V18-312,-2.85,-126.2,0.25,symbiont-bearing,spinose,-13842,0
V18-312,-2.85,-126.2,0.25,symbiont-facultative,non-spinose,-18456,0
V18-312,-2.85,-126.2,0.25,symbiont-obligate,spinose,-32298,0
V18-312,-2.85,-126.2,0.25,undetermined,non-spinose,-4614,0
V18-318,3.167,-118.5,0.15,symbiont-barren,non-spinose,-29337,0
V18-318,3.167,-118.5,0.15,symbiont-barren,spinose,-12573,0
V18-318,3.167,-118.5,0.15,symbiont-bearing,spinose,-12573,0
V18-318,3.167,-118.5,0.15,symbiont-facultative,non-spinose,-16764,0
V18-318,3.167,-118.5,0.15,symbiont-obligate,spinose,-29337,0
V18-318,3.167,-118.5,0.15,undetermined,non-spinose,-4191,0
V18-357,15.033,-80.23,0.6,symbiont-barren,non-spinose,-12726,87
V18-357,15.033,-80.23,0.6,symbiont-barren,spinose,-5454,4
V18-357,15.033,-80.23,0.6,symbiont-bearing,spinose,-5454,25
V18-357,15.033,-80.23,0.6,symbiont-facultative,non-spinose,-7272,16
V18-357,15.033,-80.23,0.6,symbiont-obligate,spinose,-12726,279
V18-357,15.033,-80.23,0.6,undetermined,non-spinose,-1818,0
V19-178,8.117,73.25,0.4,symbiont-barren,non-spinose,-15316,107
V19-178,8.117,73.25,0.4,symbiont-barren,spinose,-6564,36
V19-178,8.117,73.25,0.4,symbiont-bearing,spinose,-6564,28
V19-178,8.117,73.25,0.4,symbiont-facultative,non-spinose,-8752,46
V19-178,8.117,73.25,0.4,symbiont-obligate,spinose,-15316,98
V19-178,8.117,73.25,0.4,undetermined,non-spinose,-2188,7
V19-185,6.7,59.333,0.3,symbiont-barren,non-spinose,-20069,119
V19-185,6.7,59.333,0.3,symbiont-barren,spinose,-8601,37
V19-185,6.7,59.333,0.3,symbiont-bearing,spinose,-8601,8
V19-185,6.7,59.333,0.3,symbiont-facultative,non-spinose,-11468,45
V19-185,6.7,59.333,0.3,symbiont-obligate,spinose,-20069,87
V19-185,6.7,59.333,0.3,undetermined,non-spinose,-2867,4
V19-188,6.867,60.667,0.5,symbiont-barren,non-spinose,-23492,84
V19-188,6.867,60.667,0.5,symbiont-barren,spinose,-10068,39
V19-188,6.867,60.667,0.5,symbiont-bearing,spinose,-10068,16
V19-188,6.867,60.667,0.5,symbiont-facultative,non-spinose,-13424,72
V19-188,6.867,60.667,0.5,symbiont-obligate,spinose,-23492,98
V19-188,6.867,60.667,0.5,undetermined,non-spinose,-3356,2
V19-19,13.233,-78.37,0.8,symbiont-barren,non-spinose,-26320,46
V19-19,13.233,-78.37,0.8,symbiont-barren,spinose,-11280,4
V19-19,13.233,-78.37,0.8,symbiont-bearing,spinose,-11280,15
V19-19,13.233,-78.37,0.8,symbiont-facultative,non-spinose,-15040,30
V19-19,13.233,-78.37,0.8,symbiont-obligate,spinose,-26320,381
V19-19,13.233,-78.37,0.8,undetermined,non-spinose,-3760,0
V19-201,-5.333,40.433,0.7,symbiont-barren,non-spinose,-26096,170
V19-201,-5.333,40.433,0.7,symbiont-barren,spinose,-11184,42
V19-201,-5.333,40.433,0.7,symbiont-bearing,spinose,-11184,40
V19-201,-5.333,40.433,0.7,symbiont-facultative,non-spinose,-14912,140
V19-201,-5.333,40.433,0.7,symbiont-obligate,spinose,-26096,252
V19-201,-5.333,40.433,0.7,undetermined,non-spinose,-3728,0
V19-202,-6.983,41.183,0.3,symbiont-barren,non-spinose,-18123,94
V19-202,-6.983,41.183,0.3,symbiont-barren,spinose,-7767,33
V19-202,-6.983,41.183,0.3,symbiont-bearing,spinose,-7767,19
V19-202,-6.983,41.183,0.3,symbiont-facultative,non-spinose,-10356,40
V19-202,-6.983,41.183,0.3,symbiont-obligate,spinose,-18123,131
V19-202,-6.983,41.183,0.3,undetermined,non-spinose,-2589,1
V19-204,-10.23,43.817,0.3,symbiont-barren,non-spinose,-24668,91
V19-204,-10.23,43.817,0.3,symbiont-barren,spinose,-10572,23
V19-204,-10.23,43.817,0.3,symbiont-bearing,spinose,-10572,2
V19-204,-10.23,43.817,0.3,symbiont-facultative,non-spinose,-14096,62
V19-204,-10.23,43.817,0.3,symbiont-obligate,spinose,-24668,134
V19-204,-10.23,43.817,0.3,undetermined,non-spinose,-3524,0
V19-21,11.8,-79.07,0.6,symbiont-barren,non-spinose,-22176,61
V19-21,11.8,-79.07,0.6,symbiont-barren,spinose,-9504,4
V19-21,11.8,-79.07,0.6,symbiont-bearing,spinose,-9504,19
V19-21,11.8,-79.07,0.6,symbiont-facultative,non-spinose,-12672,33
V19-21,11.8,-79.07,0.6,symbiont-obligate,spinose,-22176,306
V19-21,11.8,-79.07,0.6,undetermined,non-spinose,-3168,0
V19-240,-30.58,13.283,0.6,symbiont-barren,non-spinose,-21721,0
V19-240,-30.58,13.283,0.6,symbiont-barren,spinose,-9309,0
V19-240,-30.58,13.283,0.6,symbiont-bearing,spinose,-9309,0
V19-240,-30.58,13.283,0.6,symbiont-facultative,non-spinose,-12412,0
V19-240,-30.58,13.283,0.6,symbiont-obligate,spinose,-21721,0
V19-240,-30.58,13.283,0.6,undetermined,non-spinose,-3103,0
V19-248,-24.57,4.833,0.27,symbiont-barren,non-spinose,-23247,0
V19-248,-24.57,4.833,0.27,symbiont-barren,spinose,-9963,0
V19-248,-24.57,4.833,0.27,symbiont-bearing,spinose,-9963,0
V19-248,-24.57,4.833,0.27,symbiont-facultative,non-spinose,-13284,0
V19-248,-24.57,4.833,0.27,symbiont-obligate,spinose,-23247,0
V19-248,-24.57,4.833,0.27,undetermined,non-spinose,-3321,0
V19-281,-3.317,4.65,0.5,symbiont-barren,non-spinose,-31962,0
V19-281,-3.317,4.65,0.5,symbiont-barren,spinose,-13698,0
V19-281,-3.317,4.65,0.5,symbiont-bearing,spinose,-13698,0
V19-281,-3.317,4.65,0.5,symbiont-facultative,non-spinose,-18264,0
V19-281,-3.317,4.65,0.5,symbiont-obligate,spinose,-31962,0
V19-281,-3.317,4.65,0.5,undetermined,non-spinose,-4566,0
V19-283,-1.283,5.533,0.79,symbiont-barren,non-spinose,-24094,0
V19-283,-1.283,5.533,0.79,symbiont-barren,spinose,-10326,0
V19-283,-1.283,5.533,0.79,symbiont-bearing,spinose,-10326,0
V19-283,-1.283,5.533,0.79,symbiont-facultative,non-spinose,-13768,0
V19-283,-1.283,5.533,0.79,symbiont-obligate,spinose,-24094,0
V19-283,-1.283,5.533,0.79,undetermined,non-spinose,-3442,0
V19-29,-3.583,-83.93,1.2,symbiont-barren,non-spinose,-44198,0
V19-29,-3.583,-83.93,1.2,symbiont-barren,spinose,-18942,0
V19-29,-3.583,-83.93,1.2,symbiont-bearing,spinose,-18942,0
V19-29,-3.583,-83.93,1.2,symbiont-facultative,non-spinose,-25256,0
V19-29,-3.583,-83.93,1.2,symbiont-obligate,spinose,-44198,0
V19-29,-3.583,-83.93,1.2,undetermined,non-spinose,-6314,0
V19-291,2,-5.25,0.8,symbiont-barren,non-spinose,-34692,67
V19-291,2,-5.25,0.8,symbiont-barren,spinose,-14868,34
V19-291,2,-5.25,0.8,symbiont-bearing,spinose,-14868,1
V19-291,2,-5.25,0.8,symbiont-facultative,non-spinose,-19824,202
V19-291,2,-5.25,0.8,symbiont-obligate,spinose,-34692,317
V19-291,2,-5.25,0.8,undetermined,non-spinose,-4956,0
V19-309,31.167,-45.13,0.31,symbiont-barren,non-spinose,-31808,0
V19-309,31.167,-45.13,0.31,symbiont-barren,spinose,-13632,0
V19-309,31.167,-45.13,0.31,symbiont-bearing,spinose,-13632,0
V19-309,31.167,-45.13,0.31,symbiont-facultative,non-spinose,-18176,0
V19-309,31.167,-45.13,0.31,symbiont-obligate,spinose,-31808,0
V19-309,31.167,-45.13,0.31,undetermined,non-spinose,-4544,0
V19-53,-17.02,-113.5,0.45,symbiont-barren,non-spinose,-21406,0
V19-53,-17.02,-113.5,0.45,symbiont-barren,spinose,-9174,0
V19-53,-17.02,-113.5,0.45,symbiont-bearing,spinose,-9174,0
V19-53,-17.02,-113.5,0.45,symbiont-facultative,non-spinose,-12232,0
V19-53,-17.02,-113.5,0.45,symbiont-obligate,spinose,-21406,0
V19-53,-17.02,-113.5,0.45,undetermined,non-spinose,-3058,0
V19-55,-17,-114.2,0.23,symbiont-barren,non-spinose,-22239,0
V19-55,-17,-114.2,0.23,symbiont-barren,spinose,-9531,0
V19-55,-17,-114.2,0.23,symbiont-bearing,spinose,-9531,0
V19-55,-17,-114.2,0.23,symbiont-facultative,non-spinose,-12708,0
V19-55,-17,-114.2,0.23,symbiont-obligate,spinose,-22239,0
V19-55,-17,-114.2,0.23,undetermined,non-spinose,-3177,0
V19-64,-16.93,-121.2,0.15,symbiont-barren,non-spinose,-24990,0
V19-64,-16.93,-121.2,0.15,symbiont-barren,spinose,-10710,0
V19-64,-16.93,-121.2,0.15,symbiont-bearing,spinose,-10710,0
V19-64,-16.93,-121.2,0.15,symbiont-facultative,non-spinose,-14280,0
V19-64,-16.93,-121.2,0.15,symbiont-obligate,spinose,-24990,0
V19-64,-16.93,-121.2,0.15,undetermined,non-spinose,-3570,0
V19-65,-16.65,-124.4,0.15,symbiont-barren,non-spinose,-27069,0
V19-65,-16.65,-124.4,0.15,symbiont-barren,spinose,-11601,0
V19-65,-16.65,-124.4,0.15,symbiont-bearing,spinose,-11601,0
V19-65,-16.65,-124.4,0.15,symbiont-facultative,non-spinose,-15468,0
V19-65,-16.65,-124.4,0.15,symbiont-obligate,spinose,-27069,0
V19-65,-16.65,-124.4,0.15,undetermined,non-spinose,-3867,0
V19-96,-0.867,172,0.15,symbiont-barren,non-spinose,-29764,0
V19-96,-0.867,172,0.15,symbiont-barren,spinose,-12756,0
V19-96,-0.867,172,0.15,symbiont-bearing,spinose,-12756,0
V19-96,-0.867,172,0.15,symbiont-facultative,non-spinose,-17008,0
V19-96,-0.867,172,0.15,symbiont-obligate,spinose,-29764,0
V19-96,-0.867,172,0.15,undetermined,non-spinose,-4252,0
V20-119,47.95,168.78,0.2,symbiont-barren,non-spinose,-19173,0
V20-119,47.95,168.78,0.2,symbiont-barren,spinose,-8217,0
V20-119,47.95,168.78,0.2,symbiont-bearing,spinose,-8217,0
V20-119,47.95,168.78,0.2,symbiont-facultative,non-spinose,-10956,0
V20-119,47.95,168.78,0.2,symbiont-obligate,spinose,-19173,0
V20-119,47.95,168.78,0.2,undetermined,non-spinose,-2739,0
V20-170,-21.8,69.233,0.2,symbiont-barren,non-spinose,-17353,57
V20-170,-21.8,69.233,0.2,symbiont-barren,spinose,-7437,4
V20-170,-21.8,69.233,0.2,symbiont-bearing,spinose,-7437,23
V20-170,-21.8,69.233,0.2,symbiont-facultative,non-spinose,-9916,8
V20-170,-21.8,69.233,0.2,symbiont-obligate,spinose,-17353,205
V20-170,-21.8,69.233,0.2,undetermined,non-spinose,-2479,0
V20-175,-22.3,68,0.2,symbiont-barren,non-spinose,-24682,66
V20-175,-22.3,68,0.2,symbiont-barren,spinose,-10578,7
V20-175,-22.3,68,0.2,symbiont-bearing,spinose,-10578,17
V20-175,-22.3,68,0.2,symbiont-facultative,non-spinose,-14104,6
V20-175,-22.3,68,0.2,symbiont-obligate,spinose,-24682,198
V20-175,-22.3,68,0.2,undetermined,non-spinose,-3526,0
V20-212,-28.22,-10.03,0.2,symbiont-barren,non-spinose,-24661,0
V20-212,-28.22,-10.03,0.2,symbiont-barren,spinose,-10569,0
V20-212,-28.22,-10.03,0.2,symbiont-bearing,spinose,-10569,0
V20-212,-28.22,-10.03,0.2,symbiont-facultative,non-spinose,-14092,0
V20-212,-28.22,-10.03,0.2,symbiont-obligate,spinose,-24661,0
V20-212,-28.22,-10.03,0.2,undetermined,non-spinose,-3523,0
V20-227,-4.233,-34.63,0.8,symbiont-barren,non-spinose,-26684,0
V20-227,-4.233,-34.63,0.8,symbiont-barren,spinose,-11436,0
V20-227,-4.233,-34.63,0.8,symbiont-bearing,spinose,-11436,0
V20-227,-4.233,-34.63,0.8,symbiont-facultative,non-spinose,-15248,0
V20-227,-4.233,-34.63,0.8,symbiont-obligate,spinose,-26684,0
V20-227,-4.233,-34.63,0.8,undetermined,non-spinose,-3812,0
V20-228,-2.483,-36.42,0.61,symbiont-barren,non-spinose,-25732,0
V20-228,-2.483,-36.42,0.61,symbiont-barren,spinose,-11028,0
V20-228,-2.483,-36.42,0.61,symbiont-bearing,spinose,-11028,0
V20-228,-2.483,-36.42,0.61,symbiont-facultative,non-spinose,-14704,0
V20-228,-2.483,-36.42,0.61,symbiont-obligate,spinose,-25732,0
V20-228,-2.483,-36.42,0.61,undetermined,non-spinose,-3676,0
V20-241,22.133,-41.5,0.3,symbiont-barren,non-spinose,-30604,0
V20-241,22.133,-41.5,0.3,symbiont-barren,spinose,-13116,0
V20-241,22.133,-41.5,0.3,symbiont-bearing,spinose,-13116,0
V20-241,22.133,-41.5,0.3,symbiont-facultative,non-spinose,-17488,0
V20-241,22.133,-41.5,0.3,symbiont-obligate,spinose,-30604,0
V20-241,22.133,-41.5,0.3,undetermined,non-spinose,-4372,0
V20-242,23.367,-43.65,0.29,symbiont-barren,non-spinose,-31955,107
V20-242,23.367,-43.65,0.29,symbiont-barren,spinose,-13695,4
V20-242,23.367,-43.65,0.29,symbiont-bearing,spinose,-13695,53
V20-242,23.367,-43.65,0.29,symbiont-facultative,non-spinose,-18260,7
V20-242,23.367,-43.65,0.29,symbiont-obligate,spinose,-31955,436
V20-242,23.367,-43.65,0.29,undetermined,non-spinose,-4565,0
V21-146,37.683,163.03,0.7,symbiont-barren,non-spinose,-27776,0
V21-146,37.683,163.03,0.7,symbiont-barren,spinose,-11904,0
V21-146,37.683,163.03,0.7,symbiont-bearing,spinose,-11904,0
V21-146,37.683,163.03,0.7,symbiont-facultative,non-spinose,-15872,0
V21-146,37.683,163.03,0.7,symbiont-obligate,spinose,-27776,0
V21-146,37.683,163.03,0.7,undetermined,non-spinose,-3968,0
V21-30,-1.217,-89.68,2.5,symbiont-barren,non-spinose,-4319,0
V21-30,-1.217,-89.68,2.5,symbiont-barren,spinose,-1851,0
V21-30,-1.217,-89.68,2.5,symbiont-bearing,spinose,-1851,0
V21-30,-1.217,-89.68,2.5,symbiont-facultative,non-spinose,-2468,0
V21-30,-1.217,-89.68,2.5,symbiont-obligate,spinose,-4319,0
V21-30,-1.217,-89.68,2.5,undetermined,non-spinose,-617,0
V21-33,-3.8,-92.08,0.45,symbiont-barren,non-spinose,-26082,0
V21-33,-3.8,-92.08,0.45,symbiont-barren,spinose,-11178,0
V21-33,-3.8,-92.08,0.45,symbiont-bearing,spinose,-11178,0
V21-33,-3.8,-92.08,0.45,symbiont-facultative,non-spinose,-14904,0
V21-33,-3.8,-92.08,0.45,symbiont-obligate,spinose,-26082,0
V21-33,-3.8,-92.08,0.45,undetermined,non-spinose,-3726,0
V22-168,-17.47,-5.183,0.31,symbiont-barren,non-spinose,-32375,0
V22-168,-17.47,-5.183,0.31,symbiont-barren,spinose,-13875,0
V22-168,-17.47,-5.183,0.31,symbiont-bearing,spinose,-13875,0
V22-168,-17.47,-5.183,0.31,symbiont-facultative,non-spinose,-18500,0
V22-168,-17.47,-5.183,0.31,symbiont-obligate,spinose,-32375,0
V22-168,-17.47,-5.183,0.31,undetermined,non-spinose,-4625,0
V22-171,-13.1,-9.333,0.2,symbiont-barren,non-spinose,-58170,0
V22-171,-13.1,-9.333,0.2,symbiont-barren,spinose,-24930,0
V22-171,-13.1,-9.333,0.2,symbiont-bearing,spinose,-24930,0
V22-171,-13.1,-9.333,0.2,symbiont-facultative,non-spinose,-33240,0
V22-171,-13.1,-9.333,0.2,symbiont-obligate,spinose,-58170,0
V22-171,-13.1,-9.333,0.2,undetermined,non-spinose,-8310,0
V22-172,-12.67,-9.817,0.2,symbiont-barren,non-spinose,-28889,0
V22-172,-12.67,-9.817,0.2,symbiont-barren,spinose,-12381,0
V22-172,-12.67,-9.817,0.2,symbiont-bearing,spinose,-12381,0
V22-172,-12.67,-9.817,0.2,symbiont-facultative,non-spinose,-16508,0
V22-172,-12.67,-9.817,0.2,symbiont-obligate,spinose,-28889,0
V22-172,-12.67,-9.817,0.2,undetermined,non-spinose,-4127,0
V22-174,-10.07,-12.82,0.57,symbiont-barren,non-spinose,-36820,0
V22-174,-10.07,-12.82,0.57,symbiont-barren,spinose,-15780,0
V22-174,-10.07,-12.82,0.57,symbiont-bearing,spinose,-15780,0
V22-174,-10.07,-12.82,0.57,symbiont-facultative,non-spinose,-21040,0
V22-174,-10.07,-12.82,0.57,symbiont-obligate,spinose,-36820,0
