Event,Latitude,Longitude,Depth sed,Symbiosis,Spine,Elevation,Absolute Abundance
ELT48.003-PC,-41.02,100.012,0.22,undetermined,non-spinose,-3982,0
ELT48.011-PC,-29.66,97.527,0.32,symbiont-barren,non-spinose,-24472,0
ELT48.011-PC,-29.66,97.527,0.32,symbiont-barren,spinose,-10488,0
ELT48.011-PC,-29.66,97.527,0.32,symbiont-bearing,spinose,-10488,0
ELT48.011-PC,-29.66,97.527,0.32,symbiont-facultative,non-spinose,-13984,0
ELT48.011-PC,-29.66,97.527,0.32,symbiont-obligate,spinose,-24472,0
ELT48.011-PC,-29.66,97.527,0.32,undetermined,non-spinose,-3496,0
ELT48.022-PC,-39.895,85.41,0.82,symbiont-barren,non-spinose,-23870,0
ELT48.022-PC,-39.895,85.41,0.82,symbiont-barren,spinose,-10230,0
ELT48.022-PC,-39.895,85.41,0.82,symbiont-bearing,spinose,-10230,0
ELT48.022-PC,-39.895,85.41,0.82,symbiont-facultative,non-spinose,-13640,0
ELT48.022-PC,-39.895,85.41,0.82,symbiont-obligate,spinose,-23870,0
ELT48.022-PC,-39.895,85.41,0.82,undetermined,non-spinose,-3410,0
ELT48.023-PC,-39.515,83.723,0.32,symbiont-barren,non-spinose,-24857,0
ELT48.023-PC,-39.515,83.723,0.32,symbiont-barren,spinose,-10653,0
ELT48.023-PC,-39.515,83.723,0.32,symbiont-bearing,spinose,-10653,0
ELT48.023-PC,-39.515,83.723,0.32,symbiont-facultative,non-spinose,-14204,0
ELT48.023-PC,-39.515,83.723,0.32,symbiont-obligate,spinose,-24857,0
ELT48.023-PC,-39.515,83.723,0.32,undetermined,non-spinose,-3551,0
ELT48.027-PC,-38.542,79.898,0.62,symbiont-barren,non-spinose,-23184,0
ELT48.027-PC,-38.542,79.898,0.62,symbiont-barren,spinose,-9936,0
ELT48.027-PC,-38.542,79.898,0.62,symbiont-bearing,spinose,-9936,0
ELT48.027-PC,-38.542,79.898,0.62,symbiont-facultative,non-spinose,-13248,0
ELT48.027-PC,-38.542,79.898,0.62,symbiont-obligate,spinose,-23184,0
ELT48.027-PC,-38.542,79.898,0.62,undetermined,non-spinose,-3312,0
EN066-10GGC,6.67,-21.9,0.305,symbiont-barren,non-spinose,-24689,0
EN066-10GGC,6.67,-21.9,0.305,symbiont-barren,spinose,-10581,0
EN066-10GGC,6.67,-21.9,0.305,symbiont-bearing,spinose,-10581,0
EN066-10GGC,6.67,-21.9,0.305,symbiont-facultative,non-spinose,-14108,0
EN066-10GGC,6.67,-21.9,0.305,symbiont-obligate,spinose,-24689,0
EN066-10GGC,6.67,-21.9,0.305,undetermined,non-spinose,-3527,0
GIK12392-1,25.172,-16.845,1.725,symbiont-barren,non-spinose,-18025,0
GIK12392-1,25.172,-16.845,1.725,symbiont-barren,spinose,-7725,0
GIK12392-1,25.172,-16.845,1.725,symbiont-bearing,spinose,-7725,0
GIK12392-1,25.172,-16.845,1.725,symbiont-facultative,non-spinose,-10300,0
GIK12392-1,25.172,-16.845,1.725,symbiont-obligate,spinose,-18025,0
GIK12392-1,25.172,-16.845,1.725,undetermined,non-spinose,-2575,0
K708-001,50,-23.733,1.1,symbiont-barren,non-spinose,-28371,0
K708-001,50,-23.733,1.1,symbiont-barren,spinose,-12159,0
K708-001,50,-23.733,1.1,symbiont-bearing,spinose,-12159,0
K708-001,50,-23.733,1.1,symbiont-facultative,non-spinose,-16212,0
K708-001,50,-23.733,1.1,symbiont-obligate,spinose,-28371,0
K708-001,50,-23.733,1.1,undetermined,non-spinose,-4053,0
K708-004,49.983,-25.017,0.58,symbiont-barren,non-spinose,-23422,0
K708-004,49.983,-25.017,0.58,symbiont-barren,spinose,-10038,0
K708-004,49.983,-25.017,0.58,symbiont-bearing,spinose,-10038,0
K708-004,49.983,-25.017,0.58,symbiont-facultative,non-spinose,-13384,0
K708-004,49.983,-25.017,0.58,symbiont-obligate,spinose,-23422,0
K708-004,49.983,-25.017,0.58,undetermined,non-spinose,-3346,0
K708-006,51.55,-29.567,0.6,symbiont-barren,non-spinose,-17283,0
K708-006,51.55,-29.567,0.6,symbiont-barren,spinose,-7407,0
K708-006,51.55,-29.567,0.6,symbiont-bearing,spinose,-7407,0
K708-006,51.55,-29.567,0.6,symbiont-facultative,non-spinose,-9876,0
K708-006,51.55,-29.567,0.6,symbiont-obligate,spinose,-17283,0
K708-006,51.55,-29.567,0.6,undetermined,non-spinose,-2469,0
K708-007,53.933,-24.083,0.53,symbiont-barren,non-spinose,-24514,0
K708-007,53.933,-24.083,0.53,symbiont-barren,spinose,-10506,0
K708-007,53.933,-24.083,0.53,symbiont-bearing,spinose,-10506,0
K708-007,53.933,-24.083,0.53,symbiont-facultative,non-spinose,-14008,0
K708-007,53.933,-24.083,0.53,symbiont-obligate,spinose,-24514,0
K708-007,53.933,-24.083,0.53,undetermined,non-spinose,-3502,0
K708-008,52.733,-22.55,0.83,symbiont-barren,non-spinose,-28063,0
K708-008,52.733,-22.55,0.83,symbiont-barren,spinose,-12027,0
K708-008,52.733,-22.55,0.83,symbiont-bearing,spinose,-12027,0
K708-008,52.733,-22.55,0.83,symbiont-facultative,non-spinose,-16036,0
K708-008,52.733,-22.55,0.83,symbiont-obligate,spinose,-28063,0
K708-008,52.733,-22.55,0.83,undetermined,non-spinose,-4009,0
K714-3,57.486,-27.519,0.82,symbiont-barren,non-spinose,0,0
K714-3,57.486,-27.519,0.82,symbiont-barren,spinose,0,0
K714-3,57.486,-27.519,0.82,symbiont-bearing,spinose,0,0
K714-3,57.486,-27.519,0.82,symbiont-facultative,non-spinose,0,0
K714-3,57.486,-27.519,0.82,symbiont-obligate,spinose,0,0
K714-3,57.486,-27.519,0.82,undetermined,non-spinose,0,0
MD76-131,15.53,72.568,1.9,symbiont-barren,non-spinose,-8610,0
MD76-131,15.53,72.568,1.9,symbiont-barren,spinose,-3690,0
MD76-131,15.53,72.568,1.9,symbiont-bearing,spinose,-3690,0
MD76-131,15.53,72.568,1.9,symbiont-facultative,non-spinose,-4920,0
MD76-131,15.53,72.568,1.9,symbiont-obligate,spinose,-8610,0
MD76-131,15.53,72.568,1.9,undetermined,non-spinose,-1230,0
MD77-169,10.13,95.03,1.51,symbiont-barren,non-spinose,-16520,0
MD77-169,10.13,95.03,1.51,symbiont-barren,spinose,-7080,0
MD77-169,10.13,95.03,1.51,symbiont-bearing,spinose,-7080,0
MD77-169,10.13,95.03,1.51,symbiont-facultative,non-spinose,-9440,0
MD77-169,10.13,95.03,1.51,symbiont-obligate,spinose,-16520,0
MD77-169,10.13,95.03,1.51,undetermined,non-spinose,-2360,0
MD77-171,11.46,94.09,2.61,symbiont-barren,non-spinose,-12320,0
MD77-171,11.46,94.09,2.61,symbiont-barren,spinose,-5280,0
MD77-171,11.46,94.09,2.61,symbiont-bearing,spinose,-5280,0
MD77-171,11.46,94.09,2.61,symbiont-facultative,non-spinose,-7040,0
MD77-171,11.46,94.09,2.61,symbiont-obligate,spinose,-12320,0
MD77-171,11.46,94.09,2.61,undetermined,non-spinose,-1760,0
MD77-179,18.22,91.01,0.52,symbiont-barren,non-spinose,-13902,0
MD77-179,18.22,91.01,0.52,symbiont-barren,spinose,-5958,0
MD77-179,18.22,91.01,0.52,symbiont-bearing,spinose,-5958,0
MD77-179,18.22,91.01,0.52,symbiont-facultative,non-spinose,-7944,0
MD77-179,18.22,91.01,0.52,symbiont-obligate,spinose,-13902,0
MD77-179,18.22,91.01,0.52,undetermined,non-spinose,-1986,0
MD77-180,18.28,89.51,1.81,symbiont-barren,non-spinose,-13902,0
MD77-180,18.28,89.51,1.81,symbiont-barren,spinose,-5958,0
MD77-180,18.28,89.51,1.81,symbiont-bearing,spinose,-5958,0
MD77-180,18.28,89.51,1.81,symbiont-facultative,non-spinose,-7944,0
MD77-180,18.28,89.51,1.81,symbiont-obligate,spinose,-13902,0
MD77-180,18.28,89.51,1.81,undetermined,non-spinose,-1986,0
MD77-191,7.3,76.43,6.72,symbiont-barren,non-spinose,-8778,0
MD77-191,7.3,76.43,6.72,symbiont-barren,spinose,-3762,0
MD77-191,7.3,76.43,6.72,symbiont-bearing,spinose,-3762,0
MD77-191,7.3,76.43,6.72,symbiont-facultative,non-spinose,-5016,0
MD77-191,7.3,76.43,6.72,symbiont-obligate,spinose,-8778,0
MD77-191,7.3,76.43,6.72,undetermined,non-spinose,-1254,0
MD77-194,10.467,75.233,3.11,symbiont-barren,non-spinose,-8554,0
MD77-194,10.467,75.233,3.11,symbiont-barren,spinose,-3666,0
MD77-194,10.467,75.233,3.11,symbiont-bearing,spinose,-3666,0
MD77-194,10.467,75.233,3.11,symbiont-facultative,non-spinose,-4888,0
MD77-194,10.467,75.233,3.11,symbiont-obligate,spinose,-8554,0
MD77-194,10.467,75.233,3.11,undetermined,non-spinose,-1222,0
MD77-203,20.698,59.568,3.41,symbiont-barren,non-spinose,-17094,0
MD77-203,20.698,59.568,3.41,symbiont-barren,spinose,-7326,0
MD77-203,20.698,59.568,3.41,symbiont-bearing,spinose,-7326,0
MD77-203,20.698,59.568,3.41,symbiont-facultative,non-spinose,-9768,0
MD77-203,20.698,59.568,3.41,symbiont-obligate,spinose,-17094,0
MD77-203,20.698,59.568,3.41,undetermined,non-spinose,-2442,0
RC08-145,33.583,-62.38,0.35,symbiont-barren,non-spinose,-19201,0
RC08-145,33.583,-62.38,0.35,symbiont-barren,spinose,-8229,0
RC08-145,33.583,-62.38,0.35,symbiont-bearing,spinose,-8229,0
RC08-145,33.583,-62.38,0.35,symbiont-facultative,non-spinose,-10972,0
RC08-145,33.583,-62.38,0.35,symbiont-obligate,spinose,-19201,0
RC08-145,33.583,-62.38,0.35,undetermined,non-spinose,-2743,0
