Latitude,Longitude,symbiont-barren spinose,undetermined non-spinose,symbiont-facultative non-spinose,symbiont-obligate spinose,symbiont-barren non-spinose,symbiont-bearing spinose,symbiont-bearing non-spinose,symbiont-facultative spinose,SST
73.483,-0.833,0,0,1,2,629,0,0,0,1.2180968523025513
72.183,5.267,151,0,5,0,473,0,0,0,4.4327802658081055
71.167,-1.617,43,0,0,0,640,0,0,0,2.5762062072753906
71.167,-1.617,19,0,1,0,315,0,0,0,2.5762062072753906
62.9,0.583,15,0,17,0,387,0,0,0,9.053985595703125
64.833,-3.583,83,0,2,0,598,0,0,0,7.003709316253662
64.833,-3.583,74,0,1,0,254,0,0,0,7.003709316253662
68.717,-12.72,2,0,0,0,732,0,0,0,2.536961793899536
68.717,-12.72,1,0,0,0,333,0,0,0,2.536961793899536
72.0667,-9.0667,2,0,0,0,481,0,0,0,0.5461733341217041
69.383,-4.4,21,0,2,0,589,0,0,0,3.907824754714966
67.683,0.233,110,0,3,0,616,0,0,0,6.43968391418457
67.683,0.233,71,0,3,0,256,0,0,0,6.43968391418457
67.683,0.233,121,0,3,0,616,0,0,0,6.43968391418457
74.483,11.667,8,0,0,0,388,0,0,0,3.8647496700286865
64.0833,-4.0167,121,0,6,0,461,0,0,0,7.003709316253662
26.783,-50.83,7,0,27,273,20,9,0,0,24.722492218017578
14.15,88.083,16,30,164,97,8,8,0,0,28.087663650512695
16.383,-17.92,79,0,147,102,113,7,0,0,23.49962615966797
16.383,-17.92,82,0,144,105,110,7,0,0,23.49962615966797
22.467,-20.07,3,0,78,307,65,19,0,5,21.502185821533203
22.467,-20.07,3,0,81,319,65,19,0,5,21.502185821533203
41.533,-25.72,104,0,98,80,131,1,0,0,17.01079750061035
42.85,-25.15,106,0,122,129,175,4,0,0,17.01079750061035
45.3,-23.87,156,0,158,115,300,3,0,0,15.2267427444458
52.367,-17.53,147,0,164,22,342,0,0,0,12.818734169006348
52.367,-17.53,143,0,168,22,444,0,0,0,12.818734169006348
58.733,-15.57,192,0,140,1,273,0,0,0,10.641778945922852
59.95,-19.2,133,0,120,1,161,0,0,0,10.11439323425293
59.95,-19.2,135,0,122,4,153,0,0,0,10.11439323425293
60.383,-20.97,77,0,88,2,147,0,0,0,10.11439323425293
60.383,-20.97,72,0,83,2,148,0,0,0,10.11439323425293
61.55,-25.12,118,0,123,1,151,0,0,0,8.791654586791992
66.733,-6.733,248,0,0,0,504,0,0,0,5.108972549438477
67.783,-6.667,169,0,1,0,420,0,0,0,4.204126358032227
72.967,-6.983,3,0,0,0,321,0,0,0,1.5834324359893799
68.383,-5.417,62,0,2,0,386,0,0,0,4.204126358032227
65.167,-0.067,133,0,10,0,277,0,0,0,7.247353553771973
62.85,-14.53,149,0,57,1,149,0,0,0,9.115745544433594
61.917,-24.05,114,0,72,7,150,0,0,0,8.959281921386719
28.0,-38.78333333,12,0,82,236,48,28,0,1,23.119163513183594
38.18333333,-73.51666667,29,0,139,6,140,0,0,0,16.221712112426758
50.93333333,-41.75,152,0,204,10,321,0,0,0,10.916508674621582
