Latitude,Longitude,O. universa,G. conglobatus,G. ruber albus,G. tenellus,T. sacculifer,S. dehiscens,G. siphonifera,G. calida,G. bulloides,G. falconensis,B. digitata,G. rubescens,T. quinqueloba,N. pachyderma,N. incompta,N. dutertrei,G. conglomerata,G. hexagonus,P. obliquiloculata,G. inflata,G. crassaformis,G. hirsuta,G. scitula,G. glutinata,G. truncatulinoides,G. aequilateralis,G. menardii,H. pelagica,G. ruber ruber,G. tumida,G. digitata,T. humilis,C. nitida,G. uvula,D. anfracta,G. theyeri,T. iota,G. cavernula,G. cultrata,G. tenella,G. adamsi,G. crassa
16.708,-75.44,0.02,0.03,0.651,0.01,0.05,0,0.037,0,0.01,0,0,0.01,0,0,0,0.03,0,0,0,0.03,0.007,0,0.094,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.065,-75.95,0.011,0.0234,0.366333333333333,0.019,0.0956666666666667,0,0.0684,0.00133333333333333,0.0386,0.0052,0.001,0.0143333333333333,0.001,0.0012,0.00933333333333333,0.0538,,,0.0032,0.0418,0.0094,0.0022,0.0533333333333333,0.1034,0.0276666666666667,0,0,0,0.0855,,0.0015,0.0015,0,0,,,,0,0.0015,0.015,,
13.178,-79.83,0.03,0.01,0.531,0.04,0.04,0,0.05,0,0.017,0.007,0,0.02,0,0,0.003,0.073,0,0,0.003,0.017,0.003,0,0.129,0,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.695,-77.17,0.025,0.005,0.443,0.025,0.089,0,0.066,0.025,0.013,0.008,0,0.013,0,0,0,0.073,0,0,0.01,0.046,0.005,0.003,0.114,0,0.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.087,-170.1,0.013,0.212,0.186,0,0.045,0.256,0.006,0.006,0.038,0,0.019,0,0,0,0.006,0.019,0.006,0.006,0.019,0.038,0.051,0,0.006,0,0.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.86,-43.31,0.003,0.003,0.508,0,0.216,0,0.005,0.008,0.003,0,0,0,0,0,0,0.07,0,0,0,0.003,0.016,0,0.062,0,0.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.863,-30,0.015,0.003,0.253,0.003,0.08,0,0.015,0.009,0.024,0.003,0.009,0.009,0,0,0.042,0.214,0,0,0,0.036,0.074,0,0.128,0,0.083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.517,-0.717,0.002,0,0.33,0,0.078,0,0.007,0.011,0.117,0,0,0.016,0,0.002,0.099,0.236,0,0,0.002,0.018,0.05,0.002,0.014,0,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2.288,5.183,0.028,0,0.171,0.009,0.089,0,0.003,0.006,0.031,0.028,0,0.015,0,0.003,0.04,0.352,0,0,0.003,0.08,0.046,0.012,0.086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9.142,-10.61,0.019,0.008,0.238,0.003,0.149,0,0.016,0.011,0.033,0.022,0,0.005,0,0,0,0.214,0,0,0,0.122,0.051,0.008,0.07,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
