Event,Data_Source,Depth [m],Latitude,Longitude,O. universa,G. conglobatus,G. ruber ruber,G. ruber albus,G. tenellus,T. sacculifer,S. dehiscens,G. adamsi,G. siphonifera,G. calida,G. bulloides,G. falconensis,B. digitata,G. rubescens,T. humilis,T. quinqueloba,N. pachyderma,N. dutertrei,N. incompta,G. conglomerata,G. hexagonus,P. obliquiloculata,G. inflata,G. truncatulinoides,G. crassaformis,G. hirsuta,G. scitula,D. anfracta,G. tumida,G. cultrata,C. nitida,G. glutinata,G. eastropacia,T. iota,G. uvula
GeoB1117-2,margo,0.58,-3.815,-14.8967,7,0,9,32,2,20,0,,9,4,25,0,0,8,0,20,2,20,37,0,0,9,62,11,7,0,0,0,0,4,0,27,0,0,
GeoB1117-2,margo,0.63,-3.815,-14.8967,12,0,1,39,6,42,0,,12,0,59,3,1,3,0,0,2,39,132,0,0,0,189,11,21,0,3,0,0,0,0,28,0,0,
GeoB1214-1,margo,0.23,-24.69,7.24,10,0,0,52,8,9,1,,9,2,126,0,2,11,0,7,22,3,206,0,0,0,104,18,4,4,2,0,0,0,0,59,0,4,
GeoB1214-1,margo,0.28,-24.69,7.24,9,0,0,53,3,2,0,,10,1,139,3,2,14,0,17,25,1,244,0,0,0,108,13,2,6,6,0,0,0,0,40,0,0,
GeoB1220-1,margo,0.33,-24.0333,5.3067,12,3,29,0,0,1,0,,4,7,61,3,0,6,3,0,13,0,129,0,0,0,46,21,1,4,4,0,0,0,0,18,0,0,
GeoB1220-1,margo,0.38,-24.0333,5.3067,9,0,36,0,4,0,0,,6,3,73,7,0,14,0,0,20,0,107,0,0,0,64,29,4,4,5,0,0,0,0,19,0,0,
GeoB1306-1,margo,0.19,-35.2067,-26.765,2,1,0,35,0,0,0,,1,1,103,1,0,0,0,0,3,1,444,0,0,0,102,24,1,11,0,3,0,0,0,3,0,0,
GeoB1701-4,margo,0.98,1.95,3.5517,21,2,106,48,2,33,0,,19,6,15,0,6,5,2,0,0,183,27,0,0,0,81,0,39,0,4,0,0,0,0,50,7,0,
GeoB1701-4,margo,1.03,1.95,3.5517,23,5,180,111,2,53,0,,25,3,24,2,7,20,0,2,2,234,19,0,0,0,94,2,25,4,12,0,2,0,0,65,3,0,
GeoB1701-4,margo,1.08,1.95,3.5517,15,4,103,107,0,44,0,,20,7,28,3,6,14,0,0,0,185,25,0,0,0,65,0,20,3,6,0,0,0,0,71,6,0,
GeoB1701-4,margo,1.13,1.95,3.5517,22,0,105,27,0,65,0,,25,3,13,0,1,19,0,0,4,156,90,0,0,0,104,0,24,0,8,0,0,0,0,10,0,0,
GeoB1701-4,margo,1.18,1.95,3.5517,13,1,42,40,0,25,0,,15,0,19,0,0,4,1,0,1,100,77,0,0,0,43,0,19,0,6,0,0,0,0,15,0,0,
GeoB1722-1,margo,0.23,-29.45,11.75,5,0,0,19,0,3,0,,6,0,68,0,0,7,0,1,10,13,223,0,0,0,140,25,1,5,4,0,0,1,0,27,0,0,
GeoB1722-1,margo,0.28,-29.45,11.75,4,0,0,33,0,2,0,,2,3,58,0,2,4,0,7,10,6,377,0,0,0,83,5,1,5,0,0,0,0,0,10,0,0,
GeoB2004-2,margo,0.68,-30.87,14.3433,6,0,0,19,2,11,0,,18,1,98,0,0,0,4,11,0,24,491,0,0,0,85,21,1,8,2,0,0,1,0,25,0,0,
GeoB2004-2,margo,0.73,-30.87,14.3433,10,0,0,21,0,1,0,,11,2,95,0,0,5,0,4,0,5,414,0,0,0,83,17,1,4,5,0,0,1,0,10,0,0,
GeoB2004-2,margo,0.78,-30.87,14.3433,6,0,0,15,0,4,0,,4,8,117,0,0,11,2,5,4,4,689,0,0,0,95,13,1,6,5,0,0,0,0,6,0,0,
GeoB2016-1,margo,0.18,-31.9,-1.33,5,1,0,56,0,0,0,,12,0,228,13,1,8,0,0,5,0,140,0,0,0,99,63,2,21,8,4,0,0,0,27,0,2,
GeoB2019-1,margo,0.33,-36.06,-8.7783,2,0,0,11,0,0,0,,0,0,245,0,0,3,0,26,21,0,218,0,0,0,133,31,4,10,1,3,0,0,0,16,0,0,
GeoB2021-5,margo,0.13,-36.8333,-14.4033,6,0,0,4,0,0,0,,0,0,187,0,2,0,0,44,43,1,193,0,0,0,142,34,4,3,2,0,0,0,0,35,0,0,
GeoB1903-3,margo,0.48,-8.675,-11.845,18,8,42,101,0,86,0,,24,4,26,1,4,28,2,0,0,82,25,0,0,0,54,25,7,0,11,0,0,0,1,85,2,0,
GeoB1903-3,margo,0.53,-8.675,-11.845,20,8,31,107,0,116,0,,25,16,39,4,4,18,2,0,0,75,88,0,0,0,97,36,20,0,18,0,0,0,0,74,9,0,
GeoB1903-3,margo,0.58,-8.675,-11.845,26,14,49,185,2,154,0,,34,49,48,2,2,72,2,4,2,79,147,0,0,0,100,31,37,0,10,0,0,0,0,86,0,0,
GeoB1905-3,margo,0.38,-17.1433,-13.9867,9,5,19,270,26,54,0,,27,3,77,2,2,52,2,0,0,3,9,0,0,6,75,43,6,0,20,0,0,7,1,116,0,0,
GeoB1905-3,margo,0.43,-17.1433,-13.9867,12,7,58,399,6,111,0,,28,25,35,5,8,147,4,0,0,1,8,0,0,4,84,48,14,0,11,0,1,6,2,48,0,0,
GeoB1501-4,margo,0.33,-3.6783,-32.0067,8,0,9,156,0,140,0,,19,1,9,0,0,0,0,0,0,43,28,0,0,0,14,82,2,0,0,0,0,3,0,33,5,0,
GeoB1501-4,margo,0.38,-3.6783,-32.0067,6,3,2,198,0,226,0,,16,6,12,0,2,0,2,0,0,59,36,0,0,0,13,57,10,0,3,0,0,0,0,35,3,0,
GeoB1503-1,margo,0.28,2.3117,-30.6467,2,2,50,125,5,67,0,,9,8,35,35,6,34,0,4,0,100,76,0,0,2,18,44,7,0,8,0,0,2,4,130,0,0,
GeoB1503-1,margo,0.33,2.3117,-30.6467,2,2,47,156,5,60,0,,9,4,61,11,1,35,0,0,0,78,90,0,0,1,26,27,17,0,12,0,2,0,0,108,0,0,
GeoB1505-1,margo,0.48,2.27,-33.01,2,4,0,307,0,117,0,,11,0,36,4,3,13,0,0,4,84,92,0,0,1,24,57,22,0,0,2,0,0,1,126,0,0,
GeoB1505-1,margo,0.53,2.27,-33.01,6,6,0,232,2,120,0,,11,0,19,7,3,0,0,0,0,71,69,0,0,4,26,50,17,0,6,0,2,1,1,71,0,0,
GeoB1508-4,margo,0.28,5.3333,-34.025,6,2,17,181,0,171,0,,30,7,2,0,1,11,0,0,2,41,14,0,0,0,0,20,11,0,7,0,0,0,2,57,0,0,
GeoB1515-1,margo,0.48,4.2383,-43.6667,6,3,3,211,2,137,0,,11,0,7,0,1,8,0,0,0,20,13,0,0,0,0,42,12,0,2,0,0,0,0,73,0,0,
GeoB2109-1,margo,0.48,-27.9117,-45.8817,1,1,0,168,2,18,0,,8,0,16,5,2,18,0,0,1,4,14,0,0,0,45,32,2,6,6,2,0,0,2,78,0,0,
GeoB2109-1,margo,0.53,-27.9117,-45.8817,1,2,1,150,0,12,0,,7,1,24,0,0,21,0,0,0,1,12,0,0,0,36,34,1,7,2,0,0,0,2,56,0,0,
GeoB2109-1,margo,0.58,-27.9117,-45.8817,3,4,20,134,0,20,0,,4,0,26,5,0,29,0,0,0,2,23,0,0,0,86,49,0,8,8,4,0,0,4,101,0,0,
GeoB2109-1,margo,0.63,-27.9117,-45.8817,1,3,21,231,0,12,0,,4,0,24,0,1,59,0,0,0,1,20,0,0,0,64,56,2,7,6,2,0,0,3,89,0,0,
GeoB2116-4,margo,0.28,-25.5117,-35.9983,2,31,0,13,0,26,0,,0,0,7,0,3,0,0,0,0,3,9,0,0,0,38,62,3,5,0,0,1,3,0,3,0,0,
GeoB2117-1,margo,0.23,-23.0383,-36.6517,4,13,0,295,0,30,0,,3,1,39,0,5,12,0,0,0,1,4,0,0,0,35,19,2,1,0,0,1,0,1,6,0,0,
GeoB2125-1,margo,0.33,-20.8233,-39.8633,2,2,49,235,6,25,0,,8,11,12,6,2,25,0,0,0,10,7,0,0,0,15,6,6,1,3,0,0,0,2,174,0,0,
GeoB2125-1,margo,0.38,-20.8233,-39.8633,3,3,49,286,0,20,0,,2,4,10,8,0,37,5,0,0,11,5,0,0,1,30,10,3,0,1,0,0,0,3,196,0,0,
GeoB2202-4,margo,0.78,-8.1983,-34.265,2,4,85,452,0,56,0,,17,6,2,0,5,23,0,0,0,3,0,0,0,0,1,20,4,0,10,0,0,0,8,116,0,0,
GeoB2202-4,margo,0.83,-8.1983,-34.265,6,9,68,412,2,73,0,,19,6,2,0,0,29,0,0,0,7,0,0,0,0,2,24,2,0,7,0,0,0,24,106,0,0,
GeoB2202-4,margo,0.88,-8.1983,-34.265,3,3,63,405,0,60,0,,5,9,6,0,3,50,0,0,1,2,1,0,0,1,5,11,8,0,8,0,0,1,11,138,0,0,
GeoB2202-4,margo,0.93,-8.1983,-34.265,3,4,55,363,0,42,0,,12,10,6,0,0,49,0,0,2,2,0,0,0,0,0,6,5,0,5,0,0,3,12,127,0,0,
GeoB2215-10,margo,0.43,0.0067,-23.495,3,2,5,122,0,83,0,,12,0,68,10,5,13,0,2,4,75,168,0,0,0,57,38,11,0,0,5,0,0,0,73,0,0,
GeoB2215-10,margo,0.48,0.0067,-23.495,1,4,3,30,0,49,0,,3,0,16,0,0,2,0,2,1,84,112,0,0,0,52,53,11,0,0,0,0,0,0,26,0,0,
GeoB1413-4,margo,0.19,-15.68,-9.455,7,5,0,121,12,57,0,,13,5,62,46,2,13,0,3,2,11,39,0,0,1,114,35,22,1,6,0,1,0,0,54,0,0,
GeoB1413-4,margo,0.23,-15.68,-9.455,8,2,0,93,17,32,0,,14,4,50,39,2,3,0,0,0,7,38,0,0,2,76,36,14,0,8,0,0,0,0,38,0,0,
GeoB1417-1,margo,0.33,-20.3667,-12.7067,7,4,6,172,18,45,0,,20,4,129,11,2,39,0,3,0,8,42,0,0,0,60,44,13,0,18,5,0,1,2,55,0,0,
GeoB1417-1,margo,0.38,-20.3667,-12.7067,8,9,6,174,18,59,0,,16,9,122,18,5,29,3,0,0,6,15,0,0,0,86,46,14,0,8,0,1,0,2,68,0,3,
GeoB1419-2,margo,0.23,-15.5367,-17.0683,7,7,3,222,0,83,0,,10,1,86,18,5,49,0,0,0,3,4,0,0,0,51,23,9,0,0,2,0,0,2,43,0,0,
GeoB2819-1,margo,0.13,-30.8483,-38.3433,4,5,1,188,2,14,1,,6,1,104,10,7,21,0,0,4,6,164,0,0,0,100,80,2,20,25,4,0,0,0,35,0,0,
GeoB3104-1,margo,1.73,-3.6667,-37.7167,2,2,48,317,2,95,0,,10,4,0,0,0,11,0,0,0,24,5,0,0,0,4,20,0,0,0,0,0,0,1,192,0,0,
GeoB3104-1,margo,1.78,-3.6667,-37.7167,3,4,30,250,4,80,0,,8,0,0,0,0,7,0,0,0,27,9,0,0,0,5,26,2,0,3,0,0,0,1,183,0,0,
GeoB3104-1,margo,1.83,-3.6667,-37.7167,2,0,38,207,0,68,0,,13,1,0,0,0,10,0,0,0,24,16,0,0,0,4,16,5,0,0,0,0,0,0,132,0,0,
GeoB3104-1,margo,1.88,-3.6667,-37.7167,1,0,19,185,15,86,1,,22,3,0,0,0,9,0,0,0,36,15,0,0,0,10,18,4,1,0,0,0,0,2,129,0,0,
GeoB3104-1,margo,1.98,-3.6667,-37.7167,2,1,47,114,2,65,0,,11,9,0,0,0,18,0,0,0,16,19,0,0,1,7,18,1,0,0,0,0,0,3,87,0,0,
GeoB3117-1,margo,2.98,-4.295,-37.0917,2,1,46,238,0,74,0,,5,7,0,0,0,31,0,0,0,14,11,0,0,0,5,25,1,0,7,0,0,0,2,159,0,0,
GeoB3117-1,margo,3.03,-4.295,-37.0917,1,1,28,184,0,63,0,,4,4,0,0,0,22,0,0,0,20,16,0,0,0,9,20,1,0,2,0,0,0,0,111,0,0,
GeoB3117-1,margo,3.13,-4.295,-37.0917,2,1,22,170,0,61,0,,7,6,0,0,0,48,0,0,0,16,12,0,0,0,4,20,0,0,2,0,0,0,1,104,0,0,
GeoB3117-1,margo,3.23,-4.295,-37.0917,2,1,15,177,2,54,0,,10,5,0,0,0,10,0,0,0,21,8,0,0,0,2,15,4,0,0,0,0,0,1,109,0,0,
GeoB3117-1,margo,3.33,-4.295,-37.0917,1,1,14,153,0,62,0,,6,1,4,0,0,9,0,0,0,15,4,0,0,0,0,16,0,0,0,0,0,0,1,80,0,0,
GeoB3117-1,margo,3.43,-4.295,-37.0917,2,2,21,227,3,62,0,,7,8,0,0,0,3,0,0,0,10,16,0,0,0,1,6,1,0,0,0,0,0,1,81,0,0,
GeoB3117-1,margo,3.53,-4.295,-37.0917,2,2,37,264,0,88,0,,8,0,2,0,0,11,0,0,0,23,11,0,0,0,0,5,1,0,0,0,0,0,1,82,0,0,
GeoB3175-1,margo,1.68,-7.0533,-34.4633,2,1,29,307,2,51,0,,8,0,12,0,0,10,0,0,0,4,8,0,0,0,6,22,2,0,1,0,0,0,3,36,0,0,
GeoB3175-1,margo,1.73,-7.0533,-34.4633,7,1,20,255,6,36,0,,3,0,14,3,0,12,0,0,0,2,3,0,0,1,2,16,4,0,0,0,0,0,3,33,0,0,
GeoB3175-1,margo,1.78,-7.0533,-34.4633,3,1,24,240,0,43,0,,4,0,23,0,0,13,0,0,0,5,0,0,0,3,5,15,3,0,0,0,0,0,2,22,0,0,
GeoB3175-1,margo,1.83,-7.0533,-34.4633,3,2,33,324,6,51,0,,4,0,6,0,1,11,0,0,0,3,8,0,0,8,3,25,1,0,2,0,0,0,2,41,0,0,
GeoB3176-1,margo,3.43,-7.0117,-34.4417,2,1,15,254,3,37,0,,7,0,4,0,0,12,0,0,2,3,0,0,0,2,10,12,4,0,3,0,0,0,7,59,0,0,
GeoB3176-1,margo,3.48,-7.0117,-34.4417,4,4,24,314,4,33,0,,6,1,13,3,0,19,0,0,3,3,1,0,0,0,4,17,1,0,8,0,0,0,13,87,0,0,
GeoB3176-1,margo,3.53,-7.0117,-34.4417,4,4,14,337,0,46,0,,8,4,22,0,0,27,0,0,0,4,4,0,0,1,4,21,3,0,2,0,0,1,12,48,0,0,
GeoB3176-1,margo,3.58,-7.0117,-34.4417,2,1,26,356,0,25,1,,7,1,7,0,0,9,0,0,0,3,1,0,0,0,2,9,2,0,0,0,0,0,5,65,0,0,
GeoB1032-3,margo,0.38,-22.915,6.0367,13,0,4,19,4,0,0,,5,2,68,8,0,5,0,3,10,4,154,0,0,0,88,17,0,7,3,0,0,0,0,24,0,0,
GeoB1032-3,margo,0.43,-22.915,6.0367,19,0,7,39,7,2,0,,6,25,83,10,1,4,0,0,17,6,209,0,0,0,88,23,1,5,7,0,0,0,0,38,0,0,
GeoB1034-3,margo,0.23,-21.735,5.4217,24,0,0,82,0,5,0,,9,1,137,5,1,6,0,14,14,9,223,0,0,0,171,31,1,5,12,0,0,0,0,39,0,0,
GeoB1041-3,margo,0.53,-3.475,-7.6,14,1,2,65,0,15,0,,7,0,102,0,0,0,0,0,0,55,89,0,0,1,176,2,15,0,0,0,0,0,0,21,0,0,
GeoB1041-3,margo,0.58,-3.475,-7.6,15,0,2,32,0,14,0,,3,0,48,0,0,0,0,3,3,27,62,0,0,0,142,1,12,0,9,0,0,1,0,16,0,0,
GeoB3603-2,margo,0.33,-35.125,17.5433,5,0,0,8,0,0,0,,3,0,72,0,0,0,0,0,6,0,268,0,0,0,55,11,0,0,0,0,0,0,0,16,0,0,
GeoB3603-2,margo,0.38,-35.125,17.5433,4,0,0,2,0,4,0,,4,0,67,2,0,0,0,3,3,7,234,0,0,0,55,5,0,0,0,0,0,0,0,20,0,0,
GeoB3722-2,margo,0.83,-25.25,12.0217,1,0,0,0,0,0,0,,0,0,30,0,0,0,0,0,14,0,607,0,0,0,55,3,0,7,0,0,0,0,0,0,0,0,
GeoB3722-2,margo,0.88,-25.25,12.0217,8,0,0,1,0,0,0,,2,6,89,0,4,0,0,0,11,1,850,0,0,0,95,3,0,4,0,0,0,0,0,2,0,0,
GeoB3722-2,margo,0.93,-25.25,12.0217,4,0,0,1,0,0,0,,0,0,26,0,0,0,0,0,3,0,950,0,0,0,65,3,0,8,0,0,0,0,0,0,0,0,
GeoB3722-2,margo,0.98,-25.25,12.0217,2,0,0,1,0,0,0,,0,0,47,0,0,0,0,0,10,0,757,0,0,0,45,7,0,11,0,0,0,0,0,0,0,0,
GeoB3801-6,margo,0.18,-29.5117,-8.305,4,5,0,73,0,12,0,,8,0,89,32,2,21,0,3,0,1,63,0,0,0,91,37,4,19,0,3,0,0,2,21,0,3,
GeoB3808-6,margo,0.18,-30.8117,-14.7117,5,4,1,136,0,4,0,,24,0,185,6,2,22,0,0,6,1,72,0,0,0,119,58,7,20,12,12,0,0,2,46,0,2,
GeoB3813-3,margo,0.13,-32.2683,-21.9667,2,5,0,81,0,4,0,,3,0,89,13,1,6,0,0,4,3,179,0,0,0,102,50,6,18,1,0,0,0,1,23,0,0,
GeoB5112-5,margo,0.16,-23.825,-16.2583,7,6,15,186,0,49,0,,15,4,49,12,1,75,0,0,0,0,9,0,0,0,70,39,1,3,10,0,5,1,21,70,0,0,
GeoB5115-2,margo,0.14,-24.1433,-14.0433,11,5,10,278,0,37,0,,40,9,60,11,13,79,0,0,3,0,3,0,0,0,66,57,1,3,12,0,1,0,12,102,0,0,
GeoB5115-2,margo,0.15,-24.1433,-14.0433,13,2,8,241,0,37,1,,40,11,48,8,8,81,0,2,0,0,12,0,0,1,51,48,2,5,17,0,0,0,11,79,0,0,
GeoB5115-2,margo,0.16,-24.1433,-14.0433,8,5,14,180,0,28,0,,19,11,48,10,2,45,0,0,0,0,9,0,0,2,49,31,1,1,14,0,0,0,18,89,0,0,
GeoB5115-2,margo,0.17,-24.1433,-14.0433,10,3,8,216,0,38,0,,33,6,33,7,12,63,0,0,4,0,10,0,0,4,60,35,3,5,7,0,0,0,19,93,0,0,
GeoB5121-2,margo,0.16,-24.1833,-12.0217,10,8,7,157,0,35,0,,23,2,48,26,7,88,0,0,3,0,11,0,0,0,62,43,6,4,15,0,0,0,9,84,0,5,
GeoB5133-3,margo,0.18,-19.0867,-10.1917,10,2,7,196,0,57,0,,18,0,87,77,4,60,0,0,1,1,30,0,0,2,92,33,12,1,31,4,1,0,4,80,0,4,
GeoB5140-3,margo,0.1,-19.0517,-16.6133,5,3,10,150,6,46,1,,8,0,47,30,2,154,3,0,17,1,14,0,0,1,41,27,3,0,6,0,1,0,3,81,0,8,
GeoB5140-3,margo,0.11,-19.0517,-16.6133,10,7,13,178,3,82,1,,12,7,48,26,1,171,5,0,5,3,11,0,0,2,46,27,11,0,11,7,3,1,4,102,0,0,
GeoB5140-3,margo,0.12,-19.0517,-16.6133,3,3,3,164,0,45,1,,10,6,45,26,0,110,6,2,7,2,20,0,0,2,30,23,8,0,6,7,0,1,2,53,0,0,
RC8-94,margo,16,-27.283,-102.083,23,300,,,130,19,0,,18,38,61,90,8,15,,0,0,0,,3,12,0,20,,62,0,0,,,,2,303,,,0
RC9-124,margo,40,-28.75,172.6,6,37,,,11,15,0,,36,10,132,230,2,0,,5,0,14,,0,0,1,186,,82,12,1,,,,0,50,,,0
RC9-126,margo,30,-33.233,168.733,18,0,,,3,3,0,,23,3,246,140,0,1,,7,3,48,,0,0,3,321,,37,0,0,,,,0,40,,,0
RC10-97,margo,44,0.917,-134.317,0,0,,,0,7,0,,14,0,19,0,4,0,,0,0,188,,17,1,178,5,,11,0,0,,,,0,20,,,0
RC10-11,margo,20,-11.183,-162.917,2,61,,,46,53,1,,31,12,8,0,2,17,,0,0,2,,0,0,9,0,,0,0,0,,,,0,330,,,0
RC10-16,margo,9,33.083,158,11,0,,,0,0,0,,0,1,49,2,0,0,,1,1,80,,0,0,0,177,,10,0,2,,,,0,2,,,0
RC11-21,margo,40,1.817,-140.05,1,0,,,1,5,0,,3,1,9,1,1,3,,0,0,56,,4,1,47,1,,38,0,0,,,,0,1,,,0
RC11-21,margo,15,-6.133,-140.85,1,18,,,35,46,0,,28,4,58,2,2,10,,0,0,42,,51,3,69,0,,6,0,0,,,,0,160,,,0
RC11-22,margo,30,-14.817,-139.967,2,14,,,73,59,1,,18,16,17,2,0,20,,0,0,1,,4,7,2,0,,1,1,0,,,,2,285,,,0
RC11-23,margo,45,-8.8,-110.8,6,17,,,1,42,0,,11,3,50,0,1,3,,1,0,94,,22,21,30,2,,1,0,0,,,,0,170,,,0
RC12-10,margo,40,-26,169.2,21,85,,,10,37,0,,42,22,102,180,3,0,,1,0,23,,0,0,2,197,,75,2,4,,,,0,111,,,0
RC12-36,margo,20,15.1,124.133,4,76,,,16,107,12,,21,12,35,3,3,4,,0,0,16,,0,0,7,0,,4,0,0,,,,1,40,,,0
RC13-17,margo,30,19.083,-170.067,2,33,,,0,7,40,,1,1,6,0,3,0,,0,0,3,,1,1,3,6,,8,0,0,,,,0,1,,,0
RC13-81,margo,10,-19.017,-124.233,4,231,,,46,103,3,,44,21,40,0,5,4,,0,0,4,,38,8,16,0,,16,0,0,,,,1,618,,,0
RC13-11,margo,50,-1.65,-103.633,3,0,,,0,4,0,,4,0,31,1,0,1,,0,0,121,,2,2,9,47,,9,0,0,,,,0,15,,,0
V 18-31,margo,25,-2.85,-126.2,0,0,,,0,1,0,,1,0,11,0,0,2,,0,0,69,,3,0,30,0,,3,0,0,,,,0,17,,,0
V 18-31,margo,15,3.167,-118.467,0,1,,,0,9,0,,3,0,2,0,1,0,,0,0,154,,2,0,15,0,,1,0,0,,,,0,4,,,0
V 19-29,margo,120,-3.583,-83.933,1,0,,,0,3,0,,1,0,330,0,1,1,,52,67,241,,0,0,0,213,,1,0,0,,,,0,10,,,0
V 19-53,margo,45,-17.017,-113.517,0,53,,,0,9,5,,2,1,3,0,0,0,,0,0,23,,65,0,101,0,,8,0,0,,,,0,30,,,0
V 19-55,margo,23,-17,-114.183,2,62,,,44,97,2,,33,11,68,0,2,12,,0,0,25,,85,3,91,5,,3,0,0,,,,0,630,,,0
V 19-64,margo,15,-16.933,-121.2,1,59,,,29,53,2,,16,7,24,1,1,4,,0,0,2,,20,4,14,0,,2,0,0,,,,1,340,,,0
V 19-65,margo,15,-16.65,-124.383,2,96,,,11,73,7,,29,16,19,0,2,4,,0,0,9,,50,11,36,1,,5,0,0,,,,1,530,,,0
V 19-96,margo,15,0.867,172,0,9,,,1,30,0,,12,0,33,0,0,0,,0,0,41,,2,0,87,0,,4,0,0,,,,0,34,,,0
