Latitude,Longitude,symbiont-barren spinose,undetermined non-spinose,symbiont-facultative non-spinose,symbiont-obligate spinose,symbiont-barren non-spinose,symbiont-bearing spinose,symbiont-bearing non-spinose,symbiont-facultative spinose
24.283,-53.07,0.012474012,0,0.037422036,0.927234926,0.022869023,0,0,0
-22.98,7.017,0.028571429,0,0.282857143,0.274285714,0.357142858,0.022857143,0,0
1.75,-16.05,0.0123136985,0,0.412558008,0.476271883,0.069962801,0.0184245095,0,0
10.7,-65.2,0.320293399,0,0.283618583,0.283618583,0.080684597,0.009779951,0,0
3.867,65.517,0.037383177,0.042056075,0.383177569,0.481308411,0.051401868,0.004672897,0,0
11.433,56.233,0.063953488,0,0.569767441,0.16860465,0.197674418,0,0,0
13.433,53.45,0.164835164,0,0.543956044,0.219780219,0.010989011,0.032967032,0,0
14.3,51,0.190684171,0.0021459225,0.549852731,0.2074812755,0.033409072,0.0164268285,0,0
12.867,48.4,0.154340836,0,0.549839229,0.266881028,0.006430868,0.022508039,0,0
11.85,46.75,0.2096337895,0,0.531291807,0.2147278045,0.0346804665,0.007674101,0,0
12.617,45.633,0.204152249,0,0.570934256,0.214532872,0.003460208,0.006920416,0,0
15.483,-40.52,0.006451613,0,0.116129032,0.777419353,0.041935483,0.029032258,0,0
0.85,-32.85,0.0027322405,0,0.176476532,0.75375028,0.016415899,0.036933902,0,0
-39.2,13.5,0.201150891,0,0.3644430845,0.1603597175,0.252167483,0.0014534885,0,0
-35.88,15.917,0.06875,0,0.565625,0.00625,0.35,0,0,0
-4.3,64.817,0.038043478,0.005434783,0.690217391,0.179347827,0.086956522,0,0,0
-2.833,66.3,0.014134276,0.038869258,0.727915195,0.098939928,0.116607774,0.003533569,0,0
-0.633,69.45,0.022421525,0.02690583,0.62780269,0.237668162,0.08071749,0.004484305,0,0
1.967,-37.07,0.002164502,0,0.166666666,0.777056276,0.021645021,0.01082251,0,0
23.333,-46.48,0,0,0.106362922,0.7434899805,0.015700137,0.115982009,0,0
30,-51.87,0.030612245,0,0.146938775,0.685714285,0.11632653,0.002040816,0,0.002040816
17.267,-48.42,0.002695418,0,0.132075472,0.778975741,0.016172507,0.043126685,0,0
60.033,-50.83,0.003076923,0,0.003076923,0.006153846,0.984615385,0,0,0
13.25,-40.67,0.002807402,0,0.1291221865,0.7501085305,0.060814839,0.0135375095,0,0
-33.2,15,0.0434716155,0,0.545773318,0.134946324,0.2683012355,0,0,0
-33.35,16.433,0.0279090353333333,0,0.587365079333333,0.119695970666667,0.229627594333333,0.00199206333333333,0,0
-46.02,44.367,0.394736842,0,0.257894736,0,0.342105263,0,0,0
-45,45.767,0.360433604,0,0.27100271,0,0.365853659,0,0,0
-37.15,43.5,0.0990122085,0,0.431600038,0.139875128,0.309011276,0.0017006805,0,0
-29.73,79.567,0.080912863,0,0.282157677,0.398340249,0.236514523,0.002074689,0,0
-31.05,82.85,0.030769231,0,0.470769231,0.209230768,0.289230769,0,0,0
-31.63,83.8,0.075901328,0,0.383301708,0.278937382,0.259962048,0.001897533,0,0
-32.38,84.85,0.097643097,0,0.353535353,0.205387206,0.34006734,0.003367003,0,0
-30.2,91.717,0.111392405,0,0.169620253,0.448101266,0.24050633,0.025316456,0,0
-28.883,92.833,0.079896908,0.00257732,0.268041238,0.404639177,0.242268042,0.00257732,0,0
-28.017,95.183,0.020338983,0,0.440677967,0.284745765,0.254237289,0,0,0
-31.53,99.25,0.151447662,0,0.204899776,0.378619153,0.233853006,0.0311804,0,0
28.483,-65.05,0.016161616,0,0.101010101,0.765656564,0.105050505,0,0,0.002020202
12.383,-18.92,0.030345679,0,0.379327161,0.3008991775,0.1625823045,0.0060864195,0,0
24.967,-28.93,0.0086152265,0,0.2422633745,0.5032407405,0.124218107,0.0197592595,0,0
27.967,-34.13,0.008970845,0,0.1168691235,0.736234123,0.0877144355,0,0,0.004734675
29.617,-36.92,0.008695652,0,0.236956522,0.576086956,0.15,0.008695652,0,0
58.367,-47.73,0.010126583,0,0.002531646,0.005063291,0.982278481,0,0,0
60.733,-57.83,0.0043127925,0,0,0,0.9956872075,0,0,0
11.75,-80.43,0.008955224,0,0.164179105,0.734328358,0.050746269,0.035820896,0,0
13.733,-51.12,0.03624498,0,0.3658060815,0.4038296035,0.1456540455,0.0389414805,0,0
-33.23,15.983,0.117437722,0,0.540925266,0.106761566,0.234875446,0,0,0
-38.98,29.933,0.054487179,0,0.512820512,0.012820512,0.419871794,0,0,0
-37.63,37.867,0.078804348,0.002717391,0.584239131,0.019021739,0.315217391,0,0,0
-36.12,41.85,0.021604939,0,0.867283951,0.033950619,0.077160494,0,0,0
-20.58,63.533,0.027247956,0,0.130790191,0.757493187,0.038147139,0.024523161,0,0
4.233,-47.75,0,0,0.192612138,0.778364116,0.015831134,0.005277045,0,0
-30.57,114.45,0.038043478,0.002717391,0.461956522,0.415760869,0.048913043,0.019021739,0,0
-38.57,140.62,0.223175966,0,0.381974248,0.103004291,0.261802575,0,0,0.017167382
38.75,-67.55,0.016227916,0,0.648899749333333,0.172293022333333,0.157614006666667,0,0,0.002815653
8.117,62.783,0.092071611,0.012787724,0.381074169,0.450127878,0.046035806,0.00511509,0,0
7.433,61.067,0.091346154,0.014423077,0.442307692,0.331730769,0.105769232,0,0,0
-4.217,41.55,0.100775194,0,0.294573643,0.50387597,0.069767442,0.028423772,0,0
-19.92,41.6,0.018229167,0,0.265625,0.565104167,0.130208332,0.002604167,0,0
-30.58,13.283,0.041420118,0,0.49704142,0.162721894,0.284023668,0,0,0
-29.52,9.583,0.007605769,0,0.464480769,0.0353269225,0.4854807695,0,0,0
-21.83,10.8,0.101226994,0.001022495,0.12985685,0.059304704,0.694274028,0.001022495,0,0
2,-5.25,0.053864169,0,0.222482435,0.5058548,0.208430913,0.00234192,0,0
1.417,-9.083,0.01660793,0,0.578579295,0.1028502205,0.281753304,0.019709251,0,0
3.65,-15.05,0,0,0.539344093333333,0.0833406963333333,0.325862133,0.045042369,0,0
29.017,-41.4,0.00443459,0,0.137472284,0.694013304,0.084257206,0.050997783,0,0.002217295
33.3,-48.27,0.064537858,0,0.3272884405,0.456800685,0.1345399085,0.0031021425,0,0.0031021425
-21.98,68.483,0.008474576,0.004237288,0.152542374,0.673728814,0.144067795,0.004237288,0,0
-23.05,64.9,0.058237791,0,0.194516074,0.674515016,0.050938231,0.010909668,0,0
2.1,-35.6,0.003125,0,0.16875,0.775,0.040625,0.00625,0,0
5.317,-33.03,0.002824859,0,0.209039548,0.658192091,0.045197742,0.04519774,0,0
8.467,-30.13,0.014420546,0,0.3967600325,0.122574638,0.2364574635,0.0458667735,0,0
38.283,-68.53,0.038751351,0,0.424974343,0.055421541,0.47309005,0,0,0
11.533,-60.52,0.003378378,0,0.138513514,0.847972973,0.003378378,0,0,0
14.45,-77.23,0.004889976,0,0.237163815,0.303178485,0.041564793,0.007334963,0,0
-46.13,-10.9,0.202970297,0,0.127062706,0.004950495,0.638613861,0,0,0
-44.47,-6.633,0.524547804,0,0.204134367,0.012919896,0.222222222,0,0,0
-43.18,-3.25,0.591463415,0,0.258130081,0.00203252,0.142276423,0,0,0
3.383,-20.12,0.013333333,0,0.370666667,0.445333333,0.165333334,0,0,0
14.167,-18.58,0.341176471,0,0.194117647,0.261764705,0.18235294,0,0.002941176,0.008823529
14.4,-21.15,0,0,0.637170429,0.1880507895,0.167892776,0.0068860045,0,0
15.017,-23.23,0.036553525,0.002610966,0.245430809,0.548302872,0.062663185,0.075718016,0,0
20.7,-31.45,0.011019284,0,0.165289256,0.735537191,0.074380165,0.008264463,0,0.002754821
27.917,-43.63,0.008064516,0,0.126344086,0.661290322,0.096774193,0.080645161,0,0
32.65,-52.3,0.076604555,0,0.242236025,0.180124224,0.461697723,0.004140787,0,0.004140787
34.75,-57.25,0.0189427035,0,0.392669707,0.315652202,0.2727353895,0,0,0
12.75,-45.63,0.00610998,0,0.154786151,0.800407333,0.02647658,0.00203666,0,0
19.883,-25.53,0.0205633805,0,0.2669014085,0.5751911465,0.1025754525,0.0176257545,0,0
17.2,-35.83,0.0076895075,0,0.2047047045,0.693147693,0.0818090815,0.004959505,0,0
17.483,-40.67,0.006818182,0,0.170454545,0.677272728,0.081818181,0.04090909,0,0.004545455
41.517,-45.13,0.1429285715,0,0.36553525,0.215606679,0.2629359925,0,0,0
46,-45.05,0.507462687,0,0.069651741,0.029850746,0.378109452,0.002487562,0,0
62.667,-27.53,0.438444924,0,0.110151187,0.019438445,0.386609071,0,0,0
68.0333,0.0167,0.356382978,0,0.012765958,0,0.629787234,0,0,0
70.05,8.317,0.151041667,0,0.013020834,0,0.8359375,0,0,0
77.95,0.2,0.027463651,0,0,0,0.972536349,0,0,0
70.983,6.683,0.028571429,0,0,0,0.965079366,0,0,0
68.55,2.717,0.197183098,0,0.020486556,0,0.777208706,0,0,0
60.933,-17.57,0.028596961,0,0.394101877,0.00178731,0.572832886,0,0,0
54.25,-16.83,0.199556541,0,0.274944568,0.015521065,0.483370288,0,0,0
52.583,-21.93,0.197252599,0,0.264898129,0.006118503,0.506756757,0,0,0
49.867,-24.25,0.224028822,0,0.3246353385,0.0100125315,0.4167919805,0,0,0
46,-16.92,0.1529488915,0,0.2687102375,0.1187249305,0.4166147055,0,0,0.0021943185
29.8,-15.1,0.016826923,0,0.139423076,0.668269231,0.134615384,0.016826923,0,0
12.25,-76.63,0.00212766,0,0.359574469,0.240425534,0.163829788,0.029787234,0,0
22.6,-72.6,0.0051085655,0,0.1379312595,0.777780677,0.0510856515,0.025542826,0,0
26.783,-46.7,0.009174312,0,0.110091743,0.767584099,0.04587156,0.051987768,0,0
9.317,-43,0.007936508,0,0.198412699,0.73015873,0.03968254,0.003968254,0,0
17.033,-71.23,0,0,0.190938511,0.747572815,0.038834952,0.022653722,0,0
9.567,-18.18,0.109612142,0,0.26306914,0.397976391,0.217537942,0.005059022,0,0
6.267,-17.92,0.024305556,0,0.479166667,0.159722222,0.315972222,0.010416667,0,0
6.033,-18.25,0.0125240965,0,0.256512048,0.6001927705,0.1182469875,0,0,0
5.833,-18.08,0.015163324,0,0.4648223495,0.1955558745,0.285333811,0.036191977,0,0
0.3,-14.8,0,0,0.436140567333333,0.478566981666667,0.0775286563333333,0.00321523066666667,0,0
42.267,-60.5,0.1347388395,0,0.2923333425,0.0092363655,0.5570333735,0,0,0
62.133,-14.2,0.117424243,0,0.09185606,0.003787879,0.777462121,0,0,0
56.067,-24.08,0.13323124,0,0.196018377,0.006125575,0.646248086,0,0,0
43.8,-14.68,0.004672897,0,0.364485981,0.168224299,0.443925234,0.004672897,0,0
42.7,-17.07,0.0762380045,0,0.3170102895,0.133493905,0.4451244105,0,0,0.0129227845
39.717,-20.15,0.089588378,0,0.246973366,0.351089588,0.25423729,0,0,0.016949153
39.617,-13.55,0.176638177,0,0.21937322,0.11965812,0.438746439,0.008547009,0,0
42.75,-43.23,0.188442211,0,0.233668342,0.130653267,0.412060302,0,0,0
44.167,-39.87,0.107226107,0,0.412587413,0.095571095,0.375291376,0,0,0
