Latitude,Longitude,symbiont-barren spinose,undetermined non-spinose,symbiont-facultative non-spinose,symbiont-obligate spinose,symbiont-barren non-spinose,symbiont-bearing spinose,symbiont-bearing non-spinose,symbiont-facultative spinose
-35.88,15.917,22,0,181,2,112,0,0,0
-4.3,64.817,7,1,127,33,16,0,0,0
-2.833,66.3,4,11,206,28,33,1,0,0
-0.633,69.45,5,6,140,53,18,1,0,0
1.967,-37.07,1,0,77,359,10,5,0,0
23.333,-46.48,0,0,34.5,239.5,5,37,0,0
30,-51.87,15,0,72,336,57,1,0,1
17.267,-48.42,1,0,49,289,6,16,0,0
60.033,-50.83,1,0,1,2,320,0,0,0
13.25,-40.67,1,0,48.5,280.5,23,5,0,0
-33.2,15,14.5,0,182,45,89.5,0,0,0
-33.35,16.433,8,0,181.666666666667,38,70,0.666666666666667,0,0
-46.02,44.367,150,0,98,0,130,0,0,0
-45,45.767,133,0,100,0,135,0,0,0
-37.15,43.5,29,0,126.5,41,90.5,0.5,0,0
-29.73,79.567,39,0,136,192,114,1,0,0
-31.05,82.85,10,0,153,68,94,0,0,0
-31.63,83.8,40,0,202,147,137,1,0,0
-32.38,84.85,29,0,105,61,101,1,0,0
-30.2,91.717,44,0,67,177,95,10,0,0
-28.883,92.833,31,1,104,157,94,1,0,0
-28.017,95.183,6,0,130,84,75,0,0,0
-31.53,99.25,68,0,92,170,105,14,0,0
28.483,-65.05,8,0,50,379,52,0,0,1
12.383,-18.92,12,0,165.5,121,71.5,2.5,0,0
24.967,-28.93,4,0,113,231,58,9,0,0
27.967,-34.13,4,0,51.5,323.5,38.5,0,0,2
29.617,-36.92,4,0,109,265,69,4,0,0
58.367,-47.73,4,0,1,2,388,0,0,0
60.733,-57.83,1.5,0,0,0,361,0,0,0
11.75,-80.43,3,0,55,246,17,12,0,0
13.733,-51.12,14,0,144,158,57.5,15,0,0
-33.23,15.983,33,0,152,30,66,0,0,0
-38.98,29.933,17,0,160,4,131,0,0,0
-37.63,37.867,29,1,215,7,116,0,0,0
-36.12,41.85,7,0,281,11,25,0,0,0
-20.58,63.533,10,0,48,278,14,9,0,0
4.233,-47.75,0,0,73,295,6,2,0,0
-30.57,114.45,14,1,170,153,18,7,0,0
-38.57,140.62,52,0,89,24,61,0,0,4
38.75,-67.55,6,0,238.666666666667,63.3333333333333,58,0,0,1
8.117,62.783,36,5,149,176,18,2,0,0
7.433,61.067,19,3,92,69,22,0,0,0
-4.217,41.55,39,0,114,195,27,11,0,0
-19.92,41.6,7,0,102,217,50,1,0,0
-30.58,13.283,14,0,168,55,96,0,0,0
-29.52,9.583,3,0,186,14,194,0,0,0
-21.83,10.8,99,1,127,58,679,1,0,0
2,-5.25,23,0,95,216,89,1,0,0
1.417,-9.083,6,0,221,37,103.5,7,0,0
3.65,-15.05,0,0,181.666666666667,27.6666666666667,109,15,0,0
29.017,-41.4,2,0,62,313,38,23,0,1
33.3,-48.27,32,0,161.5,222,69.5,1.5,0,1.5
-21.98,68.483,2,1,36,159,34,1,0,0
-23.05,64.9,16,0,53.5,185.5,14,3,0,0
2.1,-35.6,1,0,54,248,13,2,0,0
5.317,-33.03,1,0,74,233,16,16,0,0
8.467,-30.13,8,0,225.5,68.5,143.5,25.5,0,0
38.283,-68.53,22,0,241.5,31,269,0,0,0
11.533,-60.52,1,0,41,251,1,0,0,0
14.45,-77.23,2,0,97,124,17,3,0,0
-46.13,-10.9,123,0,77,3,387,0,0,0
-44.47,-6.633,203,0,79,5,86,0,0,0
-43.18,-3.25,291,0,127,1,70,0,0,0
3.383,-20.12,5,0,139,167,62,0,0,0
14.167,-18.58,116,0,66,89,62,0,1,3
14.4,-21.15,0,0,273,80.5,72,3,0,0
15.017,-23.23,14,1,94,210,24,29,0,0
20.7,-31.45,4,0,60,267,27,3,0,1
27.917,-43.63,3,0,47,246,36,30,0,0
32.65,-52.3,37,0,117,87,223,2,0,2
34.75,-57.25,7.5,0,155.5,125,108,0,0,0
12.75,-45.63,3,0,76,393,13,1,0,0
19.883,-25.53,7,0,93,201,36,6,0,0
