Event,Data_Source,Depth [m],Latitude,Longitude,symbiont-barren non-spinose,symbiont-barren spinose,symbiont-bearing non-spinose,symbiont-obligate spinose,symbiont-bearing spinose,symbiont-facultative non-spinose,undetermined non-spinose,symbiont-facultative spinose,undetermined spinose,SST
GeoB1505-1,margo,0.53,2.27,-33.01,144,22.0,0.0,382.0,2.0,174.0,0.0,0.0,,23.418596943535185
GeoB1508-4,margo,0.28,5.3333,-34.025,54,3.0,0.0,414.0,11.0,100.0,0.0,0.0,,23.34609001890322
GeoB1515-1,margo,0.48,4.2383,-43.6667,69,8.0,0.0,371.0,10.0,93.0,0.0,0.0,,23.15670367602599
GeoB1701-4,margo,0.98,1.95,3.5517,70,21.0,0.0,235.0,7.0,314.0,7.0,2.0,,23.019176373555798
GeoB1701-4,margo,1.03,1.95,3.5517,66,33.0,0.0,402.0,22.0,393.0,3.0,0.0,,23.019176373555798
GeoB1701-4,margo,1.08,1.95,3.5517,54,34.0,0.0,303.0,14.0,321.0,6.0,0.0,,23.019176373555798
GeoB1701-4,margo,1.13,1.95,3.5517,126,14.0,0.0,247.0,19.0,270.0,0.0,0.0,,23.019176373555798
GeoB1701-4,margo,1.18,1.95,3.5517,103,19.0,0.0,136.0,4.0,158.0,0.0,1.0,,23.019176373555798
GeoB1722-1,margo,0.23,-29.45,11.75,268,69.0,0.0,33.0,7.0,181.0,0.0,0.0,,15.120078143190078
GeoB1722-1,margo,0.28,-29.45,11.75,398,67.0,0.0,44.0,4.0,99.0,0.0,0.0,,15.120078143190078
GeoB1903-3,margo,0.48,-8.675,-11.845,68,30.0,0.0,284.0,28.0,222.0,2.0,2.0,,22.053762060979235
GeoB1903-3,margo,0.53,-8.675,-11.845,162,43.0,0.0,327.0,18.0,246.0,9.0,2.0,,22.053762060979235
GeoB1903-3,margo,0.58,-8.675,-11.845,227,54.0,0.0,513.0,74.0,265.0,0.0,2.0,,22.053762060979235
GeoB1905-3,margo,0.38,-17.1433,-13.9867,78,79.0,0.0,389.0,78.0,208.0,0.0,2.0,,18.820446933442533
GeoB1905-3,margo,0.43,-17.1433,-13.9867,82,43.0,0.0,645.0,153.0,145.0,0.0,4.0,,18.820446933442533
GeoB2004-2,margo,0.68,-30.87,14.3433,523,109.0,0.0,55.0,2.0,135.0,0.0,4.0,,15.13856290900382
GeoB2004-2,margo,0.73,-30.87,14.3433,441,99.0,0.0,45.0,5.0,99.0,0.0,0.0,,15.13856290900382
GeoB2004-2,margo,0.78,-30.87,14.3433,718,122.0,0.0,37.0,11.0,105.0,0.0,2.0,,15.13856290900382
GeoB2016-1,margo,0.18,-31.9,-1.33,239,229.0,0.0,87.0,8.0,126.0,6.0,0.0,,15.54565585249922
GeoB2019-1,margo,0.33,-36.06,-8.7783,285,271.0,0.0,13.0,3.0,149.0,3.0,0.0,,13.341688576980541
GeoB2021-5,margo,0.13,-36.8333,-14.4033,279,233.0,0.0,10.0,0.0,178.0,0.0,0.0,,13.384368305272721
GeoB2109-1,margo,0.48,-27.9117,-45.8817,61,18.0,0.0,201.0,20.0,129.0,2.0,0.0,,20.98442417067168
GeoB2109-1,margo,0.53,-27.9117,-45.8817,56,24.0,0.0,174.0,21.0,95.0,0.0,0.0,,20.98442417067168
GeoB2109-1,margo,0.58,-27.9117,-45.8817,88,26.0,0.0,190.0,29.0,193.0,4.0,0.0,,20.98442417067168
GeoB2109-1,margo,0.63,-27.9117,-45.8817,91,25.0,0.0,272.0,59.0,157.0,2.0,0.0,,20.98442417067168
GeoB2116-4,margo,0.28,-25.5117,-35.9983,80,10.0,0.0,72.0,0.0,47.0,0.0,0.0,,21.01955585212759
GeoB2117-1,margo,0.23,-23.0383,-36.6517,27,44.0,0.0,346.0,12.0,43.0,0.0,0.0,,21.557645812353854
GeoB2125-1,margo,0.33,-20.8233,-39.8633,23,14.0,0.0,338.0,31.0,201.0,0.0,0.0,,21.929142338974707
GeoB2125-1,margo,0.38,-20.8233,-39.8633,19,10.0,0.0,375.0,37.0,241.0,0.0,5.0,,21.929142338974707
GeoB2202-4,margo,0.78,-8.1983,-34.265,34,7.0,0.0,622.0,23.0,128.0,0.0,0.0,,22.923181140615668
GeoB2202-4,margo,0.83,-8.1983,-34.265,33,2.0,0.0,593.0,31.0,139.0,0.0,0.0,,22.923181140615668
GeoB2202-4,margo,0.88,-8.1983,-34.265,29,9.0,0.0,548.0,50.0,158.0,0.0,0.0,,22.923181140615668
GeoB2202-4,margo,0.93,-8.1983,-34.265,18,6.0,0.0,489.0,49.0,144.0,0.0,0.0,,22.923181140615668
GeoB2215-10,margo,0.43,0.0067,-23.495,221,75.0,0.0,237.0,13.0,205.0,5.0,0.0,,22.883587649809517
GeoB2215-10,margo,0.48,0.0067,-23.495,177,18.0,0.0,90.0,2.0,162.0,0.0,0.0,,22.883587649809517
GeoB2819-1,margo,0.13,-30.8483,-38.3433,295,111.0,0.0,229.0,24.0,141.0,4.0,0.0,,19.02104037099796
GeoB3104-1,margo,1.73,-3.6667,-37.7167,25,0.0,0.0,478.0,13.0,221.0,0.0,0.0,,23.45590888223454
GeoB3104-1,margo,1.78,-3.6667,-37.7167,40,0.0,0.0,375.0,11.0,216.0,0.0,0.0,,23.45590888223454
GeoB3104-1,margo,1.83,-3.6667,-37.7167,37,0.0,0.0,329.0,10.0,160.0,0.0,0.0,,23.45590888223454
GeoB3104-1,margo,1.88,-3.6667,-37.7167,38,0.0,0.0,316.0,25.0,177.0,0.0,0.0,,23.45590888223454
GeoB3104-1,margo,1.98,-3.6667,-37.7167,38,0.0,0.0,249.0,20.0,114.0,0.0,0.0,,23.45590888223454
GeoB3117-1,margo,2.98,-4.295,-37.0917,44,0.0,0.0,373.0,31.0,180.0,0.0,0.0,,23.37694169462597
GeoB3117-1,margo,3.03,-4.295,-37.0917,39,0.0,0.0,285.0,22.0,140.0,0.0,0.0,,23.37694169462597
GeoB3117-1,margo,3.13,-4.295,-37.0917,34,0.0,0.0,269.0,48.0,125.0,0.0,0.0,,23.37694169462597
GeoB3117-1,margo,3.23,-4.295,-37.0917,27,0.0,0.0,264.0,12.0,133.0,0.0,0.0,,23.37694169462597
GeoB3117-1,margo,3.33,-4.295,-37.0917,20,4.0,0.0,238.0,9.0,96.0,0.0,0.0,,23.37694169462597
GeoB3117-1,margo,3.43,-4.295,-37.0917,23,0.0,0.0,329.0,6.0,93.0,0.0,0.0,,23.37694169462597
GeoB3117-1,margo,3.53,-4.295,-37.0917,17,2.0,0.0,401.0,11.0,106.0,0.0,0.0,,23.37694169462597
GeoB3175-1,margo,1.68,-7.0533,-34.4633,33,12.0,0.0,398.0,12.0,49.0,0.0,0.0,,23.060692152666974
GeoB3175-1,margo,1.73,-7.0533,-34.4633,23,14.0,0.0,325.0,18.0,41.0,0.0,0.0,,23.060692152666974
GeoB3175-1,margo,1.78,-7.0533,-34.4633,18,23.0,0.0,315.0,13.0,37.0,0.0,0.0,,23.060692152666974
GeoB3175-1,margo,1.83,-7.0533,-34.4633,36,7.0,0.0,417.0,17.0,57.0,0.0,0.0,,23.060692152666974
GeoB3176-1,margo,3.43,-7.0117,-34.4417,21,4.0,0.0,316.0,15.0,81.0,0.0,0.0,,23.060692152666974
GeoB3176-1,margo,3.48,-7.0117,-34.4417,30,13.0,0.0,389.0,23.0,107.0,0.0,0.0,,23.060692152666974
GeoB3176-1,margo,3.53,-7.0117,-34.4417,30,22.0,0.0,417.0,27.0,70.0,0.0,0.0,,23.060692152666974
GeoB3176-1,margo,3.58,-7.0117,-34.4417,12,7.0,0.0,418.0,10.0,75.0,0.0,0.0,,23.060692152666974
GeoB3603-2,margo,0.33,-35.125,17.5433,285,72.0,0.0,16.0,0.0,71.0,0.0,0.0,,16.107779823240307
GeoB3603-2,margo,0.38,-35.125,17.5433,242,70.0,0.0,16.0,0.0,82.0,0.0,0.0,,16.107779823240307
GeoB3722-2,margo,0.83,-25.25,12.0217,631,30.0,0.0,1.0,0.0,55.0,0.0,0.0,,16.631190444203288
GeoB3722-2,margo,0.88,-25.25,12.0217,868,93.0,0.0,17.0,0.0,98.0,0.0,0.0,,16.631190444203288
GeoB3722-2,margo,0.93,-25.25,12.0217,964,26.0,0.0,5.0,0.0,65.0,0.0,0.0,,16.631190444203288
GeoB3722-2,margo,0.98,-25.25,12.0217,785,47.0,0.0,3.0,0.0,45.0,0.0,0.0,,16.631190444203288
GeoB3801-6,margo,0.18,-29.5117,-8.305,123,94.0,0.0,134.0,21.0,115.0,6.0,0.0,,16.92874043212572
GeoB3808-6,margo,0.18,-30.8117,-14.7117,175,187.0,0.0,180.0,22.0,168.0,14.0,0.0,,17.214834789174482
GeoB3813-3,margo,0.13,-32.2683,-21.9667,258,90.0,0.0,108.0,6.0,129.0,0.0,0.0,,16.60433050562898
GeoB5112-5,margo,0.16,-23.825,-16.2583,67,50.0,0.0,294.0,75.0,162.0,0.0,0.0,,18.86405129574343
GeoB5115-2,margo,0.14,-24.1433,-14.0433,80,73.0,0.0,401.0,79.0,180.0,0.0,0.0,,18.50213379474791
GeoB5115-2,margo,0.15,-24.1433,-14.0433,84,58.0,0.0,360.0,82.0,142.0,0.0,0.0,,18.50213379474791
GeoB5115-2,margo,0.16,-24.1433,-14.0433,56,50.0,0.0,275.0,45.0,158.0,0.0,0.0,,18.50213379474791
GeoB5115-2,margo,0.17,-24.1433,-14.0433,64,45.0,0.0,321.0,63.0,176.0,0.0,0.0,,18.50213379474791
GeoB5121-2,margo,0.16,-24.1833,-12.0217,82,55.0,0.0,268.0,88.0,155.0,5.0,0.0,,18.120754787678774
GeoB5133-3,margo,0.18,-19.0867,-10.1917,109,91.0,0.0,367.0,60.0,179.0,8.0,0.0,,17.944395650671982
GeoB5140-3,margo,0.1,-19.0517,-16.6133,68,49.0,0.0,252.0,161.0,127.0,8.0,3.0,,18.88713247950988
GeoB5140-3,margo,0.11,-19.0517,-16.6133,68,49.0,0.0,335.0,175.0,158.0,7.0,5.0,,18.88713247950988
GeoB5140-3,margo,0.12,-19.0517,-16.6133,64,47.0,0.0,260.0,111.0,90.0,7.0,6.0,,18.88713247950988
KET8003,margo,1.91,38.49,14.3,218,139.0,0.0,2.0,2.0,61.0,0.0,0.0,,14.10984035276363
KET8003,margo,1.95,38.49,14.3,159,154.0,0.0,2.0,2.0,50.0,0.0,0.0,,14.10984035276363
KET8003,margo,2.01,38.49,14.3,238,245.0,0.0,7.0,0.0,146.0,0.0,0.0,,14.10984035276363
KET8003,margo,2.05,38.49,14.3,164,172.0,0.0,3.0,4.0,116.0,0.0,0.0,,14.10984035276363
KET8003,margo,2.11,38.49,14.3,172,145.0,0.0,7.0,0.0,124.0,0.0,0.0,,14.10984035276363
KET8003,margo,2.15,38.49,14.3,112,124.0,0.0,3.0,1.0,71.0,0.0,0.0,,14.10984035276363
KET8003,margo,2.21,38.49,14.3,181,192.0,0.0,4.0,0.0,112.0,0.0,0.0,,14.10984035276363
KET8003,margo,2.25,38.49,14.3,230,225.0,0.0,5.0,0.0,88.0,0.0,0.0,,14.10984035276363
KET8019,margo,2.71,40.33,13.21,145,102.0,0.0,85.0,3.0,92.0,0.0,0.0,,13.680188174522902
KET8019,margo,2.81,40.33,13.21,76,83.0,0.0,56.0,1.0,43.0,0.0,0.0,,13.680188174522902
KET8019,margo,2.98,40.33,13.21,209,91.0,0.0,78.0,0.0,68.0,0.0,0.0,,13.680188174522902
KET8019,margo,3.01,40.33,13.21,177,72.0,0.0,35.0,0.0,45.0,0.0,0.0,,13.680188174522902
KET8019,margo,3.14,40.33,13.21,105,163.0,0.0,31.0,0.0,50.0,0.0,0.0,,13.680188174522902
KET8019,margo,3.21,40.33,13.21,279,106.0,0.0,5.0,0.0,78.0,0.0,0.0,,13.680188174522902
KET8039,margo,2.7125,36.32,11.41,130,113.0,0.0,131.0,0.0,83.0,0.0,0.0,,14.14030701933961
KET8039,margo,2.8125,36.32,11.41,91,141.0,0.0,68.0,1.0,45.0,0.0,0.0,,14.14030701933961
KET8039,margo,2.9125,36.32,11.41,110,102.0,0.0,114.0,0.0,56.0,0.0,0.0,,14.14030701933961
KET8039,margo,3.0125,36.32,11.41,73,145.0,0.0,77.0,0.0,36.0,0.0,0.0,,14.14030701933961
KET8039,margo,3.1125,36.32,11.41,89,102.0,0.0,96.0,0.0,35.0,0.0,0.0,,14.14030701933961
KET8039,margo,3.2125,36.32,11.41,149,129.0,0.0,146.0,1.0,52.0,0.0,0.0,,14.14030701933961
KET8039,margo,3.3125,36.32,11.41,102,71.0,0.0,85.0,0.0,45.0,0.0,0.0,,14.14030701933961
KET8039,margo,3.4125,36.32,11.41,149,137.0,0.0,121.0,1.0,81.0,0.0,0.0,,14.14030701933961
KET8039,margo,3.5125,36.32,11.41,117,115.0,0.0,98.0,3.0,54.0,0.0,0.0,,14.14030701933961
KET8039,margo,3.6125,36.32,11.41,120,105.0,0.0,101.0,1.0,42.0,0.0,0.0,,14.14030701933961
KET8039,margo,3.7125,36.32,11.41,156,91.0,0.0,52.0,0.0,38.0,0.0,0.0,,14.14030701933961
KET8039,margo,3.8125,36.32,11.41,228,116.0,0.0,80.0,3.0,54.0,0.0,0.0,,14.14030701933961
KET8039,margo,3.9125,36.32,11.41,238,94.0,0.0,93.0,1.0,41.0,0.0,0.0,,14.14030701933961
KET8039,margo,4.0125,36.32,11.41,192,100.0,0.0,75.0,0.0,53.0,0.0,0.0,,14.14030701933961
KET8039,margo,4.1125,36.32,11.41,152,115.0,0.0,10.0,0.0,49.0,0.0,0.0,,14.14030701933961
KET8216,margo,1.81,41.31,17.59,122,104.0,0.0,0.0,0.0,19.0,0.0,0.0,,12.936517563142978
KET8216,margo,1.91,41.31,17.59,80,44.0,0.0,0.0,2.0,17.0,0.0,0.0,,12.936517563142978
KET8216,margo,2.01,41.31,17.59,88,66.0,0.0,2.0,0.0,13.0,0.0,0.0,,12.936517563142978
KET8216,margo,2.09,41.31,17.59,100,185.0,0.0,0.0,0.0,27.0,0.0,0.0,,12.936517563142978
KL96,margo,0.455,32.77,19.19,69,17.0,0.0,181.0,3.0,1.0,0.0,0.0,,16.735183616901033
KL96,margo,0.505,32.77,19.19,76,19.0,0.0,146.0,2.0,4.0,0.0,0.0,,16.735183616901033
LC01,margo,0.682,40.26,6.887,122,270.0,0.0,39.0,0.0,43.0,0.0,0.0,,13.071460339471965
LC01,margo,0.71,40.26,6.887,86,188.0,0.0,55.0,0.0,31.0,0.0,0.0,,13.071460339471965
LC01,margo,0.757,40.26,6.887,90,170.0,0.0,44.0,1.0,40.0,0.0,0.0,,13.071460339471965
LC01,margo,0.787,40.26,6.887,117,394.0,0.0,21.0,0.0,57.0,0.0,0.0,,13.071460339471965
LC04,margo,0.832,38.65,6.11,66,110.0,0.0,24.0,0.0,32.0,0.0,0.0,,13.673420230188883
LC04,margo,0.912,38.65,6.11,154,161.0,0.0,56.0,1.0,82.0,0.0,0.0,,13.673420230188883
LC04,margo,0.997,38.65,6.11,116,108.0,0.0,57.0,4.0,52.0,0.0,0.0,,13.673420230188883
LC07,margo,0.685,38.14,10.07,58,112.0,0.0,8.0,1.0,40.0,0.0,0.0,,13.818356597361262
LC07,margo,0.805,38.14,10.07,30,75.0,0.0,8.0,0.0,30.0,0.0,0.0,,13.818356597361262
LC07,margo,0.865,38.14,10.07,31,67.0,0.0,7.0,0.0,18.0,0.0,0.0,,13.818356597361262
LC21,margo,275.5,35.66,26.58,74,23.0,0.0,37.0,2.0,31.0,0.0,0.0,,16.38558783437414
LC21,margo,281.5,35.66,26.58,79,25.0,0.0,57.0,2.0,10.0,0.0,0.0,,16.38558783437414
LC21,margo,289.5,35.66,26.58,115,31.0,0.0,55.0,4.0,91.0,0.0,0.0,,16.38558783437414
LC21,margo,296.0,35.66,26.58,48,12.0,0.0,15.0,2.0,23.0,0.0,0.0,,16.38558783437414
LC21,margo,303.5,35.66,26.58,65,35.0,0.0,44.0,2.0,34.0,0.0,0.0,,16.38558783437414
LC21,margo,310.5,35.66,26.58,83,54.0,0.0,45.0,4.0,44.0,0.0,0.0,,16.38558783437414
LC21,margo,317.0,35.66,26.58,102,14.0,0.0,40.0,2.0,18.0,0.0,0.0,,16.38558783437414
LC21,margo,324.5,35.66,26.58,67,45.0,0.0,22.0,4.0,16.0,0.0,0.0,,16.38558783437414
MD 95-2043,margo,8.3,36.143,-2.621,258,52.0,0.0,7.0,0.0,14.0,0.0,0.0,,15.283109164479196
MD 95-2043,margo,8.4,36.143,-2.621,304,61.0,0.0,11.0,0.0,19.0,0.0,0.0,,15.283109164479196
MD 95-2043,margo,8.5,36.143,-2.621,335,54.0,0.0,2.0,0.0,22.0,0.0,0.0,,15.283109164479196
MD 95-2043,margo,8.6,36.143,-2.621,285,97.0,0.0,13.0,0.0,11.0,0.0,0.0,,15.283109164479196
MD 95-2043,margo,8.7,36.143,-2.621,186,94.0,0.0,5.0,0.0,18.0,0.0,0.0,,15.283109164479196
MD 95-2043,margo,8.8,36.143,-2.621,458,144.0,0.0,7.0,0.0,39.0,0.0,0.0,,15.283109164479196
MD 95-2043,margo,8.9,36.143,-2.621,301,99.0,0.0,7.0,0.0,21.0,0.0,0.0,,15.283109164479196
MD012416,margo,196.5,51.268,167.7255,307,70.0,0.0,0.0,0.0,2.0,0.0,,,2.938908589758489
MD012416,margo,197.5,51.268,167.7255,338,78.0,0.0,0.0,0.0,2.0,0.0,,,2.938908589758489
MD012416,margo,200.5,51.268,167.7255,267,52.0,0.0,0.0,0.0,2.0,0.0,,,2.938908589758489
MD012416,margo,202.5,51.268,167.7255,327,60.0,0.0,0.0,0.0,1.0,0.0,,,2.938908589758489
MD012416,margo,205.5,51.268,167.7255,309,41.0,0.0,0.0,0.0,0.0,0.0,,,2.938908589758489
MD012416,margo,209.5,51.268,167.7255,270,55.0,0.0,0.0,0.0,2.0,0.0,,,2.938908589758489
MD012416,margo,184.5,51.268,167.7255,255,50.0,0.0,0.0,0.0,0.0,0.0,,,2.938908589758489
MD012416,margo,190.5,51.268,167.7255,307,54.0,0.0,0.0,0.0,0.0,0.0,,,2.938908589758489
MD012416,margo,194.5,51.268,167.7255,326,64.0,0.0,0.0,0.0,2.0,0.0,,,2.938908589758489
MD84-632,margo,1.58,32.47,34.23,249,19.0,0.0,621.0,9.0,35.0,0.0,0.0,,17.80137606230177
MD84-632,margo,1.6,32.47,34.23,208,30.0,0.0,743.0,1.0,30.0,0.0,0.0,,17.80137606230177
MD84-632,margo,1.62,32.47,34.23,192,18.0,0.0,806.0,3.0,30.0,0.0,0.0,,17.80137606230177
MD84-632,margo,1.64,32.47,34.23,345,53.0,0.0,1228.0,9.0,45.0,0.0,0.0,,17.80137606230177
MD84-632,margo,1.66,32.47,34.23,126,36.0,0.0,620.0,2.0,24.0,0.0,0.0,,17.80137606230177
MD84-632,margo,1.68,32.47,34.23,246,35.0,0.0,684.0,5.0,35.0,0.0,0.0,,17.80137606230177
MD84-632,margo,1.7,32.47,34.23,373,59.0,0.0,1160.0,9.0,57.0,0.0,0.0,,17.80137606230177
MD84-632,margo,1.72,32.47,34.23,312,50.0,0.0,1053.0,11.0,38.0,0.0,0.0,,17.80137606230177
MD84-632,margo,1.74,32.47,34.23,189,18.0,0.0,752.0,11.0,14.0,0.0,0.0,,17.80137606230177
MD84-632,margo,1.76,32.47,34.23,150,14.0,0.0,545.0,11.0,18.0,0.0,0.0,,17.80137606230177
MD84-632,margo,1.78,32.47,34.23,219,12.0,0.0,903.0,7.0,26.0,0.0,0.0,,17.80137606230177
MD84-632,margo,1.8,32.47,34.23,239,9.0,0.0,805.0,9.0,34.0,0.0,0.0,,17.80137606230177
MD84-632,margo,1.82,32.47,34.23,209,12.0,0.0,646.0,13.0,38.0,0.0,0.0,,17.80137606230177
MD84-632,margo,1.84,32.47,34.23,219,16.0,0.0,493.0,15.0,37.0,0.0,0.0,,17.80137606230177
MD84-632,margo,1.86,32.47,34.23,246,12.0,0.0,609.0,16.0,41.0,0.0,0.0,,17.80137606230177
MD84-632,margo,1.88,32.47,34.23,219,10.0,0.0,613.0,8.0,35.0,0.0,0.0,,17.80137606230177
MD84-632,margo,1.9,32.47,34.23,288,12.0,0.0,1022.0,6.0,36.0,0.0,0.0,,17.80137606230177
MD84-632,margo,1.92,32.47,34.23,254,68.0,0.0,1026.0,3.0,37.0,0.0,0.0,,17.80137606230177
MD84-632,margo,1.96,32.47,34.23,361,285.0,0.0,958.0,2.0,20.0,0.0,0.0,,17.80137606230177
MD84627,margo,0.6,32.14,33.45,124,8.0,0.0,161.0,1.0,12.0,0.0,0.0,,17.80137606230177
MD84627,margo,0.7,32.14,33.45,111,6.0,0.0,263.0,0.0,10.0,0.0,0.0,,17.80137606230177
MD84627,margo,0.8,32.14,33.45,134,12.0,0.0,373.0,0.0,7.0,0.0,0.0,,17.80137606230177
MD84629,margo,1.6,32.04,34.21,69,8.0,0.0,10.0,8.0,11.0,0.0,0.0,,17.80137606230177
MD84629,margo,1.65,32.04,34.21,90,14.0,0.0,4.0,1.0,3.0,0.0,0.0,,17.80137606230177
MD84629,margo,1.7,32.04,34.21,43,16.0,0.0,15.0,5.0,4.0,0.0,0.0,,17.80137606230177
MD84629,margo,1.75,32.04,34.21,73,11.0,0.0,1.0,0.0,6.0,0.0,0.0,,17.80137606230177
MD84629,margo,1.8,32.04,34.21,130,167.0,0.0,11.0,12.0,5.0,0.0,0.0,,17.80137606230177
MD84629,margo,1.85,32.04,34.21,69,74.0,0.0,1.0,1.0,0.0,0.0,0.0,,17.80137606230177
MD84629,margo,1.9,32.04,34.21,39,137.0,0.0,5.0,12.0,3.0,0.0,0.0,,17.80137606230177
MD84629,margo,1.95,32.04,34.21,54,161.0,0.0,4.0,0.0,6.0,0.0,0.0,,17.80137606230177
MD84629,margo,2.0,32.04,34.21,117,239.0,0.0,0.0,1.0,18.0,0.0,0.0,,17.80137606230177
MD84641,margo,0.83,33.02,32.38,66,4.0,0.0,1.0,0.0,3.0,0.0,0.0,,17.544968823156236
MD84641,margo,0.87,33.02,32.38,71,8.0,0.0,2.0,1.0,8.0,0.0,0.0,,17.544968823156236
MD84641,margo,0.9,33.02,32.38,119,17.0,0.0,0.0,0.0,6.0,0.0,0.0,,17.544968823156236
MD84641,margo,0.93,33.02,32.38,111,7.0,0.0,1.0,0.0,9.0,0.0,0.0,,17.544968823156236
MD84641,margo,0.97,33.02,32.38,95,20.0,0.0,3.0,6.0,11.0,0.0,0.0,,17.544968823156236
MD84641,margo,1.0,33.02,32.38,121,61.0,0.0,1.0,1.0,7.0,0.0,0.0,,17.544968823156236
MD88-770,margo,1.12,-46.01666667,96.46666667,207,7.0,0.0,0.0,0.0,1.0,0.0,0.0,,4.6624919438140395
MD90-917,margo,5.45,41.298,17.613,281,74.0,0.0,21.0,1.0,42.0,0.0,0.0,,12.936517563142978
MD90-917,margo,5.5,41.298,17.613,241,105.0,0.0,16.0,0.0,52.0,1.0,0.0,,12.936517563142978
MD90-917,margo,5.55,41.298,17.613,186,152.0,0.0,32.0,0.0,18.0,0.0,0.0,,12.936517563142978
MD90-917,margo,5.6,41.298,17.613,193,119.0,0.0,14.0,2.0,42.0,0.0,0.0,,12.936517563142978
MD90-917,margo,5.65,41.298,17.613,170,89.0,0.0,14.0,1.0,44.0,0.0,0.0,,12.936517563142978
MD90-917,margo,5.7,41.298,17.613,176,114.0,0.0,9.0,0.0,20.0,0.0,0.0,,12.936517563142978
MD90-917,margo,5.75,41.298,17.613,234,180.0,0.0,44.0,0.0,32.0,0.0,0.0,,12.936517563142978
MD90-917,margo,5.8,41.298,17.613,155,135.0,0.0,5.0,0.0,41.0,0.0,0.0,,12.936517563142978
MD90-917,margo,5.85,41.298,17.613,132,116.0,0.0,13.0,0.0,61.0,0.0,0.0,,12.936517563142978
MD90-917,margo,5.9,41.298,17.613,266,112.0,0.0,5.0,1.0,50.0,0.0,0.0,,12.936517563142978
MD90-917,margo,5.95,41.298,17.613,243,146.0,0.0,18.0,0.0,43.0,0.0,0.0,,12.936517563142978
MD90-917,margo,6.0,41.298,17.613,101,167.0,0.0,21.0,1.0,21.0,0.0,0.0,,12.936517563142978
MD90-917,margo,6.05,41.298,17.613,100,188.0,0.0,19.0,1.0,36.0,0.0,0.0,,12.936517563142978
MD90-917,margo,6.1,41.298,17.613,92,185.0,0.0,19.0,1.0,32.0,0.0,0.0,,12.936517563142978
MD90-917,margo,6.15,41.298,17.613,95,175.0,0.0,14.0,0.0,25.0,0.0,0.0,,12.936517563142978
MD90-917,margo,6.2,41.298,17.613,59,189.0,0.0,8.0,0.0,40.0,0.0,0.0,,12.936517563142978
MD90-917,margo,6.25,41.298,17.613,53,193.0,0.0,22.0,0.0,33.0,0.0,0.0,,12.936517563142978
MD90901,margo,4.2,39.947,1.591,136,209.0,0.0,43.0,0.0,41.0,0.0,0.0,,13.28722271993189
MD90901,margo,4.3,39.947,1.591,75,147.0,0.0,42.0,0.0,25.0,0.0,0.0,,13.28722271993189
MD90901,margo,4.4,39.947,1.591,94,200.0,0.0,62.0,0.0,26.0,0.0,0.0,,13.28722271993189
MD90901,margo,4.5,39.947,1.591,74,159.0,0.0,44.0,0.0,18.0,0.0,0.0,,13.28722271993189
MD90901,margo,4.6,39.947,1.591,118,135.0,0.0,37.0,0.0,20.0,0.0,0.0,,13.28722271993189
MD90901,margo,4.7,39.947,1.591,93,234.0,0.0,26.0,0.0,18.0,0.0,0.0,,13.28722271993189
MD90901,margo,4.8,39.947,1.591,53,153.0,0.0,59.0,0.0,28.0,0.0,0.0,,13.28722271993189
MD90901,margo,4.9,39.947,1.591,76,176.0,0.0,42.0,1.0,26.0,0.0,0.0,,13.28722271993189
MD90901,margo,5.0,39.947,1.591,103,251.0,0.0,20.0,0.0,22.0,0.0,0.0,,13.28722271993189
MD90901,margo,5.1,39.947,1.591,61,138.0,0.0,36.0,0.0,75.0,0.0,0.0,,13.28722271993189
MD90901,margo,5.2,39.947,1.591,64,151.0,0.0,82.0,0.0,40.0,0.0,0.0,,13.28722271993189
MD90901,margo,5.3,39.947,1.591,66,293.0,0.0,66.0,0.0,73.0,0.0,0.0,,13.28722271993189
MD90901,margo,5.4,39.947,1.591,71,235.0,0.0,42.0,0.0,46.0,0.0,0.0,,13.28722271993189
MD90901,margo,5.5,39.947,1.591,99,135.0,0.0,30.0,0.0,33.0,0.0,0.0,,13.28722271993189
MD90901,margo,5.6,39.947,1.591,55,135.0,0.0,20.0,0.0,20.0,0.0,0.0,,13.28722271993189
MD90901,margo,5.7,39.947,1.591,52,244.0,0.0,13.0,1.0,67.0,0.0,0.0,,13.28722271993189
MD992344,margo,2.47,41.997,4.836,17,422.0,0.0,0.0,0.0,28.0,0.0,0.0,,12.502130750142445
MD992344,margo,2.53,41.997,4.836,8,182.0,0.0,3.0,0.0,2.0,0.0,0.0,,12.502130750142445
MD992344,margo,2.63,41.997,4.836,144,503.0,0.0,13.0,0.0,65.0,0.0,0.0,,12.502130750142445
MD992344,margo,2.69,41.997,4.836,10,103.0,0.0,0.0,0.0,8.0,0.0,0.0,,12.502130750142445
MD992346,margo,6.195,42.044,4.151,67,393.0,0.0,4.0,0.0,53.0,0.0,0.0,,11.861442321128669
MD992346,margo,6.295,42.044,4.151,74,290.875,0.0,4.0,0.0,70.0,0.0,0.0,,11.861442321128669
MD992346,margo,6.385,42.044,4.151,65,275.0,0.0,8.0,0.0,39.0,0.0,0.0,,11.861442321128669
MD992346,margo,6.525,42.044,4.151,65,309.0,0.0,11.0,0.0,54.0,0.0,0.0,,11.861442321128669
MD992346,margo,6.625,42.044,4.151,13,263.875,0.0,0.0,0.0,30.0,0.0,0.0,,11.861442321128669
MD992346,margo,6.725,42.044,4.151,53,298.0,0.0,4.0,0.0,38.0,0.0,0.0,,11.861442321128669
