Event,Data_Source,Depth [m],Latitude,Longitude,symbiont-barren non-spinose,symbiont-barren spinose,symbiont-bearing non-spinose,symbiont-obligate spinose,symbiont-bearing spinose,symbiont-facultative non-spinose,undetermined non-spinose,symbiont-facultative spinose,undetermined spinose,SST
RC17-113,climap2,0.3,15.033,66.097,15,17.0,0.0,44.0,3.0,155.0,0.0,0.0,,23.770344438911305
RC17-69,climap2,0.5,-31.5,32.607,36,23.0,0.0,49.0,6.0,145.0,0.0,0.0,,21.215683551342604
RC17-73,climap2,0.2,-32.11,36.01,45,42.0,0.0,43.0,4.0,123.0,0.0,0.0,,18.351624690247974
RC17-98,climap2,0.53,-13.22,65.617,32,10.0,0.0,55.0,10.0,114.0,1.0,0.0,,22.976824996100078
V14-101,climap2,0.7,8.65,58.567,51,28.0,0.0,21.0,7.0,148.0,0.0,0.0,,23.57993087092135
V14-102,climap2,0.4,10.25,57.183,69,30.0,0.0,24.0,6.0,149.0,0.0,0.0,,22.782960725835693
V14-77,climap2,0.29,-29.63,32.867,27,9.0,0.0,51.0,9.0,153.0,0.0,0.0,,21.80119871144962
V14-81,climap2,0.35,-28.43,43.783,33,28.0,0.0,36.0,25.0,115.0,0.0,1.0,,20.554142310593747
V16-205,climap2,0.19,15.4,-43.4,55,15.0,0.0,392.0,8.0,9.0,1.0,0.0,,20.70640636830757
V16-25,climap2,0.55,5.067,-36.8,15,9.0,0.0,245.0,7.0,36.0,0.0,2.0,,23.303024846806583
V17-165,climap2,0.5,32.75,-41.9,59,24.0,0.0,147.0,1.0,99.0,0.0,0.0,,19.748555867496805
V19-178,climap2,0.4,8.117,73.25,25,30.0,0.0,27.0,24.0,131.0,6.0,2.0,,25.27068338853743
V19-185,climap2,0.3,6.7,59.333,47,36.0,0.0,23.0,8.0,121.0,4.0,0.0,,24.4165031204347
V19-188,climap2,0.5,6.867,60.667,61,35.0,0.0,27.0,13.0,101.0,3.0,0.0,,24.59653765189613
V19-19,climap2,0.8,13.233,-78.37,10,3.0,2.0,226.0,10.0,37.0,0.0,0.0,,22.505910992533256
V19-201,climap2,0.7,-5.333,40.433,30,18.0,0.0,32.0,17.0,130.0,0.0,2.0,,23.82749185732429
V19-202,climap2,0.3,-6.983,41.183,20,28.0,0.0,52.0,17.0,119.0,1.0,2.0,,23.840210530004917
V19-204,climap2,0.2,-10.23,43.817,52,27.0,0.0,29.0,1.0,101.0,0.0,0.0,,23.693230037926554
V19-21,climap2,0.6,11.8,-79.07,9,3.0,0.0,197.0,13.0,54.0,0.0,0.0,,22.820474555227307
V19-291,climap2,0.8,2.0,-5.25,89,23.0,0.0,216.0,1.0,95.0,0.0,0.0,,23.396821355463647
V20-170,climap2,0.2,-21.8,69.233,16,4.0,0.0,58.0,23.0,60.0,1.0,2.0,,20.754139799296986
V20-175,climap2,0.2,-22.3,68.0,21,9.0,0.0,57.0,17.0,59.0,0.0,1.0,,20.567692209276256
V20-242,climap2,0.29,23.367,-43.65,13,12.0,0.0,270.0,25.0,5.0,0.0,0.0,,19.676431200805645
V22-186,climap2,0.3,3.383,-20.12,62,5.0,0.0,167.0,0.0,139.0,0.0,0.0,,24.18807326986478
V22-197,climap2,0.72,14.167,-18.58,62,116.0,1.0,89.0,0.0,66.0,0.0,3.0,,22.551974350236605
V22-26,climap2,0.4,8.717,-41.25,27,27.0,0.0,247.0,5.0,103.0,0.0,0.0,,22.81386695885846
V23-100,climap2,0.42,21.3,-22.68,161,36.0,0.0,54.0,2.0,41.0,0.0,1.0,,18.00356302992263
V23-91,climap2,0.3,29.583,-28.57,38,26.0,0.0,168.0,6.0,67.0,0.0,1.0,,17.353893804094085
V25-59,climap2,0.7,1.367,-33.48,78,10.0,0.0,263.0,12.0,193.0,0.0,0.0,,23.263086850529742
V26-41,climap2,0.43,19.333,-26.12,107,20.0,0.0,124.0,1.0,47.0,0.0,0.0,,18.45355988142435
V27-178,climap2,0.55,5.1,-26.65,46,17.0,0.0,253.0,1.0,110.0,0.0,0.0,,23.76469849998439
V27-248,climap2,0.82,3.05,-11.82,48,0.0,0.0,81.0,3.0,51.0,0.0,0.0,,23.99130774156055
V27-263,climap2,0.2,35.017,-40.92,61,52.0,0.0,83.0,1.0,69.0,0.0,5.0,,18.30314607998946
V27-47,climap2,0.5,68.467,-13.55,301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-1.5875723990637711
V27-60,climap2,1.1,72.183,8.583,6,3.0,0.0,0.0,0.0,1.0,0.0,0.0,,-0.8762643922170594
V27-86,climap2,0.8,66.6,1.117,673,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,-0.6648785343495991
V28-129,climap2,0.8,11.117,-80.4,19,1.0,0.0,211.0,15.0,61.0,0.0,0.0,,22.865799337290394
V28-14,climap2,1.6,64.783,-29.57,674,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.5163737668259545
V28-56,climap2,0.7,68.033,-6.117,488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-1.4241667079410885
V29-173,climap2,0.25,33.7,-29.38,60,20.0,0.0,104.0,4.0,75.0,0.0,4.0,,17.419676336197448
V29-174,climap2,0.4,36.3,-29.37,62,53.0,0.0,114.0,0.0,75.0,0.0,4.0,,16.23982634749543
V29-219,climap2,0.5,68.383,-5.45,331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-1.3948625628830182
V29-219,climap2,0.5,68.3833,-5.45,331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-1.3948625628830182
V29-29,climap2,0.8,5.117,77.583,11,47.0,0.0,28.0,9.0,180.0,1.0,0.0,,25.47335881659932
V29-30,climap2,0.8,3.083,76.25,23,20.0,0.0,26.0,5.0,191.0,3.0,0.0,,25.683394164873484
V29-48,climap2,0.3,-6.267,63.433,51,14.0,0.0,42.0,3.0,138.0,3.0,0.0,,24.83822408430376
CHN82-24,climap3,0.58,43.465,-32.85,75,126.0,,26.0,0.0,79.0,1.0,8.0,,10.6173913394692
ELT48.022-PC,climap3,0.82,39.895,85.41,101,151.0,,0.0,0.0,49.0,0.0,0.0,,24.963185549754943
ELT48.027-PC,climap3,0.62,-38.542,79.898,114,140.0,,2.0,0.0,42.0,0.0,2.0,,10.52637077647979
ELT48.029-PC,climap3,0.39,-44.877,106.518,76,105.0,,1.0,,40.0,0.0,0.0,,5.944421172322243
RC13-152,climap3,0.8,13.178,-79.83,14,5.0,0.0,187.0,18.0,65.0,15.0,0.0,,22.57564610756582
RC13-152,climap3,0.6,15.065,-75.95,19,6.0,0.0,169.0,12.0,74.0,28.0,0.0,,22.579848882850385
RC13-152,climap3,0.6,16.708,-75.44,9,3.0,0.0,224.0,6.0,46.0,11.0,0.0,,22.975901503461134
RE5-034,climap3,0.4,42.3833,-21.9667,131,154.0,0.0,23.0,0.0,85.0,0.0,32.0,,12.65345506856482
V04-32,climap3,0.3,35.05,-11.62,90,67.0,0.0,107.0,7.0,32.0,4.0,23.0,,14.869844981022874
V04-8,climap3,0.5,37.233,33.13,151,115.0,0.0,86.0,10.0,62.0,3.0,38.0,,17.16240069697353
GeoB1008-3,epilog,2.18,-6.5823,10.3186,92,275.0,0.0,116.0,0.0,179.0,0.0,0.0,,23.109647042573236
GeoB1008-3,epilog,2.23,-6.5823,10.3186,87,96.0,0.0,75.0,0.0,207.0,4.0,0.0,,23.109647042573236
GeoB1008-3,epilog,2.28,-6.5823,10.3186,61,183.0,0.0,67.0,3.0,182.0,0.0,0.0,,23.109647042573236
GeoB1008-3,epilog,2.33,-6.5823,10.3186,111,95.0,0.0,76.0,0.0,181.0,7.0,0.0,,23.109647042573236
GeoB1008-3,epilog,2.38,-6.5823,10.3186,73,66.0,0.0,63.0,0.0,109.0,5.0,0.0,,23.109647042573236
GeoB1008-3,epilog,2.43,-6.5823,10.3186,82,106.0,0.0,117.0,0.0,59.0,14.0,0.0,,23.109647042573236
GeoB1008-3,epilog,2.48,-6.5823,10.3186,27,45.0,0.0,83.0,0.0,28.0,15.0,0.0,,23.109647042573236
GeoB1008-3,epilog,2.53,-6.5823,10.3186,136,242.0,0.0,128.0,5.0,81.0,11.0,0.0,,23.109647042573236
GeoB1008-3,epilog,2.58,-6.5823,10.3186,59,118.0,0.0,140.0,0.0,70.0,17.0,0.0,,23.109647042573236
GeoB1008-3,epilog,2.63,-6.5823,10.3186,109,245.0,0.0,101.0,3.0,133.0,8.0,0.0,,23.109647042573236
GeoB1016-3,epilog,0.73,-11.7705,11.6819,126,194.0,0.0,118.0,4.0,223.0,20.0,0.0,,22.267768416124724
GeoB1016-3,epilog,0.78,-11.7705,11.6819,39,33.0,0.0,92.0,5.0,160.0,11.0,0.0,,22.267768416124724
GeoB1016-3,epilog,0.88,-11.7705,11.6819,96,34.0,0.0,124.0,0.0,114.0,13.0,0.0,,22.267768416124724
GeoB1028-5,epilog,0.93,-20.104,9.1858,221,156.0,0.0,8.0,2.0,75.0,0.0,0.0,,18.523291840691495
GeoB1028-5,epilog,1.03,-20.104,9.1858,308,194.0,0.0,32.0,0.0,106.0,3.0,0.0,,18.523291840691495
