Latitude,Longitude,symbiont-barren non-spinose,symbiont-barren spinose,symbiont-bearing spinose,symbiont-facultative non-spinose,symbiont-obligate spinose,undetermined non-spinose,symbiont-bearing non-spinose,symbiont-facultative spinose,SST
-37.27,-10.1,0.315,0.459333333333333,0.0,0.192,0.0266666666666667,0.0,0.001,0.0015,12.67508552801515
-3.95,60.6,0.1325,0.0655,0.0225,0.2645,0.495,0.006,0.0,0.0,25.17131953067957
9.133,90.033,0.196,0.166,0.046,0.329,0.255,0.008,0.0,0.0,24.89103979134993
12.7,90.017,0.129,0.022,0.06,0.339,0.401,0.01,0.0,0.0,24.78684381161562
13.05,89.583,0.1795,0.031,0.0875,0.3035,0.323,0.017,0.0,0.0,24.697625781600642
15.167,90.567,0.185,0.033,0.047,0.34,0.351,0.006,0.0,0.0,24.723526418206177
12.767,96.067,0.046,0.063,0.0585,0.172,0.622,0.021,0.0,0.0,24.983003867440633
15.1,124.13,0.075,0.06,0.05,0.036,0.776,0.0,0.0,0.0,24.577809876370296
-0.097,-95.65,0.09,0.102,0.0,0.76,0.049,0.0,0.0,0.0,19.145772997765228
-1.652,-103.6,0.428,0.058,0.002,0.463,0.047,0.004,0.0,0.0,19.349317859695745
-1.652,-104.8,0.105,0.088,0.0,0.706,0.095,0.0069999999999999,0.0,0.0,19.391349221749078
15.857,-74.79,0.162,0.018,0.024,0.156,0.642,0.0,0.0,0.0,22.525318733141773
16.708,-75.44,0.121,0.01,0.02,0.06,0.788,0.0,0.0,0.0,22.975901503461134
15.065,-75.95,0.0946666666666667,0.0446666666666667,0.019,0.191333333333333,0.457333333333333,0.0,0.0,0.003,22.579848882850385
13.178,-79.83,0.164,0.017,0.06,0.093,0.668,0.0,0.0,0.0,22.57564610756582
14.695,-77.17,0.16,0.013,0.038,0.129,0.661,0.0,0.0,0.0,22.488775065791707
19.087,-170.1,0.133,0.057,0.256,0.076,0.468,0.006,0.0,0.0,22.27662956630396
3.86,-43.31,0.18,0.003,0.0,0.073,0.743,0.0,0.0,0.0,23.090794209059226
1.863,-30.0,0.327,0.033,0.012,0.25,0.378,0.0,0.0,0.0,23.357401684609385
4.517,-0.717,0.181,0.117,0.016,0.256,0.428,0.0,0.0,0.0,
-2.288,5.183,0.187,0.031,0.024,0.435,0.325,0.0,0.0,0.0,22.601376980837937
-9.142,-10.61,0.159,0.033,0.008,0.336,0.463,0.0,0.0,0.0,21.64266318430044
-21.88,8.872,0.353,0.133,0.0,0.46,0.054,0.0,0.0,0.0,17.45834262163175
-25.49,11.307,0.393333333333333,0.117666666666667,0.0006666666666666,0.357,0.024,0.0,0.0,0.0,16.36139536917806
-19.02,-124.2,0.317,0.022,0.026,0.01,0.606,0.019,0.0,0.0,22.36576582985316
-10.92,88.315,0.207,0.034,0.076,0.181,0.49,0.011,0.0,0.0,23.6449323262918
-0.833,89.95,0.155,0.085,0.023,0.206,0.477,0.054,0.0,0.0,24.937346619627554
-1.467,90.167,0.214,0.074,0.052,0.174,0.45,0.037,0.0,0.0,24.913235268947087
-5.857,90.52,0.101,0.1165,0.0185,0.4,0.327,0.03,0.0,0.0,24.77645002683917
-35.52,44.75,0.303,0.112,0.003,0.461,0.12,0.0,0.0,0.0,15.066780989335227
-39.02,47.883,0.431,0.343,0.003,0.2,0.023,0.0,0.0,0.0,11.39018192310499
-46.1,-13.23,0.593,0.35,0.0,0.057,0.0,0.0,0.0,0.0,6.526165013755439
