Latitude,Longitude,Symbiont-obligate Spinose,Symbiont-barren Non-Spinose,Symbiont-facultative Non-Spinose,Symbiont-barren Spinose,SST
-14.9,70.2,0.383084577,0.144278606,0.467661692,0.004975124,26.313907623291016
-17.8,62.0,0.665594856,0.045016076,0.273311897,0.01607717,25.6044921875
-23.93333333,73.88333333,0.764864864,0.078378379,0.127027027,0.021621622,23.385133743286133
-39.83333333,75.05,0.2251308495,0.293903777,0.351686851,0.1204586275,13.989341735839844
-53.038,119.735,0.0,0.583333333,0.132352942,0.276960785,3.3389639854431152
-43.308,105.548,0.003333333,0.27,0.163333334,0.563333333,10.318284034729004
-48.008,114.478,0.0,0.276978417,0.206834532,0.51438849,6.618298053741455
-47.533,114.423,0.004140787,0.33747412,0.180124224,0.476190476,7.6036295890808105
-46.448,114.417,0.01417004,0.259109311,0.214574898,0.508097166,8.52033805847168
-45.037,114.348,0.006666666,0.209999999,0.21,0.573333334,9.334747314453125
-43.953,114.368,0.048169557,0.250481695,0.310211946,0.383429673,10.628905296325684
-41.02,100.012,0.013333333,0.13,0.196666667,0.66,11.479687690734863
-39.515,83.723,0.013333332,0.293333334,0.153333334,0.54,13.47822380065918
-45.022,95.082,0.0,0.341207349,0.307086615,0.349081365,8.179900169372559
-47.128,95.08,0.0,0.3,0.234285714,0.457142857,6.541767120361328
-47.988,95.037,0.0,0.327759197,0.227424749,0.444816053,6.541767120361328
-49.378,94.832,0.0,0.32885906,0.231543624,0.429530201,5.26693058013916
24.5,-16.95,0.240263417,0.318204774,0.2962262185,0.1244092755,20.578224182128906
14.0,-74.88,0.53820598,0.056478405,0.405315614,0.0,27.413314819335938
-43.78,46.2,0.008658008,0.415584415,0.177489178,0.380952381,7.904087543487549
-43.63,51.267,0.0,0.435233161,0.248704664,0.316062176,7.634157180786133
-55.33,65.467,0.002985075,0.958208955,0.005970149,0.017910448,0.9002341628074646
-44.77,92.417,0.013550135,0.295392953,0.279132792,0.411924119,9.186482429504395
-39.38,104.37,0.108786612,0.255230126,0.355648535,0.276150627,12.66036605834961
-36.75,120.9,0.1826799965,0.257867134,0.3823007975,0.1385920415,16.291645050048828
-46.53,125.57,0.03163017,0.267639903,0.245742092,0.450121654,9.421527862548828
-49.33,127.12,0.029090909,0.276363637,0.236363636,0.454545455,7.46104097366333
-51.08,129.97,0.009933775,0.480132449,0.129139073,0.360927152,5.958413600921631
-47.77,123.1,0.005102041,0.160714286,0.221938775,0.607142857,8.514388084411621
-45.42,121.12,0.03030303,0.140495868,0.195592287,0.630853995,9.699311256408691
-41.37,114.13,0.012765957,0.114893616,0.357446809,0.49787234,11.944308280944824
12.05,63.15,0.393188854,0.015479875,0.510835913,0.080495356,27.104095458984375
17.883,58.083,0.2125,0.021875,0.359375,0.365625,25.773006439208984
45.1,-10.57,0.2241071425,0.403345238,0.267464286,0.074702381,14.687806129455566
54.983,-15.4,0.0121728395,0.421049383,0.284845679,0.25354321,11.953185081481934
10.183,-77.22,0.7241699145,0.04720947,0.2112915705,0.0061989535,27.67475128173828
21.3,-69.67,0.7712926755,0.0313823225,0.1485670285,0.0333437175,26.981042861938477
13.483,-81.63,0.319587629,0.023195877,0.18814433,0.005154639,27.604772567749023
16.567,-79.53,0.7333147255,0.024631859,0.2219029345,0.0129448945,27.683427810668945
11.767,-81.1,0.710191083,0.070063693,0.213375797,0.003184713,27.605236053466797
4.967,-45.97,0.890862944,0.017766497,0.086294416,0.005076142,27.4660587310791
-43.03,57.35,0.0,0.229508197,0.62295082,0.147540983,10.61812686920166
-34.33,54.217,0.029810297,0.200542005,0.72899729,0.037940379,18.28426170349121
2.217,-45.4,0.758620689,0.026525199,0.198938992,0.00265252,27.385385513305664
-22.4,57.633,0.704387992,0.046189377,0.230946882,0.004618938,24.607017517089844
-34.92,67.583,0.038585208,0.363344051,0.546623794,0.048231511,17.565793991088867
-36.48,69.55,0.052434457,0.539325842,0.27340824,0.127340824,16.171485900878906
0.917,-43.77,0.729651163,0.011627907,0.235465117,0.0,27.358051300048828
-38.03,83.483,0.185964913,0.333333334,0.207017544,0.263157895,14.051506042480469
-28.07,95.967,0.428104575,0.212418301,0.290849673,0.062091503,19.896270751953125
1.683,-41.52,0.5495995965,0.113120145,0.329795229,0.0,27.317907333374023
-33.8,112.98,0.294117648,0.091911766,0.492647059,0.121323529,18.389915466308594
-31.57,114.12,0.067137809,0.053003534,0.858657243,0.021201414,20.031648635864258
-21.42,112.8,0.526946108,0.020958084,0.326347305,0.116766467,24.911588668823242
-49.0,-4.6,0.0,0.973958334,0.0078125,0.010416667,4.14823055267334
-42.58,-17.8,0.024390243,0.243902439,0.185975609,0.506097561,11.156996726989746
11.91,-75.04,0.477744808,0.305637982,0.210682493,0.002967359,27.40863800048828
15.617,-71.67,0.745161289,0.025806451,0.216129033,0.009677418,27.505983352661133
15.857,-74.79,0.645533143,0.063400576,0.256484148,0.025936599,27.551271438598633
10.032,-76.96,0.294820718,0.141434263,0.139442231,0.001992032,27.67374610900879
11.25,-78.15,0.506517814,0.059592481,0.268231965,0.0027050935,27.632068634033203
14.695,-77.17,0.721925132,0.037433155,0.20053476,0.034759358,27.538875579833984
3.705,-7.722,0.670623145,0.008902077,0.275964391,0.014836795,26.96803092956543
-25.49,11.307,0.056737588,0.64893617,0.262411348,0.014184397,18.151765823364258
-46.6,7.625,0.003584229,0.458781362,0.125448029,0.387096774,5.752753257751465
-49.92,-15.57,0.0,0.587537093,0.317507418,0.081602374,3.8298017978668213
-46.1,-13.23,0.010928962,0.461748634,0.155737705,0.363387978,6.425577163696289
-12.38,61.617,0.601246107,0.056074766,0.302180686,0.031152648,26.71695899963379
-12.85,59.872,0.579545455,0.059659089,0.326704546,0.034090909,26.767475128173828
-13.61,59.638,0.569277109,0.063253012,0.316265061,0.048192771,26.57277488708496
-15.59,58.852,0.581602373,0.026706231,0.341246291,0.047477745,26.14696502685547
-16.23,58.633,0.692513369,0.029411765,0.229946523,0.048128343,25.938282012939453
-2.807,61.203,0.430232559,0.130813952,0.424418605,0.014534884,27.94070816040039
19.193,66.29,0.443365697,0.029126214,0.491909385,0.035598706,26.908824920654297
21.472,67.298,0.417218543,0.003311258,0.413907284,0.165562914,26.638839721679688
9.582,72.763,0.515957446,0.055851063,0.279255319,0.146276596,28.282026290893555
-13.22,65.617,0.466666666,0.109999999,0.380000001,0.043333333,26.494447708129883
59.6532,-22.77,0.004444988,0.419158924,0.2327469435,0.330536675,9.94912338256836
53.867,-21.1328,0.003267974,0.562091504,0.192810458,0.223856209,11.922840118408203
63.4832,-0.0667,0.003584229,0.9390681,0.021505377,0.028673835,8.408082008361816
42.467,-54.9,0.036975751,0.597849885,0.275794457,0.0658325635,13.602922439575195
23.767,-92.47,0.683284458,0.096774194,0.184750733,0.020527859,26.09349822998047
32.6,-69.5,0.362090212,0.158025265,0.2642369985,0.195369294,22.900634765625
32.283,-65.12,0.595611286,0.144200626,0.184952977,0.047021944,22.61740493774414
32.217,-64.72,0.629120878,0.123626373,0.115384615,0.098901099,22.61419677734375
29.283,-79.92,0.5835203885,0.011502736,0.3642146195,0.022140283,25.513307571411133
38.917,-57.13,0.119113572,0.468144045,0.390581718,0.016620499,20.94597816467285
34.667,-61.45,0.381516586,0.229857819,0.229857819,0.132701422,22.039321899414062
40.767,-64.6,0.0392584095,0.5529702335,0.37648656,0.0142132565,15.009075164794922
12.4,-77.77,0.615384615,0.105413106,0.276353276,0.0,27.538097381591797
8.233,-37.87,0.825065273,0.010443864,0.130548303,0.005221932,26.809967041015625
31.383,-11.62,0.404832984,0.1728417775,0.158708738,0.253869912,19.39203643798828
22.967,-38.2,0.888446215,0.041832669,0.061752988,0.001992032,24.626676559448242
23.033,-43.8,0.711111112,0.06031746,0.12063492,0.085714286,24.917577743530273
31.433,-64.17,0.479657048,0.14596479,0.26597125,0.0962447505,22.95699119567871
17.0,-74.4,0.732732732,0.057057057,0.189189189,0.015015015,27.74553680419922
24.283,-53.07,0.929313928,0.022869023,0.037422036,0.01039501,25.527259826660156
-22.98,7.017,0.28,0.357142858,0.282857143,0.045714286,19.42268943786621
1.75,-16.05,0.505257568,0.069962801,0.412558008,0.001752523,26.28336524963379
10.7,-65.2,0.290953546,0.080684597,0.283618583,0.322738387,26.682619094848633
3.867,65.517,0.485981308,0.093457943,0.383177569,0.037383177,28.224790573120117
11.433,56.233,0.16860465,0.197674418,0.569767441,0.063953488,26.351179122924805
13.433,53.45,0.247252746,0.010989011,0.543956044,0.170329669,26.330656051635742
14.3,51.0,0.221577043,0.0355549945,0.549852731,0.193015232,26.99803352355957
12.867,48.4,0.286173633,0.006430868,0.549839229,0.15755627,27.988481521606445
11.85,46.75,0.228083974,0.0366724985,0.531291807,0.203951721,27.886795043945312
12.617,45.633,0.21799308,0.003460208,0.570934256,0.207612457,27.917333602905273
15.483,-40.52,0.796774192,0.041935483,0.116129032,0.016129032,25.661466598510742
0.85,-32.85,0.777004266,0.016415899,0.176476532,0.0164121565,26.775501251220703
-39.2,13.5,0.161813206,0.252167483,0.3644430845,0.201150891,14.212725639343262
-35.88,15.917,0.00625,0.35,0.565625,0.06875,17.4067325592041
-4.3,64.817,0.201086957,0.092391305,0.690217391,0.016304348,27.851627349853516
-2.833,66.3,0.113074204,0.155477032,0.727915195,0.003533569,28.099225997924805
-0.633,69.45,0.237668162,0.10762332,0.62780269,0.02690583,28.299949645996094
1.967,-37.07,0.785714284,0.021645021,0.166666666,0.004329004,27.148723602294922
23.333,-46.48,0.7875498665,0.015700137,0.106362922,0.071922123,25.160736083984375
30.0,-51.87,0.69387755,0.11632653,0.146938775,0.026530612,23.315813064575195
17.267,-48.42,0.800539084,0.016172507,0.132075472,0.02425876,26.194622039794922
60.033,-50.83,0.006153846,0.984615385,0.003076923,0.003076923,3.6692585945129395
13.25,-40.67,0.76364604,0.060814839,0.1291221865,0.002807402,26.02829933166504
-33.2,15.0,0.1379448315,0.2683012355,0.545773318,0.040473108,17.583099365234375
-33.35,16.433,0.120978022,0.229627594333333,0.587365079333333,0.0286190473333333,17.391481399536133
-46.02,44.367,0.0,0.342105263,0.257894736,0.394736842,5.269782543182373
-45.0,45.767,0.0,0.365853659,0.27100271,0.360433604,6.665802478790283
-37.15,43.5,0.144988818,0.309011276,0.431600038,0.095599199,17.681486129760742
-29.73,79.567,0.419087137,0.236514523,0.282157677,0.062240664,20.18377113342285
-31.05,82.85,0.218461537,0.289230769,0.470769231,0.021538462,18.78837013244629
-31.63,83.8,0.297912714,0.259962048,0.383301708,0.058823529,18.726585388183594
-32.38,84.85,0.222222222,0.34006734,0.353535353,0.084175084,18.009382247924805
-30.2,91.717,0.460759494,0.24050633,0.169620253,0.124050633,18.855945587158203
-28.883,92.833,0.427835054,0.244845362,0.268041238,0.059278351,20.01933479309082
-28.017,95.183,0.291525426,0.254237289,0.440677967,0.013559322,19.896270751953125
-31.53,99.25,0.416481068,0.233853006,0.204899776,0.144766147,17.80301284790039
28.483,-65.05,0.77171717,0.105050505,0.101010101,0.012121212,24.417112350463867
12.383,-18.92,0.3348024695,0.1625823045,0.379327161,0.0025288065,25.15446662902832
24.967,-28.93,0.5250288065,0.124218107,0.2422633745,0.00658642,23.220714569091797
27.967,-34.13,0.743086883,0.0877144355,0.1168691235,0.00685276,23.23233985900879
29.617,-36.92,0.584782608,0.15,0.236956522,0.008695652,22.88520622253418
58.367,-47.73,0.005063291,0.982278481,0.002531646,0.010126583,4.835214614868164
60.733,-57.83,0.0,0.9956872075,0.0,0.0043127925,2.8005948066711426
11.75,-80.43,0.746268657,0.050746269,0.164179105,0.032835821,27.638286590576172
13.733,-51.12,0.4660355705,0.1456540455,0.3658060815,0.0129804935,27.017704010009766
-33.23,15.983,0.106761566,0.234875446,0.540925266,0.117437722,17.583099365234375
-38.98,29.933,0.012820512,0.419871794,0.512820512,0.054487179,17.826826095581055
-37.63,37.867,0.019021739,0.317934782,0.584239131,0.078804348,18.277311325073242
-36.12,41.85,0.040123459,0.077160494,0.867283951,0.015432099,18.540327072143555
-20.58,63.533,0.776566757,0.038147139,0.130790191,0.032697547,24.732275009155273
4.233,-47.75,0.783641161,0.015831134,0.192612138,0.0,27.454729080200195
-30.57,114.45,0.423913043,0.051630434,0.461956522,0.048913043,20.488876342773438
-38.57,140.62,0.120171673,0.261802575,0.381974248,0.223175966,14.489837646484375
38.75,-67.55,0.175108675333333,0.157614006666667,0.648899749333333,0.016227916,18.572439193725586
8.117,62.783,0.450127878,0.05882353,0.381074169,0.097186701,27.496912002563477
7.433,61.067,0.331730769,0.120192309,0.442307692,0.091346154,27.528160095214844
-4.217,41.55,0.527131784,0.069767442,0.294573643,0.105943152,26.78612518310547
-19.92,41.6,0.565104167,0.130208332,0.265625,0.020833334,26.406864166259766
-30.58,13.283,0.165680474,0.284023668,0.49704142,0.038461538,17.970983505249023
-29.52,9.583,0.0380288455,0.4854807695,0.464480769,0.004903846,18.374576568603516
-21.83,10.8,0.059304704,0.695296523,0.12985685,0.102249489,18.67215347290039
2.0,-5.25,0.50819672,0.208430913,0.222482435,0.053864169,26.833354949951172
1.417,-9.083,0.1308634365,0.281753304,0.578579295,0.008303965,26.240257263183594
3.65,-15.05,0.128383065333333,0.325862133,0.539344093333333,0.0,26.957731246948242
29.017,-41.4,0.707317074,0.084257206,0.137472284,0.044345898,23.226499557495117
33.3,-48.27,0.4599028275,0.1345399085,0.3272884405,0.0676400005,22.04475975036621
-21.98,68.483,0.677966102,0.148305083,0.152542374,0.008474576,24.318256378173828
-23.05,64.9,0.7054125175,0.050938231,0.194516074,0.0382499575,23.8717098236084
2.1,-35.6,0.778125,0.040625,0.16875,0.00625,27.073711395263672
5.317,-33.03,0.694915255,0.045197742,0.209039548,0.011299435,27.026987075805664
8.467,-30.13,0.1756516845,0.2364574635,0.3967600325,0.007210273,26.672895431518555
38.283,-68.53,0.055421541,0.47309005,0.424974343,0.038751351,18.23972511291504
11.533,-60.52,0.851351351,0.003378378,0.138513514,0.0,27.342348098754883
14.45,-77.23,0.312958436,0.041564793,0.237163815,0.002444988,27.538875579833984
-46.13,-10.9,0.004950495,0.638613861,0.127062706,0.202970297,6.119327545166016
-44.47,-6.633,0.012919896,0.222222222,0.204134367,0.524547804,8.237586975097656
-43.18,-3.25,0.00203252,0.142276423,0.258130081,0.591463415,9.080660820007324
3.383,-20.12,0.458666666,0.165333334,0.370666667,0.0,26.98752212524414
14.167,-18.58,0.270588234,0.18235294,0.197058823,0.341176471,24.417173385620117
14.4,-21.15,0.192808126,0.167892776,0.637170429,0.002128668,24.56844139099121
15.017,-23.23,0.577023499,0.065274151,0.245430809,0.083550914,24.238855361938477
20.7,-31.45,0.746556475,0.074380165,0.165289256,0.011019284,24.115324020385742
27.917,-43.63,0.688172042,0.096774193,0.126344086,0.061827957,23.948213577270508
32.65,-52.3,0.188405798,0.461697723,0.242236025,0.076604555,22.440532684326172
34.75,-57.25,0.318177471,0.2727353895,0.392669707,0.0164174345,21.866668701171875
12.75,-45.63,0.808553973,0.02647658,0.154786151,0.0,26.695491790771484
19.883,-25.53,0.584004024,0.1025754525,0.2669014085,0.0293762575,23.43921661376953
17.2,-35.83,0.7008372005,0.0818090815,0.2047047045,0.004959505,24.905384063720703
17.483,-40.67,0.704545455,0.081818181,0.170454545,0.025,25.359821319580078
41.517,-45.13,0.217534323,0.2629359925,0.36553525,0.1410009275,17.352367401123047
46.0,-45.05,0.029850746,0.378109452,0.069651741,0.509950249,7.722249984741211
62.667,-27.53,0.019438445,0.386609071,0.110151187,0.438444924,8.18363094329834
68.0333,0.0167,0.0,0.629787234,0.012765958,0.356382978,6.375973224639893
70.05,8.317,0.0,0.8359375,0.013020834,0.151041667,6.2945733070373535
77.95,0.2,0.0,0.972536349,0.0,0.027463651,1.248579740524292
70.983,6.683,0.0,0.965079366,0.0,0.028571429,5.930688381195068
68.55,2.717,0.0,0.777208706,0.020486556,0.197183098,6.686385154724121
60.933,-17.57,0.00178731,0.572832886,0.394101877,0.028596961,9.906765937805176
54.25,-16.83,0.015521065,0.483370288,0.274944568,0.199556541,11.978575706481934
52.583,-21.93,0.006118503,0.506756757,0.264898129,0.197252599,12.29810619354248
49.867,-24.25,0.0100125315,0.4167919805,0.3246353385,0.224028822,13.427227973937988
46.0,-16.92,0.120919249,0.4166147055,0.2687102375,0.1529488915,14.610010147094727
29.8,-15.1,0.677884615,0.134615384,0.139423076,0.024038462,20.387304306030273
12.25,-76.63,0.270212768,0.163829788,0.359574469,0.00212766,27.461509704589844
22.6,-72.6,0.787997808,0.0510856515,0.1379312595,0.0204342605,26.86395263671875
26.783,-46.7,0.782874619,0.04587156,0.110091743,0.04587156,24.46461296081543
9.317,-43.0,0.742063492,0.03968254,0.198412699,0.0,26.976829528808594
17.033,-71.23,0.757281553,0.038834952,0.190938511,0.012944984,27.604215621948242
9.567,-18.18,0.406408094,0.217537942,0.26306914,0.106239461,26.518714904785156
6.267,-17.92,0.194444445,0.315972222,0.479166667,0.0,27.294042587280273
6.033,-18.25,0.612716867,0.1182469875,0.256512048,0.0,27.234355926513672
5.833,-18.08,0.2469111755,0.285333811,0.4648223495,0.0,27.236278533935547
0.3,-14.8,0.481782212333333,0.0775286563333333,0.436140567333333,0.0,25.865617752075195
42.267,-60.5,0.0092363655,0.5570333735,0.2923333425,0.1347388395,12.016928672790527
62.133,-14.2,0.003787879,0.777462121,0.09185606,0.117424243,8.79094123840332
56.067,-24.08,0.006125575,0.646248086,0.196018377,0.13323124,10.591270446777344
43.8,-14.68,0.172897196,0.443925234,0.364485981,0.004672897,15.555359840393066
42.7,-17.07,0.154269272,0.4451244105,0.3170102895,0.068385422,16.17459487915039
39.717,-20.15,0.372881356,0.25423729,0.246973366,0.084745763,17.70712661743164
39.617,-13.55,0.131054132,0.438746439,0.21937322,0.173789174,17.13381576538086
42.75,-43.23,0.130653267,0.412060302,0.233668342,0.188442211,17.26595115661621
44.167,-39.87,0.095571095,0.375291376,0.412587413,0.107226107,16.18147850036621
25.933,-26.58,0.515625,0.221875,0.25,0.0,22.760360717773438
50.1,-37.3,0.039145908,0.338078292,0.135231317,0.462633452,11.571105003356934
16.533,-28.85,0.5818270285,0.1239321165,0.250214401,0.023782037,24.529264450073242
54.0,-46.2,0.014727458,0.341704843666667,0.07314586,0.560954789666667,6.513462066650391
54.033,-46.87,0.002336449,0.404205608,0.044392524,0.528037383,6.513462066650391
54.467,-50.8,0.0,0.9426230225,0.0,0.054740773,5.091416835784912
54.733,-53.12,0.0,0.996183207,0.0,0.003816794,3.2107808589935303
1.0,1.983,0.3202808995,0.063207865,0.591275281,0.015522472,27.004772186279297
3.05,-11.82,0.453551912,0.262295081,0.278688525,0.005464481,27.071107864379883
56.733,-54.7,0.0,0.987402439,0.0,0.010097561,3.794543743133545
1.05,-13.63,0.330357142,0.223214285,0.425595239,0.005952381,26.258312225341797
58.183,-44.62,0.002252252,0.871621622,0.002252252,0.121621621,4.602116584777832
60.7033,-37.275,0.0,0.496402877,0.07673861,0.405275779,6.205076694488525
61.367,-11.5,0.00560117,0.706920684,0.083018544,0.1690510015,9.380921363830566
63.45,-6.133,0.022883295,0.594965675,0.235697941,0.146453089,7.344520568847656
65.017,-6.217,0.0,0.786155748,0.002472188,0.210135971,5.7539591789245605
76.167,-5.4,0.0,0.996978852,0.0,0.001510574,-0.37636852264404297
73.533,2.667,0.0,0.978395062,0.0,0.013888889,2.6486165523529053
78.833,4.633,0.0,0.990755008,0.0,0.009244992,1.697138786315918
76.467,6.917,0.0,0.989169675,0.0,0.010830325,2.4726738929748535
78.117,3.617,0.0,0.972039473,0.0,0.024671053,1.5463178157806396
78.4,7.417,0.0,0.986842105,0.0,0.013157895,2.0813443660736084
75.0,-10.8,0.0,0.9766381855,0.0,0.0195008105,-0.7541534900665283
60.65,-7.433,0.0,0.911730546,0.009291521,0.06039489,9.634832382202148
14.933,-73.92,0.359712231,0.035971223,0.189448441,0.002398082,27.361839294433594
13.933,-72.37,0.474358973,0.096153846,0.416666667,0.006410256,27.069034576416016
17.033,-76.6,0.715053762,0.067204301,0.180107526,0.034946236,27.743249893188477
10.983,-81.15,0.321608041,0.037688443,0.218592966,0.0,27.61018180847168
11.117,-80.4,0.680645161,0.061290322,0.196774193,0.051612903,27.638286590576172
72.433,-13.65,0.0,0.995744681,0.0,0.00212766,0.34161725640296936
73.483,-0.833,0.003149606,0.990551181,0.001574803,0.0,2.0042076110839844
72.183,5.267,0.0,0.747235387,0.007898894,0.238546604,4.141204357147217
71.167,-1.617,0.0,0.932448635,0.00147929,0.0594476165,2.9643170833587646
62.9,0.583,0.0,0.921428571,0.040476191,0.035714286,8.948809623718262
64.833,-3.583,0.0,0.8195458585,0.0029683,0.1722781045,7.199509620666504
68.717,-12.72,0.0,0.994974109,0.0,0.0028530815,2.8796422481536865
72.0667,-9.0667,0.0,0.993801653,0.0,0.004132231,1.0244797468185425
69.383,-4.4,0.0,0.960848287,0.003262643,0.034257749,4.137744903564453
67.683,0.233,0.0,0.814107131666667,0.005707779,0.175906393666667,6.820767879486084
74.483,11.667,0.0,0.97979798,0.0,0.02020202,3.8743984699249268
64.0833,-4.0167,0.0,0.784013606,0.010204081,0.205782313,6.938657760620117
26.783,-50.83,0.733333335,0.053333333,0.072,0.037333333,24.780729293823242
14.15,88.083,0.368421052,0.117647059,0.507739938,0.00619195,28.035127639770508
16.383,-17.92,0.243975786,0.245296071,0.3198987855,0.1767295755,23.387493133544922
22.467,-20.07,0.657864553,0.131892853,0.16095532,0.030589741,22.1066951751709
41.533,-25.72,0.192857144,0.311904761,0.233333333,0.247619047,17.18097686767578
42.85,-25.15,0.236697247,0.321100917,0.223853211,0.201834863,16.784191131591797
45.3,-23.87,0.154460719,0.399467377,0.210386152,0.210386152,15.303179740905762
52.367,-17.53,0.030749863,0.5309894195,0.225927134,0.1968235845,12.605363845825195
58.733,-15.57,0.001602564,0.4375,0.224358974,0.307692307,10.485321044921875
59.95,-19.2,0.005992335,0.37603697,0.289823643,0.3209614125,10.150846481323242
60.383,-20.97,0.006154574,0.4728611985,0.274301262,0.2374511045,9.812397956848145
61.55,-25.12,0.004975124,0.37562189,0.305970149,0.291044776,8.908557891845703
66.733,-6.733,0.0,0.664907652,0.0,0.327176781,5.067506313323975
67.783,-6.667,0.0,0.704697986,0.001677852,0.283557047,4.588078498840332
72.967,-6.983,0.0,0.984662577,0.0,0.009202454,1.1403186321258545
68.383,-5.417,0.0,0.857777778,0.004444444,0.137777778,4.54536771774292
65.167,-0.067,0.0,0.654846335,0.023640662,0.314420803,7.42104434967041
62.85,-14.53,0.002695418,0.40161725,0.153638814,0.401617251,8.79094123840332
61.917,-24.05,0.019553073,0.418994413,0.201117319,0.318435755,9.036110877990723
28.0,-38.78333333,0.590799034,0.11622276,0.198547216,0.079903148,23.323522567749023
38.18333333,-73.51666667,0.01875,0.4375,0.434375,0.090625,14.840322494506836
50.93333333,-41.75,0.014430014,0.463203464,0.294372294,0.219336219,10.92326545715332
35.71666667,-67.33333333,0.329621379,0.175946547,0.271714922,0.204899777,22.17042350769043
36.13333333,-68.91666667,0.232613909,0.151079137,0.342925659,0.268585132,21.7805118560791
36.13333333,-69.13333333,0.44736842,0.168859649,0.254385965,0.118421053,21.59381103515625
35.78333333,-68.93333333,0.312958435,0.210268949,0.308068459,0.156479218,22.10964584350586
36.21666667,-69.4,0.3685446,0.18544601,0.281690141,0.154929577,21.59381103515625
31.83333333,-74.35,0.484251969,0.202755906,0.246062993,0.066929134,24.407072067260742
29.76666667,-76.8,0.524844719,0.055900621,0.350931676,0.040372671,25.387361526489258
19.4,-78.55,0.7738409095,0.0524090905,0.155204545,0.0029204545,27.893890380859375
23.93333333,-75.75,0.726541555,0.064343163,0.10455764,0.08847185,26.763288497924805
24.8,-75.91666667,0.733333333,0.020289856,0.127536232,0.113043478,26.489473342895508
30.78333333,-67.66666667,0.625628141,0.145728644,0.108040201,0.113065327,23.46140480041504
39.13333333,-42.65,0.161616161,0.262626263,0.488888888,0.062626263,19.52927017211914
39.26666667,-36.7,0.371158392,0.210401891,0.219858156,0.196217493,19.162195205688477
33.56666667,-27.36666667,0.509513743,0.175475688,0.171247358,0.128964059,20.760866165161133
25.83333333,-19.3,0.573275862,0.163793102,0.211206897,0.038793104,21.86686897277832
5.283333333,-17.06666667,0.118577074,0.632411066,0.229249012,0.019762846,27.28523826599121
0.583333333,-21.78333333,0.702614378,0.035947713,0.235294118,0.006535948,26.201675415039062
-0.766666667,-26.03333333,0.72383721,0.029069768,0.235465117,0.002906977,26.43655776977539
-1.5,-27.01666667,0.413407821,0.178770949,0.393854748,0.002793296,26.517032623291016
10.55,-57.33333333,0.830039526,0.019762846,0.142292489,0.001976285,27.56370735168457
20.71666667,-59.2,0.822222222,0.098765432,0.071604938,0.002469136,26.66635513305664
