Event,Data_Source,Depth [m],Latitude,Longitude,symbiont-barren non-spinose,symbiont-barren spinose,symbiont-bearing spinose,symbiont-facultative non-spinose,symbiont-obligate spinose,undetermined non-spinose,symbiont-bearing non-spinose,symbiont-facultative spinose
MD95-2012,margo,3.71,72.151,11.4343,0.976,0.001,0,0.023,0,0,0,0
MD95-2012,margo,3.75,72.151,11.4343,0.976,0.001,0,0.023,0,0,0,0
MD95-2012,margo,3.81,72.151,11.4343,0.976,0.001,0,0.023,0,0,0,0
MD95-2012,margo,3.85,72.151,11.4343,0.978,0.003,0,0.018,0,0,0,0
MD95-2012,margo,3.92,72.151,11.4343,0.978,0.003,0,0.018,0,0,0,0
MD95-2012,margo,3.96,72.151,11.4343,0.991,0,0,0.009,0,0,0,0
MD95-2012,margo,4,72.151,11.4343,0.991,0,0,0.009,0,0,0,0
MD95-2012,margo,4.11,72.151,11.4343,0.991,0,0,0.009,0,0,0,0
MD95-2012,margo,4.21,72.151,11.4343,0.991,0,0,0,0,0,0,0
MD95-2012,margo,4.3,72.151,11.4343,0.98,0,0,0.019,0,0,0,0
MD95-2012,margo,4.41,72.151,11.4343,0.98,0,0,0.019,0,0,0,0
MD95-2012,margo,4.5,72.151,11.4343,0.98,0,0,0.019,0,0,0,0
MD95-2012,margo,4.61,72.151,11.4343,0.98,0,0,0.019,0,0,0,0
MD95-2012,margo,4.71,72.151,11.4343,0.998,0,0,0,0,0,0,0
MD95-2012,margo,4.8,72.151,11.4343,0.985,0,0,0.015,0,0,0,0
MD95-2012,margo,4.91,72.151,11.4343,0.985,0,0,0.015,0,0,0,0
MD95-2012,margo,5,72.151,11.4343,0.985,0,0,0.015,0,0,0,0
MD95-2012,margo,5.11,72.151,11.4343,0.997,0,0,0,0,0,0,0
MD95-2012,margo,5.21,72.151,11.4343,0.977,0,0,0.023,0,0,0,0
MD95-2012,margo,5.3,72.151,11.4343,0.977,0,0,0.023,0,0,0,0
MD95-2012,margo,5.41,72.151,11.4343,0.977,0,0,0.023,0,0,0,0
MD95-2012,margo,5.5,72.151,11.4343,0.991,0,0,0.009,0,0,0,0
MD95-2039,margo,3.6,40.5785,-10.3485,0.398,0.314,0,0.222,0.065,0,0,0
MD95-2039,margo,3.7,40.5785,-10.3485,0.327,0.396,0.001,0.196,0.08,0,0,0
MD95-2039,margo,3.8,40.5785,-10.3485,0.327,0.377,0,0.181,0.114,0,0,0
MD95-2039,margo,3.9,40.5785,-10.3485,0.356,0.331,0,0.202,0.113,0,0,0
MD95-2039,margo,4,40.5785,-10.3485,0.388,0.332,0,0.256,0.023,0,0,0
MD95-2040,margo,3.35,40.5818,-9.8612,0.484,0.192,0,0.198,0.119,0,0,0
MD95-2040,margo,3.38,40.5818,-9.8612,0.449,0.227,0,0.221,0.096,0,0,0
MD95-2040,margo,3.41,40.5818,-9.8612,0.5,0.178,0,0.213,0.103,0,0,0
MD95-2040,margo,3.44,40.5818,-9.8612,0.433,0.17,0,0.287,0.096,0,0,0
MD95-2040,margo,3.47,40.5818,-9.8612,0.51,0.18,0.001,0.199,0.102,0,0,0
MD95-2040,margo,3.5,40.5818,-9.8612,0.455,0.207,0,0.193,0.121,0,0,0
MD95-2040,margo,3.53,40.5818,-9.8612,0.411,0.222,0.002,0.222,0.131,0,0,0
MD95-2040,margo,3.56,40.5818,-9.8612,0.439,0.182,0.001,0.296,0.079,0,0,0
MD95-2040,margo,3.59,40.5818,-9.8612,0.461,0.206,0.002,0.226,0.094,0,0,0
