Event,Data_Source,Depth [m],Latitude,Longitude,symbiont-barren non-spinose,symbiont-barren spinose,symbiont-bearing spinose,symbiont-facultative non-spinose,symbiont-obligate spinose,undetermined non-spinose,symbiont-bearing non-spinose,symbiont-facultative spinose
GeoB1413-4,epilog,0.19,-15.68,-9.455,0.1654,0.1054,0.0394,0.2865,0.3812,0.0197,0,0
GeoB1413-4,epilog,0.23,-15.68,-9.455,0.1993,0.1069,0.0403,0.2553,0.3695,0.0286,0,0
GeoB1417-1,epilog,0.33,-20.3667,-12.7067,0.1663,0.1897,0.0806,0.1756,0.3508,0.0338,0,0
GeoB1417-1,epilog,0.38,-20.3667,-12.7067,0.1133,0.1772,0.0643,0.2242,0.3918,0.0257,0,0.00349999999999999
GeoB1419-2,epilog,0.23,-15.5367,-17.0683,0.0564,0.1445,0.0778,0.157,0.5451,0.019,0,0
GeoB1501-4,epilog,0.33,-3.6783,-32.0067,0.2031,0.0157,0,0.1669,0.5701,0.0425,0,0
GeoB1501-4,epilog,0.38,-3.6783,-32.0067,0.1538,0.0181,0,0.1556,0.6449,0.026,0,0.0017
GeoB1503-1,epilog,0.28,2.3117,-30.6467,0.1748,0.0572,0.0501,0.3317,0.375,0.0114,0,0
GeoB1503-1,epilog,0.33,2.3117,-30.6467,0.1946,0.0823,0.0533,0.2836,0.3733,0.0111,0,0
GeoB1505-1,epilog,0.48,2.27,-33.01,0.1919,0.0425,0.0139,0.2592,0.4788,0.0139,0,0
GeoB1505-1,epilog,0.53,2.27,-33.01,0.1984,0.0295,0.0024,0.2409,0.5135,0.0142,0,0
GeoB1508-4,epilog,0.28,5.3333,-34.025,0.0902,0.003,0.0178,0.1723,0.6654,0.0515,0,0
GeoB1515-1,epilog,0.48,4.2383,-43.6667,0.1223,0.013,0.0174,0.1686,0.6541,0.0188,0,0
GeoB1515-1,epilog,0.53,4.2383,-43.6667,0.1299,0.0095,0.0142,0.1527,0.6421,0.0275,0,0
GeoB1515-1,epilog,0.63,4.2383,-43.6667,0.1162,0.0182,0.0093,0.1251,0.688,0.0314,0,0
GeoB1523-1,epilog,0.38,3.8317,-41.6217,0.1445,0.0048,0.0191,0.1527,0.6647,0.0143,0,0
GeoB1523-1,epilog,0.43,3.8317,-41.6217,0.1267,0.0139,0.0124,0.1575,0.6728,0.0139,0,0
GeoB1701-4,epilog,0.98,1.95,3.5517,0.1057,0.0299,0.00879999999999999,0.4845,0.3295,0.0397,0,0.0018
GeoB1701-4,epilog,1.03,1.95,3.5517,0.0679,0.0342,0.0233,0.4329,0.409,0.0303,0,0
GeoB1701-4,epilog,1.08,1.95,3.5517,0.0715,0.0461,0.0188,0.4412,0.3821,0.0348,0,0
GeoB1701-4,epilog,1.13,1.95,3.5517,0.1861,0.0193,0.0281,0.403,0.3275,0.036,0,0
GeoB1701-4,epilog,1.18,1.95,3.5517,0.2457,0.0438,0.0097,0.3772,0.2871,0.0341,0,0.0024
GeoB1706-2,epilog,1.23,-19.5617,11.175,0.6151,0.2217,0.0209,0.113,0.0168,0.0042,0,0
GeoB1706-2,epilog,1.28,-19.5617,11.175,0.801,0.1104,0.0221,0.0442,0.0165,0.0055,0,0
GeoB1706-2,epilog,1.33,-19.5617,11.175,0.8135,0.1314,0,0.0423,0.0085,0,0.0042,0
GeoB1706-2,epilog,1.38,-19.5617,11.175,0.8129,0.0886,0.0148,0.0542,0.0098,0.00989999999999999,0,0
GeoB1711-4,epilog,1.73,-23.315,12.3767,0.823,0.122,0,0.052,0.003,0,0,0
GeoB1711-4,epilog,1.78,-23.315,12.3767,0.738,0.184,0,0.079,0,0,0,0
GeoB1711-4,epilog,1.83,-23.315,12.3767,0.813,0.127,0,0.062,0,0,0,0
GeoB1711-4,epilog,1.88,-23.315,12.3767,0.75,0.112,0,0.131,0.003,0,0,0
GeoB1711-4,epilog,1.93,-23.315,12.3767,0.666,0.175,0,0.15,0.003,0,0,0
GeoB1711-4,epilog,1.98,-23.315,12.3767,0.763,0.131,0,0.095,0.006,0.003,0,0
GeoB1711-4,epilog,2.03,-23.315,12.3767,0.811,0.1,0,0.082,0,0,0,0
GeoB1711-4,epilog,2.08,-23.315,12.3767,0.823,0.104,0.002,0.056,0.002,0,0.002,0
GeoB1711-4,epilog,2.13,-23.315,12.3767,0.846,0.087,0.003,0.052,0,0,0,0
GeoB1711-4,epilog,2.18,-23.315,12.3767,0.737,0.19,0,0.065,0.00699999999999999,0,0,0
GeoB1711-4,epilog,2.23,-23.315,12.3767,0.795,0.142,0,0.055,0.003,0,0,0
GeoB1711-4,epilog,2.28,-23.315,12.3767,0.739,0.178,0,0.069,0.008,0,0,0
GeoB1711-4,epilog,2.33,-23.315,12.3767,0.691,0.192,0,0.106,0.004,0,0,0
GeoB1711-4,epilog,2.38,-23.315,12.3767,0.803,0.154,0,0.028,0.01,0,0,0
GeoB1711-4,epilog,2.43,-23.315,12.3767,0.895,0.065,0,0.025,0.005,0,0,0
GeoB1711-4,epilog,2.48,-23.315,12.3767,0.763,0.118,0,0.114,0,0,0,0
GeoB1711-4,epilog,2.53,-23.315,12.3767,0.762,0.173,0,0.065,0,0,0,0
GeoB1722-1,epilog,0.23,-29.45,11.75,0.483,0.1239,0.0126,0.325,0.0451,0.0104,0,0
GeoB1722-1,epilog,0.28,-29.45,11.75,0.6561,0.1084,0.0052,0.1621,0.0651,0.003,0,0
GeoB1903-3,epilog,0.48,-8.675,-11.845,0.1046,0.0472,0.0444,0.3525,0.4068,0.0401,0,0.0029
GeoB1903-3,epilog,0.53,-8.675,-11.845,0.2013,0.0531,0.0218,0.3058,0.3723,0.0417,0,0.0019
GeoB1903-3,epilog,0.58,-8.675,-11.845,0.1996,0.0477,0.0652,0.2344,0.4211,0.0297,0,0.0012
GeoB1905-3,epilog,0.38,-17.1433,-13.9867,0.0922,0.0964,0.093,0.2484,0.4354,0.0316,0,0.0024
GeoB1905-3,epilog,0.43,-17.1433,-13.9867,0.0755,0.0393,0.143,0.1334,0.579,0.0263,0,0.0033
GeoB2004-2,epilog,0.68,-30.87,14.3433,0.6355,0.1323,0.0022,0.1619,0.0427,0.0213,0,0.0044
GeoB2004-2,epilog,0.73,-30.87,14.3433,0.6445,0.1442,0.0069,0.1423,0.0475,0.0148,0,0
GeoB2004-2,epilog,0.78,-30.87,14.3433,0.7248,0.1229,0.0107,0.1046,0.0324,0.0032,0,0.0015
GeoB2016-1,epilog,0.18,-31.9,-1.33,0.3453,0.3321,0.0114,0.1818,0.1061,0.0233,0,0
GeoB2019-1,epilog,0.33,-36.06,-8.7783,0.3927,0.3755,0.0037,0.2068,0.0173,0.0037,0,0
GeoB2021-5,epilog,0.13,-36.8333,-14.4033,0.3979,0.3343,0,0.2553,0.0126,0,0,0
GeoB2109-1,epilog,0.48,-27.9117,-45.8817,0.1371,0.0392,0.0456,0.3021,0.4527,0.0234,0,0
GeoB2109-1,epilog,0.53,-27.9117,-45.8817,0.1485,0.0659,0.0568,0.2552,0.4568,0.0168,0,0
GeoB2109-1,epilog,0.58,-27.9117,-45.8817,0.1655,0.0486,0.054,0.3668,0.3498,0.013,0,0
GeoB2109-1,epilog,0.63,-27.9117,-45.8817,0.1472,0.0407,0.0979,0.2591,0.4441,0.0094,0,0
GeoB2116-4,epilog,0.28,-25.5117,-35.9983,0.3837,0.0443,0,0.2219,0.3499,0,0,0
GeoB2117-1,epilog,0.23,-23.0383,-36.6517,0.0536,0.0919,0.0258,0.0902,0.7305,0.0064,0,0
GeoB2125-1,epilog,0.33,-20.8233,-39.8633,0.036,0.0223,0.0502,0.3325,0.5438,0.0123,0,0
GeoB2125-1,epilog,0.38,-20.8233,-39.8633,0.025,0.0159,0.0537,0.3503,0.5378,0.002,0,0.0072
GeoB2202-4,epilog,0.78,-8.1983,-34.265,0.0399,0.0092,0.0283,0.156,0.7455,0.0202,0,0
GeoB2202-4,epilog,0.83,-8.1983,-34.265,0.0379,0.0114,0.0378,0.1726,0.7154,0.0239,0,0
GeoB2202-4,epilog,0.88,-8.1983,-34.265,0.0333,0.0212,0.0618,0.1962,0.6816,0.0058,0,0
GeoB2202-4,epilog,0.93,-8.1983,-34.265,0.0211,0.0084,0.0705,0.202,0.682,0.0161,0,0
GeoB2204-2,epilog,0.38,-8.5283,-34.0217,0.041,0.0112,0.0246,0.1421,0.7337,0.0474,0,0
GeoB2215-10,epilog,0.43,0.0067,-23.495,0.2924,0.099,0.0172,0.2721,0.2963,0.0221,0,0
GeoB2215-10,epilog,0.48,0.0067,-23.495,0.3976,0.0392,0.0034,0.3634,0.1911,0.0051,0,0
GeoB2819-1,epilog,0.13,-30.8483,-38.3433,0.3686,0.1386,0.0285,0.1757,0.2745,0.0118,0,0
GeoB3104-1,epilog,1.73,-3.6667,-37.7167,0.0337,0,0.0167,0.2997,0.623,0.0128,0,0
GeoB3104-1,epilog,1.78,-3.6667,-37.7167,0.0595,0,0.0158,0.3373,0.5502,0.0111,0,0
GeoB3104-1,epilog,1.83,-3.6667,-37.7167,0.0673,0,0.0177,0.2985,0.5732,0.0239,0,0
GeoB3104-1,epilog,1.88,-3.6667,-37.7167,0.0657,0,0.0429,0.3189,0.5224,0.0398,0,0
GeoB3104-1,epilog,1.98,-3.6667,-37.7167,0.0888,0,0.048,0.2701,0.5545,0.0264,0,0
GeoB3117-1,epilog,2.98,-4.295,-37.0917,0.068,0,0.0486,0.2859,0.565,0.0067,0,0
GeoB3117-1,epilog,3.03,-4.295,-37.0917,0.0758,0,0.0449,0.2897,0.5384,0.0079,0,0
GeoB3117-1,epilog,3.13,-4.295,-37.0917,0.0691,0,0.1008,0.262,0.5363,0.0147,0,0
GeoB3117-1,epilog,3.23,-4.295,-37.0917,0.0599,0,0.0271,0.3048,0.558,0.0232,0,0
GeoB3117-1,epilog,3.33,-4.295,-37.0917,0.0538,0.0098,0.0245,0.2613,0.591,0.0159,0,0
GeoB3117-1,epilog,3.43,-4.295,-37.0917,0.0473,0,0.0131,0.2056,0.7126,0.0155,0,0
GeoB3175-1,epilog,1.68,-7.0533,-34.4633,0.0637,0.0227,0.0226,0.0942,0.7709,0.016,0.0065,0
GeoB3175-1,epilog,1.73,-7.0533,-34.4633,0.0529,0.034,0.0406,0.0928,0.7711,0.0066,0,0
GeoB3175-1,epilog,1.78,-7.0533,-34.4633,0.043,0.0553,0.032,0.0866,0.7751,0.0083,0,0
GeoB3175-1,epilog,1.83,-7.0533,-34.4633,0.0651,0.0107,0.0296,0.1042,0.7823,0.0074,0,0
GeoB3176-1,epilog,3.43,-7.0117,-34.4417,0.0426,0.0121,0.0335,0.1841,0.7095,0.0152,0,0
GeoB3176-1,epilog,3.48,-7.0117,-34.4417,0.049,0.0225,0.0406,0.1905,0.6846,0.00989999999999999,0,0
GeoB3176-1,epilog,3.53,-7.0117,-34.4417,0.0491,0.0391,0.0485,0.1186,0.7247,0.014,0,0
GeoB3176-1,epilog,3.58,-7.0117,-34.4417,0.0214,0.0127,0.0164,0.1416,0.7943,0.0133,0,0
GeoB3603-2,epilog,0.33,-35.125,17.5433,0.647,0.163,0,0.1581,0.0272,0.0049,0,0
GeoB3603-2,epilog,0.38,-35.125,17.5433,0.5978,0.1708,0,0.2011,0.0222,0.0083,0,0
GeoB3722-2,epilog,0.83,-25.25,12.0217,0.881,0.0408,0,0.0769,0.0013,0,0,0
GeoB3722-2,epilog,0.88,-25.25,12.0217,0.8093,0.0866,0,0.0901,0.0123,0.0016,0,0
GeoB3722-2,epilog,0.93,-25.25,12.0217,0.911,0.0244,0,0.0609,0.0037,0,0,0
GeoB3722-2,epilog,0.98,-25.25,12.0217,0.8942,0.0529,0,0.0513,0.0017,0,0,0
GeoB3801-6,epilog,0.18,-29.5117,-8.305,0.2501,0.1919,0.0418,0.2326,0.2538,0.0269,0,0
GeoB3808-6,epilog,0.18,-30.8117,-14.7117,0.2342,0.2536,0.0289,0.226,0.2081,0.0493,0,0
GeoB3813-3,epilog,0.13,-32.2683,-21.9667,0.4397,0.1539,0.0089,0.2189,0.1741,0.0045,0,0
GeoB5112-5,epilog,0.16,-23.825,-16.2583,0.0996,0.0769,0.1165,0.2512,0.4329,0.0228,0,0
GeoB5115-2,epilog,0.14,-24.1433,-14.0433,0.0951,0.0899,0.0973,0.2221,0.4461,0.0496,0,0
GeoB5115-2,epilog,0.15,-24.1433,-14.0433,0.1136,0.0804,0.1135,0.1954,0.4425,0.0551,0,0
GeoB5115-2,epilog,0.16,-24.1433,-14.0433,0.0943,0.0869,0.0769,0.2715,0.4388,0.0315,0,0
GeoB5115-2,epilog,0.17,-24.1433,-14.0433,0.0913,0.0692,0.0946,0.2636,0.4321,0.0491,0,0
GeoB5121-2,epilog,0.16,-24.1833,-12.0217,0.1244,0.0856,0.1349,0.2376,0.3717,0.0424,0,0
GeoB5133-3,epilog,0.18,-19.0867,-10.1917,0.131,0.112,0.0743,0.2204,0.4328,0.0297,0,0
GeoB5140-3,epilog,0.1,-19.0517,-16.6133,0.0993,0.0731,0.2435,0.1901,0.3668,0.0231,0,0.00409999999999999
GeoB5140-3,epilog,0.11,-19.0517,-16.6133,0.0818,0.0616,0.2218,0.197,0.4079,0.0227,0,0.0052
GeoB5140-3,epilog,0.12,-19.0517,-16.6133,0.1087,0.0809,0.1921,0.1507,0.4297,0.0278,0,0.0088
17938-2,margo,3.65,19.78,117.53,0.00602409638,0.06325301205,0.0391566265,0.68975903619,0.09638554217,0,0,
17938-2,margo,3.75,19.78,117.53,0.00917431193,0.06727828746,0.03058103976,0.62996941898,0.1131498471,0.00305810398,0,
17938-2,margo,3.85,19.78,117.53,0.01230769231,0.07076923077,0.02769230769,0.5753846154,0.15692307692,0,0,
17938-2,margo,3.95,19.78,117.53,0.00843881856,0.09071729958,0.0358649789,0.56118143463,0.13924050632,0,0,
17938-2,margo,4.05,19.78,117.53,0.00982800983,0.04422604423,0.02702702703,0.656019656,0.09090909092,0,0,
17938-2,margo,4.15,19.78,117.53,0.0071942446,0.1079136691,0.01798561151,0.55035971227,0.08273381294,0,0,
17938-2,margo,4.25,19.78,117.53,0.01766004415,0.09492273731,0.03311258278,0.50772626935,0.09933774834,0,0,
17938-2,margo,4.35,19.78,117.53,0.03265306123,0.07346938776,0.02448979592,0.56734693881,0.11428571428,0,0,
17938-2,margo,4.45,19.78,117.53,0.00471698113,0.04009433962,0.03066037736,0.68160377361,0.08962264152,0,0,
17938-2,margo,4.55,19.78,117.53,0,0.07142857143,0.01648351648,0.57692307692,0.09890109889,0,0,
17938-2,margo,4.65,19.78,117.53,0.01028277634,0.05398457584,0.01028277635,0.5475578406,0.17737789203,0,0,
17938-2,margo,4.75,19.78,117.53,0.01016949153,0.04406779661,0.04406779661,0.66779661013,0.10508474577,0,0,
17938-2,margo,4.85,19.78,117.53,0.0522388,0.05970149253,0.0223880597,0.57089544173,0.14179104476,0.00373134328,0,
17938-2,margo,4.95,19.78,117.53,0.00536193029,0.03753351206,0.00804289544,0.71581769444,0.10455764075,0.00268096515,0,
17938-2,margo,5.05,19.78,117.53,0.01366120218,0.06010928962,0.0300546448,0.58196721314,0.11475409837,0.00273224044,0,
17938-2,margo,5.15,19.78,117.53,0.01973684211,0.04276315789,0.01973684211,0.60526315793,0.14802631579,0,0,
17938-2,margo,5.25,19.78,117.53,0.02610441768,0.0421686747,0.0140562249,0.62650602413,0.140562249,0.00602409639,0,
17938-2,margo,5.35,19.78,117.53,0.02389078498,0.06484641638,0.03071672355,0.64675767916,0.11604095563,0.00341296928,0,
17938-2,margo,5.45,19.78,117.53,0.00408163266,0.1306122449,0.02653061224,0.54081632656,0.14693877551,0,0,
17938-2,margo,5.55,19.78,117.53,0.02904564315,0.0622406639,0.02074688796,0.64315352697,0.10788381742,0,0,
17938-2,margo,5.6,19.78,117.53,0.02409638555,0.07877664504,0.0092678406,0.64411492124,0.12048192771,0.00092678406,0,
17938-2,margo,5.65,19.78,117.53,0.02266288952,0.05099150142,0.02549575071,0.68555240791,0.09915014165,0,0,
17938-2,margo,5.75,19.78,117.53,0.0133037694,0.06208425721,0.0066518847,0.65410199561,0.12195121951,0.0044345898,0,
17938-2,margo,5.85,19.78,117.53,0.01118881119,0.04055944056,0.0055944056,0.79580419583,0.06853146853,0.0027972028,0,
31-KL,margo,1.61,18.75,115.87,0.01829268293,0.04268292683,0.01219512195,0.54573170733,0.11280487805,0.00914634146,0,
31-KL,margo,1.65,18.75,115.87,0.02487562189,0.06467661692,0.00995024876,0.56218905472,0.10447761195,0.00995024876,0,
31-KL,margo,1.69,18.75,115.87,0.0306122449,0.05612244898,0.01530612245,0.65306122447,0.08673469388,0,0,
31-KL,margo,1.73,18.75,115.87,0.00946372239,0.05047318612,0.01261829653,0.58044164033,0.15457413249,0,0,
31-KL,margo,1.77,18.75,115.87,0.01374570447,0.07560137457,0.00687285224,0.67353951886,0.07560137457,0.01718213058,0,
31-KL,margo,1.81,18.75,115.87,0.00487804878,0.08292682927,0.00975609756,0.69756097561,0.06341463414,0.00487804878,0,
31-KL,margo,1.85,18.75,115.87,0,0.05418719212,0.00985221675,0.64532019704,0.10344827586,0,0,
31-KL,margo,1.89,18.75,115.87,0,0.1091954023,0.01149425288,0.62068965513,0.09770114942,0,0,
31-KL,margo,1.97,18.75,115.87,0.0149812734,0.07490636704,0,0.61423220969,0.10486891385,0.00374531835,0,
31-KL,margo,2.01,18.75,115.87,0.02580645162,0.03870967742,0.01290322581,0.64516129034,0.09677419356,0,0,
31-KL,margo,2.05,18.75,115.87,0.01470588235,0.05882352941,0,0.57843137256,0.12745098038,0.01960784314,0,
31-KL,margo,2.09,18.75,115.87,0.02192982456,0.03070175439,0.00877192982,0.61842105269,0.13157894736,0.01315789474,0,
31-KL,margo,2.13,18.75,115.87,0.02083333333,0.05729166667,0.015625,0.67708333327,0.10416666667,0,0,
31-KL,margo,2.17,18.75,115.87,0.02380952381,0.02857142857,0.00476190476,0.71428571429,0.0857142857,0,0,
6706-2,margo,259,42.16,-124.94,0.54,0.421,0,0.03,0,0,0,
80KB11,margo,0.89,36.5,24.3,0.480132450331126,0.294701986754967,0,0.102649006622517,0.00662251655629139,0,0,0
A015558,margo,0.58,8.983333333,51.73333333,0.0897009966777409,0.136212624584718,0.0431893687707641,0.431893687707641,0.079734219269103,0,0,0
BC15,margo,0.7725,41.95,5.93,0.133971291866029,0.698564593301435,0,0.15311004784689,0,0,0,0
BC15,margo,0.9475,41.95,5.93,0.188571428571429,0.742857142857143,0,0.0571428571428571,0.0114285714285714,0,0,0
BC15,margo,1.0925,41.95,5.93,0.157088122605364,0.708812260536399,0,0.122605363984674,0.00766283524904215,0,0,0
BOFS14K,margo,0.36,58.6288,-19.4349,0.91,0.054,0,0.036,0,0,0,0
BOFS14K,margo,0.38,58.6288,-19.4349,0.872,0.099,0,0.029,0,0,0,0
BOFS14K,margo,0.4,58.6288,-19.4349,0.892,0.074,0,0.033,0,0,0,0
BOFS14K,margo,0.42,58.6288,-19.4349,0.875,0.084,0,0.04,0,0,0,0
BOFS14K,margo,0.44,58.6288,-19.4349,0.934,0.048,0,0.018,0,0,0,0
BOFS14K,margo,0.46,58.6288,-19.4349,0.799,0.168,0,0.031,0,0,0,0
BOFS16K,margo,0.44,59.4693,-23.2427,0.919,0.079,0,0.002,0,0,0,0
BOFS16K,margo,0.48,59.4693,-23.2427,0.852,0.141,0,0.005,0,0,0,0
BOFS17K,margo,0.74,58.001,-16.5014,0.899,0.057,0,0.043,0,0,0,0
BOFS17K,margo,0.76,58.001,-16.5014,0.926,0.036,0,0.037,0,0,0,0
BOFS17K,margo,0.78,58.001,-16.5014,0.931,0.038,0,0.029,0,0,0,0
BOFS17K,margo,0.8,58.001,-16.5014,0.822,0.116,0,0.061,0,0,0,0
BOFS17K,margo,0.82,58.001,-16.5014,0.915,0.07,0,0.016,0,0,0,0
BOFS17K,margo,0.84,58.001,-16.5014,0.815,0.125,0,0.06,0,0,0,0
BOFS17K,margo,0.86,58.001,-16.5014,0.824,0.138,0,0.038,0,0,0,0
BOFS17K,margo,0.88,58.001,-16.5014,0.8,0.134,0,0.065,0,0,0,0
BOFS17K,margo,0.9,58.001,-16.5014,0.815,0.152,0,0.033,0,0,0,0
BOFS17K,margo,0.92,58.001,-16.5014,0.681,0.262,0,0.058,0,0,0,0
BOFS17K,margo,0.94,58.001,-16.5014,0.698,0.234,0,0.057,0.01,0,0,0
BOFS17K,margo,0.96,58.001,-16.5014,0.59,0.323,0,0.068,0.02,0,0,0
BOFS17K,margo,0.98,58.001,-16.5014,0.555,0.344,0,0.082,0.02,0,0,0
BOFS17K,margo,1,58.001,-16.5014,0.516,0.403,0,0.064,0.013,0,0,0
BOFS17K,margo,1.02,58.001,-16.5014,0.548,0.391,0,0.049,0.013,0,0,0
BOFS17K,margo,1.04,58.001,-16.5014,0.604,0.339,0,0.042,0.01,0,0,0
BOFS31/1K,margo,0.54,18.9979,-20.1621,0.421,0.304,0.004,0.184,0.063,0,0,0
BOFS31/1K,margo,0.56,18.9979,-20.1621,0.426,0.283,0.009,0.214,0.043,0,0,0
BOFS31/1K,margo,0.58,18.9979,-20.1621,0.43,0.296,0.003,0.217,0.044,0,0.002,0
BOFS31/1K,margo,0.6,18.9979,-20.1621,0.394,0.271,0.006,0.236,0.076,0,0,0
BOFS31/1K,margo,0.62,18.9979,-20.1621,0.388,0.295,0.003,0.216,0.06,0,0,0
BOFS31/1K,margo,0.64,18.9979,-20.1621,0.382,0.292,0,0.226,0.069,0,0,0
BOFS31/1K,margo,0.66,18.9979,-20.1621,0.399,0.276,0.003,0.207,0.084,0,0,0
BOFS31/1K,margo,0.68,18.9979,-20.1621,0.327,0.339,0,0.233,0.081,0,0,0
BOFS5K,margo,0.78,50.6876,-21.8635,0.983,0.012,0,0.002,0,0,0,0
BOFS5K,margo,0.8,50.6876,-21.8635,0.935,0.048,0,0.007,0.003,0,0,0
BOFS5K,margo,0.82,50.6876,-21.8635,0.943,0.041,0,0.017,0,0,0,0
BOFS5K,margo,0.84,50.6876,-21.8635,0.954,0.03,0,0.016,0,0,0,0
BOFS5K,margo,0.86,50.6876,-21.8635,0.968,0.027,0,0.002,0.002,0,0,0
BOFS5K,margo,0.88,50.6876,-21.8635,0.967,0.028,0,0.002,0.002,0,0,0
BOFS5K,margo,0.9,50.6876,-21.8635,0.948,0.028,0,0.022,0.004,0,0,0
BOFS5K,margo,0.92,50.6876,-21.8635,0.947,0.045,0,0.007,0,0,0,0
BOFS5K,margo,0.94,50.6876,-21.8635,0.928,0.051,0,0.019,0.003,0,0,0
BOFS5K,margo,0.96,50.6876,-21.8635,0.924,0.048,0,0.029,0,0,0,0
BOFS8K,margo,0.86,52.5033,-22.0623,0.972,0.011,0,0.017,0,0,0,0
BOFS8K,margo,0.88,52.5033,-22.0623,0.956,0.039,0,0.006,0,0,0,0
BOFS8K,margo,0.9,52.5033,-22.0623,0.992,0.005,0,0.003,0,0,0,0
BOFS8K,margo,0.92,52.5033,-22.0623,0.973,0.01,0,0.017,0,0,0,0
BOFS8K,margo,0.94,52.5033,-22.0623,0.993,0.003,0,0.005,0,0,0,0
BOFS8K,margo,0.96,52.5033,-22.0623,0.98,0.004,0,0.015,0,0,0,0
BOFS8K,margo,0.98,52.5033,-22.0623,0.97,0.019,0,0.007,0,0,0,0
BOFS8K,margo,1,52.5033,-22.0623,0.978,0.01,0,0.013,0,0,0,0
BOFS8K,margo,1.02,52.5033,-22.0623,0.976,0.022,0,0.003,0,0,0,0
BOFS8K,margo,1.04,52.5033,-22.0623,0.965,0.014,0,0.021,0,0,0,0
BOFS8K,margo,1.06,52.5033,-22.0623,0.965,0.025,0,0.009,0,0,0,0
BOFS8K,margo,1.08,52.5033,-22.0623,0.962,0.034,0,0.005,0,0,0,0
BOFS8K,margo,1.1,52.5033,-22.0623,0.965,0.029,0,0.006,0,0,0,0
BOFS8K,margo,1.12,52.5033,-22.0623,0.971,0.025,0,0.003,0,0,0,0
BOFS8K,margo,1.14,52.5033,-22.0623,0.961,0.028,0,0.01,0,0,0,0
BOFS8K,margo,1.16,52.5033,-22.0623,0.942,0.055,0,0.003,0,0,0,0
BOFS8K,margo,1.18,52.5033,-22.0623,0.951,0.042,0,0.008,0,0,0,0
BOFS8K,margo,1.2,52.5033,-22.0623,0.942,0.036,0,0.021,0,0,0,0
BS79-22,margo,2.85,38.231,14.23,0.41304347826087,0.195652173913043,0.0130434782608696,0.256521739130435,0.121739130434783,0,0,0
BS79-22,margo,2.88,38.231,14.23,0.356200527704486,0.255936675461741,0.00527704485488127,0.274406332453826,0.108179419525066,0,0,0
BS79-22,margo,2.91,38.231,14.23,0.357531760435572,0.26497277676951,0.00181488203266788,0.215970961887477,0.159709618874773,0,0,0
BS79-22,margo,2.94,38.231,14.23,0.375,0.263888888888889,0,0.189814814814815,0.171296296296296,0,0,0
BS79-22,margo,2.97,38.231,14.23,0.309322033898305,0.258474576271186,0,0.233050847457627,0.199152542372881,0,0,0
BS79-22,margo,3,38.231,14.23,0.35036496350365,0.248175182481752,0,0.215328467153285,0.186131386861314,0,0,0
BS79-22,margo,3.03,38.231,14.23,0.368763557483731,0.251626898047722,0,0.223427331887202,0.156182212581345,0,0,0
BS79-22,margo,3.06,38.231,14.23,0.33695652173913,0.255434782608696,0,0.21195652173913,0.195652173913043,0,0,0
BS79-22,margo,3.09,38.231,14.23,0.339100346020761,0.224913494809689,0,0.214532871972318,0.221453287197232,0,0,0
BS79-22,margo,3.12,38.231,14.23,0.365333333333333,0.186666666666667,0,0.242666666666667,0.205333333333333,0,0,0
BS79-22,margo,3.15,38.231,14.23,0.307692307692308,0.238213399503722,0,0.203473945409429,0.250620347394541,0,0,0
BS79-22,margo,3.18,38.231,14.23,0.324766355140187,0.261682242990654,0.00467289719626168,0.264018691588785,0.144859813084112,0,0,0
BS79-22,margo,3.21,38.231,14.23,0.312236286919831,0.244725738396625,0,0.282700421940928,0.160337552742616,0,0,0
BS79-22,margo,3.24,38.231,14.23,0.341232227488152,0.260663507109005,0,0.270142180094787,0.127962085308057,0,0,0
BS79-22,margo,3.27,38.231,14.23,0.347682119205298,0.205298013245033,0.0033112582781457,0.26158940397351,0.182119205298013,0,0,0
BS79-22,margo,3.3,38.231,14.23,0.263322884012539,0.250783699059561,0,0.29153605015674,0.19435736677116,0,0,0
BS79-22,margo,3.33,38.231,14.23,0.258064516129032,0.24633431085044,0.00293255131964809,0.304985337243402,0.187683284457478,0,0,0
BS79-22,margo,3.36,38.231,14.23,0.297560975609756,0.204878048780488,0,0.253658536585366,0.24390243902439,0,0,0
BS79-22,margo,3.39,38.231,14.23,0.322033898305085,0.216949152542373,0,0.247457627118644,0.213559322033898,0,0,0
BS79-22,margo,3.42,38.231,14.23,0.320388349514563,0.252427184466019,0,0.203883495145631,0.223300970873786,0,0,0
BS79-22,margo,3.45,38.231,14.23,0.407079646017699,0.176991150442478,0.0132743362831858,0.238938053097345,0.163716814159292,0,0,0
BS79-33,margo,3.25,38.157,14.018,0.380165289256198,0.245179063360882,0,0.225895316804408,0.148760330578512,0,0,0
BS79-33,margo,3.3,38.157,14.018,0.362017804154303,0.317507418397626,0,0.210682492581602,0.109792284866469,0,0,0
BS79-33,margo,3.35,38.157,14.018,0.33433734939759,0.316265060240964,0,0.147590361445783,0.201807228915663,0,0,0
BS79-33,margo,3.4,38.157,14.018,0.390625,0.315625,0,0.159375,0.134375,0,0,0
BS79-33,margo,3.45,38.157,14.018,0.342948717948718,0.349358974358974,0,0.137820512820513,0.169871794871795,0,0,0
BS79-33,margo,3.5,38.157,14.018,0.303206997084548,0.279883381924198,0,0.145772594752187,0.271137026239067,0,0,0
BS79-33,margo,3.55,38.157,14.018,0.302325581395349,0.348837209302326,0,0.188953488372093,0.159883720930233,0,0,0
