Event,Data_Source,Depth [m],Latitude,Longitude,symbiont-barren non-spinose,symbiont-barren spinose,symbiont-bearing non-spinose,symbiont-bearing spinose,symbiont-facultative non-spinose,symbiont-facultative spinose,symbiont-obligate spinose,undetermined non-spinose
GeoB3176-1,margo,3.53,-7.0117,-34.4417,30,22,0,27,70,0,417,0
GeoB3176-1,margo,3.58,-7.0117,-34.4417,12,7,0,10,75,0,418,0
GeoB3603-2,margo,0.33,-35.125,17.5433,285,72,0,0,71,0,16,0
GeoB3603-2,margo,0.38,-35.125,17.5433,242,70,0,0,82,0,16,0
GeoB3722-2,margo,0.83,-25.25,12.0217,631,30,0,0,55,0,1,0
GeoB3722-2,margo,0.88,-25.25,12.0217,868,93,0,0,98,0,17,0
GeoB3722-2,margo,0.93,-25.25,12.0217,964,26,0,0,65,0,5,0
GeoB3722-2,margo,0.98,-25.25,12.0217,785,47,0,0,45,0,3,0
GeoB3801-6,margo,0.18,-29.5117,-8.305,123,94,0,21,115,0,134,6
GeoB3808-6,margo,0.18,-30.8117,-14.7117,175,187,0,22,168,0,180,14
GeoB3813-3,margo,0.13,-32.2683,-21.9667,258,90,0,6,129,0,108,0
GeoB5112-5,margo,0.16,-23.825,-16.2583,67,50,0,75,162,0,294,0
GeoB5115-2,margo,0.14,-24.1433,-14.0433,80,73,0,79,180,0,401,0
GeoB5115-2,margo,0.15,-24.1433,-14.0433,84,58,0,82,142,0,360,0
GeoB5115-2,margo,0.16,-24.1433,-14.0433,56,50,0,45,158,0,275,0
GeoB5115-2,margo,0.17,-24.1433,-14.0433,64,45,0,63,176,0,321,0
GeoB5121-2,margo,0.16,-24.1833,-12.0217,82,55,0,88,155,0,268,5
GeoB5133-3,margo,0.18,-19.0867,-10.1917,109,91,0,60,179,0,367,8
GeoB5140-3,margo,0.1,-19.0517,-16.6133,68,49,0,161,127,3,252,8
GeoB5140-3,margo,0.11,-19.0517,-16.6133,68,49,0,175,158,5,335,7
GeoB5140-3,margo,0.12,-19.0517,-16.6133,64,47,0,111,90,6,260,7
KET8003,margo,1.91,38.49,14.3,218,139,0,2,61,0,2,0
KET8003,margo,1.95,38.49,14.3,159,154,0,2,50,0,2,0
KET8003,margo,2.01,38.49,14.3,238,245,0,0,146,0,7,0
KET8003,margo,2.05,38.49,14.3,164,172,0,4,116,0,3,0
KET8003,margo,2.11,38.49,14.3,172,145,0,0,124,0,7,0
KET8003,margo,2.15,38.49,14.3,112,124,0,1,71,0,3,0
KET8003,margo,2.21,38.49,14.3,181,192,0,0,112,0,4,0
KET8003,margo,2.25,38.49,14.3,230,225,0,0,88,0,5,0
KET8019,margo,2.71,40.33,13.21,145,102,0,3,92,0,85,0
KET8019,margo,2.81,40.33,13.21,76,83,0,1,43,0,56,0
KET8019,margo,2.98,40.33,13.21,209,91,0,0,68,0,78,0
KET8019,margo,3.01,40.33,13.21,177,72,0,0,45,0,35,0
KET8019,margo,3.14,40.33,13.21,105,163,0,0,50,0,31,0
KET8019,margo,3.21,40.33,13.21,279,106,0,0,78,0,5,0
KET8039,margo,2.7125,36.32,11.41,130,113,0,0,83,0,131,0
KET8039,margo,2.8125,36.32,11.41,91,141,0,1,45,0,68,0
KET8039,margo,2.9125,36.32,11.41,110,102,0,0,56,0,114,0
KET8039,margo,3.0125,36.32,11.41,73,145,0,0,36,0,77,0
KET8039,margo,3.1125,36.32,11.41,89,102,0,0,35,0,96,0
KET8039,margo,3.2125,36.32,11.41,149,129,0,1,52,0,146,0
KET8039,margo,3.3125,36.32,11.41,102,71,0,0,45,0,85,0
KET8039,margo,3.4125,36.32,11.41,149,137,0,1,81,0,121,0
KET8039,margo,3.5125,36.32,11.41,117,115,0,3,54,0,98,0
KET8039,margo,3.6125,36.32,11.41,120,105,0,1,42,0,101,0
KET8039,margo,3.7125,36.32,11.41,156,91,0,0,38,0,52,0
KET8039,margo,3.8125,36.32,11.41,228,116,0,3,54,0,80,0
KET8039,margo,3.9125,36.32,11.41,238,94,0,1,41,0,93,0
KET8039,margo,4.0125,36.32,11.41,192,100,0,0,53,0,75,0
KET8039,margo,4.1125,36.32,11.41,152,115,0,0,49,0,10,0
KET8216,margo,1.81,41.31,17.59,122,104,0,0,19,0,0,0
KET8216,margo,1.91,41.31,17.59,80,44,0,2,17,0,0,0
KET8216,margo,2.01,41.31,17.59,88,66,0,0,13,0,2,0
KET8216,margo,2.09,41.31,17.59,100,185,0,0,27,0,0,0
KL96,margo,0.455,32.77,19.19,69,17,0,3,1,0,181,0
KL96,margo,0.505,32.77,19.19,76,19,0,2,4,0,146,0
LC01,margo,0.682,40.26,6.887,122,270,0,0,43,0,39,0
LC01,margo,0.71,40.26,6.887,86,188,0,0,31,0,55,0
LC01,margo,0.757,40.26,6.887,90,170,0,1,40,0,44,0
LC01,margo,0.787,40.26,6.887,117,394,0,0,57,0,21,0
LC04,margo,0.832,38.65,6.11,66,110,0,0,32,0,24,0
LC04,margo,0.912,38.65,6.11,154,161,0,1,82,0,56,0
LC04,margo,0.997,38.65,6.11,116,108,0,4,52,0,57,0
LC07,margo,0.685,38.14,10.07,58,112,0,1,40,0,8,0
LC07,margo,0.805,38.14,10.07,30,75,0,0,30,0,8,0
LC07,margo,0.865,38.14,10.07,31,67,0,0,18,0,7,0
LC21,margo,275.5,35.66,26.58,74,23,0,2,31,0,37,0
LC21,margo,281.5,35.66,26.58,79,25,0,2,10,0,57,0
LC21,margo,289.5,35.66,26.58,115,31,0,4,91,0,55,0
LC21,margo,296,35.66,26.58,48,12,0,2,23,0,15,0
LC21,margo,303.5,35.66,26.58,65,35,0,2,34,0,44,0
LC21,margo,310.5,35.66,26.58,83,54,0,4,44,0,45,0
LC21,margo,317,35.66,26.58,102,14,0,2,18,0,40,0
LC21,margo,324.5,35.66,26.58,67,45,0,4,16,0,22,0
MD 95-2043,margo,8.3,36.143,-2.621,258,52,0,0,14,0,7,0
MD 95-2043,margo,8.4,36.143,-2.621,304,61,0,0,19,0,11,0
MD 95-2043,margo,8.5,36.143,-2.621,335,54,0,0,22,0,2,0
MD 95-2043,margo,8.6,36.143,-2.621,285,97,0,0,11,0,13,0
MD 95-2043,margo,8.7,36.143,-2.621,186,94,0,0,18,0,5,0
MD 95-2043,margo,8.8,36.143,-2.621,458,144,0,0,39,0,7,0
MD 95-2043,margo,8.9,36.143,-2.621,301,99,0,0,21,0,7,0
MD012416,margo,196.5,51.268,167.7255,307,70,0,0,2,,0,0
MD012416,margo,197.5,51.268,167.7255,338,78,0,0,2,,0,0
MD012416,margo,200.5,51.268,167.7255,267,52,0,0,2,,0,0
