Latitude,Longitude,O. universa,G. conglobatus,G. ruber ruber,G. ruber albus,G. tenellus,T. sacculifer,S. dehiscens,G. adamsi,G. aequilateralis,G. calida,G. bulloides,G. falconensis,G. digitata,G. rubescens,T. humilis,T. quinqueloba,N. pachyderma,N. incompta,N. dutertrei,G. conglomerata,G. hexagonus,P. obliquiloculata,G. inflata,T. truncatulinoides,G. crassaformis,G. hirsuta,G. scitula,D. anfracta,G. cultrata,G. tumida,C. nitida,G. glutinata,T. iota,G. uvula,B. pumilio,H. pelagica,H. digitata,G. menardii,G. truncatulinoides,G. theyeri,G. tenella,G. siphonifera,G. crassa,SST
-45.037,114.348,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,155.0,0.0,0.0,0.0,1.0,17.0,43.5,13.5,0.0,0.0,0.0,0.0,52.0,4,1.0,0.0,1.0,,0.0,0.0,0.0,11.0,,,,,,0.0,4.0,0.0,0.0,0.0,0.0,5.415118395580558
-43.953,114.368,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,0.0,0.0,0.0,0.0,3.0,35.0,47.0,0.0,0.0,0.0,0.0,153.0,40,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.819532222410479
-41.02,100.012,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,174.0,1.0,0.0,0.0,2.0,24.0,25.0,10.0,0.0,0.0,0.0,0.0,41.0,4,0.0,0.0,0.0,,0.0,0.0,0.0,18.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,7.975991127136457
-39.515,83.723,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,115.0,1.0,1.0,0.0,1.0,47.0,30.0,47.0,0.0,0.0,0.0,0.0,23.0,11,0.0,0.0,0.0,,0.0,0.0,0.0,23.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,9.648735128187393
-45.022,95.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0,0.0,10.0,70.0,40.0,0.0,0.0,0.0,0.0,64.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.370202087476989
-47.128,95.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0,0.0,12.0,79.0,11.0,0.0,0.0,0.0,0.0,54.0,14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9014743130150995
-47.988,95.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,9.0,85.0,5.0,0.0,0.0,0.0,0.0,33.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9014743130150995
-49.378,94.832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,0.0,0.0,0.0,0.0,54.0,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.135081455868186
24.5,-16.95,1.0,0.0,5.0,50.0,1.0,32.0,0.0,0.0,2.0,11.0,63.0,21.0,0.0,1.0,2.0,3.0,123.0,58.0,0.0,0.0,0.0,11.0,90.0,21,2.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.794972448226005
14.267,-75.58,11.0,6.0,0.0,0.0,0.0,84.0,4.0,0.0,13.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,6.0,0.0,4,3.0,0.0,0.0,0.0,56.0,21.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.360407286413647
