Data_Source,Latitude,Longitude,O. universa,G. conglobatus,G. ruber albus,G. tenellus,T. sacculifer,S. dehiscens,G. siphonifera,G. calida,G. bulloides,G. falconensis,B. digitata,G. rubescens,T. quinqueloba,N. pachyderma,N. incompta,N. dutertrei,G. conglomerata,G. hexagonus,P. obliquiloculata,G. inflata,G. crassaformis,G. hirsuta,G. scitula,G. glutinata,G. truncatulinoides,G. aequilateralis,G. menardii,H. pelagica,G. ruber ruber,G. tumida,G. digitata,T. humilis,C. nitida,G. uvula,D. anfracta,G. theyeri,T. iota,G. cavernula,G. cultrata,G. tenella,G. adamsi,G. crassa,SST
climap,-39.895,85.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.423,0.0,0.0,0.0,0.08,0.108,0.176,0.026,0.0,0.0,0.0,0.063,0.0,0.006,0.097,0.0,0.023,,,,,,,,,,,,,,,,,,9.572048697244403
climap,-39.515,83.723,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.385,0.003,0.003,0.0,0.157,0.047,0.157,0.054,0.0,0.0,0.0,0.077,0.0,0.0,0.077,0.0,0.036,,,,,,,,,,,,,,,,,,9.648735128187393
climap,-38.542,79.898,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.372,0.0,0.0,0.0,0.097,0.097,0.181,0.074,0.0,0.0,0.0,0.074,0.0,0.0,0.067,0.0,0.03,,,,,,,,,,,,,,,,,,10.52637077647979
climap,6.67,-21.9,0.005,0.0,0.36,0.014,0.173,0.0,0.022,0.014,0.036,0.014,0.011,0.008,0.0,0.0,0.049,0.107,0.0,0.003,0.003,0.027,0.03,0.003,0.099,0.0,0.022,,,,,,,,,,,,,,,,,,24.17065724819939
climap,25.172,-16.845,0.005,0.0,0.017,0.005,0.002,0.0,0.004,0.0,0.314,0.0,0.001,0.0,0.037,0.0,0.386,0.109,0.001,0.0,0.0,0.067,0.0,0.011,0.037,0.0,0.006,,,,,,,,,,,,,,,,,,16.22051365309356
climap,50.0,-23.733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.0,0.0,0.0,0.06,0.884,0.021,0.0,0.0,0.0,0.0,0.005,0.0,0.002,0.007,0.0,0.0,,,,,,,,,,,,,,,,,,5.63946412064527
climap,49.983,-25.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.951,0.026,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.002,0.0,0.0,,,,,,,,,,,,,,,,,,5.414194822251145
climap,51.55,-29.567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.045,0.91,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,4.120272293667748
climap,53.933,-24.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.0,0.0,0.0,0.012,0.911,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.0,0.0,,,,,,,,,,,,,,,,,,6.048854428437425
climap,52.733,-22.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.024,0.873,0.057,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.022,0.0,0.0,,,,,,,,,,,,,,,,,,6.8096755504224795
climap,57.486,-27.519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,0.036,0.907,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,6.476806470830222
climap,15.53,72.568,0.014,0.009,0.309,0.041,0.127,0.0,0.045,0.009,0.123,0.018,0.0,0.018,0.0,0.0,0.0,0.055,0.005,0.014,0.045,0.0,0.0,0.005,0.164,0.0,0.0,,,,,,,,,,,,,,,,,,24.198694556389423
