Core,Coring device,Latitude,Longitude,Water depth (m),Ocean,Sample depth - upper (m),Sample depth - lower (m),calendar age estimate (cal ky BP),Publication,added by (name),date of addition,Orbulina universa,Globigerinoides conglobatus,Globigerinoides ruber total,Globoturborotalita tenella,Globigerinoides sacc total,Sphaeroidinella dehiscens,Globigerinella siphonifera (=aequilateralis),Globigerinella calida,Globigerina bulloides,Globigerina falconensis,Beela digitata,Globoturborotalita rubescens,Turborotalita quinqueloba,Neogloboquadrina pachyderma L,Neogloboquadrina pachyderma R,Neogloboquadrina dutertrei,Globoquadrina conglomerata,Globorotaloides hexagonus,Pulleniatina obliquiloculata,Globorotalia inflata,Globorotalia truncatulinoides L,Globorotalia truncatulinoides R,Globorotalia crassaformis,Globorotalia hirsuta,Globorotalia scitula,Globorotalia menardii + tumida,Candeina nitida ,Globigerinita glutinata,Total Planktics,%(1) or Raw(2)
MD972148,Piston,19.8,117.54,2830,South China Sea,11.155,1.9,20.42572222,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,1.02739726,0,16.78082192,1.369863014,3.082191781,0,1.369863014,7.534246575,9.931506849,0.684931507,0.342465753,1.02739726,0,0,0,38.35616438,1.369863014,0,2.054794521,4.452054795,0,0.342465753,0.684931507,0,0,1.02739726,0,8.561643836,100,1
MD972148,Piston,19.8,117.54,2830,South China Sea,11.235,1.98,20.51516667,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,1.454545455,0,12.72727273,1.818181818,4.363636364,0,1.818181818,8,8.363636364,0,0,1.090909091,0,0,0,41.81818182,2.545454545,0,1.818181818,5.090909091,0.363636364,0,1.454545455,0,0,0.363636364,0,6.909090909,100,1
MD972148,Piston,19.8,117.54,2830,South China Sea,11.315,2.02,20.60461111,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,2.734375,0,14.84375,1.171875,6.640625,0.390625,1.171875,6.25,9.375,0.390625,0,0.390625,0,0,0,37.5,0.78125,0,2.34375,8.59375,0,0,0,0,0,1.171875,0,6.25,100,1
MD972148,Piston,19.8,117.54,2830,South China Sea,11.395,2.06,20.69405556,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,1.818181818,0,12,0.363636364,4.727272727,0,1.090909091,10.54545455,7.636363636,0.363636364,0,0.727272727,0,0,0,42.54545455,0.727272727,0,1.090909091,5.090909091,0,0,1.454545455,0,0,1.454545455,0,8.363636364,100,1
MD972148,Piston,19.8,117.54,2830,South China Sea,11.475,2.1,20.7835,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,0.884955752,0.442477876,11.0619469,0.884955752,8.407079646,0,0.884955752,11.50442478,8.407079646,1.327433628,0,1.327433628,0,0,0,44.24778761,1.327433628,0,1.769911504,0.884955752,0,0.884955752,1.327433628,0,0,0.884955752,0,3.539823009,100,1
MD972148,Piston,19.8,117.54,2830,South China Sea,11.555,2.14,20.87294444,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,1.872659176,0,11.61048689,1.123595506,4.494382022,0,1.498127341,5.617977528,9.36329588,0.374531835,0,0,0,0,0,48.31460674,1.498127341,0,1.123595506,0.74906367,0,0,1.872659176,0,0,1.498127341,0,8.988764045,100,1
MD972148,Piston,19.8,117.54,2830,South China Sea,11.635,2.18,20.96238889,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,0.491400491,0.245700246,11.79361179,0.491400491,3.931203931,0,0.982800983,7.862407862,12.53071253,0.245700246,0,0.982800983,0,0,0,45.7002457,1.228501229,0,1.965601966,0.737100737,0,0,0.737100737,0,0,1.71990172,0,8.353808354,100,1
MD972148,Piston,19.8,117.54,2830,South China Sea,11.715,3.66,21.05183333,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,1.146788991,0.229357798,11.00917431,0.229357798,4.587155963,0.229357798,0.458715596,5.963302752,8.944954128,0.458715596,0,0.688073394,0,0,0,48.85321101,2.752293578,0,2.981651376,0.917431193,0,0.917431193,0.917431193,0,0,1.605504587,0,7.110091743,100,1
MD972148,Piston,19.8,117.54,2830,South China Sea,11.795,3.76,21.14127778,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,0.306748466,0,10.42944785,2.147239264,3.987730061,0,0.306748466,3.374233129,6.748466258,0.920245399,0.306748466,0.613496933,0,0,0,49.38650307,2.760736196,0,2.147239264,0.613496933,0,0.613496933,2.760736196,0,0,1.533742331,0,11.04294479,100,1
MD972148,Piston,19.8,117.54,2830,South China Sea,11.875,3.86,21.23072222,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,1.337792642,0.334448161,12.04013378,1.003344482,5.016722408,0.334448161,1.003344482,3.344481605,9.698996656,0.668896321,0,0.668896321,0,0,0,48.82943144,1.337792642,0,1.672240803,0.334448161,0,0,1.337792642,0,0.334448161,1.003344482,0,9.698996656,100,1
