CoreID,Latitude,Longitude,Water Depth (m)
V25-59,1.36667,-33.48333,3824
RC13-261,-56.12194,-8.68694,4221
RC13-271,-51.985,4.52167,3634
V17-42,3.51667,-81.16667,1814
V29-190,52.66667,-15.16667,1458
V27-14,41.35333,-46.83,4453
V23-73,68.55,2.71667,2970
V3-71,23.51667,-95.575,3058
V27-70,78.9,7.05,1300
RE5-36,46.91667,-18.56667,4500
V23-114,17.21667,-49.91667,4177
A180-9,39.45,-45.95,4060
RC15-97,-42.955,-25.93694,4583
V28-28,73.46667,0.81667,2288
V20-234,5.31667,-33.01667,3133
V14-95,-4.3,64.81695,4513
V24-8,22.6,-72.6,4887
Y1-110,0.21667,-81.1,3083
V19-25,2.46667,-81.7,2404
RC14-9,-39.01667,47.88334,2692
E44-27,-53.03806,119.735,3508
V14-4,15.46667,-40.51667,4473
RE5-54,25.87167,-19.055,3295
V15-15,6.11667,-81.05,2659
V12-53,-40.9,-20.38305,3797
V16-205,15.4,-43.4,4043
V19-194,0.46667,53.66667,4859
RC17-69,-31.5,32.6,3380
AR3-18,6.85,-83.26667,2246
V17-198,55.81667,-52.45,3325
V21-214,3.81667,-80.61667,2246
E15-6,-59.96695,-101.317,4520
V27-82,74.99333,-10.80667,2895
V29-87,-49.1,27.36667,5314
A172-13,19.4,-65.11667,6401
RC12-339,9.11667,90.01667,3010
RC12-251,-41.2,-51.05,5554
V15-168,0.2,-39.9,4219
E19-5,-62.08805,-104.8919,4954
V22-174,-10.06667,-12.81667,2630
V5-9,32.22333,-64.705,1701
V5-31,32.28667,-65.12,1597
RC11-103,-43.03305,57.35,4673
V24-205,-36.85,52.26667,5515
AR3-27,7.7,-85.71667,2990
V23-13,41.51667,-45.13334,4845
V24-28,15.31667,-77.95,2274
V14-105,14.3,51.0,2120
E48-28,-38.54306,79.91805,963
RC11-80,-46.75,0.05,3656
V22-230,32.65,-52.3,5048
V29-174,36.29667,-29.36167,3420
V12-99,10.70333,-65.20667,1020
V23-105,17.2,-35.81667,5009
E50-11,-55.945,104.945,1172
V17-1,28.46667,-65.05,5024
V20-235,8.45,-30.11667,5242
RC15-96,-42.87806,-23.915,4426
V28-29,72.16667,5.26667,2547
RC9-210,39.20833,-12.77167,4083
RC13-229,-26.0,11.0,4194
V26-176,36.04667,-72.36667,3942
RC13-228,-22.33333,11.2,3204
E8-8,-55.2,-24.33306,3953
RC13-270,-55.48,4.63667,3160
RC11-65,-47.01667,-43.66667,5435
V27-15,42.74166,-43.23,4856
V17-43,1.86667,-82.61667,3147
