Event	Method/Device	Latitude	Longitude	Elevation [m]	Age [ka BP]	Depth sed [m]	CaCO3 [%]	Reference
19-183	Drilling/drill rig	52.5717	-161.2055	-4708	21		0	Creager, Scholl et al., 1973
19-193	Drilling/drill rig	45.8033	155.8712	-4811	21		0	Creager, Scholl et al., 1973
26-256	Drilling/drill rig	-23.4558	100.7743	-5361	21		0	Davies, Luyendyk et al., 1974
26-257	Drilling/drill rig	-30.9860	108.3498	-5278	21		0	Davies, Luyendyk et al., 1974
115-716B	Drilling/drill rig	4.9333	73.2833	-544	21	0.90	82	Droxler et al., 1990
85-572A	Drilling/drill rig	1.4348	-113.8420	-3893	21		81	Farrell, 1990
85-574	Drilling/drill rig	4.2087	-133.3302	-4561	21		85	Farrell, 1990
PLDS-130P	Piston corer	4.0050	-136.0050	-4469	21		89	Farrell, 1990
RC11-209	Piston corer	3.6500	-140.1000	-4400	21		89	Farrell, 1990
RC11-210	Piston corer	1.8170	-140.1000	-4420	21		83	Farrell, 1990
RC12-63	Piston corer	5.9670	-142.7000	-4949	21		0	Farrell, 1990
RC12-65	Piston corer	4.6500	-145.0000	-4868	21		21	Farrell, 1990
RC12-66	Piston corer	2.6170	-148.2000	-4755	21		87	Farrell, 1990
SDSE_090	Gravity corer	3.0833	-133.1000	-4370	21		84	Farrell, 1990
SDSE_092	Gravity corer	1.5833	-134.9500	-4540	21		75	Farrell, 1990
V24-55	Piston corer	2.0500	-134.6000	-4189	21		92	Farrell, 1990
V24-58	Gravity corer	2.2670	-141.6670	-1140	21		89	Farrell, 1990
V24-59	Gravity corer	2.5670	-145.5330	-1250	21		92	Farrell, 1990
V24-62	Gravity corer	3.0670	-153.5830	-1334	21		75	Farrell, 1990
V28-179	Piston corer	4.6170	-139.6000	-4502	21		77	Farrell, 1990
W8402A-14	Gravity corer	0.9530	-138.9550	-4287	21		87	Farrell, 1990
6-45A	Drilling/drill rig	24.2650	-178.5083	-5508	21		0	Fisher et al., 1971
6-46	Drilling/drill rig	27.8833	171.4383	-5769	21		0	Fisher et al., 1971
6-52	Drilling/drill rig	27.7717	147.1300	-5744	21		0	Fisher et al., 1971
6-59	Drilling/drill rig	11.7800	147.5817	-5554	21		0	Fisher et al., 1971
114-704	Composite Core	-46.8795	7.4207	-2542	21		45	Froelich, personal communication
ELT17.009-PC	Piston corer	-63.0830	-135.1170	-4935	21		0	Froelich, personal communication
IO1578-4		-19.7100	-59.2300	-4217	21		0	Froelich, personal communication
RC11-76	Piston corer	-54.3800	-22.1300	-5229	21		0	Froelich, personal communication
RC11-77	Piston corer	-53.0500	-16.4500	-4098	21		0	Froelich, personal communication
RC11-78	Piston corer	-50.8700	-9.8670	-3115	21		0	Froelich, personal communication
RC13-254	Piston corer	-48.5700	5.1270	-3636	21		2	Froelich, personal communication
RC13-259	Piston corer	-53.8800	-4.9300	-1754	21	1.65	1	Froelich, personal communication
RC13-271	Piston corer	-51.9900	4.5220	-3634	21	8.50	0	Froelich, personal communication
RC15-93	Piston corer	-46.1000	-13.2300	-2714	21		16	Froelich, personal communication
V22-108	Piston corer	-43.1800	-3.2500	-4171	21		16	Froelich, personal communication
V29-105	Piston corer	-48.0800	17.6830	-4350	21		0	Froelich, personal communication
28-267	Drilling/drill rig	-59.2623	104.4883	-4522	21		0	Hayes, Frakes et al., 1975
28-268	Drilling/drill rig	-63.9498	105.1557	-3529	21		0	Hayes, Frakes et al., 1975
28-269	Drilling/drill rig	-61.6762	140.0702	-4282	21		0	Hayes, Frakes et al., 1975
28-270	Drilling/drill rig	-77.4413	-178.5032	-633	21		0	Hayes, Frakes et al., 1975
RC13-251	Piston corer	-42.5100	11.6720	-4341	21	0.20	36	Hays et al., 1976
RC13-253	Piston corer	-46.6000	7.6250	-2494	21	0.40	74	Hays et al., 1976
RC13-261	Piston corer	-56.1200	-8.6870	-4221	21	0.80	0	Hays et al., 1976
RC13-263	Piston corer	-53.8100	-8.2170	-3389	21	1.80	0	Hays et al., 1976
RC13-273	Piston corer	-55.0667	11.5667	-4967	21	0.60	0	Hays et al., 1976
V29-84	Piston corer	-43.8500	27.6000	-5451	21	1.20	0	Hays et al., 1976
V29-87	Piston corer	-49.1000	27.3830	-5314	21	0.20	0	Hays et al., 1976
V29-89	Piston corer	-45.7300	25.6500	-5945	21	1.20	0	Hays et al., 1976
V29-90	Piston corer	-43.7000	25.7330	-5148	21	0.60	0	Hays et al., 1976
86-576	Drilling/drill rig	32.3560	164.2757	-6217	21		0	Heath et al., 1982
86-578	Drilling/drill rig	33.9260	151.6290	-6010	21		0	Heath et al., 1982
86-579	Drilling/drill rig	38.6280	153.8362	-5737	21		0	Heath et al., 1982
86-580	Drilling/drill rig	41.6245	153.9763	-5375	21		0	Heath et al., 1982
86-581	Drilling/drill rig	43.9270	159.7960	-5476	21		0	Heath et al., 1982
20-194	Drilling/drill rig	33.9780	148.8107	-5754	21		0	Heezen, MacGregor et al.1973
20-195	Drilling/drill rig	32.7733	146.9788	-5968	21		0	Heezen, MacGregor et al.1973
20-196	Drilling/drill rig	30.1162	148.5748	-6194	21		0	Heezen, MacGregor et al.1973
ELT49.017-PC	Piston corer	-48.2800	90.2470	-3546	21		7	Howard and Prell, 1994
ELT45.029-PC	Piston corer	-44.8770	106.5180	-3867	21		42	Howard and Prell, 1994
ELT49.018-PC	Piston corer	-46.0500	90.1550	-3282	21		43	Howard and Prell, 1994
ELT49.021-PC	Piston corer	-42.1850	94.8850	-3319	21		94	Howard and Prell, 1994
ELT49.023-PC	Piston corer	-47.1280	95.0800	-3285	21		12	Howard and Prell, 1994
MD84-529	Piston corer	-48.5400	62.0000	-2600	21		20	Howard and Prell, 1994
MD84-527	Piston corer	-43.8217	51.3183	-3262	21		10	Howard, unpublished data
MD84-562	Piston corer	-51.5500	68.1400	-3553	21		2	Howard, unpublished data
MD88-769	Piston corer	-46.0693	90.1112	-3420	21		12	Howard, unpublished data
MD88-770	Piston corer	-46.0220	96.4607	-3290	21		10	Howard, unpublished data
MD88-773	Piston corer	-52.9005	109.8697	-2460	21		2	Howard, unpublished data
RC12-328	Piston corer	-3.9500	60.6000	-3087	21	0.30	87	Howard, unpublished data
RC12-340	Piston corer	12.7000	90.0170	-3012	21	0.70	18	Howard, unpublished data
RC12-341	Piston corer	13.0500	89.5830	-2988	21	0.60	7	Howard, unpublished data
RC12-343	Piston corer	15.1670	90.5670	-2666	21	0.60	12	Howard, unpublished data
RC12-344	Piston corer	12.7670	96.0670	-2140	21	2.90	7	Howard, unpublished data
RC13-228	Piston corer	-22.3300	11.1980	-3204	21		67	Howard, unpublished data
RC14-39	Piston corer	-5.8570	90.5200	-2952	21	0.70	53	Howard, unpublished data
V29-15	Piston corer	11.9500	88.7330	-3173	21	0.70	9	Howard, unpublished data
V34-111	Piston corer	17.6170	63.8830	-3623	21	0.60	36	Howard, unpublished data
60-452	Drilling/drill rig	17.6698	148.6288	-5858	21		0	Hussong, Uyeda et al., 1981
60-460	Drilling/drill rig	17.6690	147.5987	-6452	21		0	Hussong, Uyeda et al., 1981
60-461	Drilling/drill rig	17.7675	147.6863	-7034	21		0	Hussong, Uyeda et al., 1981
31-290	Drilling/drill rig	17.7475	133.4680	-6062	21		0	Karig, Ingle et al., 1975
31-291	Drilling/drill rig	12.8072	127.8308	-5217	21		0	Karig, Ingle et al., 1975
31-298	Drilling/drill rig	31.7155	133.6037	-4628	21		0	Karig, Ingle et al., 1975
NGR9		43.0100	-126.3400	-3092	21		5	Karlin et al., 1992
W12		39.2700	-127.3900	-4226	21		5	Karlin et al., 1992
W26	Sampling river	18.8488	80.3491	0	21		10	Karlin et al., 1992
W48K		39.2600	-128.1200	-4171	21		7	Karlin et al., 1992
W53K		39.2100	-127.0500	-4313	21		2	Karlin et al., 1992
WW21		39.1600	-130.0200	-4411	21		0	Karlin et al., 1992
RAMA-44P	Piston corer	53.0120	164.6480	-2980	21		0	Keigwin et al., 1992
32-307	Drilling/drill rig	28.5877	161.0047	-5696	21		0	Larson, Moberley et al.1975
32-311	Drilling/drill rig	28.1243	179.7375	-5775	21		0	Larson, Moberley et al.1975
V19-53	Piston corer	-17.0200	-113.5000	-3058	21		62	Luz and Shackleton, 1973
V21-33	Piston corer	-3.8000	-92.0800	-3726	21		60	Luz and Shackleton, 1973
V19-28	Piston corer	-2.3670	-84.6500	-2720	21		65	Lyle et al., 1988
VNTR01-49GC	Gravity corer	6.3200	-92.4600	-3580	21		18	Lyle et al., 1988
W8709A-1	Piston corer	41.5420	-131.2620	-3680	21		30	Lyle et al., 1988
W8709A-13	Piston corer	42.1170	-125.7500	-2712	21		3	Lyle et al., 1988
W8709A-8	Piston corer	42.2620	-127.6780	-3111	21		10	Lyle et al., 1988
120-751A	Drilling/drill rig	-57.7260	79.8148	-1644	21	0.74	9	Mackensen et al., 1992
5-32	Drilling/drill rig	37.1272	-127.5563	-4758	21		0	McManus et al., 1970
RC11-172	Piston corer	51.2500	-164.9000	-4808	21	0.71	0	Moore et al., 1980
RC11-179	Piston corer	53.5000	-145.7000	-4067	21	0.41	9	Moore et al., 1980
RC11-213	Piston corer	-6.1330	-140.9000	-4343	21	0.19	91	Moore et al., 1980
RC11-220	Piston corer	-14.8200	-140.0000	-2950	21	0.34	89	Moore et al., 1980
RC12-103	Piston corer	-26.0000	179.7300	-2401	21	0.42	81	Moore et al., 1980
RC12-109	Piston corer	-25.8800	157.8700	-2930	21	0.22	78	Moore et al., 1980
RC12-179	Piston corer	52.4830	-157.1000	-4601	21	0.62	0	Moore et al., 1980
RC12-361	Piston corer	15.1000	124.1300	-3528	21	0.22	18	Moore et al., 1980
RC12-401	Piston corer	40.8330	148.1300	-5415	21	2.62	0	Moore et al., 1980
RC13-38	Piston corer	-14.5200	177.1000	-2867	21	0.35	63	Moore et al., 1980
RC13-63	Piston corer	1.3500	-153.1000	-4420	21	0.55	88	Moore et al., 1980
RC13-81	Piston corer	-19.0200	-124.2000	-3751	21	0.11	88	Moore et al., 1980
RC14-106	Piston corer	45.8280	155.7100	-4823	21	0.83	0	Moore et al., 1980
RC14-99	Piston corer	36.9650	147.9300	-5652	21	0.99	0	Moore et al., 1980
V16-122	Piston corer	-46.7000	171.5000	-1265	21	0.32	48	Moore et al., 1980
V18-312	Piston corer	-2.8500	-126.2000	-4614	21	0.25	79	Moore et al., 1980
V19-65	Piston corer	-16.6500	-124.4000	-3867	21	0.20	91	Moore et al., 1980
V20-121	Piston corer	46.9670	164.2700	-5859	21	0.59	0	Moore et al., 1980
V20-122	Piston corer	46.5670	161.6800	-5563	21	0.81	0	Moore et al., 1980
V28-249	Piston corer	14.5830	147.8700	-2569	21	0.21	87	Moore et al., 1980
V28-304	Piston corer	28.5330	134.1300	-2942	21	0.72	22	Moore et al., 1980
V32-126	Piston corer	35.3180	177.9200	-3870	21	0.40	51	Moore et al., 1980
RC08-78	Piston corer	-44.7800	-175.8000	-1756	21	0.45	38	Moore et al., 1980; Cwienk, 1986
RC08-94	Piston corer	-17.2800	-35.9833	-4021	21	0.19	88	Moore et al., 1980; Cwienk, 1986
RC09-110	Piston corer	-42.8700	-172.0000	-1917	21	0.31	64	Moore et al., 1980; Cwienk, 1986
RC09-129	Piston corer	-39.5200	163.1300	-2836	21	0.35	86	Moore et al., 1980; Cwienk, 1986
RC10-139	Piston corer	-3.0330	156.4300	-1781	21	0.33	72	Moore et al., 1980; Cwienk, 1986
RC10-140	Piston corer	-2.6500	156.9800	-1679	21	0.35	83	Moore et al., 1980; Cwienk, 1986
RC10-216	Piston corer	50.9670	-151.2000	-4989	21	0.11	0	Moore et al., 1980; Cwienk, 1986
RC12-121	Piston corer	-3.7330	168.3800	-3519	21	0.33	82	Moore et al., 1980; Cwienk, 1986
RC12-413	Piston corer	43.2830	166.9000	-5015	21	0.41	0	Moore et al., 1980; Cwienk, 1986
V18-318	Piston corer	3.1670	-118.5000	-4191	21	0.18	80	Moore et al., 1980; Cwienk, 1986
V18-337	Piston corer	14.5170	-96.3000	-3891	21	2.22	0	Moore et al., 1980; Cwienk, 1986
V20-123	Piston corer	46.2500	157.9200	-4903	21	0.81	0	Moore et al., 1980; Cwienk, 1986
V20-124	Piston corer	45.8330	154.5000	-5534	21	0.79	0	Moore et al., 1980; Cwienk, 1986
V20-126	Piston corer	42.1500	155.8700	-5515	21	1.09	1	Moore et al., 1980; Cwienk, 1986
V20-129	Piston corer	37.6830	156.5800	-5766	21	1.42	0	Moore et al., 1980; Cwienk, 1986
V21-151	Piston corer	52.2670	163.6300	-5055	21	0.15	0	Moore et al., 1980; Cwienk, 1986
V21-171	Piston corer	49.8830	-165.0000	-5013	21	0.19	0	Moore et al., 1980; Cwienk, 1986
RC11-170	Piston corer	44.4830	-163.4000	-5451	21	0.13	0	Moore et al., 1980; Leinen, 1986
RC12-412	Piston corer	40.6830	166.9800	-5656	21	0.41	0	Moore et al., 1980; Leinen, 1986
RC12-416	Piston corer	36.4000	166.7300	-5319	21	0.26	0	Moore et al., 1980; Leinen, 1986
RC12-419	Piston corer	40.1000	171.5000	-6179	21	0.61	0	Moore et al., 1980; Leinen, 1986
V28-229	Piston corer	-8.4000	167.7700	-3669	21	0.44	72	Moore et al., 1980; Leinen, 1986
V28-230	Piston corer	-5.5000	166.7500	-2992	21	0.20	83	Moore et al., 1980; Leinen, 1986
V28-294	Piston corer	28.4330	139.9700	-2308	21	0.16	51	Moore et al., 1980; Leinen, 1986
RC11-80	Piston corer	-46.7500	-0.0500	-3656	21		0	Morley and Hays, 1979
RC11-83	Piston corer	-41.6000	9.7170	-4718	21		22	Morley and Hays, 1979
RC12-289	Piston corer	-47.9000	-23.7000	-4484	21		0	Morley and Hays, 1979
RC13-243	Piston corer	-35.9000	1.3300	-4790	21		12	Morley and Hays, 1979
RC13-255	Piston corer	-50.5400	2.8950	-3332	21		0	Morley and Hays, 1979
RC13-256	Piston corer	-53.1800	-0.3550	-2525	21		0	Morley and Hays, 1979
RC13-275	Piston corer	-50.7167	13.4333	-1984	21		15	Morley and Hays, 1979
RC15-98	Piston corer	-42.9400	-29.7800	-4416	21		0	Morley and Hays, 1979
ELT14.006-PC	Piston corer	-57.0150	-160.0930	-4591	21		0	Mortlock, personal communication
117-722B	Drilling/drill rig	16.6218	59.7953	-2033	21	1.41	64	Murray and Prell, 1990
V34-34	Piston corer	18.1500	117.3800	-3907	21	0.30	77	Peterson and Prell, 1985
V34-48	Piston corer	-6.2500	90.5500	-3678	21	0.30	83	Peterson and Prell, 1985
V34-51	Piston corer	-6.1920	89.9670	-4390	21	0.30	55	Peterson and Prell, 1985
V34-53	Piston corer	-6.1170	89.5830	-3808	21	0.20	84	Peterson and Prell, 1985
V34-54	Piston corer	-6.1000	88.3500	-3250	21	0.30	77	Peterson and Prell, 1985
V34-55	Piston corer	-6.0400	88.9570	-2996	21	0.31	87	Peterson and Prell, 1985
MD77-202	Piston corer	19.2217	60.6817	-2427	21	1.24	46	Prell et al., 1990
V34-101	Piston corer	17.4880	67.4230	-3038	21	0.40	43	Prell et al., 1990
V34-109	Piston corer	19.7330	66.0830	-2742	21	0.80	30	Prell et al., 1990
V34-87	Piston corer	13.2730	57.3480	-2144	21	1.00	61	Prell et al., 1990
V34-89	Piston corer	17.8030	61.8800	-3760	21	0.75	50	Prell et al., 1990
V34-91	Piston corer	20.9370	64.0330	-3393	21	0.70	41	Prell et al., 1990
V34-92	Piston corer	21.1480	65.1180	-3166	21	0.85	40	Prell et al., 1990
RC13-190	Piston corer	1.7830	-25.4300	-3797	21	0.60	69	Ruddiman and Farrell, 1992
V23-73	Piston corer	68.5500	2.7170	-2970	21	0.27	7	Ruddiman and Farrell, 1992
V25-75	Piston corer	8.5830	-53.1700	-2743	21	1.20	19	Ruddiman and Farrell, 1992
V29-183	Piston corer	49.1330	-25.5000	-3643	21	0.40	20	Ruddiman and Farrell, 1992
V29-192	Piston corer	54.2670	-16.7800	-2365	21	0.50	46	Ruddiman and Farrell, 1992
56-434	Drilling/drill rig	39.7460	144.1020	-5986	21		0	Shipboard Scientific Party, 1980
117-728A	Drilling/drill rig	17.6802	57.8257	-1433	21	1.16	66	Steens et al., 1991
22-211	Drilling/drill rig	-9.7755	102.6992	-5518	21		0	von der Borch et al., 1974
22-213	Drilling/drill rig	-10.2118	93.8962	-5601	21		0	von der Borch et al., 1974
22-215	Drilling/drill rig	-8.1217	86.7917	-5309	21		0	von der Borch et al., 1974
7-65	Drilling/drill rig	4.3535	176.9857	-6142	21		0	Winterer et al., 1971
7-66	Drilling/drill rig	2.3935	-166.1218	-5310	21		0	Winterer et al., 1971
7-67	Drilling/drill rig	24.3760	-157.6480	-4486	21		0	Winterer et al., 1971
RC23-50BX1	Box corer	1.0300	-104.4000	-3552	21		80	Yang, 1990
RC23-52BX1	Box corer	1.0070	-118.2000	-3949	21		83	Yang, 1990
RC23-53BX1	Box corer	0.9842	-124.6333	-4516	21		81	Yang, 1990
RC23-54BX1	Box corer	1.0083	-133.6967	-4212	21		86	Yang, 1990
RC23-61BX1	Box corer	0.9067	-140.0367	-4328	21		86	Yang, 1990
63-472	Drilling/drill rig	23.0058	-113.9952	-3831	21		0	Yeats et al., 1981
63-473	Drilling/drill rig	20.9653	-107.0635	-3249	21		0	Yeats et al., 1981
34-321	Drilling/drill rig	-12.0215	-81.9040	-4817	21		0	Yeats, Hart et al., 1976
EN77-29		48.5700	-133.9500	-3695	21		65	Zahn et al., 1991
Y70-5-64	Piston corer	49.4270	-132.7670	-2944	21		53	Zahn et al., 1991
