Event	Method/Device	Latitude	Longitude	Elevation [m]	Age [ka BP]	Depth sed [m]	CaCO3 [%]	Reference
V20-242	Piston corer	23.3670	-43.6500	-4565	21	0.29	59	Balsam and McCoy, 1987
V22-168	Piston corer	-17.4700	-5.1830	-4625	21	0.30	85	Balsam and McCoy, 1987
V22-171	Piston corer	-13.1000	-9.3330	-4155	21	0.20	87	Balsam and McCoy, 1987
V22-172	Piston corer	-12.6700	-9.8170	-4127	21	0.20	86	Balsam and McCoy, 1987
V22-174	Piston corer	-10.0700	-12.8200	-2630	21	0.57	82	Balsam and McCoy, 1987
V22-177	Piston corer	-7.7500	-14.6000	-3290	21	0.70	86	Balsam and McCoy, 1987
V22-182	Piston corer	-0.5330	-17.2700	-3776	21	0.70	77	Balsam and McCoy, 1987
V22-186	Piston corer	3.3830	-20.1200	-4471	21	0.30	45	Balsam and McCoy, 1987
V22-188	Piston corer	4.6670	-20.9200	-2600	21	0.30	65	Balsam and McCoy, 1987
V22-196	Piston corer	13.8330	-18.9700	-3728	21	0.70	6	Balsam and McCoy, 1987
V22-197	Piston corer	14.1670	-18.5800	-3167	21	0.72	2	Balsam and McCoy, 1987
V22-219	Piston corer	27.9170	-43.6300	-2582	21	0.45	82	Balsam and McCoy, 1987
V22-222	Piston corer	28.9330	-43.6500	-3197	21	0.55	75	Balsam and McCoy, 1987
V22-234	Piston corer	36.6330	-60.5500	-5123	21	2.00	4	Balsam and McCoy, 1987
V22-26	Piston corer	8.7170	-41.2500	-3720	21	0.40	53	Balsam and McCoy, 1987
V22-38	Piston corer	-9.5500	-34.2500	-3797	21	0.40	26	Balsam and McCoy, 1987
V22-83	Piston corer	-37.8200	-52.9000	-4074	21	0.49	39	Balsam and McCoy, 1987
V23-100	Piston corer	21.3000	-22.6800	-4579	21	0.42	59	Balsam and McCoy, 1987
V23-145	Piston corer	37.0830	-69.6000	-4349	21	1.40	4	Balsam and McCoy, 1987
