Latitude	Longitude	Event	Elevation [m]	Depth sed [m]	CaCO3 [%]
29.1167	-26.2500	A180-32	-5200	0.60	41.3
29.5830	-28.5700	V23-91	-2758	0.30	72.0
31.0000	-76.0000	A156-3	-3220	1.10	15.1
31.1670	-45.1300	V19-309	-4544	0.31	44.0
31.4667	-76.4667	A167-14	-2633	1.00	14.3
31.6500	-75.3500	A167-13	-2880	1.40	15.4
31.8333	-18.2667	SP008-004	-1445	0.30	60.0
32.7500	-41.9000	V17-165	-3924	0.50	61.2
33.5830	-62.3800	RC08-145	-2743	0.35	53.8
33.7000	-29.3800	V29-173	-3278	0.25	75.6
33.8667	-62.5333	A173-4	-3932	0.71	11.5
33.9330	-74.4300	V26-175	-3995	1.50	5.7
34.8167	-74.6833	A156-4	-3100	7.50	8.8
35.0170	-40.9200	V27-263	-3704	0.20	57.2
35.0500	-11.6200	V04-32	-2296	0.30	75.6
35.1167	-44.6667	A152-118	-4334	0.60	18.0
35.2000	-70.0300	V31-178	-4874	5.40	6.7
35.5330	-73.4200	RC10-288	-3678	1.50	11.8
35.6330	-44.2800	V27-267	-4722	1.00	15.1
36.0500	-72.3800	V26-176	-3942	4.40	12.9
36.1000	-43.6800	V27-265	-4945	1.20	11.5
36.3000	-29.3700	V29-174	-3420	0.40	58.8
36.4833	-69.0000	A164-24	-4389	0.75	3.0
36.5000	-73.5000	V24-1	-3012	2.65	14.8
36.5170	-43.7200	V27-264	-4801	1.60	13.6
36.6330	-60.5500	V22-234	-5123	2.00	4.1
37.0330	-72.5200	RC10-289	-3173	1.10	4.8
37.0330	-56.6700	V27-269	-5066	1.50	0.4
37.0830	-69.6000	V23-145	-4349	1.40	4.0
37.2330	-33.1300	V04-8	-1697	0.50	81.7
37.5500	-72.5700	V26-177	-2979	1.70	16.2
37.7667	-71.2500	A164-5	-3329	1.71	4.9
38.1333	-69.8667	A164-6	-3676	1.09	11.8
38.3500	-32.4833	A180-16	-2268	0.70	75.0
38.8830	-70.9200	V04-1	-2867	1.50	1.6
39.4500	-45.9500	A180-9	-4060	0.60	12.7
39.5333	-68.7833	A164-61	-2725	1.00	8.2
39.5998	-36.7000	A180-15	-4610	0.60	74.9
39.9500	-33.1300	V30-96	-3188	0.63	65.2
41.0000	-32.9300	V30-97	-3371	0.75	52.8
41.5330	-25.7200	V29-177	-3391	0.41	59.3
41.8333	-62.3833	A173-13	-2925	0.89	11.0
42.3833	-21.9667	RE5-034	-3750	0.40	44.3
42.8500	-25.1500	V29-178	-3448	0.49	62.4
43.1500	-32.4500	V30-99	-3594	0.32	58.9
43.3830	-54.8700	V17-178	-4006	4.00	7.2
44.0170	-24.5300	V29-179	-3331	0.73	36.5
44.1170	-32.5000	V30-100	-3519	0.65	37.5
44.1170	-32.5000	V30-101	-3504	0.45	27.2
44.5330	-32.5800	V28-89	-3643	0.72	16.2
45.3000	-23.8700	V29-180	-3179	0.57	36.9
46.0000	-16.9200	V23-84	-4513	0.81	17.3
46.9167	-18.5833	RE5-036	-4500	0.70	11.0
49.8670	-24.2500	V23-83	-3871	0.99	92.8
50.1000	-37.3000	V27-17	-2165	0.35	16.2
52.1000	-38.8000	V27-19	-3466	0.35	15.7
52.5830	-21.9300	V23-82	-3974	1.10	18.8
52.8330	-30.3300	V27-116	-3202	0.60	20.4
54.0000	-46.2000	V27-20	-3510	0.80	8.3
54.2500	-16.8300	V23-81	-2393	2.95	16.3
54.9830	-15.4000	RC09-225	-2334	1.35	17.5
56.0830	-44.5500	V23-23	-3292	0.86	9.7
56.9000	-18.5000	V27-110	-1264	0.47	26.1
62.1830	-27.9300	V23-42	-1514	0.70	14.3
64.7830	-29.5700	V28-14	-1855	1.60	5.3
64.8670	-7.8670	V28-59	-2622	0.50	3.4
64.9000	-29.2800	V29-206	-1624	1.70	7.3
65.7670	-7.1170	V23-58	-1796	0.60	10.1
66.6000	1.1170	V27-86	-2900	0.80	7.6
66.7330	-6.7330	V29-210	-2460	0.60	9.6
67.1170	-9.5670	V28-35	-1376	0.50	13.0
67.3670	4.0330	V27-85	-1227	0.40	9.8
67.5830	-11.5200	V27-46	-1728	0.70	5.9
68.0330	-6.1170	V28-56	-2941	0.70	8.3
68.0330	0.0170	V23-59	-3083	0.50	9.6
68.1830	-9.6000	V23-74	-1926	0.90	9.7
68.3830	-5.4500	V29-219	-3384	0.50	6.5
68.4670	-13.5500	V27-47	-1717	0.50	5.4
68.6330	-1.6000	V27-84	-3404	0.60	13.7
69.3830	-4.4000	V28-38	-3411	1.60	9.8
70.0500	8.3170	V23-60	-2974	1.00	7.7
