Event	Latitude	Longitude	Elevation [m]	Depth sed [m]	O. universa [%]	G. conglobatus [%]	G. ruber [%]	G. tenellus [%]	G. sacculifer [%]	S. dehiscens [%]	G. aequilateralis [%]	G. calida [%]	G. bulloides [%]	G. falconensis [%]	G. digitata [%]	G. rubescens [%]	G. quinqueloba [%]	N. pachyderma s [%]	N. pachyderma d [%]	N. dutertrei [%]	G. conglomerata [%]	G. hexagona [%]	P. obliquiloculata [%]	G. inflata [%]	G. truncatulinoides s [%]	G. truncatulinoides d [%]	G. crassaformis [%]	G. hirsuta [%]	G. scitula [%]	G. glutinata [%]
RC12-340	12.700	90.017	-3012	0.700	3.4	2.0	22.9	7.6	3.2	0.2	3.4	5.2	2.2	0.0	0.0	2.0	0.0	0.0	0.0	16.3	1.0	2.0	7.4	0.0	0.0	0.0	0.7	0.0	20.4	0.0
RC12-341	13.050	89.583	-2988	0.600	2.0	2.2	17.4	11.5	2.8	0.0	3.3	3.3	3.0	1.3	0.2	3.0	0.0	0.0	0.0	12.6	1.7	3.7	4.1	0.0	0.0	0.0	0.4	0.2	27.3	0.0
RC12-343	15.167	90.567	-2666	0.600	0.6	2.4	20.9	7.6	6.7	0.0	2.1	1.5	3.3	0.9	0.0	0.9	0.0	0.0	0.0	9.7	0.6	0.9	6.7	0.0	0.0	0.0	0.0	0.0	35.2	0.0
RC12-344	12.767	96.067	-2140	2.900	0.4	0.7	44.9	3.9	4.6	0.0	6.0	3.5	6.3	2.1	0.0	3.9	0.0	0.0	0.4	8.8	2.1	2.1	6.3	0.0	0.0	0.0	0.0	0.0	4.2	0.0
RC12-361	15.100	124.130	-3528	0.200	0.6	12.0	42.4	2.5	16.9	1.9	3.3	1.9	5.5	0.5	0.5	0.6	0.0	0.0	0.0	2.5	0.0	0.0	1.1	0.0	0.0	0.6	0.6	0.0	6.3	0.0
RC13-110	-0.097	-95.650	-3231	0.540	0.0	0.0	3.7	0.0	0.3	0.0	0.3	0.3	9.6	0.3	0.0	0.0	0.6	0.0	0.6	69.8	0.0	0.0	0.0	6.2	0.0	0.0	4.3	1.9	2.2	0.0
RC13-113	-1.652	-103.600	-3195	0.500	0.6	0.0	2.3	0.0	0.8	0.0	0.8	0.0	5.8	0.2	0.0	0.2	0.0	0.0	37.9	35.8	0.4	0.4	1.7	8.8	0.0	0.0	1.7	0.0	2.8	0.0
RC13-115	-1.652	-104.800	-3621	0.610	0.7	0.3	5.1	0.0	1.4	0.0	1.4	0.3	8.8	0.3	0.0	0.0	0.0	0.0	4.7	59.7	0.7	0.3	3.4	7.5	0.0	0.0	2.4	0.0	3.1	0.0
RC13-151	15.857	-74.790	-2792	0.600	0.6	2.1	50.4	0.9	7.3	0.0	3.2	0.0	1.8	0.6	0.0	1.5	0.0	0.0	0.0	10.0	0.0	0.0	0.3	5.0	0.0	3.8	1.5	0.0	10.9	0.3
RC13-152	16.708	-75.440	-2027	0.600	2.0	3.0	65.1	1.0	5.0	0.0	3.7	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	3.0	0.3	1.7	0.7	0.0	9.4	0.0
RC13-153	15.065	-75.950	-3334	0.600	1.0	2.3	40.3	1.9	10.7	0.0	9.1	0.0	1.6	0.6	0.3	1.9	0.0	0.0	0.6	4.9	0.0	0.0	0.0	4.9	0.3	2.9	0.6	1.0	14.9	0.0
RC13-158	13.178	-79.830	-3016	0.800	3.0	1.0	53.1	4.0	4.0	0.0	5.0	0.0	1.7	0.7	0.0	2.0	0.0	0.0	0.3	7.3	0.0	0.0	0.3	1.7	0.3	2.6	0.3	0.0	12.9	0.0
RC13-159	14.695	-77.170	-4027	0.830	2.5	0.5	44.3	2.5	8.9	0.0	6.6	2.5	1.3	0.8	0.0	1.3	0.0	0.0	0.0	7.3	0.0	0.0	1.0	4.6	1.0	2.8	0.5	0.3	11.4	0.0
RC13-17	19.087	-170.100	-3374	0.300	1.3	21.2	18.6	0.0	4.5	25.6	0.6	0.6	3.8	0.0	1.9	0.0	0.0	0.0	0.6	1.9	0.6	0.6	1.9	3.8	3.2	3.2	5.1	0.0	0.6	0.0
RC13-184	3.860	-43.310	-3446	0.550	0.3	0.3	50.8	0.0	21.6	0.0	0.5	0.8	0.3	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.3	0.5	9.7	1.6	0.0	6.2	0.0
RC13-189	1.863	-30.000	-3233	0.675	1.5	0.3	25.3	0.3	8.0	0.0	1.5	0.9	2.4	0.3	0.9	0.9	0.0	0.0	4.2	21.4	0.0	0.0	0.0	3.6	0.0	8.3	7.4	0.0	12.8	0.0
