Event	Latitude	Longitude	Elevation [m]	Depth sed [m]	O. universa [%]	G. conglobatus [%]	G. ruber [%]	G. tenellus [%]	G. sacculifer [%]	S. dehiscens [%]	G. aequilateralis [%]	G. calida [%]	G. bulloides [%]	G. falconensis [%]	G. digitata [%]	G. rubescens [%]	G. quinqueloba [%]	N. pachyderma s [%]	N. pachyderma d [%]	N. dutertrei [%]	G. conglomerata [%]	G. hexagona [%]	P. obliquiloculata [%]	G. inflata [%]	G. truncatulinoides s [%]	G. truncatulinoides d [%]	G. crassaformis [%]	G. hirsuta [%]	G. scitula [%]	G. glutinata [%]
V23-83	49.867	-24.250	-3871	0.990	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.7	96.4	1.8	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0
V23-84	46.000	-16.920	-4513	0.810	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	10.3	0.0	0.0	0.0	0.0	79.7	3.4	0.3	0.0	0.0	0.0	3.1	0.0	0.0	0.0	0.0	2.7	0.0
V23-91	29.583	-28.570	-2758	0.300	1.1	1.1	16.5	1.9	0.5	0.0	5.2	2.5	5.5	17.6	0.8	1.4	0.0	0.0	1.4	4.4	0.0	0.0	0.0	17.0	3.3	5.8	1.1	3.3	8.8	0.8
V23-98	23.117	-19.300	-3506	0.700	0.7	0.0	1.3	0.0	0.0	0.0	0.7	1.3	27.3	3.0	0.7	0.0	1.6	0.7	21.4	32.6	0.0	0.0	0.0	5.9	0.0	1.0	0.0	0.0	2.0	0.0
V24-1	36.500	-73.500	-3012	2.650	3.0	0.0	7.1	0.0	1.4	0.0	0.3	0.3	13.5	0.0	0.0	0.7	1.7	0.3	12.5	30.4	0.0	0.0	0.7	23.3	0.0	0.7	0.3	0.0	3.7	0.0
V24-221	-32.030	-2.817	-4204	0.300	2.2	0.3	7.5	0.0	0.3	0.0	0.6	0.0	8.7	22.6	0.0	0.0	0.8	0.3	10.3	4.5	0.0	0.0	0.0	25.4	9.5	0.0	0.3	0.6	1.7	4.5
V24-229	-34.450	-10.600	-4202	0.300	0.0	0.0	4.3	0.0	0.0	0.0	0.0	0.0	17.9	15.8	0.0	0.0	1.8	0.0	21.6	6.7	0.0	0.0	0.0	17.3	8.5	0.0	0.3	0.6	1.5	3.6
V24-235	-33.250	-19.550	-3722	0.100	0.3	0.3	14.3	0.6	0.3	0.0	0.6	0.6	5.4	26.0	0.3	0.3	0.0	0.3	13.7	0.6	0.0	0.0	0.0	17.1	11.1	0.6	0.0	3.4	1.4	2.9
V24-237	-32.200	-26.733	-4193	0.100	0.3	0.0	17.6	0.3	0.6	0.0	0.9	0.0	0.6	6.8	0.0	0.0	0.0	0.6	29.8	15.2	0.0	0.0	0.0	14.9	7.1	0.0	0.0	1.5	0.6	3.3
V24-240	-31.730	-28.200	-4327	0.200	0.5	1.1	16.0	0.0	0.8	0.0	0.3	0.0	1.9	3.5	0.5	0.0	0.0	0.8	35.1	13.0	0.0	0.0	0.0	14.4	7.6	0.5	0.0	0.0	0.5	3.3
V24-28	15.317	-77.950	-2274	0.600	1.1	1.4	48.0	1.4	6.5	0.0	15.1	0.0	0.6	0.3	0.0	1.7	0.0	0.0	0.0	5.1	0.0	0.0	0.6	1.1	0.6	1.7	1.1	0.3	13.1	0.3
V25-42	12.550	-50.650	-4707	0.600	0.6	6.9	7.7	0.0	13.7	0.0	1.5	0.4	0.2	0.0	1.1	0.0	0.0	0.2	0.6	56.3	0.0	0.0	0.0	5.6	0.2	1.9	2.4	0.2	0.4	0.0
V25-44	11.500	-45.150	-4049	0.300	0.3	1.0	37.8	1.3	21.8	0.0	0.3	1.0	1.6	1.3	1.0	2.9	0.0	0.0	0.3	7.1	0.0	0.0	1.0	2.9	0.0	2.6	1.3	1.3	13.5	0.0
V25-56	-3.550	-35.230	-3512	0.800	1.1	0.0	36.8	0.0	18.9	0.0	3.2	0.0	0.0	0.0	0.0	2.1	0.0	0.0	0.0	8.4	0.0	0.0	0.0	0.0	0.0	5.3	3.2	1.1	20.0	0.0
V25-56	-3.550	-35.230	-3512	0.990	1.1	0.3	45.8	0.3	20.3	0.0	3.4	0.0	0.3	0.8	0.0	2.8	0.0	0.0	0.3	6.5	0.0	0.0	0.0	1.1	0.0	4.8	0.0	0.3	11.9	0.0
V25-59	1.367	-33.480	-3824	0.675	0.3	0.0	35.4	0.3	13.4	0.0	1.7	0.8	1.1	0.8	0.3	0.3	0.0	0.8	1.1	20.1	0.0	0.0	0.0	0.6	0.3	8.1	3.3	0.0	11.4	0.0
V25-59	1.367	-33.480	-3824	0.710	0.0	0.3	38.3	0.6	11.5	0.0	3.1	0.3	1.4	0.3	0.0	1.4	0.0	0.0	1.4	18.4	0.0	0.0	0.0	0.6	0.3	8.7	1.7	0.8	11.2	0.0
V25-60	3.283	-34.830	-3749	0.400	1.0	0.3	41.0	1.9	16.8	0.0	2.3	1.6	0.6	1.0	1.0	1.0	0.0	0.0	0.0	10.3	0.0	0.0	0.3	1.6	0.3	5.2	2.3	0.0	11.6	0.0
V25-60	3.283	-34.830	-3749	0.475	0.0	0.6	36.1	0.3	21.1	0.0	1.8	0.6	1.8	0.0	0.3	0.9	0.0	0.0	1.2	14.4	0.0	0.0	0.3	0.3	0.0	7.3	3.5	0.3	9.4	0.0
V25-75	8.583	-53.170	-2743	1.200	0.4	1.1	52.1	0.2	17.5	0.0	0.9	2.8	6.1	0.7	0.4	0.4	0.4	1.3	0.2	7.0	0.0	0.0	0.0	0.0	0.0	2.4	0.7	0.0	5.3	0.0
V26-104	-0.083	-41.780	-3864	1.500	0.0	1.9	34.9	0.2	19.0	0.0	1.2	0.2	0.4	0.6	0.0	2.5	0.0	0.0	0.0	12.8	0.0	0.0	0.0	0.6	0.2	8.9	0.0	0.0	16.7	0.0
V26-104	-0.083	-41.780	-3864	1.550	0.3	0.6	42.8	0.0	20.3	0.0	0.9	0.0	0.0	0.9	0.0	0.9	0.0	0.0	0.0	10.2	0.0	0.0	0.0	0.9	0.3	9.5	0.0	0.3	12.0	0.0
V26-107	4.683	-46.870	-3224	1.000	0.0	1.0	34.8	0.5	16.3	0.0	3.7	0.5	0.5	0.0	0.0	4.9	0.0	0.0	1.0	5.9	0.0	0.0	12.1	0.0	0.0	7.7	0.0	0.5	10.6	0.0
V26-41	19.333	-26.120	-4341	0.420	4.1	0.2	13.4	1.2	10.7	0.0	1.7	2.9	5.1	8.0	0.5	1.2	0.0	1.2	8.3	20.7	0.0	0.0	0.0	9.7	0.2	1.5	0.2	0.5	8.5	0.0
V26-41	19.333	-26.120	-4341	0.430	1.6	0.3	17.7	0.3	13.0	0.0	0.3	1.9	5.4	4.7	0.0	0.3	0.0	0.6	10.4	20.9	0.0	0.0	0.0	14.6	0.3	1.3	0.6	0.3	5.4	0.0
V26-46	9.567	-18.180	-2898	0.450	1.5	0.0	23.0	0.4	9.2	0.0	0.8	0.8	3.1	2.3	0.0	1.1	0.0	0.4	5.0	25.7	0.0	0.0	0.0	21.1	0.0	0.0	1.9	1.5	2.3	0.0
V26-46	9.567	-18.180	-2898	0.450	2.3	0.0	18.8	0.0	12.8	0.0	1.0	1.5	2.8	1.8	0.8	1.8	0.3	0.0	5.8	27.5	0.0	0.0	0.0	17.0	0.0	0.0	3.8	0.8	1.8	0.0
V26-53	0.300	-14.800	-4323	0.500	0.0	0.0	1.1	0.0	6.9	0.0	0.7	0.0	0.2	0.0	0.7	0.0	0.0	0.0	0.2	74.8	0.0	0.0	0.0	0.7	0.2	1.5	10.2	0.4	2.4	0.0
V26-63	-23.970	-37.950	-3619	0.300	0.0	0.2	54.1	2.7	3.7	0.0	0.5	0.5	2.7	2.2	0.5	1.0	0.0	0.0	0.0	0.7	0.0	0.0	0.0	8.4	1.7	2.0	0.0	1.0	17.1	0.7
V26-82	-27.770	-37.250	-3878	0.200	0.3	2.0	44.9	2.0	5.3	0.0	3.0	0.0	2.5	2.5	0.3	2.3	0.0	0.0	1.5	0.8	0.0	0.0	0.0	8.3	3.0	2.0	0.5	3.5	14.8	0.8
V27-110	56.900	-18.500	-1264	0.470	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4	0.0	0.0	0.0	5.1	84.7	3.4	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.2	3.2	0.0
V27-116	52.833	-30.330	-3202	0.600	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9	0.0	0.0	0.0	2.7	90.9	2.7	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	1.6	0.0
V27-137	42.700	-17.070	-4883	0.400	0.8	0.0	0.5	0.0	0.0	0.0	0.0	0.0	10.8	0.5	0.0	0.0	0.3	71.2	5.9	1.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.8	0.3
V27-17	50.100	-37.300	-2165	0.350	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.8	0.9	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0
V27-175	8.800	-22.120	-4548	0.500	0.7	1.7	10.8	0.0	25.3	0.0	0.7	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	36.1	0.0	0.0	1.0	7.4	0.3	2.7	8.4	0.3	0.3	0.0
V27-178	5.100	-26.650	-4327	0.550	1.2	3.3	19.0	0.2	32.1	0.0	3.5	0.0	3.5	0.2	0.5	0.0	0.0	0.0	0.5	30.0	0.0	0.0	0.0	0.9	0.2	1.9	2.8	0.0	0.2	0.0
V27-178	5.100	-26.650	-4327	0.580	0.3	1.3	28.3	0.0	37.1	0.0	1.3	1.0	1.9	0.0	0.3	0.0	0.0	1.3	3.5	16.5	0.0	0.0	0.0	1.9	0.0	1.9	2.2	0.3	1.0	0.0
V27-19	52.100	-38.800	-3466	0.350	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.0	4.0	87.0	5.0	0.0	0.0	0.0	0.0	0.6	0.0	0.3	0.0	0.0	2.2	0.0
V27-20	54.000	-46.200	-3510	0.800	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.7	0.0	0.0	0.0	2.5	80.2	7.2	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.0	0.0	4.4	0.3
V27-228	-10.070	11.450	-2392	0.900	0.3	0.0	26.4	0.0	16.9	0.0	3.8	1.1	1.9	0.5	0.0	0.5	0.0	0.3	12.3	23.2	0.0	0.0	0.3	5.2	0.0	0.0	1.1	0.8	5.4	0.0
V27-232	-0.233	7.550	-2615	0.600	1.9	0.0	41.3	0.0	10.6	0.0	1.6	1.9	6.4	0.3	0.3	0.3	0.0	0.0	0.0	24.0	0.0	0.0	0.0	1.0	0.0	0.6	4.2	0.6	4.8	0.0
V27-239	-7.833	-1.517	-4464	0.200	3.8	0.0	4.9	0.0	7.7	0.0	0.8	0.5	5.5	0.5	0.3	0.3	0.0	0.0	1.6	44.5	0.0	0.0	0.5	20.9	0.0	0.3	5.5	0.3	1.9	0.0
V27-248	3.050	-11.820	-4543	0.820	2.2	1.1	25.1	0.5	15.8	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.0	0.0	4.9	24.6	0.0	0.0	0.0	6.0	0.0	0.0	10.9	0.0	7.7	0.0
V27-263	35.017	-40.920	-3704	0.200	1.4	0.3	12.1	0.0	0.3	0.0	1.7	0.3	13.0	12.7	0.0	0.3	0.9	0.6	8.9	7.8	0.0	0.0	0.0	19.9	0.3	0.9	0.6	7.2	11.0	0.0
V28-119	17.033	-76.600	-1781	0.800	1.4	2.7	51.1	3.0	5.9	0.0	8.6	0.0	0.5	0.3	0.3	1.6	0.0	0.3	0.3	2.7	0.0	0.0	0.0	3.0	0.3	3.2	1.9	0.5	12.4	0.0
V28-122	11.933	-78.680	-3623	1.000	2.7	2.0	62.2	4.1	5.4	0.0	4.4	0.0	1.0	0.0	0.3	1.0	0.0	0.3	0.0	2.7	0.0	0.0	0.0	4.1	0.0	3.7	0.7	0.0	5.1	0.0
V28-127	11.650	-80.130	-3237	1.000	1.7	0.7	54.7	0.2	12.5	0.0	5.8	0.0	0.2	0.2	0.0	0.0	0.0	0.0	0.0	4.6	0.0	0.0	0.0	0.7	0.5	4.1	1.0	0.0	13.2	0.0
V28-129	11.117	-80.400	-3400	0.800	5.5	2.6	45.3	4.9	7.5	0.0	7.5	0.0	0.3	0.3	0.0	0.0	0.0	0.0	0.3	7.5	0.0	0.0	0.0	1.6	0.3	4.9	0.7	0.0	10.7	0.0
V28-201	2.767	-173.900	-3217	0.200	0.0	3.2	23.2	2.0	7.2	0.1	3.5	1.2	15.6	0.0	0.0	5.7	0.0	0.0	0.0	0.4	1.0	0.0	9.1	0.0	0.0	0.0	0.1	0.0	27.5	0.0
V28-203	0.950	-179.400	-3243	0.400	0.2	1.2	29.1	1.4	7.9	0.0	4.9	0.5	9.6	0.1	0.1	1.1	0.0	0.0	0.0	5.0	2.4	0.0	14.8	0.0	0.0	0.0	1.2	0.1	20.2	0.0
V28-230	-5.500	166.750	-2992	0.200	0.0	1.7	39.3	1.1	7.9	0.0	2.2	1.8	7.9	0.1	0.1	1.6	0.0	0.0	0.0	6.1	0.1	0.1	2.9	0.0	0.0	0.2	0.4	0.4	26.0	0.0
V28-238	1.017	160.480	-3120	0.350	0.0	1.9	25.3	1.3	7.1	0.0	6.7	2.2	12.5	0.3	0.0	1.9	0.0	0.0	0.0	6.7	1.3	0.0	11.5	0.0	0.0	0.0	1.0	0.0	20.2	0.0
V28-239	3.250	159.180	-3490	0.300	0.0	2.4	20.2	0.7	4.8	0.0	7.9	1.7	10.3	0.0	0.0	0.7	0.0	0.0	0.0	10.3	1.7	0.0	17.8	0.0	0.0	0.3	1.7	0.3	19.2	0.0
V28-243	11.067	138.530	-2129	0.200	0.1	3.3	59.9	2.8	10.9	0.1	2.9	0.2	6.1	0.1	0.2	1.0	0.0	0.0	0.1	2.6	0.0	0.6	0.5	0.0	0.0	0.1	0.0	0.0	8.6	0.0
V28-294	28.433	139.970	-2308	0.040	1.3	0.2	18.1	1.3	4.4	0.0	2.0	0.3	12.3	13.8	0.3	0.2	0.1	0.2	12.0	4.1	0.0	0.0	1.2	8.5	0.2	6.9	3.4	0.9	8.3	0.0
V28-304	28.533	134.130	-2942	0.450	0.4	3.5	15.6	0.3	6.9	0.0	2.4	1.4	14.0	5.4	0.9	0.1	0.1	0.2	13.6	10.3	0.0	0.1	1.9	9.5	0.0	4.3	1.2	0.3	7.5	0.1
V28-310	25.417	125.630	-1579	0.400	0.2	1.8	17.0	7.4	1.0	0.0	0.3	7.2	8.1	0.9	0.7	4.6	0.1	0.0	0.2	5.0	0.0	0.0	5.0	0.1	0.0	0.7	0.3	0.0	39.0	0.0
V28-342	-14.100	120.500	-2730	0.900	0.5	0.2	27.0	2.9	3.9	0.0	2.9	4.8	8.4	1.2	0.2	4.8	0.0	0.0	0.0	16.9	0.0	0.0	3.1	0.0	0.0	0.5	0.5	1.7	20.5	0.0
V28-345	-17.670	117.950	-1904	0.900	0.3	0.3	26.7	3.8	2.5	0.0	1.9	1.9	9.8	4.4	0.0	2.9	0.3	0.0	0.0	12.1	0.0	0.0	3.2	2.5	0.0	2.9	0.6	1.9	21.9	0.0
V28-89	44.533	-32.580	-3643	0.720	0.0	0.0	1.2	0.0	0.0	0.0	0.2	0.0	4.9	0.6	0.0	0.0	5.3	77.9	4.9	0.2	0.0	0.0	0.0	2.2	0.0	0.0	0.0	0.8	1.8	0.0
V29-144	-0.200	6.050	-2685	0.850	0.5	0.0	23.7	1.3	2.1	0.0	1.1	0.3	5.0	0.0	0.0	1.1	0.0	0.3	5.8	23.9	0.0	0.0	0.0	19.7	0.0	0.8	5.3	0.8	8.4	0.0
V29-15	11.950	88.733	-3173	0.700	0.8	2.0	17.6	5.0	7.8	1.1	2.8	2.0	7.8	0.8	0.6	0.3	0.0	0.0	0.0	16.5	7.0	0.8	3.9	0.0	0.0	0.0	0.0	0.0	23.2	0.0
V29-172	33.700	-29.380	-3257	0.400	0.4	0.0	16.0	1.6	0.8	0.0	1.6	0.0	0.8	2.9	0.0	2.0	0.4	0.0	8.6	7.0	0.0	0.0	0.0	28.7	0.4	2.5	0.8	16.8	8.6	0.0
V29-173	33.700	-29.380	-3278	0.250	1.9	0.0	9.4	0.3	0.3	0.0	2.3	1.6	4.5	19.8	0.0	1.0	1.0	0.6	6.8	7.5	0.0	0.0	0.0	24.0	0.3	3.9	0.3	6.5	7.8	0.0
V29-174	36.300	-29.370	-3420	0.400	0.2	0.0	10.7	0.0	0.0	0.0	1.2	0.5	11.2	17.0	0.2	0.0	1.0	0.2	6.3	7.5	0.0	0.0	0.0	19.5	0.0	1.0	0.0	12.9	10.5	0.0
V29-177	41.533	-25.720	-3391	0.420	0.2	0.0	3.0	0.2	0.0	0.0	0.0	0.2	22.0	0.6	0.0	0.0	9.9	5.6	20.0	4.4	0.0	0.0	0.0	14.5	0.0	0.2	0.0	6.5	12.7	0.0
V29-178	42.850	-25.150	-3448	0.490	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	19.3	0.5	0.0	0.0	14.4	23.7	16.5	1.8	0.0	0.0	0.0	8.5	0.0	0.0	0.0	6.4	7.7	0.0
V29-179	44.017	-24.530	-3331	0.730	0.0	0.0	0.6	0.2	0.0	0.0	0.0	0.0	14.9	2.3	0.0	0.0	11.8	33.9	14.3	2.9	0.0	0.0	0.0	6.2	0.0	0.0	0.0	7.0	5.8	0.0
V29-180	45.300	-23.870	-3179	0.580	0.0	0.0	0.9	0.0	0.0	0.0	0.0	0.0	13.5	0.4	0.0	0.0	13.7	52.9	7.6	0.7	0.0	0.0	0.0	2.4	0.0	0.0	0.0	2.6	5.2	0.0
V29-29	5.117	77.583	-2673	0.800	1.2	0.3	9.5	1.8	3.4	0.0	1.8	1.5	22.5	1.5	0.3	1.5	0.0	0.0	0.0	28.0	0.3	1.8	6.2	0.0	0.0	0.0	0.3	0.3	17.5	0.0
V29-30	3.083	76.250	-3651	0.800	1.6	0.0	14.5	1.6	4.3	0.0	2.4	2.0	7.5	0.4	0.4	0.4	0.0	0.0	2.7	23.9	1.2	3.9	16.9	0.0	0.0	0.0	0.4	0.4	15.7	0.0
V29-30	3.083	76.250	-3651	0.800	1.7	0.0	14.2	1.7	4.2	0.0	2.5	2.1	7.5	0.4	0.4	0.4	0.0	0.0	2.9	23.8	1.3	3.8	16.7	0.0	0.0	0.0	0.4	0.4	15.5	0.0
V29-48	-6.267	63.433	-3882	0.300	0.4	3.9	20.6	0.9	9.4	0.0	2.6	1.7	5.2	0.0	0.9	0.4	0.0	0.0	3.9	26.6	1.3	3.0	6.0	0.0	0.0	0.9	3.0	1.7	7.7	0.0
V30-100	44.117	-32.500	-3519	0.650	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.4	0.8	0.0	0.0	12.4	36.7	11.1	1.3	0.0	0.0	0.0	4.7	0.0	0.0	0.0	4.1	7.2	0.0
V30-36	5.350	-27.320	-4245	0.400	0.0	3.1	33.8	0.3	35.1	0.0	3.7	0.6	2.2	0.0	0.0	0.3	0.3	0.3	1.5	11.7	0.0	0.0	0.9	0.3	0.0	1.5	1.5	0.0	2.8	0.0
V30-36	5.350	-27.320	-4245	0.400	0.0	2.2	38.5	0.0	34.4	0.0	0.6	1.7	1.9	0.0	0.4	0.2	0.0	0.0	1.5	11.0	0.0	0.0	0.0	3.0	0.0	3.2	0.9	0.0	0.2	0.0
V30-40	-0.200	-23.150	-3706	0.660	0.0	0.2	10.6	0.0	9.4	0.0	1.7	2.2	4.1	0.2	0.0	0.2	1.0	1.0	27.3	11.8	0.0	0.0	0.0	8.2	0.2	6.5	6.7	0.7	7.9	0.2
V30-41	0.217	-23.070	-3874	0.445	0.0	0.3	8.0	0.0	4.3	0.0	0.0	0.6	8.3	0.3	0.3	3.4	0.3	0.0	11.8	30.2	0.0	0.0	0.0	9.2	0.0	7.2	2.0	0.9	12.9	0.0
V30-49	18.433	-21.080	-3093	0.840	2.0	0.0	8.1	0.6	2.0	0.0	0.6	1.1	23.2	0.3	0.0	0.6	0.6	0.0	7.3	36.1	0.0	0.0	0.3	8.1	0.0	0.0	5.0	0.3	3.9	0.0
V30-51	19.867	-19.920	-3409	0.540	1.4	0.0	3.4	0.3	0.7	0.0	0.7	1.4	25.7	1.4	0.0	0.0	0.0	0.3	21.2	26.4	0.0	0.0	0.0	12.7	0.0	0.0	0.3	0.7	3.4	0.0
V30-96	39.950	-33.130	-3188	0.630	0.6	0.0	5.4	0.0	0.0	0.0	0.3	0.3	23.9	0.9	0.0	0.0	6.3	6.3	18.5	4.5	0.0	0.0	0.0	16.5	0.3	0.3	0.0	2.8	13.4	0.0
V30-97	41.000	-32.930	-3371	0.760	0.2	0.0	0.7	0.0	0.0	0.0	0.0	0.2	20.3	0.5	0.0	0.0	9.3	9.3	17.9	7.9	0.0	0.0	0.0	17.0	0.0	0.0	0.0	4.7	11.9	0.0
V30-99	43.150	-32.450	-3594	0.320	0.0	0.0	2.2	0.0	0.0	0.0	0.2	0.2	27.6	1.9	0.0	0.0	10.9	12.8	12.6	4.6	0.0	0.0	0.0	8.2	0.0	0.0	0.0	7.3	11.4	0.2
V32-126	35.318	177.920	-3870	0.250	1.4	0.0	1.7	0.0	0.0	0.0	0.6	0.0	27.7	0.0	0.3	0.0	1.4	1.2	31.2	2.6	0.0	0.0	0.0	27.2	0.0	2.1	0.0	0.2	2.6	0.0
V32-128	36.458	177.160	-3623	0.320	1.2	0.0	0.5	0.0	0.0	0.0	0.0	0.0	17.6	0.0	0.1	0.0	1.6	7.5	43.3	0.7	0.0	0.0	0.0	24.2	0.0	1.9	0.0	0.0	1.3	0.0
V32-139	31.573	151.100	-2032	0.010	1.5	0.8	5.3	0.0	0.8	0.0	0.8	0.0	7.6	1.3	0.3	0.0	0.0	0.0	10.1	3.8	0.0	0.0	0.8	59.7	1.3	3.8	1.5	0.8	0.0	0.3
V32-8	34.780	-32.420	-3252	0.760	1.7	0.0	13.2	0.7	0.5	0.0	1.2	3.0	8.2	8.5	0.0	0.2	0.0	0.0	3.7	9.2	0.0	0.0	0.0	24.4	0.5	1.7	1.0	13.7	8.2	0.2
V34-101	17.488	67.423	-3038	0.400	2.8	1.2	37.2	1.9	10.5	0.0	1.4	3.5	5.1	4.7	0.3	0.7	0.0	0.0	0.0	6.3	0.0	0.0	5.6	0.0	0.0	0.7	0.0	0.5	17.5	0.0
V34-109	19.733	66.083	-2742	0.800	6.1	0.3	30.9	1.8	9.8	0.0	2.6	4.7	5.8	10.0	0.0	1.3	0.0	0.0	0.0	6.1	0.0	0.3	4.5	0.0	0.0	0.8	0.0	0.0	15.0	0.0
V34-111	17.617	63.883	-3623	0.600	1.9	3.1	36.9	1.9	9.1	0.3	3.8	3.4	5.0	4.4	0.3	0.3	0.0	0.0	0.0	9.1	0.0	0.0	4.1	0.0	0.0	2.2	0.0	0.0	14.4	0.0
V34-87	13.273	57.348	-2144	1.000	1.6	0.0	19.2	1.0	2.2	0.0	1.2	3.4	25.0	12.5	0.0	2.0	0.0	0.0	0.0	10.3	0.0	0.2	2.2	0.0	0.0	0.6	0.2	0.6	17.7	0.0
V34-88	16.540	59.755	-2171	1.000	2.1	0.0	13.1	2.7	5.2	0.0	0.6	4.0	21.0	10.6	0.0	4.3	2.1	0.0	0.3	11.2	0.0	0.3	0.9	0.0	1.2	0.0	0.0	0.9	19.5	0.0
V34-91	20.937	64.033	-3393	0.700	1.6	0.6	33.0	1.0	7.0	0.0	3.5	2.5	16.8	4.4	0.3	0.6	0.0	0.3	0.0	13.0	0.0	0.3	4.1	0.0	0.0	1.3	0.0	0.0	9.5	0.0
V34-92	21.148	65.118	-3166	0.850	9.3	0.0	36.2	0.8	8.2	0.0	7.0	3.5	3.1	20.6	0.8	0.0	0.0	0.0	0.0	2.7	0.0	0.0	1.9	0.0	0.0	0.0	0.0	0.0	5.8	0.0
VNTR01-8PC	0.037	-110.480	-3791	0.410	1.2	0.0	3.2	0.2	2.1	0.0	0.7	0.0	5.8	0.5	0.0	0.0	0.0	0.0	10.9	55.7	0.5	0.0	1.6	4.8	0.0	1.4	9.7	0.2	1.6	0.0
Y69-106P	-2.983	-86.550	-2870	0.300	1.2	0.0	7.5	1.2	0.4	0.0	0.4	0.8	13.8	1.6	0.4	1.2	1.2	0.0	5.5	44.5	0.0	0.8	0.4	2.0	0.0	0.0	0.0	2.0	15.4	0.0
Y69-71P	0.100	-86.483	-2740	1.800	0.3	0.0	4.5	0.0	0.6	0.0	0.0	0.6	21.2	0.0	0.3	0.3	0.0	0.0	0.0	53.4	0.0	0.0	0.6	13.5	0.0	0.0	0.0	0.6	3.9	0.0
Y71-03-02	7.172	-85.152	-2164	0.200	0.8	0.0	13.4	0.0	0.8	0.0	2.9	0.0	14.7	0.0	0.0	0.0	0.0	0.0	0.0	48.3	0.0	0.8	0.8	0.0	0.0	0.0	0.4	0.0	16.8	0.0
Y71-06-12	-16.443	-77.563	-2734	0.490	0.6	0.0	2.1	0.0	0.0	0.0	0.2	0.0	13.5	0.2	0.2	0.0	2.3	17.6	7.4	20.1	0.0	1.5	0.2	30.2	0.0	0.0	0.0	1.1	3.2	0.0
Y71-09-101	-6.383	-106.935	-3175	0.630	0.4	0.0	8.7	0.0	4.9	0.0	1.1	1.9	5.7	0.0	0.4	0.0	0.0	0.0	0.0	58.1	0.0	0.0	2.3	3.8	0.0	0.0	1.1	0.0	11.7	0.0
