Core,Coring device,Latitude,Longitude,Water depth (m),Ocean,Sample depth - upper (m),Species,Relative Abundance
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.83,G. tumida,0
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.83,C. nitida,0
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.83,G. glutinata,0.0941
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.83,G. eastropacia,0
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.83,T. iota,0
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.83,G. uvula,
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.93,O. universa,0.0087
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.93,G. conglobatus,0
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.93,G. ruber ruber,0.0092
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.93,G. ruber albus,0.0748
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.93,G. tenellus,0.0034
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.93,T. sacculifer,0.0265
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.93,S. dehiscens,0
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.93,G. adamsi,
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.93,G. siphonifera,0.0076
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.93,G. calida,0.0218
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.93,G. bulloides,0.0991
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.93,G. falconensis,0.0168
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.93,B. digitata,0
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.93,G. rubescens,0.0067
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.93,T. humilis,0
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.93,T. quinqueloba,0
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.93,N. pachyderma,0
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.93,N. incompta,0.289
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.93,N. dutertrei,0.0293
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.93,G. conglomerata,0
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.93,G. hexagonus,0
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.93,P. obliquiloculata,0
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.93,G. inflata,0.2093
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.93,G. truncatulinoides,0.0043
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.93,G. crassaformis,
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.93,G. hirsuta,0
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.93,G. scitula,0.0067
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.93,D. anfracta,0
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.93,G. cultrata,0
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.93,G. tumida,0
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.93,C. nitida,0
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.93,G. glutinata,0.0807
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.93,G. eastropacia,0
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.93,T. iota,0
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.93,G. uvula,
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,1.03,O. universa,0.0157
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,1.03,G. conglobatus,0
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,1.03,G. ruber ruber,0.0113
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,1.03,G. ruber albus,0.0516
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,1.03,G. tenellus,0.0025
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,1.03,T. sacculifer,0.0755
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,1.03,S. dehiscens,0
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,1.03,G. adamsi,
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,1.03,G. siphonifera,0.0228
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,1.03,G. calida,0.005
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,1.03,G. bulloides,0.1171
