Event,Latitude,Longitude,Elevation,Depth sed,Species,Absolute Abundance
A167-13,31.65,-75.35,-2880,1.4,G. falconensis,
A167-13,31.65,-75.35,-2880,1.4,B. digitata,
A167-13,31.65,-75.35,-2880,1.4,G. rubescens,
A167-13,31.65,-75.35,-2880,1.4,T. quinqueloba,
A167-13,31.65,-75.35,-2880,1.4,N. pachyderma,
A167-13,31.65,-75.35,-2880,1.4,N. incompta,
A167-13,31.65,-75.35,-2880,1.4,N. dutertrei,
A167-13,31.65,-75.35,-2880,1.4,G. conglomerata,
A167-13,31.65,-75.35,-2880,1.4,G. hexagonus,
A167-13,31.65,-75.35,-2880,1.4,P. obliquiloculata,
A167-13,31.65,-75.35,-2880,1.4,G. inflata,
A167-13,31.65,-75.35,-2880,1.4,G. crassaformis,
A167-13,31.65,-75.35,-2880,1.4,G. hirsuta,
A167-13,31.65,-75.35,-2880,1.4,G. scitula,
A167-13,31.65,-75.35,-2880,1.4,G. glutinata,
A167-13,31.65,-75.35,-2880,1.4,G. truncatulinoides,
A167-14,31.467,-76.467,-2633,1,O. universa,
A167-14,31.467,-76.467,-2633,1,G. conglobatus,
A167-14,31.467,-76.467,-2633,1,G. ruber albus,
A167-14,31.467,-76.467,-2633,1,G. tenellus,
A167-14,31.467,-76.467,-2633,1,T. sacculifer,
A167-14,31.467,-76.467,-2633,1,S. dehiscens,
A167-14,31.467,-76.467,-2633,1,G. siphonifera,
A167-14,31.467,-76.467,-2633,1,G. calida,
A167-14,31.467,-76.467,-2633,1,G. bulloides,
A167-14,31.467,-76.467,-2633,1,G. falconensis,
A167-14,31.467,-76.467,-2633,1,B. digitata,
A167-14,31.467,-76.467,-2633,1,G. rubescens,
A167-14,31.467,-76.467,-2633,1,T. quinqueloba,
A167-14,31.467,-76.467,-2633,1,N. pachyderma,
A167-14,31.467,-76.467,-2633,1,N. incompta,
A167-14,31.467,-76.467,-2633,1,N. dutertrei,
A167-14,31.467,-76.467,-2633,1,G. conglomerata,
A167-14,31.467,-76.467,-2633,1,G. hexagonus,
A167-14,31.467,-76.467,-2633,1,P. obliquiloculata,
A167-14,31.467,-76.467,-2633,1,G. inflata,
A167-14,31.467,-76.467,-2633,1,G. crassaformis,
A167-14,31.467,-76.467,-2633,1,G. hirsuta,
A167-14,31.467,-76.467,-2633,1,G. scitula,
A167-14,31.467,-76.467,-2633,1,G. glutinata,
A167-14,31.467,-76.467,-2633,1,G. truncatulinoides,
A172-1,17.233,-73.467,,0.4,O. universa,
A172-1,17.233,-73.467,,0.4,G. conglobatus,
A172-1,17.233,-73.467,,0.4,G. ruber albus,
A172-1,17.233,-73.467,,0.4,G. tenellus,
A172-1,17.233,-73.467,,0.4,T. sacculifer,
A172-1,17.233,-73.467,,0.4,S. dehiscens,
A172-1,17.233,-73.467,,0.4,G. siphonifera,
A172-1,17.233,-73.467,,0.4,G. calida,
A172-1,17.233,-73.467,,0.4,G. bulloides,
A172-1,17.233,-73.467,,0.4,G. falconensis,
A172-1,17.233,-73.467,,0.4,B. digitata,
A172-1,17.233,-73.467,,0.4,G. rubescens,
A172-1,17.233,-73.467,,0.4,T. quinqueloba,
A172-1,17.233,-73.467,,0.4,N. pachyderma,
A172-1,17.233,-73.467,,0.4,N. incompta,
A172-1,17.233,-73.467,,0.4,N. dutertrei,
A172-1,17.233,-73.467,,0.4,G. conglomerata,
A172-1,17.233,-73.467,,0.4,G. hexagonus,
A172-1,17.233,-73.467,,0.4,P. obliquiloculata,
