Latitude,Longitude,Event,Elevation [m],Depth [m],Species,Relative Abundance
-6.5823,10.3186,GeoB1008-3,-3124,2.58,N. dutertrei,0.0121
-6.5823,10.3186,GeoB1008-3,-3124,2.58,G. inflata,0.157
-6.5823,10.3186,GeoB1008-3,-3124,2.58,N. incompta,0.0531
-6.5823,10.3186,GeoB1008-3,-3124,2.58,N. pachyderma,0
-6.5823,10.3186,GeoB1008-3,-3124,2.58,G. ruber albus,0.087
-6.5823,10.3186,GeoB1008-3,-3124,2.58,G. scitula,0.029
-6.5823,10.3186,GeoB1008-3,-3124,2.58,O. universa,0.1425
-6.5823,10.3186,GeoB1008-3,-3124,2.58,G. aequilateralis,0.0266
-6.5823,10.3186,GeoB1008-3,-3124,2.58,G. calida,0.0048
-6.5823,10.3186,GeoB1008-3,-3124,2.58,G. falconensis,0
-6.5823,10.3186,GeoB1008-3,-3124,2.58,G. glutinata,0.0048
-6.5823,10.3186,GeoB1008-3,-3124,2.58,G. hirsuta,0
-6.5823,10.3186,GeoB1008-3,-3124,2.58,G. menardii,0
-6.5823,10.3186,GeoB1008-3,-3124,2.58,H. pelagica,0
-6.5823,10.3186,GeoB1008-3,-3124,2.58,T. quinqueloba,0.0024
-6.5823,10.3186,GeoB1008-3,-3124,2.58,G. ruber ruber,0.0918
-6.5823,10.3186,GeoB1008-3,-3124,2.58,T. sacculifer,0.0193
-6.5823,10.3186,GeoB1008-3,-3124,2.58,G. tumida,0
-6.5823,10.3186,GeoB1008-3,-3124,2.58,G. tenellus,0
-6.5823,10.3186,GeoB1008-3,-3124,2.58,G. truncatulinoides,0
-6.5823,10.3186,GeoB1008-3,-3124,2.58,G. conglobatus,0
-6.5823,10.3186,GeoB1008-3,-3124,2.58,G. conglomerata,0
-6.5823,10.3186,GeoB1008-3,-3124,2.58,S. dehiscens,0
-6.5823,10.3186,GeoB1008-3,-3124,2.58,G. digitata,0.0145
-6.5823,10.3186,GeoB1008-3,-3124,2.58,T. humilis,0
-6.5823,10.3186,GeoB1008-3,-3124,2.58,C. nitida,0
-6.5823,10.3186,GeoB1008-3,-3124,2.58,G. rubescens,0
-6.5823,10.3186,GeoB1008-3,-3124,2.58,G. hexagonus,0
-6.5823,10.3186,GeoB1008-3,-3124,2.58,G. uvula,0
-6.5823,10.3186,GeoB1008-3,-3124,2.58,P. obliquiloculata,0
-6.5823,10.3186,GeoB1008-3,-3124,2.58,D. anfracta,0
-6.5823,10.3186,GeoB1008-3,-3124,2.58,G. theyeri,0.0145
-6.5823,10.3186,GeoB1008-3,-3124,2.58,T. iota,0
-6.5823,10.3186,GeoB1008-3,-3124,2.63,G. bulloides,0.404
-6.5823,10.3186,GeoB1008-3,-3124,2.63,G. crassaformis,0.0248
-6.5823,10.3186,GeoB1008-3,-3124,2.63,N. dutertrei,0.0166
-6.5823,10.3186,GeoB1008-3,-3124,2.63,G. inflata,0.1987
-6.5823,10.3186,GeoB1008-3,-3124,2.63,N. incompta,0.1391
-6.5823,10.3186,GeoB1008-3,-3124,2.63,N. pachyderma,0.0066
-6.5823,10.3186,GeoB1008-3,-3124,2.63,G. ruber albus,0.0281
-6.5823,10.3186,GeoB1008-3,-3124,2.63,G. scitula,0.0149
-6.5823,10.3186,GeoB1008-3,-3124,2.63,O. universa,0.1093
-6.5823,10.3186,GeoB1008-3,-3124,2.63,G. aequilateralis,0.0017
-6.5823,10.3186,GeoB1008-3,-3124,2.63,G. calida,0.005
-6.5823,10.3186,GeoB1008-3,-3124,2.63,G. falconensis,0
-6.5823,10.3186,GeoB1008-3,-3124,2.63,G. glutinata,0.0017
-6.5823,10.3186,GeoB1008-3,-3124,2.63,G. hirsuta,0
-6.5823,10.3186,GeoB1008-3,-3124,2.63,G. menardii,0
-6.5823,10.3186,GeoB1008-3,-3124,2.63,H. pelagica,0
-6.5823,10.3186,GeoB1008-3,-3124,2.63,T. quinqueloba,0
-6.5823,10.3186,GeoB1008-3,-3124,2.63,G. ruber ruber,0.0215
-6.5823,10.3186,GeoB1008-3,-3124,2.63,T. sacculifer,0.0067
-6.5823,10.3186,GeoB1008-3,-3124,2.63,G. tumida,0
-6.5823,10.3186,GeoB1008-3,-3124,2.63,G. tenellus,0
-6.5823,10.3186,GeoB1008-3,-3124,2.63,G. truncatulinoides,0
-6.5823,10.3186,GeoB1008-3,-3124,2.63,G. conglobatus,0
-6.5823,10.3186,GeoB1008-3,-3124,2.63,G. conglomerata,0
