Core,Coring device,Latitude,Longitude,Water depth (m),Ocean,Sample depth - upper (m),Species,Absolute Abundance
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.48,G. glutinata,5
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.48,G. eastropacia,12
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.48,T. iota,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.48,G. uvula,
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.53,O. universa,53
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.53,G. conglobatus,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.53,G. ruber ruber,18
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.53,G. ruber albus,32
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.53,G. tenellus,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.53,T. sacculifer,28
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.53,S. dehiscens,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.53,G. adamsi,
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.53,G. siphonifera,4
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.53,G. calida,2
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.53,G. bulloides,237
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.53,G. falconensis,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.53,B. digitata,6
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.53,G. rubescens,6
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.53,T. humilis,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.53,T. quinqueloba,2
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.53,N. pachyderma,3
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.53,N. dutertrei,23
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.53,N. incompta,71
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.53,G. conglomerata,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.53,G. hexagonus,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.53,P. obliquiloculata,1
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.53,G. inflata,54
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.53,G. truncatulinoides,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.53,G. crassaformis,34
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.53,G. hirsuta,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.53,G. scitula,32
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.53,D. anfracta,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.53,G. tumida,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.53,G. cultrata,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.53,C. nitida,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.53,G. glutinata,7
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.53,G. eastropacia,8
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.53,T. iota,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.53,G. uvula,
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.58,O. universa,59
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.58,G. conglobatus,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.58,G. ruber ruber,39
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.58,G. ruber albus,38
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.58,G. tenellus,0
