Event,Latitude,Longitude,Elevation,Depth,Species,Absolute Abundance
A164-13,35.7167,-67.3333,-5103,5,G. cultrata,15
A164-13,35.7167,-67.3333,-5103,5,G. tumida,18
A164-13,35.7167,-67.3333,-5103,5,C. nitida,0
A164-13,35.7167,-67.3333,-5103,5,G. glutinata,7
A164-13,35.7167,-67.3333,-5103,5,T. iota,0
A164-13,35.7167,-67.3333,-5103,5,G. uvula,0
A164-13,35.7167,-67.3333,-5103,5,B. pumilio,0
A164-13,35.7167,-67.3333,-5103,5,H. pelagica,0
A164-13,35.7167,-67.3333,-5103,5,H. digitata,0
A164-15,36.1333,-68.9167,-4624,6,O. universa,2
A164-15,36.1333,-68.9167,-4624,6,G. conglobatus,2
A164-15,36.1333,-68.9167,-4624,6,G. ruber ruber,0
A164-15,36.1333,-68.9167,-4624,6,G. ruber albus,53
A164-15,36.1333,-68.9167,-4624,6,G. tenellus,0
A164-15,36.1333,-68.9167,-4624,6,T. sacculifer,15
A164-15,36.1333,-68.9167,-4624,6,S. dehiscens,1
A164-15,36.1333,-68.9167,-4624,6,G. adamsi,0
A164-15,36.1333,-68.9167,-4624,6,G. aequilateralis,7
A164-15,36.1333,-68.9167,-4624,6,G. calida,0
A164-15,36.1333,-68.9167,-4624,6,G. bulloides,65
A164-15,36.1333,-68.9167,-4624,6,G. falconensis,8
A164-15,36.1333,-68.9167,-4624,6,G. digitata,0
A164-15,36.1333,-68.9167,-4624,6,G. rubescens,0
A164-15,36.1333,-68.9167,-4624,6,T. humilis,1
A164-15,36.1333,-68.9167,-4624,6,T. quinqueloba,0
A164-15,36.1333,-68.9167,-4624,6,N. pachyderma,12
A164-15,36.1333,-68.9167,-4624,6,N. incompta,21
A164-15,36.1333,-68.9167,-4624,6,N. dutertrei,31
A164-15,36.1333,-68.9167,-4624,6,G. conglomerata,0
A164-15,36.1333,-68.9167,-4624,6,G. hexagonus,0
A164-15,36.1333,-68.9167,-4624,6,P. obliquiloculata,19
A164-15,36.1333,-68.9167,-4624,6,G. inflata,63
A164-15,36.1333,-68.9167,-4624,6,T. truncatulinoides,11
A164-15,36.1333,-68.9167,-4624,6,G. crassaformis,1
A164-15,36.1333,-68.9167,-4624,6,G. hirsuta,10
A164-15,36.1333,-68.9167,-4624,6,G. scitula,0
A164-15,36.1333,-68.9167,-4624,6,D. anfracta,0
A164-15,36.1333,-68.9167,-4624,6,G. cultrata,21
A164-15,36.1333,-68.9167,-4624,6,G. tumida,20
A164-15,36.1333,-68.9167,-4624,6,C. nitida,0
A164-15,36.1333,-68.9167,-4624,6,G. glutinata,1
A164-15,36.1333,-68.9167,-4624,6,T. iota,0
A164-15,36.1333,-68.9167,-4624,6,G. uvula,0
A164-15,36.1333,-68.9167,-4624,6,B. pumilio,0
A164-15,36.1333,-68.9167,-4624,6,H. pelagica,0
A164-15,36.1333,-68.9167,-4624,6,H. digitata,0
A164-16,36.15,-69.15,-4624,7,O. universa,7
A164-16,36.15,-69.15,-4624,7,G. conglobatus,3
A164-16,36.15,-69.15,-4624,7,G. ruber ruber,0
A164-16,36.15,-69.15,-4624,7,G. ruber albus,106
A164-16,36.15,-69.15,-4624,7,G. tenellus,0
A164-16,36.15,-69.15,-4624,7,T. sacculifer,42
A164-16,36.15,-69.15,-4624,7,S. dehiscens,1
A164-16,36.15,-69.15,-4624,7,G. adamsi,0
A164-16,36.15,-69.15,-4624,7,G. aequilateralis,11
A164-16,36.15,-69.15,-4624,7,G. calida,3
A164-16,36.15,-69.15,-4624,7,G. bulloides,59
A164-16,36.15,-69.15,-4624,7,G. falconensis,16
A164-16,36.15,-69.15,-4624,7,G. digitata,2
A164-16,36.15,-69.15,-4624,7,G. rubescens,0
A164-16,36.15,-69.15,-4624,7,T. humilis,0
A164-16,36.15,-69.15,-4624,7,T. quinqueloba,0
A164-16,36.15,-69.15,-4624,7,N. pachyderma,7
