Latitude,Longitude,Event,Depth [m],Species,Absolute Abundance
-6.5823,10.3186,GeoB1008-3,2.43,G. rubescens,0
-6.5823,10.3186,GeoB1008-3,2.43,G. hexagonus,0
-6.5823,10.3186,GeoB1008-3,2.43,G. uvula,0
-6.5823,10.3186,GeoB1008-3,2.43,P. obliquiloculata,0
-6.5823,10.3186,GeoB1008-3,2.43,D. anfracta,0
-6.5823,10.3186,GeoB1008-3,2.43,G. theyeri,9
-6.5823,10.3186,GeoB1008-3,2.43,T. iota,0
-6.5823,10.3186,GeoB1008-3,2.48,G. bulloides,45
-6.5823,10.3186,GeoB1008-3,2.48,G. crassaformis,4
-6.5823,10.3186,GeoB1008-3,2.48,N. dutertrei,0
-6.5823,10.3186,GeoB1008-3,2.48,G. inflata,24
-6.5823,10.3186,GeoB1008-3,2.48,N. incompta,18
-6.5823,10.3186,GeoB1008-3,2.48,N. pachyderma,0
-6.5823,10.3186,GeoB1008-3,2.48,G. ruber albus,24
-6.5823,10.3186,GeoB1008-3,2.48,G. scitula,5
-6.5823,10.3186,GeoB1008-3,2.48,O. universa,41
-6.5823,10.3186,GeoB1008-3,2.48,G. aequilateralis,4
-6.5823,10.3186,GeoB1008-3,2.48,G. calida,3
-6.5823,10.3186,GeoB1008-3,2.48,G. falconensis,0
-6.5823,10.3186,GeoB1008-3,2.48,G. glutinata,4
-6.5823,10.3186,GeoB1008-3,2.48,G. hirsuta,0
-6.5823,10.3186,GeoB1008-3,2.48,G. menardii,0
-6.5823,10.3186,GeoB1008-3,2.48,H. pelagica,0
-6.5823,10.3186,GeoB1008-3,2.48,T. quinqueloba,0
-6.5823,10.3186,GeoB1008-3,2.48,G. ruber ruber,7
-6.5823,10.3186,GeoB1008-3,2.48,T. sacculifer,8
-6.5823,10.3186,GeoB1008-3,2.48,G. tumida,0
-6.5823,10.3186,GeoB1008-3,2.48,G. tenellus,0
-6.5823,10.3186,GeoB1008-3,2.48,G. truncatulinoides,0
-6.5823,10.3186,GeoB1008-3,2.48,G. conglobatus,0
-6.5823,10.3186,GeoB1008-3,2.48,G. conglomerata,0
-6.5823,10.3186,GeoB1008-3,2.48,S. dehiscens,0
-6.5823,10.3186,GeoB1008-3,2.48,G. digitata,0
-6.5823,10.3186,GeoB1008-3,2.48,T. humilis,0
-6.5823,10.3186,GeoB1008-3,2.48,C. nitida,0
-6.5823,10.3186,GeoB1008-3,2.48,G. rubescens,0
-6.5823,10.3186,GeoB1008-3,2.48,G. hexagonus,0
-6.5823,10.3186,GeoB1008-3,2.48,G. uvula,0
-6.5823,10.3186,GeoB1008-3,2.48,P. obliquiloculata,0
-6.5823,10.3186,GeoB1008-3,2.48,D. anfracta,0
-6.5823,10.3186,GeoB1008-3,2.48,G. theyeri,11
-6.5823,10.3186,GeoB1008-3,2.48,T. iota,0
-6.5823,10.3186,GeoB1008-3,2.53,G. bulloides,236
-6.5823,10.3186,GeoB1008-3,2.53,G. crassaformis,33
-6.5823,10.3186,GeoB1008-3,2.53,N. dutertrei,22
-6.5823,10.3186,GeoB1008-3,2.53,G. inflata,53
-6.5823,10.3186,GeoB1008-3,2.53,N. incompta,70
-6.5823,10.3186,GeoB1008-3,2.53,N. pachyderma,2
-6.5823,10.3186,GeoB1008-3,2.53,G. ruber albus,31
-6.5823,10.3186,GeoB1008-3,2.53,G. scitula,31
-6.5823,10.3186,GeoB1008-3,2.53,O. universa,52
-6.5823,10.3186,GeoB1008-3,2.53,G. aequilateralis,3
-6.5823,10.3186,GeoB1008-3,2.53,G. calida,1
-6.5823,10.3186,GeoB1008-3,2.53,G. falconensis,0
-6.5823,10.3186,GeoB1008-3,2.53,G. glutinata,6
-6.5823,10.3186,GeoB1008-3,2.53,G. hirsuta,0
-6.5823,10.3186,GeoB1008-3,2.53,G. menardii,0
-6.5823,10.3186,GeoB1008-3,2.53,H. pelagica,0
-6.5823,10.3186,GeoB1008-3,2.53,T. quinqueloba,1
-6.5823,10.3186,GeoB1008-3,2.53,G. ruber ruber,17
-6.5823,10.3186,GeoB1008-3,2.53,T. sacculifer,27
-6.5823,10.3186,GeoB1008-3,2.53,G. tumida,0
-6.5823,10.3186,GeoB1008-3,2.53,G. tenellus,0
-6.5823,10.3186,GeoB1008-3,2.53,G. truncatulinoides,0
-6.5823,10.3186,GeoB1008-3,2.53,G. conglobatus,0
-6.5823,10.3186,GeoB1008-3,2.53,G. conglomerata,0
-6.5823,10.3186,GeoB1008-3,2.53,S. dehiscens,0
-6.5823,10.3186,GeoB1008-3,2.53,G. digitata,5
-6.5823,10.3186,GeoB1008-3,2.53,T. humilis,0
-6.5823,10.3186,GeoB1008-3,2.53,C. nitida,0
-6.5823,10.3186,GeoB1008-3,2.53,G. rubescens,5
-6.5823,10.3186,GeoB1008-3,2.53,G. hexagonus,0
-6.5823,10.3186,GeoB1008-3,2.53,G. uvula,0
-6.5823,10.3186,GeoB1008-3,2.53,P. obliquiloculata,0
-6.5823,10.3186,GeoB1008-3,2.53,D. anfracta,0
-6.5823,10.3186,GeoB1008-3,2.53,G. theyeri,7
-6.5823,10.3186,GeoB1008-3,2.53,T. iota,0
-6.5823,10.3186,GeoB1008-3,2.58,G. bulloides,112
-6.5823,10.3186,GeoB1008-3,2.58,G. crassaformis,26
-6.5823,10.3186,GeoB1008-3,2.58,N. dutertrei,5
-6.5823,10.3186,GeoB1008-3,2.58,G. inflata,64
-6.5823,10.3186,GeoB1008-3,2.58,N. incompta,21
-6.5823,10.3186,GeoB1008-3,2.58,N. pachyderma,0
-6.5823,10.3186,GeoB1008-3,2.58,G. ruber albus,36
-6.5823,10.3186,GeoB1008-3,2.58,G. scitula,12
-6.5823,10.3186,GeoB1008-3,2.58,O. universa,58
-6.5823,10.3186,GeoB1008-3,2.58,G. aequilateralis,11
-6.5823,10.3186,GeoB1008-3,2.58,G. calida,1
